Locus	chromosome	position	fst
25114	PCodG	9008309	0.0122
5482	PCodG	9010262	0.0532
12917	PCodG	9329019	0.1189
16982	PCodG	9333078	0.023
7545	PCodG	9399694	0.8814
1713	PCodG	9493971	0.106
23449	PCodG	9519370	0.9008
11115	PCodG	9595976	0.0729
1393	PCodG	9598261	0.5847
14661	PCodG	9665708	0.018
8312	PCodG	9665796	0.1226
4494	PCodG	9685227	0.0845
1833	PCodG	9761602	0.0446
17660	PCodG	9866994	0.0237
9645	PCodG	10419488	0.0126
9729	PCodG	10497992	0.0207
13041	PCodG	10868696	0.0458
2455	PCodG	10925525	0.0463
8789	PCodG	11152405	0.2159
11140	PCodG	11291570	0.5225
5753	PCodG	11309141	0.0075
9596	PCodG	11383360	0.0295
17561	PCodG	11481567	0.157
22978	PCodG	11703390	0.7638
1602	PCodG	11804307	0.0372
2780	PCodG	11869646	0.0257
13506	PCodG	12222620	0.0384
24673	PCodG	12331744	0.7479
19031	PCodG	12492400	0.038
21720	PCodG	12649886	0.0213
1104	PCodG	12761963	0.0184
669	PCodG	12788651	0.7485
9825	PCodG	12866887	0.6225
9456	PCodG	12895039	0.918
17342	PCodG	13165795	0.5988
13276	PCodG	13203369	0.2331
7855	PCodG	13272763	0.3392
1176	PCodG	13275503	0.515
23055	PCodG	13348517	0.4333
15037	PCodG	13433828	0.1076
17074	PCodG	13460605	0.0553
2362	PCodG	13543511	0.1312
19716	PCodG	13543599	0.0837
15548	PCodG	13549939	0.0632
7573	PCodG	13566886	0.2047
253	PCodG	13663746	0.0113
11711	PCodG	14052789	0.2597
17183	PCodG	14174929	0.1653
24779	PCodG	14182553	0.0276
16291	PCodG	14215233	0.1859
14720	PCodG	14360204	0.9747
20245	PCodG	14915282	0.2915
8568	PCodG	14990824	0.0514
10524	PCodG	15222575	0.0299
12001	PCodG	15477998	0.0324
5584	PCodG	15478086	0.0436
14461	PCodG	15523673	0.1047
16036	PCodG	15698538	0.0068
5925	PCodG	15884506	0.0113
12756	PCodG	15941922	0.053
20222	PCodG	15949701	0.7533
16522	PCodG	16029166	0.0098
6077	PCodG	16099585	0.0728
15053	PCodG	16100804	0.0502
765	PCodG	16350985	0.5909
21518	PCodG	16668458	0.0982
9305	PCodG	16799615	0.3064
2990	PCodG	17231504	0.9147
24372	PCodG	17254201	0.0063
6225	PCodG	17343059	0.1392
16441	PCodG	17478244	0.1108
11370	PCodG	17483374	0.051
3473	PCodG	17544233	0.0465
7823	PCodG	17686137	0.0261
23879	PCodG	17874079	0.0451
23836	PCodG	17891826	0.0026
3794	PCodG	17891914	0.0423
13135	PCodG	17894333	0.0205
4365	PCodG	18164746	0.9709
22376	PCodG	18270121	0.173
6218	PCodG	18938963	0.035
20154	PCodG	19065023	0.9014
1275	PCodG	19119404	0.0103
12082	PCodG	19122718	0.0514
6687	PCodG	19131955	0.1433
25090	PCodG	19484176	0.0137
4103	PCodG	19759592	0.0215
20926	PCodG	19851693	0.3477
9000	PCodG	20164805	0.0374
15443	PCodG	20190362	0.0941
17329	PCodG	20190450	0.017
1730	PCodG	20219379	0.02
15393	PCodG	20244563	0.2444
16989	PCodG	48548603	0.0377
7326	PCodG	49238223	0.0716
18566	PCodG	49382686	0.8014
21583	PCodG	49443666	0.0161
24866	PCodG	49648653	0.102
19900	PCodG	49778562	0.0145
10039	PCodG	49943450	0.0139
2874	PCodG	50017446	0.719
7286	PCodG	50180443	0.1088
10399	PCodG	50539729	0.0365
12877	PCodG	50569366	0.2688
16033	PCodG	50578703	0.2137
1037	PCodG	50618597	0.0137
9965	PCodG	50723119	0.0644
18308	PCodG	50723207	0.0115
23529	PCodG	50729955	0.0856
829	PCodG	50781820	0.0553
7275	PCodG	50899070	0.0604
24934	PCodG	51234898	0.0642
11054	PCodG	51234986	0.0975
2866	PCodG	51390988	0.1051
6801	PCodG	51403422	0.0012
25204	PCodG	51435334	0.0722
5569	PCodG	51509097	0.0237
13275	PCodG	51513214	0.0799
9926	PCodG	51600822	0.0231
9894	PCodG	51905180	0.0482
4003	PCodG	52342844	0.0036
17121	PCodG	52370976	0.0046
11504	PCodG	52566998	0.5123
3776	PCodG	52759877	0.8514
19526	PCodG	52910415	0.0689
4909	PCodG	53098680	0.0023
11479	PCodG	53220687	0.8223
9421	PCodG	53276547	0.2054
67	PCodG	53422367	0.0362
19996	PCodG	53780020	0.0025
9870	PCodG	53841609	0.0953
19340	PCodG	53851073	0.0702
7341	PCodG	53927914	0.026
16833	PCodG	53998995	0.0303
13766	PCodG	54574740	0.0424
126	PCodG	54581225	0.0002
2672	PCodG	54582789	-0.0002
23915	PCodG	54750226	0.0579
14634	PCodG	55106728	0.0288
6410	PCodG	55129544	0.2209
15925	PCodG	55129823	0.0118
2973	PCodG	56036585	0.0809
3630	PCodG	56336419	0.2486
25095	PCodG	56393627	0.0234
9673	PCodG	28853264	0.0742
5748	PCodG	28862944	0.052
16332	PCodG	28867401	0.0077
18249	PCodG	28869498	0.0061
12161	PCodG	29008908	0.6231
22330	PCodG	29763729	0.0421
2227	PCodG	30056977	0.6526
12720	PCodG	30057065	0.6503
16396	PCodG	30159165	0.0173
23643	PCodG	30482401	0.0069
5819	PCodG	30521063	0.0099
24808	PCodG	31166431	0.0271
8450	PCodG	31238335	0.0007
14890	PCodG	31372751	0.1103
19616	PCodG	31438768	0.2198
5650	PCodG	31988352	0.2259
20570	PCodG	32152093	0.0797
11304	PCodG	32416693	0.2389
1206	PCodG	32416781	0.0422
14293	PCodG	32533454	-0.0018
20501	PCodG	32603020	0.0367
5692	PCodG	32603107	0.0261
17606	PCodG	32828401	-0.0011
23345	PCodG	32837007	0.0078
10191	PCodG	33338755	0.0353
13038	PCodG	33446058	0.435
18002	PCodG	33779354	0.017
16683	PCodG	33806095	0.5137
15713	PCodG	33861253	0.0763
13249	PCodG	57915747	0.0265
15714	PCodG	57936154	0.0085
20284	PCodG	57983467	-0.0024
21377	PCodG	58169074	0.1207
20373	PCodG	58257513	0.0493
8277	PCodG	58305943	0.8953
9741	PCodG	58338614	0.0538
803	PCodG	58373478	0.0204
19750	PCodG	58925343	0.2174
9632	PCodG	58929394	0.0098
19094	PCodG	58977509	0.7214
6195	PCodG	58981018	0.0976
11378	PCodG	60015987	0.0234
20552	PCodG	60063091	0.2745
1082	PCodG	60353708	0.0196
6709	PCodG	60677173	0.7145
6275	PCodG	60782073	0.0187
15007	PCodG	60795254	0.0085
10012	PCodG	60925573	0.1136
14655	PCodG	60964942	0.0455
7132	PCodG	60996155	0.1543
368	PCodG	61175625	0.0352
21296	PCodG	61258429	0.7547
7390	PCodG	61351729	0.735
24148	PCodG	62260662	0.0489
12065	PCodG	62271009	0.3393
15557	PCodG	62271097	0.3967
3016	PCodG	62654081	0.0188
17073	PCodG	62723514	0.0853
23838	PCodG	63398300	0.0055
19045	PCodG	63459845	0.2501
10878	PCodG	63492159	0.0192
2332	PCodG	63503176	0.0096
10113	PCodG	63727019	0.0268
20452	PCodG	63730036	0.0237
19126	PCodG	63761524	0.1381
6887	PCodG	63824512	0.0081
8305	PCodG	64034350	0.0426
8547	PCodG	64224937	0.0262
15735	PCodG	64265979	0.3752
3623	PCodG	64382589	0.1068
17332	PCodG	64658815	0.0246
3116	PCodG	64784469	0.0838
17016	PCodG	65022932	0.9788
15872	PCodG	65456377	0.2001
1858	PCodG	65516912	0.0176
2196	PCodG	66058435	0.8447
22699	PCodG	66183537	0.0436
25143	PCodG	66459888	0.0507
7332	PCodG	66661270	0.0108
3172	PCodG	66788598	-0.0019
6683	PCodG	66847974	0.0116
4836	PCodG	67293331	0.5424
6156	PCodG	67395809	0.0067
18049	PCodG	67404206	0.0602
12194	PCodG	67922177	0.0389
2110	PCodG	68073094	0.0962
5196	PCodG	68605674	0.4143
18780	PCodG	68605762	0.3369
695	PCodG	69178593	0.0247
15109	PCodG	69277675	0.007
766	PCodG	69364795	0.0317
246	PCodG	69445083	0.0041
14249	PCodG	69690341	0.0114
22014	PCodG	69823748	0.0174
9604	PCodG	69885345	0.0051
11273	PCodG	70330563	0.6575
12434	PCodG	70376482	0.0758
17978	PCodG	70638272	0.0223
8045	PCodG	70806017	0.5389
21277	PCodG	70956996	0.3337
3721	PCodG	71258878	0.0548
23624	PCodG	71359359	0.0219
1906	PCodG	71367946	-0.002
22340	PCodG	71440939	0.012
23112	PCodG	71536697	0.4072
20572	PCodG	71584357	0.0236
17985	PCodG	71597796	0.1976
22508	PCodG	71667809	0.0317
8778	PCodG	71734173	0.6116
17391	PCodG	71782826	0.5984
111	PCodG	71882905	0.0517
22131	PCodG	72075766	0.1885
16872	PCodG	72365315	0.0995
19598	PCodG	72407136	-0.0012
18524	PCodG	72825265	0.033
14635	PCodG	72908888	0.1165
2733	PCodG	72945033	0.0002
13478	PCodG	73394666	0.0134
16277	PCodG	73415863	0.2665
10577	PCodG	73499042	0.0103
17040	PCodG	73623370	0.0222
14448	PCodG	73916925	0.1409
24101	PCodG	74081039	0.1082
10806	PCodG	74183536	0.3768
10304	PCodG	74183624	0.0588
5851	PCodG	74280045	0.3039
10227	PCodG	74280133	0.0306
21078	PCodG	74387841	0.1386
10374	PCodG	74447770	0.4752
18887	PCodG	74880752	0.2036
11413	PCodG	74902143	0.0274
8704	PCodG	74955929	0.1842
23617	PCodG	74984633	0.0077
11214	PCodG	75008570	0.0106
12145	PCodG	75195913	0.024
23416	PCodG	75437891	0.1547
22707	PCodG	75503658	0.049
1855	PCodG	75628991	0.0331
166	PCodG	75629079	0.0323
3828	PCodG	75722049	0.0088
24985	PCodG	76282364	0.8055
1345	PCodG	76313462	0.2041
4832	PCodG	52883720	0.0405
12892	PCodG	53072430	0.196
24288	PCodG	53146463	0.0234
11905	PCodG	53328463	0.2024
1420	PCodG	53534886	0.0205
3879	PCodG	83115607	0.0169
7509	PCodG	83710689	0.0338
22270	PCodG	84141203	0.0313
25446	PCodG	84211148	0.0555
5924	PCodG	84291218	0.0122
6147	PCodG	84568683	0.1476
23508	PCodG	84568771	0.0147
11166	PCodG	84626919	0.8004
6971	PCodG	84627007	0.3717
25516	PCodG	84946314	0.0305
5079	PCodG	85250376	-0.0018
18822	PCodG	85920088	0.0655
8316	PCodG	86287367	0.1533
7117	PCodG	86882066	0.2147
17580	PCodG	87126756	0.0251
12641	PCodG	87147298	-0.002
13796	PCodG	87188936	0.0462
19441	PCodG	87293759	0.052
13850	PCodG	87359161	0.013
16127	PCodG	87359249	0.0373
12579	PCodG	87591621	0.0796
10063	PCodG	88119966	0.4215
16089	PCodG	88383977	0.0551
5688	PCodG	88507002	0.2279
20898	PCodG	88531186	0.0271
21028	PCodG	88531274	0.1003
23215	PCodG	88738348	0.0593
10350	PCodG	88877836	0.0346
1287	PCodG	88891067	0.0062
7327	PCodG	89009575	0.1381
19081	PCodG	89047575	0.2527
15965	PCodG	89047693	0.0305
21613	PCodG	89084667	0.3819
16360	PCodG	89183443	0.2552
5442	PCodG	89328863	0.0588
7055	PCodG	89364928	0.0636
6657	PCodG	89438081	-0.0005
15903	PCodG	89465026	0.0057
15150	PCodG	89478694	0.0053
15290	PCodG	89603660	0.0098
14032	PCodG	89703310	0.3466
4002	PCodG	89863086	0.0064
16706	PCodG	89863174	0.0067
8205	PCodG	89917461	0.1802
23863	PCodG	89933393	0.4056
6431	PCodG	90232142	0.7208
7975	PCodG	90412543	0.5115
2647	PCodG	90412631	0.5118
2371	PCodG	90571344	0.0583
24348	PCodG	90860206	0.0128
1085	PCodG	90866150	0.0518
4453	PCodG	91582854	0.3889
9983	PCodG	91696827	0.0281
22679	PCodG	91985941	0.0983
24370	PCodG	92161599	0.0737
14432	PCodG	92463586	0.0297
19425	PCodG	92577100	0.5589
10860	PCodG	92577188	0.0485
7485	PCodG	92641443	0.4833
4905	PCodG	92821290	0.962
3799	PCodG	92953356	0.0324
17132	PCodG	93073045	0.0874
10685	PCodG	93099377	0.0595
22539	PCodG	93294827	0.022
8375	PCodG	93404168	0.1318
15386	PCodG	93578776	0.0736
23336	PCodG	93617290	0.0071
3991	PCodG	93630324	0.2694
4392	PCodG	93642333	0.0485
11290	PCodG	93878175	0.0759
4815	PCodG	94098381	0.0288
5902	PCodG	94645417	0.0219
3312	PCodG	94879331	0.0186
14070	PCodG	95654817	0.365
7715	PCodG	95858469	0.0739
11001	PCodG	96299114	0.097
5461	PCodG	96355029	0.1213
6883	PCodG	96639356	0.0494
17134	PCodG	96663442	0.0659
169	PCodG	97140174	0.0143
18438	PCodG	97166990	0.0857
22800	PCodG	97197594	0.9644
12190	PCodG	97215872	0.4102
14754	PCodG	97463400	0.0251
20715	PCodG	98116341	0.0812
1845	PCodG	98154510	-0.001
12779	PCodG	98703119	0.0676
13769	PCodG	98757286	0.0124
3004	PCodG	98757374	0.1111
4779	PCodG	98799377	0.1477
11783	PCodG	98820970	0.0145
3577	PCodG	99208737	0.0187
13463	PCodG	99212533	0.0327
13583	PCodG	99248782	0.1818
23544	PCodG	99584342	-0.0005
6728	PCodG	99721562	0.0069
21046	PCodG	99842505	0.5404
5524	PCodG	99842593	0.5181
23732	PCodG	100208737	0.0749
206	PCodG	100948118	0.2576
9043	PCodG	101286411	0.0493
10413	PCodG	136251741	0.067
19255	PCodG	136451958	0.014
13291	PCodG	136452046	0.2004
24082	PCodG	136770588	0.0108
3761	PCodG	136921104	0.0098
15069	PCodG	136926391	0.1182
1451	PCodG	137040534	0.0005
1995	PCodG	137048134	0.1543
1957	PCodG	137137848	0.0749
2995	PCodG	137197034	0.0731
8572	PCodG	137291754	0.3327
101	PCodG	137300494	0.3587
7164	PCodG	137308010	0.0307
19592	PCodG	137415098	0.3454
13063	PCodG	137649405	0.0209
25164	PCodG	138108044	0.0001
12729	PCodG	138254651	0.0088
22983	PCodG	138364139	0.0578
12881	PCodG	138722948	0.0719
6768	PCodG	138728299	0.4559
20130	PCodG	139061494	0.0223
9864	PCodG	139156546	0.1603
10665	PCodG	139326611	0.0628
21821	PCodG	139326986	0.0507
9853	PCodG	139349707	0.5835
14972	PCodG	139819256	0.1119
6429	PCodG	139828185	0.8746
18535	PCodG	139988353	0.0602
23001	PCodG	140037742	0.0136
15442	PCodG	140061310	0.0808
6993	PCodG	140415917	0.0068
3885	PCodG	140419492	0.0044
12623	PCodG	140475615	0.0472
15604	PCodG	140512515	0.0087
24194	PCodG	140541700	0.0608
4025	PCodG	140838613	0.0166
25450	PCodG	140920265	0.0095
1193	PCodG	141158174	0.0115
9704	PCodG	141292327	0.1493
23000	PCodG	141347186	0.0649
17454	PCodG	141347274	-0.0019
19329	PCodG	141570030	0.3093
19881	PCodG	141573242	0.0337
22895	PCodG	141603190	0.4978
2977	PCodG	141857507	0.0848
20490	PCodG	142283159	0.0374
11162	PCodG	142318071	0.1407
189	PCodG	142332834	0.0105
12087	PCodG	142569007	0.1001
23029	PCodG	143108020	0.7127
16621	PCodG	143157663	0.0441
481	PCodG	143243536	0.0182
5804	PCodG	143690746	0.3238
24772	PCodG	143726577	0.0402
18415	PCodG	143755990	0.0075
16179	PCodG	143881412	0.0257
12649	PCodG	144080825	0.0303
4747	PCodG	144082488	0.9203
440	PCodG	144082576	0.5358
4863	PCodG	144452626	0.0531
18994	PCodG	144465425	0.4048
14459	PCodG	144682456	0.5312
20148	PCodG	144736937	0.0209
19975	PCodG	145763770	0.6514
1052	PCodG	145763858	0.0296
15927	PCodG	145898611	0.3072
2621	PCodG	82188375	0.1437
1091	PCodG	82797056	0.0499
9681	PCodG	83008976	0.2371
7074	PCodG	83128244	0.0184
221	PCodG	83128332	0.0143
23824	PCodG	83259919	0.0167
9776	PCodG	83656218	0.0303
7081	PCodG	84366846	0.0126
9840	PCodG	85600581	0.5785
4557	PCodG	85635430	0.0139
11762	PCodG	85876783	0.0727
9850	PCodG	86033355	0.0822
7399	PCodG	86157794	0.1399
6640	PCodG	86368923	0.0428
14364	PCodG	86809988	0.0148
86	PCodG	87324017	0.0133
6567	PCodG	87423952	0.0048
5754	PCodG	87491653	0.005
16053	PCodG	88354380	0.0917
23595	PCodG	88367022	0.052
11627	PCodG	88380435	0.0201
4582	PCodG	88380523	0.0059
6384	PCodG	88427317	0.0282
6609	PCodG	88600450	0.2919
24921	PCodG	90263367	0.0111
3280	PCodG	90263455	0.1265
21624	PCodG	90345632	0.0666
21488	PCodG	90534316	0.0302
16046	PCodG	90709047	0.4642
10706	PCodG	91391228	0.326
5824	PCodG	91644676	0.608
17533	PCodG	91808584	0.1023
16173	PCodG	92064329	0.0684
23371	PCodG	92408734	0.1188
21339	PCodG	92594974	0.0169
7965	PCodG	92595062	1
22863	PCodG	92842851	0.1777
6995	PCodG	92936754	0.012
6724	PCodG	94736649	0.003
3932	PCodG	95366815	0.1149
220	PCodG	95418502	0.8639
13443	PCodG	95418590	0.0126
22728	PCodG	95630285	0.0958
1638	PCodG	95816909	0.0817
1138	PCodG	95867959	0.0469
16474	PCodG	96577147	0.1737
9992	PCodG	96669812	0.0514
9714	PCodG	97047641	0.9404
12768	PCodG	97142936	0.0372
12570	PCodG	97272066	0.3779
19718	PCodG	97595476	0.8489
22434	PCodG	97612512	0.0787
20057	PCodG	97612600	0.284
21419	PCodG	97658455	0.9382
12952	PCodG	97745199	0.0077
20735	PCodG	98611031	0.0164
1122	PCodG	98648013	0.5672
20255	PCodG	98901952	0.0963
8724	PCodG	98928448	0.0378
15910	PCodG	98998508	0.1099
22705	PCodG	99238876	0.0947
23845	PCodG	99481369	0.0666
19756	PCodG	99499257	0.0243
16800	PCodG	99522397	0.2683
17357	PCodG	99992077	0.1558
2176	PCodG	100215587	0.064
6519	PCodG	100408159	0.0854
12515	PCodG	100421533	0.1073
16620	PCodG	100425498	0.8111
8018	PCodG	100468718	0.1168
5520	PCodG	100517991	0.0278
12331	PCodG	100764215	0.2664
15828	PCodG	100764303	0.6431
24080	PCodG	101110255	0.033
11725	PCodG	101420982	0.3877
25334	PCodG	101459866	0.5178
25372	PCodG	101463908	0.0638
18648	PCodG	101534979	0.0218
23191	PCodG	101535067	0.062
10136	PCodG	101545847	0.4403
10857	PCodG	101585174	0.0951
18508	PCodG	101880014	0.2582
9898	PCodG	101932151	0.0263
4371	PCodG	101932239	0.1487
22261	PCodG	102031394	0.1692
164	PCodG	102082801	0.2175
7142	PCodG	102438146	0.3735
23847	PCodG	102557404	0.0614
23884	PCodG	102610172	0.2225
17312	PCodG	103328261	0.1746
23079	PCodG	103492607	0.063
7962	PCodG	103820049	0.0086
10585	PCodG	104060332	0.1008
23795	PCodG	104221534	0.0565
20413	PCodG	104283780	0.0608
4373	PCodG	104752961	0.5246
1859	PCodG	104758945	0.0413
6522	PCodG	104869732	0.1346
22034	PCodG	105185944	0.0229
4230	PCodG	105199299	0.2396
3578	PCodG	105201393	0.0348
11736	PCodG	105203321	0.8755
8499	PCodG	105204238	0.8374
3694	PCodG	105345446	0.0707
4133	PCodG	106676298	0.8224
2154	PCodG	106777765	0.0781
8590	PCodG	106859211	0.6011
12352	PCodG	107063160	0.052
13845	PCodG	107372165	0.6145
4777	PCodG	107435170	0.0906
23422	PCodG	107521755	0.0429
20158	PCodG	107521843	0.014
18577	PCodG	107530594	0.0106
20354	PCodG	107777491	0.0201
2346	PCodG	107814494	0.041
6259	PCodG	108084106	0.1033
7139	PCodG	108188660	0.0487
18193	PCodG	108274779	0.1832
7598	PCodG	108432757	0.0371
23999	PCodG	108480101	0.0291
11896	PCodG	108502912	0.0329
2742	PCodG	108591366	0.4802
4489	PCodG	109161911	0.053
17909	PCodG	109209926	0.0129
5171	PCodG	109367066	0.3045
14696	PCodG	109520906	0.0348
7643	PCodG	109543312	0.3906
8552	PCodG	109845157	0.3488
20561	PCodG	109845661	0.0253
9878	PCodG	110464678	0.3106
15456	PCodG	110483857	0.171
5746	PCodG	110609587	0.0335
4126	PCodG	110634966	0.0184
24642	PCodG	111033416	0.0256
16190	PCodG	111204458	0.2415
23964	PCodG	111327226	0.0351
4998	PCodG	111642589	0.0279
23705	PCodG	112387763	0.03
4898	PCodG	112387851	0.0192
9316	PCodG	112538888	0.0351
10495	PCodG	112661138	0.0139
10022	PCodG	112731694	0.8768
3553	PCodG	112765828	0.0563
14472	PCodG	112765915	0.0135
1392	PCodG	113115833	0.158
1162	PCodG	113217682	0.037
6393	PCodG	113770889	0.0804
19740	PCodG	114370531	0.0336
9308	PCodG	114471266	0.2206
13211	PCodG	114674080	0.0524
8095	PCodG	114833258	0.0036
7637	PCodG	115105538	0.0272
825	PCodG	115123390	-0.0022
4013	PCodG	115324309	0.3148
4212	PCodG	115408276	0.057
25151	PCodG	115713868	0.0557
23528	PCodG	116307497	0.089
3875	PCodG	116313102	0.9566
11244	PCodG	116370320	0.0093
22930	PCodG	116424430	0.5287
13345	PCodG	116677940	0.0592
25555	PCodG	116704498	0.1673
10024	PCodG	118786755	0.2106
21732	PCodG	118990026	0.0327
589	PCodG	119149840	0.0812
10429	PCodG	119169761	0.0994
18975	PCodG	119193802	0.0954
5071	PCodG	119248601	0.0133
11818	PCodG	119263275	0.0055
14659	PCodG	119442830	0.0055
10567	PCodG	119589700	0.0259
16947	PCodG	119751722	0.0199
8703	PCodG	119986405	0.0495
11509	PCodG	120204355	0.9769
5624	PCodG	120302757	0.0445
4484	PCodG	120585557	0.0099
16264	PCodG	120588263	0.0163
21572	PCodG	120873251	0.1393
16456	PCodG	121383672	0.875
14426	PCodG	121549806	0.0752
6554	PCodG	121587596	0.0002
13100	PCodG	121715425	0.2863
5481	PCodG	121733096	0.0986
15588	PCodG	121733184	0.174
10488	PCodG	121766109	0.0219
23427	PCodG	122026637	0.0531
12116	PCodG	122111657	0.085
8079	PCodG	122407262	0.0322
13902	PCodG	122475342	0.12
14064	PCodG	122529710	0.0163
3381	PCodG	122965196	0.0228
20425	PCodG	123112043	0.5028
14657	PCodG	123112131	0.0395
2370	PCodG	123528599	0.2982
11059	PCodG	123588806	0.0837
23421	PCodG	123738715	0.0317
8098	PCodG	123961378	0.089
16370	PCodG	124258449	0.1486
592	PCodG	124293905	0.0364
11052	PCodG	124792046	-0.0018
12823	PCodG	125724080	0.0137
23990	PCodG	125881110	0.1487
17919	PCodG	126049583	0.067
17944	PCodG	126192583	-0.0011
18906	PCodG	126194573	0.0759
24751	PCodG	126409728	0.8849
6807	PCodG	126532605	0.01
22431	PCodG	126681907	0.1435
4761	PCodG	126837664	0.0435
8048	PCodG	126900408	0.8039
20232	PCodG	127148313	0.3023
109	PCodG	127150787	0.2655
13066	PCodG	127293795	0.0497
1968	PCodG	127295457	0.0442
15086	PCodG	127340219	0.0417
25641	PCodG	127472335	0.0715
2810	PCodG	127589333	0.0734
17328	PCodG	127617112	0.069
18979	PCodG	127739638	0.4628
18355	PCodG	127753513	0.1346
17737	PCodG	127753602	0.1135
2046	PCodG	127804469	0.2655
6292	PCodG	127829434	0.0794
10648	PCodG	127879802	-0.0021
4644	PCodG	127907886	0.1215
4878	PCodG	128001873	0.1202
8027	PCodG	128096484	0.0649
15382	PCodG	128161440	0.0312
18686	PCodG	128161528	0.0021
24504	PCodG	128202298	-0.0018
22739	PCodG	128248230	0.1193
12670	PCodG	128265819	0.5537
10882	PCodG	128283388	0.0305
14853	PCodG	128369790	0.0073
18925	PCodG	128377943	0.1872
17683	PCodG	128650998	0.0164
7707	PCodG	128697558	0.9978
9280	PCodG	128710158	0.0367
20042	PCodG	129214291	0.0059
24009	PCodG	129350613	0.0907
13081	PCodG	129557306	0.546
11687	PCodG	129653214	0.1633
10965	PCodG	129719988	0.0443
21649	PCodG	129769488	0.1181
4818	PCodG	129997482	0.4429
15300	PCodG	130255653	0.0396
3952	PCodG	130492422	0.0473
7494	PCodG	130601972	0.0572
20381	PCodG	130641770	0.0368
19118	PCodG	130676171	0.0236
19867	PCodG	130676259	0.0546
23500	PCodG	130728683	0.0161
17629	PCodG	130728929	0.0683
19165	PCodG	130729017	0.0223
24409	PCodG	130905470	0.0403
20144	PCodG	131015975	0.0796
13979	PCodG	131021582	0.1276
13846	PCodG	131025514	0.1053
12291	PCodG	131025602	0.0351
4162	PCodG	131406625	0.2284
13010	PCodG	131697970	0.0625
21290	PCodG	132794799	0.7101
14762	PCodG	132976617	0.0862
11483	PCodG	133183335	0.2081
16697	PCodG	133203961	0.0186
10838	PCodG	133837084	0.0578
12337	PCodG	133898311	0.0695
20929	PCodG	133898399	0.2682
3585	PCodG	133913426	0.2331
11738	PCodG	133932121	0.1972
20573	PCodG	134388226	0.0444
17363	PCodG	134492523	0.0028
16695	PCodG	134543986	0.1175
10153	PCodG	134580714	0.0688
9461	PCodG	134660015	0.4488
23233	PCodG	134660103	0.7262
982	PCodG	135060896	0.0023
3728	PCodG	135156499	0.1171
17779	PCodG	135262869	0.0798
5427	PCodG	135354718	0.0701
6944	PCodG	135378845	0.4633
22737	PCodG	135423910	0.1072
3057	PCodG	135544449	0.2027
15494	PCodG	135594554	0.0561
24920	PCodG	135773617	0.0346
10276	PCodG	135854584	0.0675
5738	PCodG	135934670	0.018
2934	PCodG	135989127	-0.0019
23313	PCodG	136124858	0.0807
4255	PCodG	136388364	0.0426
19856	PCodG	136482045	0.1394
13631	PCodG	136503363	0.0544
5775	PCodG	136532121	0.079
534	PCodG	136724791	0.005
10849	PCodG	136769209	0.0265
13168	PCodG	136819964	0.0219
24990	PCodG	136821588	0.0238
11191	PCodG	137051098	0.222
5600	PCodG	137228044	0.0626
1962	PCodG	137238672	0.0001
297	PCodG	137473312	0.0862
