Locus	Program
8278	Bayescan
8327	Bayescan
8389	Bayescan
8486	Bayescan
8499	both
8525	both
8534	both
8569	both
8590	Bayescan
8746	Bayescan
8759	Bayescan
8778	Bayescan
8820	both
8840	Bayescan
8907	Bayescan
8915	Bayescan
8936	Bayescan
9158	both
9166	Bayescan
9192	Bayescan
9210	Bayescan
9211	both
9216	Bayescan
9251	both
9347	Bayescan
9355	both
9419	Bayescan
9434	Bayescan
9456	both
9461	Bayescan
9530	Bayescan
9585	Bayescan
9596	Bayescan
9640	Bayescan
9675	Bayescan
9682	Bayescan
9684	Bayescan
9714	both
9717	both
9731	Bayescan
9755	Bayescan
9789	Bayescan
9840	Bayescan
9896	both
9979	Bayescan
9980	Bayescan
10015	Bayescan
10022	both
10079	both
10440	both
10460	both
10620	Bayescan
10730	both
10785	both
10828	both
10840	both
11019	both
11146	both
11166	Bayescan
11190	both
11222	Bayescan
11307	Bayescan
11415	Bayescan
11479	both
11504	Bayescan
11509	both
11569	both
11686	Bayescan
11736	both
11759	both
11761	both
11849	Bayescan
11896	Bayescan
11899	both
11912	Bayescan
11951	both
11992	Bayescan
12017	both
12054	Bayescan
12070	Bayescan
12083	Bayescan
12182	Bayescan
12254	both
12320	both
12384	both
12641	Bayescan
12670	Bayescan
12693	both
12810	both
12823	Bayescan
12945	Bayescan
12972	Bayescan
12979	Bayescan
13083	Bayescan
13090	Bayescan
13107	both
13152	both
13221	both
13297	Bayescan
13308	Bayescan
13341	Bayescan
13384	Bayescan
13458	Bayescan
13518	both
13523	Bayescan
13556	Bayescan
13597	both
13650	both
13693	both
13774	Bayescan
13791	Bayescan
13845	Bayescan
13917	Bayescan
13923	Bayescan
14011	Bayescan
14117	both
14122	Bayescan
14293	Bayescan
14305	both
14329	Bayescan
14492	Bayescan
14546	Bayescan
14626	both
14720	both
14810	both
14852	both
14864	Bayescan
15039	Bayescan
15122	Bayescan
15311	Bayescan
15373	both
15471	both
15473	both
15543	Bayescan
15573	both
15615	Bayescan
15646	Bayescan
15677	both
15748	both
15780	both
15791	Bayescan
15828	Bayescan
15907	Bayescan
15934	Bayescan
16057	Bayescan
16121	both
16245	Bayescan
16280	Bayescan
16456	both
16504	Bayescan
16517	both
16620	Bayescan
16748	Bayescan
16898	Bayescan
16965	Bayescan
17016	both
17038	Bayescan
17087	Bayescan
17097	both
17267	both
17325	both
17342	Bayescan
17436	Bayescan
17497	both
17625	Bayescan
17670	both
17825	both
17835	both
17870	both
17875	Bayescan
17879	Bayescan
17898	Bayescan
17909	Bayescan
17944	Bayescan
18043	both
18075	both
18099	Bayescan
18166	Bayescan
18196	Bayescan
18243	Bayescan
18250	Bayescan
18415	Bayescan
18476	both
18566	Bayescan
18586	Bayescan
18615	both
18741	both
18938	both
19037	Bayescan
19094	Bayescan
19181	Bayescan
19183	Bayescan
19241	Bayescan
19255	Bayescan
19275	Bayescan
19304	Bayescan
19360	both
19425	Bayescan
19458	both
19718	Bayescan
19735	both
19772	both
19971	Bayescan
19990	Bayescan
20070	Bayescan
20128	both
20154	both
20222	Bayescan
20230	Bayescan
20425	Bayescan
20446	both
20473	both
20574	Bayescan
20586	both
20624	Bayescan
20672	Bayescan
20719	both
20837	Bayescan
20928	both
21290	Bayescan
21296	Bayescan
21419	both
21671	Bayescan
21686	Bayescan
21748	Bayescan
21807	Bayescan
21829	Bayescan
21863	Bayescan
21874	Bayescan
21905	Bayescan
21934	Bayescan
21971	Bayescan
22022	Bayescan
22166	Bayescan
22373	Bayescan
22526	Bayescan
22563	both
22771	Bayescan
22800	both
22824	Bayescan
22913	Bayescan
22921	Bayescan
22923	both
22978	Bayescan
23029	Bayescan
23057	both
23100	Bayescan
23203	both
23233	Bayescan
23271	both
23351	Bayescan
23364	both
23368	Bayescan
23402	both
23449	both
23503	both
23615	Bayescan
23645	Bayescan
23650	both
23685	both
23727	Bayescan
23792	Bayescan
23883	Bayescan
23944	both
23986	Bayescan
24025	Bayescan
24083	Bayescan
24135	Bayescan
24372	Bayescan
24402	Bayescan
24451	both
24467	Bayescan
24478	both
24643	both
24673	Bayescan
24680	Bayescan
24751	both
24910	Bayescan
24985	both
25009	both
25028	Bayescan
25087	Bayescan
25129	Bayescan
25170	Bayescan
25225	both
25241	Bayescan
25250	Bayescan
25296	Bayescan
25334	Bayescan
25416	both
25638	both
164	PCAdapt
571	PCAdapt
941	PCAdapt
1907	PCAdapt
1911	PCAdapt
2390	PCAdapt
2647	PCAdapt
2780	PCAdapt
2966	PCAdapt
3061	PCAdapt
3304	PCAdapt
3561	PCAdapt
3651	PCAdapt
3887	PCAdapt
4644	PCAdapt
4885	PCAdapt
5995	PCAdapt
6028	PCAdapt
6983	PCAdapt
7205	PCAdapt
7314	PCAdapt
7769	PCAdapt
7879	PCAdapt
8209	PCAdapt
8289	PCAdapt
8295	PCAdapt
9229	PCAdapt
9502	PCAdapt
9545	PCAdapt
10421	PCAdapt
11313	PCAdapt
12705	PCAdapt
13180	PCAdapt
13241	PCAdapt
13258	PCAdapt
14760	PCAdapt
14839	PCAdapt
15752	PCAdapt
15794	PCAdapt
16375	PCAdapt
16458	PCAdapt
17149	PCAdapt
18404	PCAdapt
19011	PCAdapt
19023	PCAdapt
19066	PCAdapt
19475	PCAdapt
19554	PCAdapt
19864	PCAdapt
20140	PCAdapt
20249	PCAdapt
20552	PCAdapt
20920	PCAdapt
21084	PCAdapt
21120	PCAdapt
21244	PCAdapt
21492	PCAdapt
25444	PCAdapt
21833	PCAdapt
22068	PCAdapt
22242	PCAdapt
22295	PCAdapt
22430	PCAdapt
22541	PCAdapt
22710	PCAdapt
22863	PCAdapt
22898	PCAdapt
22899	PCAdapt
22999	PCAdapt
23018	PCAdapt
23099	PCAdapt
23580	PCAdapt
24274	PCAdapt
24886	PCAdapt
24979	PCAdapt
