chromosome	position	num_markers	loci_names
LG11	16688278.6107383	16	19263,9458,8346,7161,17726,9408,23486,5003,11013,21360,10828,25416,11019,1963,8493,8641
LG11	16867228.1744966	13	17726,9408,23486,5003,11013,21360,10828,25416,11019,1963,8493,8641,19478
LG11	17046177.738255	10	5003,11013,21360,10828,25416,11019,1963,8493,8641,19478
LG11	26709454.1812081	16	4901,1157,53,23448,23014,25289,15052,9251,21807,8670,4361,1473,6377,13880,5,23093
LG13	6883610.97315436	11	8426,15763,19626,7736,24135,10460,8902,2258,16752,4396,12055
LG13	12338608.6241611	11	16650,1306,17446,5741,10730,25378,15546,1571,6660,19683,11618
LG13	12499049.7315436	10	1306,17446,5741,10730,25378,15546,1571,6660,19683,11618
LG13	12659490.8389262	9	17446,5741,10730,25378,15546,1571,6660,19683,11618
LG13	13301255.2684564	9	6660,19683,11618,8130,367,364,24543,13702,12083
LG13	13461696.3758389	9	6660,19683,11618,8130,367,364,24543,13702,12083
LG13	13622137.4832215	8	19683,11618,8130,367,364,24543,13702,12083
LG13	13782578.590604	10	11618,8130,367,364,24543,13702,12083,9050,8086,4442
LG13	14263901.9127517	14	367,364,24543,13702,12083,9050,8086,4442,7957,21653,5845,14122,13180,24277
LG14	1505710.73154362	14	9378,8847,13418,11003,490,616,18528,1078,23334,17625,9770,25478,21704,18659
LG14	1690003.30872483	16	8847,13418,11003,490,616,18528,1078,23334,17625,9770,25478,21704,18659,23776,618,6540
LG14	4085806.81208054	15	6353,16325,20625,13411,25091,5711,16233,24451,8330,2550,25561,5892,14127,13188,6608
LG14	11088924.7449664	9	3308,7690,445,11313,3417,7203,24098,10462,13563
LG14	11273217.3221477	9	3308,7690,445,11313,3417,7203,24098,10462,13563
LG14	17354872.3691275	13	75,25130,8726,5333,1339,4402,6597,7498,25649,3832,12884,18830,10218
LG14	17539164.9463087	15	75,25130,8726,5333,1339,4402,6597,7498,25649,3832,12884,18830,10218,19918,24824
LG15	5767710.69798658	5	12664,2175,15274,3523,18075
LG15	5933912.18791946	4	2175,15274,3523,18075
LG15	6100113.67785235	4	2175,15274,3523,18075
LG15	6266315.16778524	3	15274,3523,18075
LG15	6432516.65771812	3	15274,3523,18075
LG15	6598718.14765101	4	15274,3523,18075,11947
LG16	14174237.3959732	9	18553,9162,13626,2149,735,8671,14199,17255,20078
LG17	8542582.89932886	7	14979,3601,3680,6426,14130,2082,8769
LG17	8656669.19463087	9	14979,3601,3680,6426,14130,2082,8769,25103,13196
LG18	6371549.17449665	13	18523,9210,24400,22530,287,20500,3460,23727,4892,17097,1711,20385,13505
LG18	6511748.84563758	13	18523,9210,24400,22530,287,20500,3460,23727,4892,17097,1711,20385,13505
LG18	6651948.51677852	15	18523,9210,24400,22530,287,20500,3460,23727,4892,17097,1711,20385,13505,14997,11454
LG18	9315742.26845638	11	19141,22690,16933,21647,20321,12705,10440,512,17497,8808,16261
LG18	9455941.93959732	12	19141,22690,16933,21647,20321,12705,10440,512,17497,8808,16261,10139
LG18	12960933.7181208	15	25511,10921,22858,18534,16153,17399,20424,6773,3076,18094,24062,11422,20624,17837,22085
LG18	13101133.3892617	16	22858,18534,16153,17399,20424,6773,3076,18094,24062,11422,20624,17837,22085,13104,6735,21907
LG18	13241333.0604027	18	18534,16153,17399,20424,6773,3076,18094,24062,11422,20624,17837,22085,13104,6735,21907,23082,13802,6675
LG19	8489537.51006711	6	22653,768,25161,13856,25208,18741
LG19	8619346.99328859	5	768,25161,13856,25208,18741
LG19	8749156.47651007	8	25161,13856,25208,18741,12068,20259,9168,8150
LG19	8878965.95973154	8	25208,18741,12068,20259,9168,8150,13908,2038
LG19	18225248.7516779	9	6432,6962,13773,13693,22655,24279,2709,16211,21317
LG20	3228090.40939597	8	23891,4499,5562,25483,12332,11262,19066,25009
LG20	3379324.87248322	8	23891,4499,5562,25483,12332,11262,19066,25009
LG20	3530559.33557047	9	4499,5562,25483,12332,11262,19066,25009,644,23920
LG20	3681793.79865772	12	5562,25483,12332,11262,19066,25009,644,23920,22941,20186,12277,4070
LG20	3833028.26174497	13	5562,25483,12332,11262,19066,25009,644,23920,22941,20186,12277,4070,14117
LG20	9126234.46979866	15	9855,769,2880,18028,4066,12693,380,16458,3405,12320,3019,12520,24,19633,19541
LG20	10487344.6375839	10	5654,786,10732,11146,15373,8534,54,12479,6576,14059
LG20	10638579.1006711	12	5654,786,10732,11146,15373,8534,54,12479,6576,14059,14803,11983
LG20	10789813.5637584	12	786,10732,11146,15373,8534,54,12479,6576,14059,14803,11983,7603
LG20	10941048.0268456	14	786,10732,11146,15373,8534,54,12479,6576,14059,14803,11983,7603,19294,16908
LG20	11092282.4899329	14	10732,11146,15373,8534,54,12479,6576,14059,14803,11983,7603,19294,16908,21097
LG21	11582988.852349	10	9865,9964,11268,3902,7315,18476,24994,3501,5169,8831
LG21	11721178.0872483	10	9964,11268,3902,7315,18476,24994,3501,5169,8831,1933
LG23	14313407.9530201	15	16748,2564,5570,14532,19768,21786,13650,2603,18938,3238,11761,21863,739,13462,5310
LG23	14457444.8993289	15	5570,14532,19768,21786,13650,2603,18938,3238,11761,21863,739,13462,5310,21573,8907
LG23	14601481.8456376	13	19768,21786,13650,2603,18938,3238,11761,21863,739,13462,5310,21573,8907
LG23	14745518.7919463	13	21786,13650,2603,18938,3238,11761,21863,739,13462,5310,21573,8907,25588
