chromosome	position	num_markers	loci_names
LG03	5117165.98657718	6	8316,7117,12641,13796,19441,13850
LG03	18289065.3691275	5	23544,21046,5524,3750,21244
LG03	18472008.4161074	7	23544,21046,5524,3750,21244,12657,206
LG03	18654951.4630872	6	21046,5524,3750,21244,12657,206
LG03	19203780.6040268	7	12657,206,9043,10413,19255,13291,3853
LG03	19386723.6510067	7	12657,206,9043,10413,19255,13291,3853
LG03	19569666.6979866	10	12657,206,9043,10413,19255,13291,3853,24082,3761,15069
LG03	19752609.7449664	13	12657,206,9043,10413,19255,13291,3853,24082,3761,15069,21327,1451,1995
LG03	26155616.3892617	5	20490,11162,189,12087,23029
LG03	26338559.4362416	6	20490,11162,189,12087,23029,5804
LG04	14530971.0939597	6	2334,1638,1138,16474,9992,9714
LG04	22440353.5100671	7	7962,12982,10585,23795,20413,4373,6522
LG04	23319173.7785235	6	4373,6522,4230,11736,8499,3694
LG05	7750679.20134228	4	23421,8098,16370,11052
LG05	7900916.51006711	3	8098,16370,11052
LG06	22017541.704698	8	23765,16839,15407,4887,23817,19466,5465,7391
LG07	1578649.95302013	2	23248,23457
LG07	5886242.27516779	3	15536,8890,16410
LG07	6082041.9261745	3	15536,8890,16410
LG07	6277841.57718121	4	15536,8890,16410,23190
LG07	6473641.22818792	4	15536,8890,16410,23190
LG07	6669440.87919463	4	8890,16410,23190,13652
LG07	16263623.7785235	9	21874,4660,17141,7479,925,7171,6697,18517,17036
LG07	16459423.4295302	8	4660,17141,7479,925,7171,6697,18517,17036
LG07	16655223.0805369	8	17141,7479,925,7171,6697,18517,17036,14474
LG07	16851022.7315436	10	17141,7479,925,7171,6697,18517,17036,14474,2069,22303
LG07	28403202.1409396	14	4514,19879,12564,22430,16718,25032,16834,24680,964,7313,1036,19685,17993,11566
LG07	28599001.7919463	12	22430,16718,25032,16834,24680,964,7313,1036,19685,17993,11566,3606
LG08	6393032.93288591	15	3207,12508,16965,16238,20526,7046,3244,6771,820,11850,16032,21540,11257,15024,8002
LG08	6557007.54362416	15	16965,16238,20526,7046,3244,6771,820,11850,16032,21540,11257,15024,8002,21600,5623
LG08	6720982.15436242	13	20526,7046,3244,6771,820,11850,16032,21540,11257,15024,8002,21600,5623
LG08	6884956.76510067	13	7046,3244,6771,820,11850,16032,21540,11257,15024,8002,21600,5623,7290
LG08	15575611.1342282	5	20760,3161,10061,25277,5450
LG08	15739585.7449664	6	20760,3161,10061,25277,5450,10951
LG08	15903560.3557047	5	10061,25277,5450,10951,7974
LG08	18035230.295302	8	24993,9284,943,13241,11759,18889,6229,7807
LG08	18199204.9060403	8	24993,9284,943,13241,11759,18889,6229,7807
LG08	20330874.8456376	4	8997,1266,19923,2851
LG09	1049263.09395973	3	21802,7128,11018
LG09	1206602.18791946	6	21802,7128,11018,4556,3651,18276
LG09	1363941.28187919	5	7128,11018,4556,3651,18276
LG09	1521280.37583893	5	7128,11018,4556,3651,18276
LG09	19457937.0872483	12	16667,7759,21239,11459,5423,9545,4459,18188,13207,263,3031,12648
LG09	19615276.1812081	12	16667,7759,21239,11459,5423,9545,4459,18188,13207,263,3031,12648
LG09	22290040.7785235	6	19360,5980,18319,12384,20337,17912
LG09	22447379.8724832	5	5980,18319,12384,20337,17912
LG10	5163992.57718121	11	10260,15607,25250,21089,10995,6,13295,5962,18330,244,885
LG10	5315378.7852349	11	15607,25250,21089,10995,6,13295,5962,18330,244,885,3434
LG10	5466764.99328859	10	21089,10995,6,13295,5962,18330,244,885,3434,9159
LG10	5618151.20134228	9	10995,6,13295,5962,18330,244,885,3434,9159
LG10	5769537.40939597	9	10995,6,13295,5962,18330,244,885,3434,9159
LG10	5920923.61744966	10	10995,6,13295,5962,18330,244,885,3434,9159,10291
LG10	6072309.82550336	10	10995,6,13295,5962,18330,244,885,3434,9159,10291
LG10	6223696.03355705	9	6,13295,5962,18330,244,885,3434,9159,10291
LG10	8645875.36241611	3	18629,21204,12584
LG10	8797261.5704698	2	21204,12584
LG10	8948647.77852349	3	21204,12584,16280
LG10	9100033.98657718	4	21204,12584,16280,4206
LG10	9251420.19463087	6	21204,12584,16280,4206,3753,22961
LG11	5589663.9261745	14	7940,11069,3931,18322,7929,19943,21590,14760,19964,7769,15954,8196,2468,4336
LG11	5768469.57718121	14	11069,3931,18322,7929,19943,21590,14760,19964,7769,15954,8196,2468,4336,12889
LG11	19357699.0536913	13	3266,25284,9191,19830,6729,1519,19784,15354,2071,7028,24168,14360,6458
LG11	19536504.704698	13	3266,25284,9191,19830,6729,1519,19784,15354,2071,7028,24168,14360,6458
LG11	19715310.3557047	10	6729,1519,19784,15354,2071,7028,24168,14360,6458,24941
LG11	23112617.7248322	7	3039,19641,3756,18250,8135,19035,5614
LG12	21704866.7651007	5	9658,22206,3304,4411,11722
LG12	21874989.966443	5	9658,22206,3304,4411,11722
LG12	22045113.1677852	5	22206,3304,4411,11722,18012
LG12	22215236.3691275	6	22206,3304,4411,11722,18012,21174
LG12	22895729.1744966	9	18012,21174,3480,4145,5668,10295,3437,18434,6390
LG12	23065852.3758389	10	18012,21174,3480,4145,5668,10295,3437,18434,6390,1568
LG12	23235975.5771812	11	18012,21174,3480,4145,5668,10295,3437,18434,6390,1568,18253
LG12	23406098.7785235	12	18012,21174,3480,4145,5668,10295,3437,18434,6390,1568,18253,11506
LG13	3793721.32885906	5	8596,13514,15145,13318,8943
LG13	3951856.40268456	4	15145,13318,8943,3062
LG13	4109991.47651007	3	13318,8943,3062
LG13	16286392.1610738	10	24267,20593,4575,11119,23728,7183,4671,24484,7489,9166
LG13	16444527.2348993	11	24267,20593,4575,11119,23728,7183,4671,24484,7489,9166,7301
LG14	10351754.4362416	13	2974,8389,388,13422,16215,14804,13909,4492,23487,3129,21492,21779,1441
LG15	4770501.75838926	10	10539,14473,23740,7271,7370,12738,6031,11505,12664,2175
LG15	4936703.24832215	10	10539,14473,23740,7271,7370,12738,6031,11505,12664,2175
LG15	12914374.7651007	8	18662,23827,7730,9187,23451,13209,6969,9449
LG15	13080576.2550336	3	13209,6969,9449
LG15	13246777.7449664	4	13209,6969,9449,17708
LG15	13412979.2348993	4	6969,9449,17708,16480
LG15	19562434.3624161	13	18089,22889,20061,6319,25087,4824,11386,8246,20964,5679,23550,19543,20895
LG15	19728635.852349	14	22889,20061,6319,25087,4824,11386,8246,20964,5679,23550,19543,20895,6878,9789
LG15	19894837.3422819	17	22889,20061,6319,25087,4824,11386,8246,20964,5679,23550,19543,20895,6878,9789,10839,24029,6417
LG16	1878837.32214765	5	2029,6454,7227,24841,13352
LG16	2074002.40268456	5	2029,6454,7227,24841,13352
LG16	7148294.49664429	3	13600,15752,22999
LG16	9880605.62416107	7	13485,23099,17941,19864,17046,13533,22286
LG16	10075770.704698	7	13485,23099,17941,19864,17046,13533,22286
LG16	10270935.7852349	7	23099,17941,19864,17046,13533,22286,24284
LG16	10466100.8657718	7	17941,19864,17046,13533,22286,24284,14405
LG16	15540392.9597315	6	952,2997,11129,19899,19735,11899
LG16	15735558.0402685	6	952,2997,11129,19899,19735,11899
LG16	15930723.1208054	5	2997,11129,19899,19735,11899
LG16	16516218.3624161	4	19735,11899,24886,3331
LG16	16711383.442953	6	11899,24886,3331,19739,5722,10414
LG16	20224354.8926174	5	3348,348,21107,24935,20230
LG16	20419519.9731544	6	3348,348,21107,24935,20230,23758
LG16	21395345.3758389	7	24935,20230,23758,22657,391,23321,9682
LG16	22956666.0201342	6	6498,15165,11476,7450,10342,3659
LG16	23151831.1006711	7	11476,7450,10342,3659,15235,14852,4192
LG16	23346996.1812081	9	11476,7450,10342,3659,15235,14852,4192,7537,13774
LG16	23542161.261745	11	11476,7450,10342,3659,15235,14852,4192,7537,13774,20399,20719
LG16	24322821.5838926	17	15235,14852,4192,7537,13774,20399,20719,4242,13725,2329,11651,14006,13297,15168,8019,14719,12723
LG16	26274472.3892617	7	2118,18678,10232,16352,22719,18990,23413
LG16	26469637.4697987	10	2118,18678,10232,16352,22719,18990,23413,20085,5176,5288
LG17	2495772.34228188	4	10840,25139,13333,18698
LG17	2609837.10067114	4	10840,25139,13333,18698
LG17	2723901.8590604	4	10840,25139,13333,18698
LG17	2837966.61744966	3	25139,13333,18698
LG17	2952031.37583893	3	25139,13333,18698
LG17	3066096.13422819	2	13333,18698
LG17	3180160.89261745	2	13333,18698
LG17	3294225.65100671	2	13333,18698
LG17	3408290.40939597	3	13333,18698,3547
LG17	6031779.85234899	11	2648,14559,21336,17325,8816,5973,21772,14930,6467,9190,15887
LG17	6145844.61073826	12	2648,14559,21336,17325,8816,5973,21772,14930,6467,9190,15887,13369
LG17	6259909.36912752	10	21336,17325,8816,5973,21772,14930,6467,9190,15887,13369
LG17	6373974.12751678	9	17325,8816,5973,21772,14930,6467,9190,15887,13369
LG17	6488038.88590604	9	17325,8816,5973,21772,14930,6467,9190,15887,13369
LG17	6602103.6442953	12	17325,8816,5973,21772,14930,6467,9190,15887,13369,4549,4893,17436
LG17	6716168.40268456	12	17325,8816,5973,21772,14930,6467,9190,15887,13369,4549,4893,17436
LG17	6830233.16107383	12	17325,8816,5973,21772,14930,6467,9190,15887,13369,4549,4893,17436
LG17	6944297.91946309	16	17325,8816,5973,21772,14930,6467,9190,15887,13369,4549,4893,17436,1817,11462,24774,3639
LG17	7058362.67785235	15	8816,5973,21772,14930,6467,9190,15887,13369,4549,4893,17436,1817,11462,24774,3639
LG17	7172427.43624161	14	5973,21772,14930,6467,9190,15887,13369,4549,4893,17436,1817,11462,24774,3639
LG17	7286492.19463087	11	6467,9190,15887,13369,4549,4893,17436,1817,11462,24774,3639
LG17	13217859.6308725	1	7230
LG17	15613219.557047	5	12636,11337,24840,3822,23493
LG17	15727284.3154362	7	12636,11337,24840,3822,23493,7367,1734
LG17	15841349.0738255	8	12636,11337,24840,3822,23493,7367,1734,22323
LG18	1324359.24161074	13	20837,6368,23272,9812,8217,6604,11072,15571,15323,9247,3120,8183,6500
LG18	1464558.32214765	12	23272,9812,8217,6604,11072,15571,15323,9247,3120,8183,6500,3561
LG18	5390132.57718121	10	24895,6860,16011,3175,21482,12721,14268,18523,9210,24400
LG18	5530331.65771812	11	6860,16011,3175,21482,12721,14268,18523,9210,24400,22530,287
LG18	5670530.73825503	12	6860,16011,3175,21482,12721,14268,18523,9210,24400,22530,287,20500
LG18	5810729.81879195	11	21482,12721,14268,18523,9210,24400,22530,287,20500,3460,23727
LG18	5950928.89932886	11	12721,14268,18523,9210,24400,22530,287,20500,3460,23727,4892
LG18	6091127.97986577	11	12721,14268,18523,9210,24400,22530,287,20500,3460,23727,4892
LG18	6231327.06040268	12	14268,18523,9210,24400,22530,287,20500,3460,23727,4892,17097,1711
LG18	10577498.557047	4	8808,10139,6886,24089
LG18	10717697.6375839	3	10139,6886,24089
LG18	10857896.7181208	3	6886,24089,22788
LG18	10998095.7986577	3	6886,24089,22788
LG18	11138294.8791946	4	6886,24089,22788,19537
LG18	13381480.1677852	16	20424,6773,3076,18094,24062,11422,20624,17837,22085,13104,6735,21907,23082,13802,7976,4495
LG18	13521679.2483221	15	6773,3076,18094,24062,11422,20624,17837,22085,13104,6735,21907,23082,13802,7976,4495
LG18	13661878.3288591	16	6773,3076,18094,24062,11422,20624,17837,22085,13104,6735,21907,23082,13802,7976,4495,4508
LG18	13802077.409396	16	6773,3076,18094,24062,11422,20624,17837,22085,13104,6735,21907,23082,13802,7976,4495,4508
LG18	13942276.4899329	14	18094,24062,11422,20624,17837,22085,13104,6735,21907,23082,13802,7976,4495,4508
LG18	14082475.5704698	13	24062,11422,20624,17837,22085,13104,6735,21907,23082,13802,7976,4495,4508
LG18	14222674.6510067	15	24062,11422,20624,17837,22085,13104,6735,21907,23082,13802,7976,4495,4508,15459,18579
LG18	19129642.4697987	16	9097,15185,13610,8606,19181,12242,24910,10595,14909,16931,24478,15207,21666,10760,23494,4720
LG18	19269841.5503356	17	15185,13610,8606,19181,12242,24910,10595,14909,16931,24478,15207,21666,10760,23494,4720,20517,15488
LG18	19410040.6308725	17	15185,13610,8606,19181,12242,24910,10595,14909,16931,24478,15207,21666,10760,23494,4720,20517,15488
LG18	19550239.7114094	16	8606,19181,12242,24910,10595,14909,16931,24478,15207,21666,10760,23494,4720,20517,15488,13338
LG18	19690438.7919463	15	24910,10595,14909,16931,24478,15207,21666,10760,23494,4720,20517,15488,13338,13124,4176
LG18	20812031.4362416	4	13338,13124,4176,21289
LG18	20952230.5167785	5	13338,13124,4176,21289,7412
LG19	2118243.70469799	4	4062,3834,14371,2623
LG19	2246990.27516779	6	4062,3834,14371,2623,24891,13501
LG19	2375736.84563758	7	4062,3834,14371,2623,24891,13501,7421
LG19	5079414.82550336	7	12294,7647,6492,5617,3564,6677,14550
LG19	5208161.39597315	8	12294,7647,6492,5617,3564,6677,14550,888
LG19	5336907.96644295	7	7647,6492,5617,3564,6677,14550,888
LG19	5465654.53691275	7	7647,6492,5617,3564,6677,14550,888
LG19	5594401.10738255	6	6492,5617,3564,6677,14550,888
LG19	5723147.67785235	6	6492,5617,3564,6677,14550,888
LG19	5851894.24832215	6	6492,5617,3564,6677,14550,888
LG19	18340311.5838926	9	6962,13773,13693,22655,24279,2709,16211,21317,9002
LG19	18469058.1543624	9	6962,13773,13693,22655,24279,2709,16211,21317,9002
LG19	18597804.7248322	9	6962,13773,13693,22655,24279,2709,16211,21317,9002
LG19	18726551.295302	8	13773,13693,22655,24279,2709,16211,21317,9002
LG19	18855297.8657718	9	13693,22655,24279,2709,16211,21317,9002,21826,12309
LG19	18984044.4362416	10	13693,22655,24279,2709,16211,21317,9002,21826,12309,18804
LG19	19112791.0067114	12	13693,22655,24279,2709,16211,21317,9002,21826,12309,18804,19011,17128
LG20	1413276.85234899	8	11609,23549,6333,12895,514,19731,14247,24158
LG20	3076855.94630873	7	9131,23891,4499,5562,25483,19066,25009
LG20	3228090.40939597	6	23891,4499,5562,25483,19066,25009
LG20	3379324.87248322	6	23891,4499,5562,25483,19066,25009
LG20	3530559.33557047	7	4499,5562,25483,19066,25009,644,23920
LG20	3681793.79865772	8	5562,25483,19066,25009,644,23920,20186,12277
LG20	4589200.57718121	12	644,23920,20186,12277,6279,3900,579,23026,425,5116,4172,19061
LG20	4740435.04026846	12	644,23920,20186,12277,6279,3900,579,23026,425,5116,4172,19061
LG20	4891669.5033557	12	644,23920,20186,12277,6279,3900,579,23026,425,5116,4172,19061
LG20	5042903.96644295	14	20186,12277,6279,3900,579,23026,425,5116,4172,19061,20372,1452,14049,15251
LG20	13209564.9731544	10	22336,1469,18793,15531,22001,8873,3138,5155,19758,1229
LG20	13360799.4362416	8	15531,22001,8873,3138,5155,19758,1229,18306
LG20	13512033.8993289	8	15531,22001,8873,3138,5155,19758,1229,18306
LG20	14268206.2147651	5	19758,1229,18306,23331,2417
LG20	14419440.6778523	6	19758,1229,18306,23331,2417,21100
LG20	14570675.1409396	4	18306,23331,2417,21100
LG20	14721909.6040268	5	18306,23331,2417,21100,14311
LG20	14873144.0671141	4	23331,2417,21100,14311
LG20	18049067.7919463	3	10836,9274,13399
LG20	20468819.2013423	8	18142,21748,22761,1254,15639,1092,14764,4766
LG21	20254742.6577181	13	2601,7988,7703,2261,3855,17578,19650,16059,21833,17860,14902,19666,14221
LG21	20383475.4161074	11	2261,3855,17578,19650,16059,21833,17860,14902,19666,14221,2366
LG21	20512208.1744966	13	2261,3855,17578,19650,16059,21833,17860,14902,19666,14221,2366,18581,3043
LG21	20640940.9328859	12	3855,17578,19650,16059,21833,17860,14902,19666,14221,2366,18581,3043
LG22	2846943.81208054	10	11851,12449,160,19384,15948,9184,18704,3780,951,10150
LG22	2978576.93288591	9	160,19384,15948,9184,18704,3780,951,10150,23351
LG22	10876564.1812081	10	6983,3413,25162,19286,20462,22899,24986,22022,22061,21537
LG23	5939994.2818792	5	5431,22842,5859,15780,16790
LG23	10937161.5637584	5	6846,16180,7216,16098,13620
LG23	11222713.9798658	7	16180,7216,16098,13620,24232,10598,899
LG23	11365490.1879195	6	7216,16098,13620,24232,10598,899
LG23	11508266.3959732	6	7216,16098,13620,24232,10598,899
