Locus	fst	chromosome	position
83	613	-0.0052	LG22	6028173
84	616	0.0051	LG14	1538720
85	617	-0.0032	LG09	11297440
86	618	-0.008	LG14	2325174
87	630	0.0305	LG23	8025312
88	644	-0.0042	LG20	4187239
89	647	0.048	LG22	19872092
90	660	0.0483	LG12	11266320
91	671	0.0047	LG23	17377949
92	673	-0.0011	LG21	6249646
93	694	-0.0111	LG19	13093143
94	695	0.0254	LG02	16820235
95	700	0.0195	LG21	9085847
96	705	0.0049	LG13	17217650
97	716	0.0465	LG10	23520241
98	719	0.0305	LG11	14396040
99	721	0.0295	LG14	12869166
100	730	0.002	LG17	10130879
101	734	0.012	LG13	25259416
102	739	0.0293	LG23	14881136
103	752	0.0293	LG11	8223689
104	756	0.0166	LG11	3127754
105	765	0.0674	LG01	16350985
106	768	-0.0029	LG19	7893544
107	769	0.0232	LG20	8455617
108	772	0.0055	LG12	19202962
109	780	-0.0053	LG12	4213605
110	786	-4e-04	LG20	10305701
111	792	0.0399	LG22	13579970
112	803	0.07	LG02	6015120
113	805	0.01	LG21	9856598
114	813	0.0097	LG06	12873880
115	815	0.0111	LG14	7114942
116	820	0.0338	LG08	6783271
117	825	0.033	LG04	33313977
118	832	-0.0048	LG15	8433971
119	844	-0.0024	LG14	25532106
120	860	0.04	LG15	8162379
121	885	0.0984	LG10	5851100
122	888	0.0128	LG19	5854828
123	899	0.0129	LG23	11912788
124	925	0.0022	LG07	16246230
125	927	0.0612	LG06	6420980
126	941	0.0696	LG23	16779334
127	943	0.014	LG08	17866162
128	951	0.0067	LG22	3422278
129	952	-0.0043	LG16	15094047
130	960	0.0102	LG12	10174457
131	962	0.0054	LG23	22332615
132	964	-0.0069	LG07	28218086
133	966	0.0214	LG13	18698689
134	974	0.0394	LG15	18002768
135	982	0.0342	LG05	18446161
136	1002	0.0621	LG14	22855271
137	1020	-0.0123	LG18	17770636
138	1027	0.0167	LG11	880476
139	1031	0.002	LG15	10603181
140	1036	0.0149	LG07	28626276
141	1037	0.0481	LG01	22314645
142	1047	0.0358	LG09	6946806
143	1048	0.0017	LG13	21014787
144	1053	0.04	LG13	11331788
145	1054	0.0593	LG06	19898749
146	1059	0.0105	LG01	27624343
147	1066	0.0058	LG15	25606927
148	1073	0.0246	LG10	2603183
149	1078	9e-04	LG14	1738653
150	1089	-4e-04	LG08	13112738
151	1091	-0.006	LG04	987643
152	1092	0.0199	LG20	20701546
153	1094	0.0118	LG01	8989975
154	1098	-0.0033	LG08	13960352
155	1104	0.0019	LG01	12761963
156	1122	-0.0048	LG04	16838600
157	1138	0.0037	LG04	14058546
158	1157	-0.0083	LG11	26193891
159	1159	0.0314	LG14	22877258
160	1160	0.0311	LG15	17477533
161	1162	0.01	LG04	31408269
162	1167	0.0337	LG11	10595723
163	1176	0.068	LG01	13275503
164	1190	0.0081	LG01	8092422
165	1193	0.0014	LG03	24543439
166	1197	-0.0013	LG20	15002118
167	1206	-6e-04	LG02	4112829
168	1218	0.0124	LG03	27647413
169	1228	0.0225	LG13	20016866
170	1229	0.0122	LG20	13703518
171	1253	0.0148	LG22	11919118
172	1254	-0.0015	LG20	20099558
173	1258	0.0088	LG07	27182155
174	1262	0.0366	LG10	17743127
175	1266	-0.0152	LG08	20768613
176	1275	0.1157	LG01	19119404
177	1285	0.0185	LG20	6673367
178	1287	0.0226	LG03	7081654
179	1294	0.0299	LG22	6705225
180	1306	0.0481	LG13	11880001
181	1311	0.0335	LG09	12622187
182	1323	-0.0018	LG20	6539707
183	1339	0.0074	LG14	17204107
184	1345	-0.0012	LG02	23955104
185	1349	1e-04	LG22	16461504
186	1392	0.0211	LG04	31306420
187	1393	0.0192	LG01	9598261
188	1407	-0.0019	LG23	12976106
189	1420	-0.0012	LG03	1176528
190	1441	0.0355	LG14	10322868
191	1451	0.037	LG03	20425799
192	1452	-0.0017	LG20	5697820
193	1454	-0.0032	LG05	18200049
194	1463	0.0113	LG14	16098739
195	1469	-0.0071	LG20	12562983
196	1473	-0.0048	LG11	27198631
197	1474	-0.0016	LG12	7753631
198	1490	-0.0014	LG07	23424347
199	1499	0.0305	LG04	25352161
200	1503	-0.0064	LG21	15279223
201	1504	-0.0011	LG09	6084778
202	1519	0.0022	LG11	19513503
203	1547	0.0166	LG11	7746059
204	1555	0.0201	LG07	13431477
205	1560	0.104	LG15	15461179
206	1567	0.0411	LG15	17339469
207	1568	0.0666	LG12	23698751
208	1571	0.0043	LG13	12440085
209	1572	0.0256	LG13	17972384
210	1582	-0.0093	LG09	16940306
211	1589	-0.0081	LG15	8882522
212	1590	-0.0047	LG22	5312405
213	1596	0.001	LG16	22145857
214	1602	0.0747	LG01	11804307
215	1617	-0.0011	LG01	3728784
216	1629	-0.0133	LG22	18697916
217	1638	1e-04	LG04	14007496
218	1655	0.0306	LG11	24272512
219	1660	0.0027	LG18	7683702
220	1689	0.0192	LG13	21043471
221	1693	0.0073	LG08	10243819
222	1698	0.0482	LG13	14576126
223	1711	-0.0035	LG18	6879063
224	1712	-0.0013	LG14	28035100
225	1713	0.0077	LG01	9493971
226	1722	-0.0049	LG15	7404476
227	1729	-0.0024	LG18	16054673
228	1730	0.0327	LG01	20219379
229	1734	-7e-04	LG17	16433379
230	1737	6e-04	LG07	14640691
231	1738	0.0019	LG16	27755689
232	1739	0.0668	LG22	11675953
233	1770	-0.0018	LG19	9781979
234	1773	-0.0107	LG01	4343021
235	1794	0.0254	LG09	24143400
236	1817	-0.0066	LG17	7587295
237	1821	0.0141	LG08	14640764
238	1845	0.044	LG03	16345097
239	1848	-0.0019	LG01	13443093
240	1855	-0.0071	LG02	23270633
241	1872	0.0743	LG10	21232603
242	1881	0.0183	LG12	11484342
243	1889	-0.0038	LG22	17138763
244	1906	0.0076	LG02	19009588
245	1907	0.038	LG10	17098895
246	1911	0.1	LG21	3578040
247	1933	0.0224	LG21	12444588
248	1936	2e-04	LG14	24505155
249	1939	0.0249	LG23	947149
250	1957	-0.0029	LG03	20523113
251	1961	0.0289	LG05	18759149
252	1962	0.036	LG05	20623937
253	1963	-0.0065	LG11	17081118
254	1968	-1e-04	LG05	10680722
255	1970	0.0179	LG14	5451290
256	1975	-0.0082	LG14	5051097
257	1978	0.0484	LG11	18595849
258	1983	0.0047	LG13	11362580
259	1995	0.0197	LG03	20433399
260	2029	0.0383	LG16	1408228
261	2033	0	LG04	24372151
262	2038	-0.0014	LG19	9585216
263	2046	0.003	LG05	11189734
264	2069	0.0099	LG07	17433168
265	2071	0.0206	LG11	19958497
266	2075	0.0478	LG05	21654489
267	2082	0.0437	LG17	8854605
268	2100	0.0017	LG17	4283147
269	2110	0.0097	LG02	15714736
270	2118	-0.0031	LG16	25894782
271	2135	-0.0011	LG21	10135760
272	2148	0.0597	LG03	24816799
273	2149	0.0097	LG16	13928206
274	2151	-9e-04	LG01	7446401
275	2153	0.0099	LG11	20773096
276	2154	0.0333	LG04	24968352
277	2160	0.0078	LG12	18822680
278	2175	-0.0085	LG15	5358650
279	2176	0.0069	LG04	18406174
280	2196	0.0428	LG02	13700077
281	2204	0.0131	LG14	7233760
282	2206	-0.0014	LG22	13391318
283	2225	0.0445	LG11	14495794
284	2227	0.0151	LG02	1753025
285	2234	-0.0032	LG08	18949206
286	2258	0.0076	LG13	7099455
287	2261	-1e-04	LG21	19768537
288	2279	0.0264	LG19	9742404
289	2309	0.0025	LG23	2794005
290	2319	-0.0024	LG07	20997192
291	2327	-0.0027	LG17	1002493
292	2329	0.0207	LG16	24549889
293	2331	0.0134	LG06	15803151
294	2332	0.0584	LG02	11144818
295	2334	0.0225	LG04	13791139
296	2335	0.0166	LG12	6026045
297	2353	-4e-04	LG17	4205312
298	2366	0.1232	LG21	21010013
299	2368	0.0051	LG08	26184505
300	2370	0.0214	LG05	6913864
301	2371	-0.0019	LG03	8761931
302	2382	0.009	LG23	570487
303	2390	0.0641	LG13	19759312
304	2399	0.0845	LG19	3269647
305	2400	0.0482	LG08	24451697
306	2408	0.1005	LG08	11860507
307	2417	0.1355	LG20	14555094
308	2425	0.0184	LG14	8286219
309	2429	-0.0012	LG14	26890038
310	2446	0.0151	LG03	29018446
311	2455	0.0064	LG01	10925525
312	2468	0.0024	LG11	6043896
313	2491	0.0056	LG17	12103417
314	2498	0.0338	LG23	2830661
315	2506	0.0141	LG08	11296393
316	2520	-0.0023	LG07	12362085
317	2522	0.0248	LG06	8028686
318	2539	0.0101	LG15	25129974
319	2554	0.0266	LG22	16243903
320	2558	0.0068	LG10	22020828
321	2587	-0.0075	LG14	202833
322	2601	0.0368	LG21	19584532
323	2603	0.0069	LG23	14392966
324	2604	0.013	LG11	14815925
325	2621	0.0128	LG04	378962
326	2623	0.0155	LG19	2707850
327	2646	-0.0053	LG03	727009
328	2647	0.0389	LG03	8603218
329	2648	0.0294	LG17	5506104
330	2672	0.0258	LG01	26278837
331	2677	-0.001	LG21	9477851
332	2694	0.0103	LG21	8442668
333	2705	-0.0031	LG10	22879308
334	2706	0.0276	LG12	16946944
335	2709	0.0358	LG19	18872684
336	2718	0.0677	LG22	16526905
337	2733	0.0296	LG02	20586675
338	2735	0.0563	LG07	13236326
339	2742	7e-04	LG04	26781953
340	2752	0.0158	LG14	29071558
341	2762	0.0308	LG22	122447
342	2780	0.2032	LG01	11869646
343	2792	0.0016	LG09	14618268
344	2813	-7e-04	LG15	16004593
345	2820	0.0225	LG15	17496341
346	2824	-0.0016	LG13	18962061
347	2826	0.0682	LG13	18593933
348	2830	-0.0028	LG07	23332711
349	2844	0.0058	LG16	5617631
350	2850	-0.0034	LG15	24809063
351	2851	0.0048	LG08	21068744
352	2861	0.0128	LG14	15397625
353	2866	0.0237	LG01	23087036
354	2880	0.0287	LG20	8455705
355	2895	0.0142	LG09	23542361
356	2917	-0.0074	LG14	24703575
357	2922	0.0448	LG11	24771036
358	2934	0.0203	LG05	19374392
359	2950	-0.0052	LG22	7744666
360	2966	0.1013	LG01	28089763
361	2967	-0.0138	LG15	15149144
362	2973	0.0407	LG01	27732633
363	2974	-0.0031	LG14	9719363
364	2977	0.004	LG03	25242772
365	2985	0.0456	LG23	17166837
366	2990	0.0527	LG01	17231504
367	2995	0.011	LG03	20582299
368	2997	0.0959	LG16	15198287
369	2998	0.0589	LG18	7457147
370	3000	-0.0026	LG21	7459198
371	3004	-9e-04	LG03	16947961
372	3015	0.0851	LG10	15163654
373	3016	0.0093	LG02	10295723
374	3019	0.0102	LG20	9261701
375	3023	0.0106	LG20	23059969
376	3031	-0.0023	LG09	20025730
377	3039	0.0079	LG11	22402420
378	3043	0.0076	LG21	21161935
379	3057	-0.0075	LG05	18929714
380	3061	0.0745	LG19	12728793
381	3062	0.0019	LG13	4642806
382	3066	1e-04	LG16	5085357
383	3076	0.0081	LG18	13129513
384	3086	0.0158	LG16	5738820
385	3095	-0.0044	LG07	10800502
386	3096	0.124	LG01	1380478
387	3102	0.0491	LG14	22294077
388	3116	0.106	LG02	12426111
389	3120	0.0032	LG18	1987451
390	3121	-0.0037	LG10	12858006
391	3129	0.0351	LG14	10030230
392	3138	0.0803	LG20	13442555
393	3155	0.0246	LG11	10611402
394	3161	0.0331	LG08	15130801
395	3172	0.0265	LG02	14430240
396	3175	-0.0046	LG18	5047498
397	3176	0.0483	LG10	9762442
398	3186	0.0143	LG19	9805870
399	3193	0.0092	LG08	4803505
400	3195	-0.0016	LG07	13297888
401	3196	0.0362	LG22	19156479
402	3197	0.0211	LG08	24846203
403	3207	0.0331	LG08	5648759
404	3223	0.0198	LG01	21052003
405	3228	0.0541	LG14	25824909
406	3238	0.0118	LG23	14600916
407	3244	0.0372	LG08	6495561
408	3248	0.0393	LG10	20021617
409	3258	-4e-04	LG11	2454027
410	3261	0.0463	LG18	18120527
411	3266	0.0053	LG11	18795306
412	3284	0.0099	LG07	9539930
413	3298	-0.0129	LG21	12713994
414	3303	-0.0038	LG21	6035264
415	3304	0.0664	LG12	21990246
416	3307	8e-04	LG07	26173439
417	3312	0.0078	LG03	13069918
418	3328	0.001	LG17	16950833
419	3331	0.012	LG16	17157144
420	3338	-0.0047	LG16	12671455
421	3339	0.0229	LG13	20637133
422	3341	-0.0072	LG14	28893155
423	3342	0.0403	LG21	13232316
424	3343	-0.0014	LG12	20424695
425	3348	-0.0065	LG16	19834425
426	3351	0.0186	LG19	15047198
427	3362	0.0217	LG11	24536157
428	3373	0.02	LG08	8966991
429	3379	-0.008	LG14	24722870
430	3396	0.0119	LG06	25314954
431	3405	0.0292	LG20	9196469
432	3413	0.0291	LG22	10670043
433	3416	0.0049	LG19	15655291
434	3417	0.0125	LG14	11676361
435	3420	0.0098	LG21	3313349
436	3428	0.0094	LG11	3481234
437	3434	-0.0104	LG10	6003116
438	3437	-0.0035	LG12	23290112
439	3460	0.0017	LG18	6528272
440	3473	0.0113	LG01	17544233
441	3480	0.0616	LG12	23074809
442	3484	0.0272	LG15	23057730
443	3488	0.0343	LG16	28100360
444	3499	0.0118	LG23	1731017
445	3501	0.0059	LG21	12112127
446	3523	0.1499	LG15	5955032
447	3524	-0.0018	LG14	24505243
448	3541	0.1064	LG13	24575544
449	3547	0.0169	LG17	4126590
450	3553	0.0745	LG04	30956415
451	3561	0.0788	LG18	2208393
452	3564	0.0157	LG19	5505825
453	3594	-0.0071	LG14	5903591
454	3601	-0.0089	LG17	8319369
455	3606	0.0771	LG07	29181476
456	3622	-0.001	LG21	18382081
457	3623	-3e-04	LG02	12024231
458	3630	-4e-04	LG01	28032467
459	3639	-0.0024	LG17	7633583
460	3651	0.1093	LG09	1872590
461	3659	0.0043	LG16	23334936
462	3680	-0.0085	LG17	8605809
463	3683	0.0255	LG09	4680682
464	3694	0.0018	LG04	23536033
465	3708	0.0024	LG13	1535521
466	3728	-0.0118	LG05	18541764
467	3734	-0.0134	LG06	5926292
468	3750	0.0211	LG03	18130551
469	3753	-0.0133	LG10	9860946
470	3754	4e-04	LG19	20346480
471	3756	0.0071	LG11	22468503
472	3761	0.0089	LG03	20306369
473	3776	0.0439	LG01	24455925
474	3780	-0.0042	LG22	2810555
475	3791	0.0257	LG02	16926107
476	3794	-0.0056	LG01	17891914
477	3797	0.0132	LG21	5722754
478	3798	0.0198	LG07	23461249
479	3799	0.0126	LG03	11143943
480	3814	0.0206	LG23	16003346
481	3822	-0.0092	LG17	15671266
482	3825	0.0206	LG18	8102874
483	3827	0.0508	LG16	18742865
484	3828	-0.0115	LG02	23363691
485	3832	-7e-04	LG14	17957361
486	3833	-0.0056	LG12	7696087
487	3834	0.0022	LG19	2026203
488	3843	0.0389	LG01	7799052
489	3849	-0.0012	LG15	22242308
490	3853	0.0086	LG03	19916664
491	3855	0.0038	LG21	19913962
492	3865	-0.001	LG16	28094621
493	3867	-0.0081	LG21	16251957
494	3875	0.193	LG04	34503689
495	3879	0.0191	LG03	1306194
496	3885	0.0497	LG03	23804757
497	3887	0.0549	LG06	14278663
498	3894	0.0647	LG23	19738781
499	3900	-0.0092	LG20	4903898
500	3902	0	LG21	11188757
501	3917	0.0057	LG01	2734304
502	3929	-0.0056	LG13	6072318
503	3931	0.0111	LG11	5295900
504	3939	0.0144	LG17	12450113
505	3940	0.1022	LG06	7867156
506	3948	0.033	LG09	5671531
507	3952	-0.0012	LG05	13877687
508	3957	0.0216	LG07	823426
509	3963	0.0569	LG10	4690015
510	3972	0.0028	LG11	8894347
511	3973	-0.0074	LG06	17505582
512	4002	0.0245	LG03	8053673
513	4003	0.012	LG01	24038892
514	4004	0.0136	LG15	7912926
515	4010	0.0122	LG03	13761867
516	4013	0.0592	LG04	33514896
517	4025	0.0014	LG03	24223878
518	4031	0.0052	LG13	1193395
519	4032	-0.0123	LG16	28482320
520	4033	0.0576	LG21	14840975
521	4036	0.012	LG21	15316907
522	4040	0.0323	LG08	10912553
523	4045	0.0166	LG04	19808416
524	4058	0.0103	LG06	18751866
525	4062	0.0048	LG19	1676774
526	4066	0.0033	LG20	8942881
527	4079	0.0013	LG15	21346221
528	4081	6e-04	LG22	9230244
529	4083	0.0064	LG10	15139047
530	4088	0.0234	LG14	20885177
531	4090	0.035	LG09	17063685
532	4092	0.0071	LG12	6182711
533	4097	-0.0103	LG17	16950745
534	4100	-0.0012	LG21	15218089
535	4103	0.0028	LG01	19759592
536	4108	0.008	LG16	27795973
537	4126	0.0047	LG04	28825553
538	4132	0.0246	LG01	8475035
539	4133	0.0643	LG04	24866885
540	4140	0.022	LG13	22202718
541	4145	0.0203	LG12	23109552
542	4146	-0.0011	LG09	8211355
543	4148	-0.0136	LG21	18381376
544	4150	0.0227	LG07	18790673
545	4154	0.0139	LG11	2619748
546	4171	0.0845	LG10	17543844
547	4172	0.0552	LG20	5165816
548	4174	0.0515	LG22	9047081
549	4176	-0.0121	LG18	20408482
550	4185	0.0016	LG14	15778586
551	4188	0.0134	LG11	12127935
552	4191	0.0036	LG06	20741073
553	4192	0.0166	LG16	23885047
554	4206	9e-04	LG10	9793217
555	4207	-0.0053	LG21	9732870
556	4212	0.0198	LG04	33598863
557	4213	-0.0067	LG06	237908
558	4214	0.0102	LG21	9121607
559	4226	0.0431	LG09	24607602
560	4230	0.0465	LG04	23389886
561	4242	-0.0032	LG16	24526804
562	4251	0.0337	LG10	16638251
563	4285	0.0067	LG23	20615542
564	4301	-0.008	LG01	18990497
565	4317	0.0506	LG08	21516625
566	4332	-0.0025	LG23	3521287
567	4336	0.0246	LG11	6123685
568	4344	-0.0052	LG11	9920661
569	4361	8e-04	LG11	27160901
570	4365	0.028	LG01	18164746
571	4368	0.0858	LG08	12744936
572	4373	0.0662	LG04	22943548
573	4380	-6e-04	LG21	5024802
574	4381	0.0113	LG07	30092491
575	4383	0.0156	LG08	10859832
576	4392	0.0134	LG03	11832920
577	4396	0.0358	LG13	7298301
578	4398	0.0807	LG06	18998161
579	4402	-0.0059	LG14	17552012
580	4411	0.0158	LG12	22019003
581	4426	0.0272	LG10	4400003
582	4440	0.0366	LG22	15103048
583	4442	0.09	LG13	14527982
584	4453	0.0228	LG03	9773441
585	4458	0.0121	LG22	8231118
586	4459	0.0212	LG09	19494289
587	4472	0.0218	LG07	806594
588	4473	0.0415	LG12	4009809
589	4484	-0.0077	LG05	3970822
590	4491	0.0181	LG08	10633171
591	4492	0.0311	LG14	9933392
592	4495	0.031	LG18	14023647
593	4499	0.0058	LG20	2829965
594	4507	-0.001	LG13	4567648
595	4508	-0.0078	LG18	14305873
596	4514	0.0503	LG07	27682138
597	4522	-0.0022	LG13	19927564
598	4536	-0.0016	LG19	13287200
599	4539	0.0321	LG23	192827
600	4541	0.0058	LG21	3250882
601	4549	-0.0026	LG17	7290454
602	4550	0.0102	LG12	17753872
603	4556	0.0208	LG09	1872502
604	4557	-0.0072	LG04	3826017
605	4568	0.0022	LG12	4779086
606	4570	0.0029	LG21	5426321
607	4572	0.004	LG06	24057453
608	4575	0.0129	LG13	16159529
609	4578	0.0607	LG15	18490187
610	4582	0.0133	LG04	6571110
611	4588	-0.0055	LG12	24207382
612	4596	0.0486	LG08	1761739
613	4609	0.0105	LG08	24762010
614	4613	0.0527	LG05	23973460
615	4615	-0.003	LG09	3670506
616	4617	-0.0079	LG09	16838649
617	4620	0.0058	LG10	7813485
618	4629	0.0391	LG09	20931379
619	4637	0.037	LG07	15411923
620	4643	0.0032	LG13	5556883
621	4644	0.0338	LG05	11293151
622	4646	0.0205	LG05	19743630
623	4660	0.0283	LG07	15879034
624	4671	0.0044	LG13	16647496
625	4689	0.0057	LG02	19993451
626	4696	2e-04	LG11	24477363
627	4702	-0.0027	LG09	9449210
628	4720	-0.0054	LG18	19645438
629	4727	-6e-04	LG06	489796
630	4729	-0.0038	LG15	10706163
631	4739	0.0308	LG01	6163089
632	4740	0.027	LG12	4809150
633	4744	-0.0157	LG19	11917050
634	4747	0.1121	LG03	27467753
635	4754	0.0155	LG14	25213748
636	4759	0.0037	LG22	19809786
637	4760	-0.0046	LG14	27989426
638	4761	4e-04	LG05	10222929
639	4766	0.0198	LG20	21148698
640	4777	0.0053	LG04	25625757
641	4782	0.0357	LG16	29902249
642	4799	0.0017	LG06	6902120
643	4815	-0.0091	LG03	12288968
644	4818	-0.0012	LG05	13382747
645	4824	-0.0051	LG15	19559265
646	4832	0.0083	LG03	525362
647	4834	0.0953	LG11	12058857
648	4836	-0.0017	LG02	14934973
649	4837	0.0017	LG11	18564220
650	4841	0.0494	LG16	6040999
651	4849	0.0091	LG15	17083022
652	4863	-0.0042	LG03	27837891
653	4878	0.0018	LG05	11387138
654	4885	0.0598	LG17	11306859
655	4887	2e-04	LG06	22208449
656	4891	-0.0013	LG08	15555865
657	4892	0.016	LG18	6589478
658	4893	-0.0125	LG17	7310048
659	4894	0.0017	LG15	18587678
660	4898	0.0453	LG04	30578438
661	4905	0.0123	LG03	11011877
662	4909	0.0248	LG01	24794728
663	4911	0.0081	LG20	24092274
664	4939	-7e-04	LG20	22418798
665	4950	0.0173	LG20	14422635
666	4956	0.0149	LG11	10490527
667	4958	-0.0015	LG10	22107920
668	4960	0.0016	LG09	17810629
669	4989	0.0139	LG14	12252629
670	4998	0.0042	LG04	29833176
671	5002	-0.003	LG10	1370047
672	5011	0.0123	LG09	6468238
673	5016	0.0139	LG22	4547210
674	5023	0.0155	LG01	214443
675	5030	0.0444	LG22	15046804
676	5031	0.0074	LG07	12728851
677	5035	0.0068	LG22	16170968
678	5042	0.0279	LG11	25334679
679	5052	0.0125	LG13	5592907
680	5060	0.0107	LG08	9590391
681	5071	0.0061	LG05	2633866
682	5077	0.0076	LG06	12954935
683	5079	0.0085	LG03	3440963
684	5116	0.0102	LG20	5151301
685	5118	0.0035	LG12	4298590
686	5133	0.0388	LG12	19492744
687	5148	0.0108	LG20	19627680
688	5151	-0.0018	LG14	12928347
689	5155	0.0312	LG20	13444345
690	5169	0.0605	LG21	12135222
691	5171	0.0032	LG04	27557653
692	5174	0.0848	LG09	10347416
693	5176	0.0094	LG16	27148342
694	5196	0.0363	LG02	16247316
695	5201	0.0351	LG23	17880932
696	5203	-7e-04	LG10	5542453
697	5208	0.0083	LG01	2044448
698	5227	-0.0043	LG23	17985491
699	5232	0.0199	LG06	19843692
700	5264	0.001	LG15	14481775
701	5281	0.0437	LG11	7506208
702	5287	-0.0033	LG12	20595615
703	5288	-0.0046	LG16	27216949
704	5310	0.001	LG23	15000836
705	5333	0.013	LG14	17190035
706	5336	0.0325	LG06	20059538
707	5337	0.0036	LG11	12475090
708	5387	-0.0015	LG22	10727070
709	5398	-0.0048	LG18	8286073
710	5413	0.0434	LG03	29071150
711	5417	0.0354	LG07	20640020
712	5423	0.0198	LG09	19422752
713	5431	0.0205	LG23	5415195
714	5441	-8e-04	LG13	22392008
715	5442	-0.001	LG03	7519450
716	5450	0.0556	LG08	15826307
717	5451	0.0235	LG09	17652516
718	5461	-0.0011	LG03	14545616
719	5464	0.0214	LG11	22086835
720	5465	6e-04	LG06	22757568
721	5469	0.0233	LG05	21906804
722	5475	-0.0018	LG13	10028046
723	5482	-0.0087	LG01	9010262
724	5491	0.0334	LG12	6650537
725	5516	0.0146	LG22	5381422
726	5524	0.0113	LG03	18033180
727	5534	-0.0024	LG19	19103458
728	5538	0.0239	LG23	9616094
729	5539	0.0115	LG18	15263037
730	5541	0.0194	LG11	10611314
731	5560	0.0361	LG13	17284812
732	5562	0.1549	LG20	3274663
733	5569	0.0411	LG01	23205145
734	5570	-0.0014	LG23	13796931
735	5572	0.0047	LG11	25112679
736	5576	0.005	LG06	7858844
737	5577	0	LG09	23969744
738	5580	0.0244	LG14	8286307
739	5584	-0.0101	LG01	15478086
740	5590	0.0349	LG15	16949205
741	5600	0.0144	LG05	20613309
742	5610	0.0537	LG06	6965868
743	5614	-0.002	LG11	23808690
744	5617	0.0039	LG19	5461515
745	5622	0.0299	LG12	17015598
746	5623	0.0262	LG08	7239686
747	5633	-0.0027	LG23	7996770
748	5637	0.0142	LG16	27428629
749	5650	0.0099	LG02	3684400
750	5654	0.0647	LG20	10038052
751	5662	0.0985	LG23	10116938
752	5668	0.0183	LG12	23159905
753	5679	0.0441	LG15	19847386
754	5685	0.0019	LG09	4495270
755	5688	-2e-04	LG03	6697589
756	5692	0.0365	LG02	4299155
757	5697	0.0227	LG14	28878426
758	5699	0.0122	LG14	8137819
759	5707	-0.0011	LG04	12296490
760	5711	0.0482	LG14	3978548
761	5722	0.0114	LG16	17321653
762	5730	0.0016	LG16	5110535
763	5739	0.077	LG07	30391639
764	5741	-0.0011	LG13	11956213
765	5744	0.0397	LG23	5048977
766	5748	0.0041	LG02	558992
767	5753	0.0455	LG01	11309141
768	5754	0.0321	LG04	5682240
769	5765	0.0353	LG21	7389806
770	5766	0.0323	LG18	22502477
771	5770	0.0049	LG06	9501622
772	5775	0.0162	LG05	19917386
773	5776	-4e-04	LG23	1598146
774	5781	-8e-04	LG14	5998727
775	5804	0.0066	LG03	27076011
776	5807	0.0197	LG11	1821055
777	5813	0.0098	LG22	20191001
