Locus	chromosome	fst	c_pos
24643	PCodG	0.9695	8762661
20437	PCodG	0.1157	8869410
1094	PCodG	0.353	8989975
15675	PCodG	0.0168	8990063
25114	PCodG	0.015	9008309
5482	PCodG	0.0477	9010262
12917	PCodG	0.1327	9329019
16982	PCodG	0.0264	9333078
7545	PCodG	0.8807	9399694
1713	PCodG	0.0927	9493971
23449	PCodG	0.8793	9519370
11115	PCodG	0.082	9595976
1393	PCodG	0.5617	9598261
14661	PCodG	0.0223	9665708
8312	PCodG	0.1084	9665796
4494	PCodG	0.0913	9685227
12793	PCodG	0.3181	9691847
1833	PCodG	0.0516	9761602
17660	PCodG	0.0253	9866994
9645	PCodG	0.0105	10419488
9729	PCodG	0.0252	10497992
13041	PCodG	0.0515	10868696
2455	PCodG	0.0367	10925525
8789	PCodG	0.1932	11152405
11140	PCodG	0.5043	11291570
5753	PCodG	0.0051	11309141
9596	PCodG	0.0283	11383360
17561	PCodG	0.1413	11481567
23584	PCodG	0.0769	11497482
22978	PCodG	0.7846	11703390
1602	PCodG	0.0355	11804307
2780	PCodG	0.0247	11869646
13506	PCodG	0.0399	12222620
24673	PCodG	0.7435	12331744
19031	PCodG	0.0417	12492400
21844	PCodG	0.0282	12649886
21720	PCodG	0.0247	12649886
1104	PCodG	0.0165	12761963
669	PCodG	0.7724	12788651
1565	PCodG	0.5258	12864533
9825	PCodG	0.6072	12866887
9456	PCodG	0.9095	12895039
17342	PCodG	0.5884	13165795
13276	PCodG	0.2089	13203369
7855	PCodG	0.305	13272763
1176	PCodG	0.4743	13275503
23055	PCodG	0.3876	13348517
15037	PCodG	0.1157	13433828
1848	PCodG	0.2962	13443093
17074	PCodG	0.048	13460605
8920	PCodG	0.0261	13525139
2362	PCodG	0.1379	13543511
19716	PCodG	0.0708	13543599
15548	PCodG	0.0569	13549939
7573	PCodG	0.181	13566886
253	PCodG	0.0073	13663746
11711	PCodG	0.2307	14052789
17183	PCodG	0.1866	14174929
24779	PCodG	0.0307	14182553
16291	PCodG	0.1671	14215233
14720	PCodG	0.9758	14360204
22931	PCodG	0.0418	14391336
20245	PCodG	0.3259	14915282
8568	PCodG	0.0459	14990824
10524	PCodG	0.0345	15222575
6220	PCodG	0.9665	15305774
12001	PCodG	0.0395	15477998
5584	PCodG	0.0472	15478086
14461	PCodG	0.1175	15523673
16036	PCodG	0.0098	15698538
5925	PCodG	0.0097	15884506
12756	PCodG	0.0473	15941922
20222	PCodG	0.7698	15949701
16522	PCodG	0.0101	16029166
6077	PCodG	0.0604	16099585
15053	PCodG	0.0395	16100804
765	PCodG	0.5581	16350985
21518	PCodG	0.0791	16668458
9305	PCodG	0.3281	16799615
15427	PCodG	0.0938	17088969
2990	PCodG	0.9046	17231504
24372	PCodG	0.0135	17254201
6225	PCodG	0.1147	17343059
14934	PCodG	0.0541	17381925
23717	PCodG	0.1494	17410032
16441	PCodG	0.1103	17478244
11370	PCodG	0.0571	17483374
3473	PCodG	0.0425	17544233
7823	PCodG	0.0165	17686137
15708	PCodG	0.2907	17762848
23879	PCodG	0.0378	17874079
23836	PCodG	9.00E-04	17891826
3794	PCodG	0.0384	17891914
13135	PCodG	0.0171	17894333
4365	PCodG	0.9708	18164746
22376	PCodG	0.1658	18270121
10477	PCodG	0.4228	18299147
18099	PCodG	0.6563	18634387
8649	PCodG	0.0058	18885301
6218	PCodG	0.035	18938963
7173	PCodG	0.0381	18990205
4301	PCodG	0.0017	18990497
20154	PCodG	0.8907	19065023
1275	PCodG	0.0071	19119404
12082	PCodG	0.0464	19122718
6687	PCodG	0.1381	19131955
25090	PCodG	0.0151	19484176
17462	PCodG	0.2485	19558080
4103	PCodG	0.0169	19759592
20926	PCodG	0.3267	19851693
9000	PCodG	0.0297	20164805
15443	PCodG	0.1064	20190362
17329	PCodG	0.0165	20190450
24989	PCodG	0.0352	20217301
1730	PCodG	0.0194	20219379
15393	PCodG	0.233	20244563
16989	PCodG	0.0404	20244651
7326	PCodG	0.0728	20934271
3223	PCodG	0.0548	21052003
18566	PCodG	0.7676	21078734
21583	PCodG	0.0161	21139714
24866	PCodG	0.0894	21344701
17281	PCodG	0.0215	21440315
24790	PCodG	0.0794	21474522
19900	PCodG	0.0102	21474610
10039	PCodG	0.0131	21639498
2874	PCodG	0.7428	21713494
7286	PCodG	0.1032	21876491
10399	PCodG	0.0284	22235777
12877	PCodG	0.2473	22265414
16033	PCodG	0.1902	22274751
1037	PCodG	0.0097	22314645
9965	PCodG	0.0522	22419167
18308	PCodG	0.0165	22419255
23529	PCodG	0.0723	22426003
829	PCodG	0.0634	22477868
7275	PCodG	0.0523	22595118
24934	PCodG	0.0733	22930946
11054	PCodG	0.1077	22931034
2866	PCodG	0.0945	23087036
6801	PCodG	0.0014	23099470
25204	PCodG	0.0629	23131382
9277	PCodG	0.2982	23131469
5569	PCodG	0.0315	23205145
13275	PCodG	0.0681	23209262
9926	PCodG	0.0233	23296870
9894	PCodG	0.04	23601228
22373	PCodG	0.7258	23816773
4003	PCodG	0.0069	24038892
17121	PCodG	0.0043	24067024
11504	PCodG	0.4806	24263046
3776	PCodG	0.8465	24455925
19526	PCodG	0.0571	24606463
4909	PCodG	-4.00E-04	24794728
11479	PCodG	0.8081	24916735
9421	PCodG	0.1876	24972595
67	PCodG	0.0356	25118415
19996	PCodG	0.0047	25476068
8948	PCodG	0.0117	25476939
9870	PCodG	0.0862	25537657
19340	PCodG	0.0592	25547121
7341	PCodG	0.0214	25623962
16833	PCodG	0.0284	25695043
13766	PCodG	0.0461	26270788
126	PCodG	-7.00E-04	26277273
2672	PCodG	-0.0017	26278837
9996	PCodG	0.5112	26278925
23915	PCodG	0.0585	26446274
14634	PCodG	0.0332	26802776
6410	PCodG	0.1882	26825592
15925	PCodG	0.0116	26825871
1059	PCodG	0.2092	27624343
2973	PCodG	0.0753	27732633
3630	PCodG	0.2315	28032467
25095	PCodG	0.0271	28089675
2966	PCodG	0.1125	28089763
13923	PCodG	0.6824	28259281
9530	PCodG	0.0013	28790718
9673	PCodG	0.0749	28853264
5748	PCodG	0.0501	28862944
16332	PCodG	0.0094	28867401
18249	PCodG	0.0059	28869498
12161	PCodG	0.6253	29008908
22330	PCodG	0.0306	29763729
2227	PCodG	0.6148	30056977
12720	PCodG	0.6636	30057065
16396	PCodG	0.019	30159165
23643	PCodG	0.0095	30482401
12652	PCodG	0.0068	30500667
5819	PCodG	0.0108	30521063
21402	PCodG	0.0598	30748294
24808	PCodG	0.0343	31166431
8450	PCodG	6.00E-04	31238335
14890	PCodG	0.1224	31372751
19616	PCodG	0.2009	31438768
5650	PCodG	0.2098	31988352
20570	PCodG	0.0682	32152093
11304	PCodG	0.2232	32416693
1206	PCodG	0.0485	32416781
14293	PCodG	-0.0016	32533454
20501	PCodG	0.043	32603020
5692	PCodG	0.0344	32603107
17606	PCodG	-8.00E-04	32828401
23345	PCodG	0.0122	32837007
265	PCodG	0.0355	32875982
10191	PCodG	0.0323	33338755
13038	PCodG	0.4212	33446058
24740	PCodG	0.1018	33479835
18002	PCodG	0.0121	33779354
16683	PCodG	0.539	33806095
15713	PCodG	0.0723	33861253
13249	PCodG	0.019	33861341
15714	PCodG	0.0107	33881748
20284	PCodG	-0.0021	33929061
8581	PCodG	0.083	34060925
21377	PCodG	0.1389	34114668
20373	PCodG	0.0529	34203107
8277	PCodG	0.9023	34251537
9741	PCodG	0.0618	34284208
803	PCodG	0.0172	34319072
19750	PCodG	0.2348	34870937
9632	PCodG	0.0106	34874988
19094	PCodG	0.6821	34923103
6195	PCodG	0.0835	34926612
11378	PCodG	0.0211	35961581
20552	PCodG	0.2445	36008685
1082	PCodG	0.0239	36299302
6709	PCodG	0.7318	36622767
6275	PCodG	0.0276	36727667
15007	PCodG	0.0106	36740848
6441	PCodG	0.0814	36871081
10012	PCodG	0.0977	36871167
14655	PCodG	0.0507	36910536
7132	PCodG	0.1687	36941749
368	PCodG	0.0382	37121219
21296	PCodG	0.7737	37204023
7390	PCodG	0.6977	37297323
24148	PCodG	0.052	38206256
12065	PCodG	0.3679	38216603
15557	PCodG	0.4185	38216691
3016	PCodG	0.0167	38599675
17073	PCodG	0.081	38669108
23838	PCodG	0.003	39343894
19045	PCodG	0.2417	39405439
10878	PCodG	0.0185	39437753
2332	PCodG	0.0103	39448770
10113	PCodG	0.0323	39672613
20452	PCodG	0.0215	39675630
19126	PCodG	0.1509	39707118
6887	PCodG	0.0151	39770106
8305	PCodG	0.0502	39979944
8547	PCodG	0.0285	40170531
15735	PCodG	0.3679	40211573
3623	PCodG	0.0901	40328183
17332	PCodG	0.0191	40604409
3116	PCodG	0.1012	40730063
17016	PCodG	0.9765	40968526
15872	PCodG	0.2211	41401971
1858	PCodG	0.0197	41462506
2196	PCodG	0.827	42004029
22699	PCodG	0.0464	42129131
25143	PCodG	0.0454	42405482
7332	PCodG	0.0134	42606864
3172	PCodG	-0.002	42734192
6683	PCodG	0.008	42793568
4836	PCodG	0.4967	43238925
6156	PCodG	0.0062	43341403
18049	PCodG	0.0696	43349800
12194	PCodG	0.0393	43867771
2110	PCodG	0.093	44018688
5196	PCodG	0.4414	44551268
18780	PCodG	0.3658	44551356
695	PCodG	0.024	45124187
15109	PCodG	0.0045	45223269
3791	PCodG	0.003	45230059
766	PCodG	0.0387	45310389
246	PCodG	0.0042	45390677
14249	PCodG	0.0141	45635935
22014	PCodG	0.021	45769342
9604	PCodG	0.0049	45830939
11273	PCodG	0.6575	46276157
12434	PCodG	0.0717	46322076
23203	PCodG	0.8992	46435793
17978	PCodG	0.0256	46583866
8045	PCodG	0.515	46751611
21277	PCodG	0.362	46902590
3721	PCodG	0.0613	47204472
23624	PCodG	0.02	47304953
1906	PCodG	-0.0017	47313540
22340	PCodG	0.0134	47386533
23112	PCodG	0.3962	47482291
20572	PCodG	0.022	47529951
17985	PCodG	0.1844	47543390
22508	PCodG	0.0231	47613403
8778	PCodG	0.5746	47679767
17391	PCodG	0.5974	47728420
111	PCodG	0.0441	47828499
22131	PCodG	0.1843	48021360
7610	PCodG	0.0033	48150550
4689	PCodG	0.0436	48297403
16872	PCodG	0.0864	48310909
19598	PCodG	3.00E-04	48352730
18524	PCodG	0.0254	48770859
14635	PCodG	0.1188	48854482
2733	PCodG	0	48890627
17118	PCodG	0.0405	49015878
13478	PCodG	0.0143	49340260
16277	PCodG	0.2394	49361457
10577	PCodG	0.0121	49444636
17040	PCodG	0.0248	49568964
14448	PCodG	0.1535	49862519
24101	PCodG	0.1219	50026633
10806	PCodG	0.3392	50129130
10304	PCodG	0.0516	50129218
13321	PCodG	0.1282	50132516
5851	PCodG	0.2743	50225639
10227	PCodG	0.0319	50225727
21078	PCodG	0.1519	50333435
10374	PCodG	0.4996	50393364
18887	PCodG	0.1867	50826346
11413	PCodG	0.0264	50847737
8704	PCodG	0.1687	50901523
23617	PCodG	0.0122	50930227
11214	PCodG	0.013	50954164
7806	PCodG	0.0421	50990691
12145	PCodG	0.0191	51141507
23416	PCodG	0.1716	51383485
22707	PCodG	0.042	51449252
1855	PCodG	0.0254	51574585
166	PCodG	0.0281	51574673
3828	PCodG	0.0036	51667643
20586	PCodG	0.9406	52036983
24985	PCodG	0.8005	52227958
1345	PCodG	0.2297	52259056
4832	PCodG	0.0343	52883720
12892	PCodG	0.1965	53072430
2646	PCodG	0.0297	53085367
24288	PCodG	0.0185	53146463
11905	PCodG	0.1814	53328463
1420	PCodG	0.0226	53534886
3879	PCodG	0.0121	53664552
7509	PCodG	0.0317	54259634
22270	PCodG	0.0348	54690148
25446	PCodG	0.0429	54760093
5924	PCodG	0.012	54840163
6147	PCodG	0.1283	55117628
23508	PCodG	0.0176	55117716
11166	PCodG	0.8154	55175864
6971	PCodG	0.402	55175952
16313	PCodG	0.1051	55495169
25516	PCodG	0.0313	55495259
5079	PCodG	-0.0017	55799321
18822	PCodG	0.0736	56469033
8316	PCodG	0.1479	56836312
7117	PCodG	0.2035	57431011
17580	PCodG	0.0275	57675701
12641	PCodG	-0.0018	57696243
13796	PCodG	0.0495	57737881
19441	PCodG	0.0576	57842704
13850	PCodG	0.0146	57908106
16127	PCodG	0.0427	57908194
12579	PCodG	0.0893	58140566
10063	PCodG	0.4549	58668911
16089	PCodG	0.0612	58932922
5688	PCodG	0.2441	59055947
20898	PCodG	0.0225	59080131
21028	PCodG	0.1112	59080219
23215	PCodG	0.0651	59287293
10350	PCodG	0.0321	59426781
1287	PCodG	0.0112	59440012
7327	PCodG	0.1201	59558520
19081	PCodG	0.2816	59596520
15965	PCodG	0.0301	59596638
21613	PCodG	0.3913	59633612
16360	PCodG	0.2644	59732388
5442	PCodG	0.0637	59877808
7055	PCodG	0.0679	59913873
6657	PCodG	9.00E-04	59987026
15903	PCodG	0.0056	60013971
15150	PCodG	0.0053	60027639
15290	PCodG	0.0086	60152605
14032	PCodG	0.3714	60252255
4002	PCodG	0.0074	60412031
16706	PCodG	0.0125	60412119
8205	PCodG	0.1629	60466406
23863	PCodG	0.4397	60482338
22694	PCodG	0.0056	60781000
6431	PCodG	0.7327	60781087
7975	PCodG	0.4744	60961488
2647	PCodG	0.4721	60961576
2371	PCodG	0.0592	61120289
24348	PCodG	0.0212	61409151
1085	PCodG	0.0593	61415095
4453	PCodG	0.4213	62131799
9983	PCodG	0.0338	62245772
22679	PCodG	0.0909	62534886
11569	PCodG	0.6413	62679456
24370	PCodG	0.067	62710544
14432	PCodG	0.0297	63012531
19425	PCodG	0.5295	63126045
10860	PCodG	0.0409	63126133
7485	PCodG	0.4533	63190388
4905	PCodG	0.9542	63370235
3799	PCodG	0.0321	63502301
17132	PCodG	0.0979	63621990
10685	PCodG	0.0545	63648322
22539	PCodG	0.0266	63843772
8375	PCodG	0.1203	63953113
23475	PCodG	0.0082	64041312
15386	PCodG	0.0835	64127721
23336	PCodG	0.0075	64166235
3991	PCodG	0.2894	64179269
4392	PCodG	0.0403	64191278
11290	PCodG	0.0727	64427120
4815	PCodG	0.0289	64647326
10910	PCodG	0.0152	64650496
21185	PCodG	0.0672	64684627
5902	PCodG	0.0248	65194362
3312	PCodG	0.0166	65428276
4010	PCodG	0.4897	66120225
14070	PCodG	0.3413	66203762
7715	PCodG	0.0609	66407414
11001	PCodG	0.0972	66848059
5461	PCodG	0.1327	66903974
7322	PCodG	0.0171	66936000
6883	PCodG	0.0411	67188301
17134	PCodG	0.0729	67212387
169	PCodG	0.0154	67689119
18438	PCodG	0.0738	67715935
22800	PCodG	0.9581	67746539
12190	PCodG	0.3921	67764817
14754	PCodG	0.0262	68012345
20715	PCodG	0.0763	68665286
1845	PCodG	-0.0015	68703455
24600	PCodG	0.1367	69232850
12779	PCodG	0.0767	69252064
13769	PCodG	0.0163	69306231
3004	PCodG	0.1161	69306319
4779	PCodG	0.1564	69348322
11783	PCodG	0.0137	69369915
3577	PCodG	0.023	69757682
13463	PCodG	0.0364	69761478
13583	PCodG	0.1784	69797727
23544	PCodG	-0.0015	70133287
6728	PCodG	0.0088	70270507
21046	PCodG	0.5145	70391450
5524	PCodG	0.4928	70391538
3750	PCodG	0.2159	70488909
23732	PCodG	0.0854	70757682
21244	PCodG	0.0036	70760397
12657	PCodG	0.0337	71483814
206	PCodG	0.229	71497063
9043	PCodG	0.0375	71835356
10413	PCodG	0.0694	71995364
19255	PCodG	0.0119	72195581
13291	PCodG	0.2161	72195669
3853	PCodG	0.182	72275022
24082	PCodG	0.0092	72514211
3761	PCodG	0.0131	72664727
15069	PCodG	0.1125	72670014
21327	PCodG	0.189	72721500
1451	PCodG	0.0029	72784157
1995	PCodG	0.1447	72791757
1957	PCodG	0.0893	72881471
2995	PCodG	0.0616	72940657
8572	PCodG	0.3073	73035377
101	PCodG	0.3798	73044117
11175	PCodG	0.0944	73051546
7164	PCodG	0.0239	73051633
19592	PCodG	0.3656	73158721
13063	PCodG	0.0276	73393028
25164	PCodG	9.00E-04	73851667
12729	PCodG	0.0114	73998274
22983	PCodG	0.0687	74107762
12734	PCodG	0.0669	74276480
12881	PCodG	0.0732	74466571
6768	PCodG	0.4599	74471922
20130	PCodG	0.0274	74805117
9864	PCodG	0.1592	74900169
10665	PCodG	0.0717	75070234
21821	PCodG	0.0588	75070609
9853	PCodG	0.5997	75093330
14972	PCodG	0.1135	75562879
6429	PCodG	0.858	75571808
18535	PCodG	0.0452	75731976
23001	PCodG	0.0167	75781365
15442	PCodG	0.067	75804933
23706	PCodG	0.0745	75824372
6993	PCodG	0.0051	76159540
3885	PCodG	0.0027	76163115
12623	PCodG	0.0464	76219238
15604	PCodG	0.0109	76256138
24194	PCodG	0.0634	76285323
4025	PCodG	0.0268	76582236
25450	PCodG	0.0114	76663888
12922	PCodG	0.0352	76726713
1193	PCodG	0.0126	76901797
23182	PCodG	0.0439	76924650
9704	PCodG	0.1273	77035950
23000	PCodG	0.0508	77090809
17454	PCodG	-0.0018	77090897
2148	PCodG	0.0102	77175157
15677	PCodG	0.6347	77207998
19329	PCodG	0.2807	77313653
19881	PCodG	0.044	77316865
22895	PCodG	0.4597	77346813
19275	PCodG	0.5497	77601042
2977	PCodG	0.0916	77601130
20490	PCodG	0.0304	78026782
11162	PCodG	0.1388	78061694
189	PCodG	0.0097	78076457
12087	PCodG	0.0952	78312630
23029	PCodG	0.6925	78851643
16621	PCodG	0.0512	78901286
481	PCodG	0.0205	78987159
5804	PCodG	0.319	79434369
24772	PCodG	0.0401	79470200
18415	PCodG	0.0071	79499613
16179	PCodG	0.0252	79625035
12649	PCodG	0.0352	79824448
4747	PCodG	0.9293	79826111
440	PCodG	0.4984	79826199
1218	PCodG	0.0118	80005771
4863	PCodG	0.0488	80196249
18994	PCodG	0.3733	80209048
10222	PCodG	0.0044	80300263
14459	PCodG	0.5579	80426079
20148	PCodG	0.0166	80480560
2446	PCodG	0.9038	81376804
5413	PCodG	0.006	81429508
19975	PCodG	0.6589	81507393
1052	PCodG	0.034	81507481
15927	PCodG	0.2919	81642234
2621	PCodG	0.1615	82188375
1091	PCodG	0.0451	82797056
17311	PCodG	0.1414	82825285
9681	PCodG	0.25	83008976
7074	PCodG	0.0246	83128244
221	PCodG	0.0221	83128332
23824	PCodG	0.0187	83259919
9497	PCodG	0.0244	83412132
9776	PCodG	0.023	83656218
7081	PCodG	0.0166	84366846
9840	PCodG	0.5575	85600581
12334	PCodG	0.0294	85635342
4557	PCodG	0.0115	85635430
11762	PCodG	0.0815	85876783
9850	PCodG	0.091	86033355
7399	PCodG	0.1503	86157794
6640	PCodG	0.0437	86368923
16944	PCodG	0.1681	86567820
18590	PCodG	0.0236	86687281
14364	PCodG	0.0167	86809988
86	PCodG	0.0165	87324017
6567	PCodG	0.0058	87423952
5754	PCodG	0.0075	87491653
16053	PCodG	0.072	88354380
23595	PCodG	0.0605	88367022
11627	PCodG	0.026	88380435
4582	PCodG	0.0054	88380523
6384	PCodG	0.0344	88427317
6609	PCodG	0.3223	88600450
21738	PCodG	0.0403	89472880
24921	PCodG	0.0138	90263367
3280	PCodG	0.1356	90263455
21624	PCodG	0.0564	90345632
21488	PCodG	0.0366	90534316
16046	PCodG	0.4867	90709047
10906	PCodG	0.0677	91127813
10706	PCodG	0.343	91391228
5824	PCodG	0.632	91644676
17533	PCodG	0.0906	91808584
16173	PCodG	0.0746	92064329
23371	PCodG	0.1107	92408734
21339	PCodG	0.0136	92594974
7000	PCodG	0.2539	92818603
22863	PCodG	0.1585	92842851
6995	PCodG	0.0126	92936754
5707	PCodG	0.5509	94105903
6724	PCodG	0.0052	94736649
3932	PCodG	0.1291	95366815
220	PCodG	0.8733	95418502
13443	PCodG	0.0156	95418590
2334	PCodG	0.5394	95600552
22728	PCodG	0.1073	95630285
14514	PCodG	0.1621	95630373
1638	PCodG	0.0645	95816909
1138	PCodG	0.048	95867959
2057	PCodG	0.0381	96304608
21683	PCodG	0.1405	96412464
16474	PCodG	0.1677	96577147
9992	PCodG	0.0471	96669812
9714	PCodG	0.9336	97047641
12768	PCodG	0.0348	97142936
12570	PCodG	0.4076	97272066
19718	PCodG	0.8414	97595476
22434	PCodG	0.09	97612512
20057	PCodG	0.2595	97612600
21419	PCodG	0.9168	97658455
12952	PCodG	0.008	97745199
20735	PCodG	0.0151	98611031
1122	PCodG	0.5701	98648013
20255	PCodG	0.1008	98901952
8724	PCodG	0.0356	98928448
15910	PCodG	0.0961	98998508
22705	PCodG	0.083	99238876
6182	PCodG	0.013	99411275
23845	PCodG	0.0615	99481369
19756	PCodG	0.0228	99499257
16800	PCodG	0.2551	99522397
17357	PCodG	0.1791	99992077
2176	PCodG	0.0586	100215587
6519	PCodG	0.0694	100408159
12515	PCodG	0.0904	100421533
16620	PCodG	0.8066	100425498
8018	PCodG	0.1206	100468718
5520	PCodG	0.0321	100517991
12331	PCodG	0.2721	100764215
15828	PCodG	0.6645	100764303
24080	PCodG	0.0272	101110255
19761	PCodG	0.2375	101128825
11725	PCodG	0.4049	101420982
25334	PCodG	0.4898	101459866
25372	PCodG	0.0609	101463908
18648	PCodG	0.0249	101534979
23191	PCodG	0.0606	101535067
10136	PCodG	0.4175	101545847
10857	PCodG	0.1033	101585174
4045	PCodG	0.0112	101617829
18508	PCodG	0.2771	101880014
9898	PCodG	0.0242	101932151
4371	PCodG	0.1606	101932239
22261	PCodG	0.1868	102031394
164	PCodG	0.1904	102082801
7142	PCodG	0.3412	102438146
23847	PCodG	0.0711	102557404
23884	PCodG	0.2414	102610172
17312	PCodG	0.1621	103328261
23079	PCodG	0.0681	103492607
7962	PCodG	0.0121	103820049
12982	PCodG	0.267	103855693
10585	PCodG	0.0946	104060332
23795	PCodG	0.0459	104221534
20413	PCodG	0.0562	104283780
4373	PCodG	0.55	104752961
1859	PCodG	0.0495	104758945
6522	PCodG	0.1173	104869732
22034	PCodG	0.0276	105185944
4230	PCodG	0.2555	105199299
3578	PCodG	0.0414	105201393
11736	PCodG	0.8675	105203321
8499	PCodG	0.819	105204238
24957	PCodG	0.1002	105272700
3694	PCodG	0.0707	105345446
22908	PCodG	0.1223	105757585
2033	PCodG	0.407	106181564
4133	PCodG	0.8296	106676298
2154	PCodG	0.0635	106777765
20574	PCodG	0.7189	106813910
8590	PCodG	0.6224	106859211
12352	PCodG	0.0445	107063160
1499	PCodG	0.0417	107161574
23840	PCodG	0.0304	107269170
13845	PCodG	0.5786	107372165
4777	PCodG	0.0727	107435170
23422	PCodG	0.0442	107521755
20158	PCodG	0.0165	107521843
18577	PCodG	0.013	107530594
20354	PCodG	0.0209	107777491
2346	PCodG	0.0446	107814494
6259	PCodG	0.1086	108084106
7139	PCodG	0.0422	108188660
18193	PCodG	0.2015	108274779
7598	PCodG	0.04	108432757
23999	PCodG	0.0292	108480101
11896	PCodG	0.0309	108502912
2742	PCodG	0.5077	108591366
4489	PCodG	0.06	109161911
17909	PCodG	0.0102	109209926
5171	PCodG	0.295	109367066
14696	PCodG	0.0407	109520906
7643	PCodG	0.3465	109543312
20561	PCodG	0.0306	109845661
22104	PCodG	0.3068	110077962
9878	PCodG	0.2946	110464678
15456	PCodG	0.1498	110483857
5746	PCodG	0.0387	110609587
4126	PCodG	0.0171	110634966
24642	PCodG	0.0293	111033416
21625	PCodG	1.00E-04	111138553
16190	PCodG	0.2246	111204458
23964	PCodG	0.0396	111327226
4998	PCodG	0.0302	111642589
6956	PCodG	0.0312	111696807
10713	PCodG	0.1453	112365404
23705	PCodG	0.033	112387763
4898	PCodG	0.0172	112387851
9316	PCodG	0.0386	112538888
10495	PCodG	0.0131	112661138
23940	PCodG	0.0875	112669597
10022	PCodG	0.8859	112731694
3553	PCodG	0.0493	112765828
14472	PCodG	0.0175	112765915
1392	PCodG	0.1688	113115833
6672	PCodG	0.037	113117838
1162	PCodG	0.0266	113217682
6393	PCodG	0.0872	113770889
19740	PCodG	0.026	114370531
9308	PCodG	0.1989	114471266
13211	PCodG	0.0498	114674080
8095	PCodG	0.0039	114833258
7637	PCodG	0.0319	115105538
825	PCodG	-0.0016	115123390
4013	PCodG	0.293	115324309
4212	PCodG	0.0495	115408276
25151	PCodG	0.0525	115713868
23528	PCodG	0.0831	116307497
3875	PCodG	0.9573	116313102
11244	PCodG	0.0121	116370320
22930	PCodG	0.4932	116424430
13345	PCodG	0.065	116677940
25555	PCodG	0.1747	116704498
17084	PCodG	0.027	116962949
10024	PCodG	0.1906	118786755
21732	PCodG	0.0344	118990026
589	PCodG	0.0692	119149840
10429	PCodG	0.0952	119169761
18975	PCodG	0.0858	119193802
5071	PCodG	0.0168	119248601
11818	PCodG	0.0092	119263275
14659	PCodG	0.0089	119442830
10567	PCodG	0.026	119589700
16947	PCodG	0.0201	119751722
8703	PCodG	0.0427	119986405
11509	PCodG	0.9764	120204355
17252	PCodG	0.1558	120296988
5624	PCodG	0.0421	120302757
4484	PCodG	0.0132	120585557
16264	PCodG	0.0133	120588263
14300	PCodG	-0.0015	120827115
21572	PCodG	0.154	120873251
16456	PCodG	0.8808	121383672
14426	PCodG	0.0587	121549806
6554	PCodG	2.00E-04	121587596
13100	PCodG	0.2922	121715425
5481	PCodG	0.1104	121733096
15588	PCodG	0.1612	121733184
10488	PCodG	0.0182	121766109
23427	PCodG	0.0464	122026637
12116	PCodG	0.0671	122111657
