locus,prob,log10(PO),qval,alpha,fst,log10q,outlier
4133_67,0.99995,4.301,4.7797e-06,1.3881,0.41973,-5.32059936121911,True
4176_76,0.80494,0.6156,0.021511,-1.7487,0.05309,-1.66733939972937,True
4188_69,0.9965,2.4544,0.00024534,1.6606,0.48196,-3.61023163906202,True
4365_60,1,1000,0,2.0785,0.57637,-Inf,True
4402_81,1,1000,0,1.6924,0.48884,-Inf,True
4539_57,1,1000,0,2.1855,0.59908,-Inf,True
4620_80,0.99965,3.4558,2.9809e-05,1.679,0.48588,-4.52565259296322,True
4671_56,0.85494,0.7704,0.016411,0.88845,0.317,-1.78486495451974,True
4747_79,1,1000,0,1.8206,0.51822,-Inf,True
4834_53,1,1000,0,2.3234,0.6292,-Inf,True
4893_83,0.97945,1.6781,0.0015093,1.5031,0.44756,-2.82122442795459,True
4905_55,1,1000,0,1.9671,0.55125,-Inf,True
5011_29,0.9754,1.5982,0.0019328,1.5611,0.46077,-2.71381308305896,True
5079_75,0.76809,0.52009,0.032601,-1.484,0.062119,-1.48676907821976,True
5201_78,0.85884,0.78421,0.015934,-1.6042,0.052051,-1.79767518717045,True
5333_31,0.99965,3.4558,2.9809e-05,1.6817,0.48648,-4.52565259296322,True
5336_88,1,1000,0,1.8719,0.53007,-Inf,True
5464_49,0.9777,1.6419,0.0016092,1.1548,0.3696,-2.79338997610078,True
5476_35,1,1000,0,1.5552,0.45759,-Inf,True
5541_38,0.9962,2.4185,0.00028398,1.6673,0.48338,-3.54671224514836,True
5614_83,0.76899,0.52229,0.031252,-1.4844,0.062047,-1.50512218436246,True
5654_86,0.9999,3.9999,1.069e-05,1.6998,0.49053,-4.97102229479122,True
5679_36,0.78989,0.57512,0.026596,0.84232,0.30988,-1.57518367572065,True
5707_76,0.78784,0.56977,0.027238,0.90797,0.32392,-1.56482478445572,True
5962_41,0.88034,0.86672,0.015067,-1.763,0.046476,-1.82197321172957,True
6220_71,1,1000,0,2.4078,0.64689,-Inf,True
6368_55,0.9821,1.7393,0.0013318,1.5797,0.4646,-2.87556098944347,True
6426_86,0.9992,3.0965,5.6751e-05,1.2858,0.39709,-4.24602648143606,True
6429_61,1,1000,0,1.9298,0.54215,-Inf,True
6492_65,0.71979,0.40971,0.03987,1.0845,0.36693,-1.39935376433761,True
6526_63,1,1000,0,1.859,0.5271,-Inf,True
6550_76,1,1000,0,1.8397,0.52258,-Inf,True
6565_44,0.9622,1.4058,0.0034864,1.0809,0.3541,-2.45762278709782,True
6617_71,0.87684,0.85247,0.015469,-1.7387,0.047256,-1.81053776054234,True
6631_29,0.9986,2.8532,0.0001096,1.3205,0.40505,-3.96018944585165,True
6660_52,0.9999,3.9999,1.069e-05,1.7894,0.51061,-4.97102229479122,True
6690_52,0.9832,1.7673,0.0011715,1.1878,0.37658,-2.93125770706702,True
6709_44,0.93355,1.1476,0.0083347,0.97892,0.33324,-2.07911002759235,True
7046_82,0.99995,4.301,4.7797e-06,1.3087,0.40192,-5.32059936121911,True
7214_60,1,1000,0,1.9732,0.55293,-Inf,True
7313_69,1,1000,0,1.6334,0.47528,-Inf,True
7367_63,0.81944,0.6569,0.018432,1.197,0.38714,-1.73442753825688,True
7390_38,0.9865,1.8637,0.00080257,1.5889,0.46645,-3.09551707819047,True
7545_46,1,1000,0,1.3788,0.41763,-Inf,True
7620_90,0.9167,1.0416,0.0094292,-1.8779,0.040602,-2.02552515247198,True
7690_38,1,1000,0,2.7846,0.72131,-Inf,True
7823_79,0.74144,0.45751,0.036807,-1.3724,0.067222,-1.43406957881904,True
7828_41,1,1000,0,1.4936,0.44351,-Inf,True
7870_41,0.9617,1.3998,0.0036426,1.0809,0.35409,-2.43858851674341,True
8033_75,1,1000,0,2.4971,0.66571,-Inf,True
8048_91,0.99575,2.3697,0.00030542,1.5097,0.44809,-3.51510252718385,True
8086_77,1,1000,0,2.2549,0.61548,-Inf,True
8095_30,0.9464,1.2469,0.0065405,-2.0038,0.035272,-2.18438905000285,True
8124_33,1,1000,0,1.4761,0.43984,-Inf,True
8194_39,1,1000,0,2.152,0.59236,-Inf,True
8217_47,0.99935,3.1868,3.9625e-05,1.2104,0.38032,-4.40203072477419,True
8242_28,0.9349,1.1572,0.0080994,-1.9199,0.038182,-2.09154715227451,True
8277_67,1,1000,0,1.5932,0.46608,-Inf,True
8278_38,0.77034,0.52559,0.030572,-1.6186,0.058942,-1.51467614908706,True
8288_52,0.85289,0.76326,0.017361,-1.6121,0.052182,-1.76042526291679,True
8486_35,0.94105,1.2031,0.006758,-1.9408,0.037289,-2.17018181256112,True
8499_62,0.9976,2.6187,0.00015597,1.6112,0.47081,-3.80695892784676,True
8534_89,1,1000,0,1.5631,0.4596,-Inf,True
8569_91,1,1000,0,2.0405,0.56833,-Inf,True
8671_85,0.69263,0.35285,0.043211,0.7793,0.30004,-1.36440568301863,True
8746_52,0.9997,3.5227,2.1383e-05,1.7407,0.49968,-4.66993136404561,True
8759_82,0.80979,0.62914,0.019663,-1.5436,0.057452,-1.70635022078416,True
8820_64,1,1000,0,1.5222,0.44988,-Inf,True
8915_80,0.79094,0.57787,0.025957,-1.4897,0.060255,-1.58574550288606,True
8936_51,0.99925,3.1246,5.2163e-05,1.7198,0.4951,-4.28263743940077,True
9158_70,0.99995,4.301,4.7797e-06,1.3656,0.41478,-5.32059936121911,True
9192_71,0.91655,1.0407,0.0097218,-1.8871,0.040556,-2.0122533176155,True
9211_65,1,1000,0,1.9382,0.54522,-Inf,True
9216_37,0.75909,0.49843,0.033977,0.7685,0.29499,-1.4688149698155,True
9251_31,0.93835,1.1824,0.0076426,1.0514,0.34882,-2.1167588700158,True
9355_49,1,1000,0,1.3904,0.42002,-Inf,True
9415_41,0.85124,0.75757,0.017841,0.97986,0.33692,-1.74858080678106,True
9434_65,1,1000,0,1.9165,0.53917,-Inf,True
9456_30,1,1000,0,1.8247,0.51889,-Inf,True
9530_91,0.90905,0.99976,0.010662,-1.8297,0.042204,-1.97216132181105,True
9585_44,0.9973,2.5674,0.00021057,1.6057,0.46961,-3.67660350286812,True
9675_34,0.77889,0.54687,0.028563,-1.6067,0.058442,-1.54419618012339,True
9684_29,0.99955,3.3466,3.2486e-05,1.7139,0.49377,-4.4883037600269,True
9714_35,1,1000,0,1.9436,0.54558,-Inf,True
9717_52,1,1000,0,1.9357,0.54405,-Inf,True
9731_66,1,1000,0,1.5054,0.44612,-Inf,True
9789_48,0.9566,1.3432,0.0050918,1.5132,0.45103,-2.29312866326705,True
9896_83,1,1000,0,1.5321,0.45254,-Inf,True
9979_31,0.9644,1.4328,0.0028724,-1.9813,0.034365,-2.54175508194487,True
10022_55,1,1000,0,1.647,0.47839,-Inf,True
10079_72,0.99975,3.6019,1.7668e-05,1.6658,0.48298,-4.75281260941365,True
10285_38,0.78104,0.55231,0.027899,-1.6474,0.057402,-1.55441136311583,True
10399_28,0.69173,0.35101,0.044061,-1.2471,0.074453,-1.35594565040918,True
10440_61,1,1000,0,2.4936,0.66349,-Inf,True
10460_54,1,1000,0,2.4106,0.64825,-Inf,True
10730_82,0.95065,1.2847,0.0061614,1.4921,0.44658,-2.21032059575882,True
10785_73,1,1000,0,2.185,0.59904,-Inf,True
10828_61,1,1000,0,1.6658,0.48288,-Inf,True
10840_73,0.99965,3.4558,2.9809e-05,1.6951,0.48957,-4.52565259296322,True
11019_91,0.9993,3.1546,4.7828e-05,1.3279,0.40664,-4.32031777942752,True
11146_32,0.98115,1.7164,0.0014168,1.4449,0.43439,-2.84869145181798,True
11166_91,0.99435,2.2455,0.00040716,1.1365,0.36466,-3.39023489430726,True
11190_87,1,1000,0,2.668,0.69998,-Inf,True
11307_51,0.85484,0.77005,0.016884,1.2445,0.39589,-1.77252465651763,True
11479_91,0.9755,1.6,0.0018249,1.4251,0.4303,-2.73876092881741,True
11509_69,1,1000,0,2.145,0.59124,-Inf,True
11627_84,0.9039,0.97337,0.010994,-1.8657,0.041879,-1.95884426737029,True
11686_51,0.9666,1.4615,0.002573,-2.0441,0.032584,-2.58956021378965,True
11736_75,0.9999,3.9999,1.069e-05,1.6972,0.49,-4.97102229479122,True
11759_75,1,1000,0,2.4065,0.64644,-Inf,True
11761_60,1,1000,0,2.38,0.64128,-Inf,True
11899_67,0.95585,1.3354,0.0052595,1.3165,0.40691,-2.27905554055392,True
11912_28,0.953,1.307,0.0056145,1.0797,0.3543,-2.2506889138299,True
11951_82,1,1000,0,1.8322,0.52058,-Inf,True
11992_77,0.96405,1.4284,0.0030234,-2.0577,0.032678,-2.51950439126059,True
12017_58,0.9833,1.7699,0.0010941,1.574,0.46334,-2.96094298196656,True
12070_68,0.88939,0.90532,0.013116,-1.7052,0.046984,-1.88219859200267,True
12254_48,1,1000,0,1.8504,0.5249,-Inf,True
12320_71,1,1000,0,1.8279,0.51959,-Inf,True
12384_74,0.9925,2.1216,0.00047515,1.6223,0.47358,-3.32316926639928,True
12641_38,0.88069,0.86816,0.014675,-1.8577,0.044155,-1.83342189008035,True
12670_30,0.9991,3.0453,7.169e-05,1.3719,0.41661,-4.14454141961396,True
12693_72,1,1000,0,2.0986,0.57993,-Inf,True
12945_91,0.9389,1.1866,0.0071993,1.474,0.44307,-2.142709728696,True
13107_82,1,1000,0,2.0597,0.57263,-Inf,True
13152_71,1,1000,0,1.7979,0.51275,-Inf,True
13221_69,1,1000,0,2.1428,0.59133,-Inf,True
13297_68,0.68293,0.33323,0.045793,-1.3441,0.072542,-1.339200903955,True
13384_90,0.9979,2.6768,0.00013047,1.6672,0.48335,-3.884489337615,True
13458_69,0.88424,0.88303,0.013505,-1.877,0.043359,-1.86950541147653,True
13518_85,1,1000,0,2.1054,0.58272,-Inf,True
13523_89,0.95305,1.3075,0.0054377,1.0597,0.34983,-2.26458475628117,True
13556_86,0.99745,2.5923,0.00018259,1.2051,0.37946,-3.73852301137863,True
13597_35,1,1000,0,2.7764,0.71941,-Inf,True
13650_74,1,1000,0,1.6408,0.4771,-Inf,True
13693_54,0.77604,0.53971,0.029893,1.0549,0.35747,-1.52443049787252,True
13917_31,0.99555,2.3497,0.0003277,1.2505,0.38973,-3.48452355861762,True
14011_86,0.999,2.9995,8.817e-05,1.2884,0.39784,-4.05467915920773,True
14020_91,0.77729,0.54284,0.029228,-1.5294,0.060295,-1.53420090132682,True
14117_54,1,1000,0,1.8522,0.5255,-Inf,True
14305_64,1,1000,0,2.0808,0.57645,-Inf,True
14459_42,0.98635,1.8589,0.00086713,1.2042,0.38006,-3.06191578827889,True
14492_91,0.9503,1.2815,0.0063436,-2.0024,0.035134,-2.19766420956019,True
14720_65,1,1000,0,2.1844,0.6003,-Inf,True
14810_81,0.99825,2.7562,0.00011908,1.3047,0.40165,-3.92416117402531,True
14852_48,1,1000,0,1.9644,0.55085,-Inf,True
14864_28,0.95135,1.2912,0.0057969,-1.9448,0.036318,-2.23680419140476,True
15039_89,0.75319,0.48454,0.036072,-1.6263,0.060283,-1.44282977770149,True
15122_43,0.88269,0.87649,0.014282,-1.8305,0.044611,-1.84521097126125,True
15373_43,0.99995,4.301,4.7797e-06,1.6096,0.47017,-5.32059936121911,True
15471_80,0.9615,1.3975,0.0037982,1.5272,0.45389,-2.42042217056017,True
15473_44,1,1000,0,2.284,0.62104,-Inf,True
15573_81,1,1000,0,1.4043,0.42309,-Inf,True
15615_75,1,1000,0,1.7087,0.49256,-Inf,True
15646_86,0.88359,0.88028,0.013893,1.1865,0.38149,-1.85720396428644,True
15748_37,1,1000,0,2.4021,0.64623,-Inf,True
15780_34,1,1000,0,1.6095,0.4698,-Inf,True
15791_77,1,1000,0,1.7698,0.50635,-Inf,True
15828_89,0.99995,4.301,4.7797e-06,1.5563,0.45787,-5.32059936121911,True
15907_79,0.937,1.1724,0.0078677,0.98431,0.33429,-2.10415220833945,True
16057_61,0.9993,3.1546,4.7828e-05,1.3941,0.4215,-4.32031777942752,True
16121_54,0.9827,1.7544,0.0012506,1.5757,0.46366,-2.90288157565535,True
16280_87,0.951,1.288,0.0059792,1.4958,0.4474,-2.22335691949444,True
16456_30,0.9999,3.9999,1.069e-05,1.453,0.43472,-4.97102229479122,True
16504_64,0.94035,1.1977,0.0069766,1.0807,0.35518,-2.15635617637196,True
16517_67,0.9999,3.9999,1.069e-05,1.6879,0.48785,-4.97102229479122,True
16748_47,0.67408,0.31561,0.049281,1.0169,0.35418,-1.30732048813918,True
17016_46,1,1000,0,2.1709,0.59729,-Inf,True
17038_31,0.75489,0.48852,0.035372,0.85645,0.31449,-1.4513403836569,True
17087_78,0.80939,0.62801,0.020278,1.1656,0.3806,-1.69297488128133,True
17097_62,0.9997,3.5227,2.1383e-05,1.7504,0.5019,-4.66993136404561,True
17267_57,1,1000,0,2.262,0.61756,-Inf,True
17325_91,0.99245,2.1187,0.000512,1.1856,0.37556,-3.29073003902417,True
17436_89,0.89819,0.9456,0.012022,1.3191,0.4105,-1.9200232763674,True
17497_83,0.76854,0.52119,0.031928,1.1105,0.37038,-1.49582828522403,True
17625_52,1,1000,0,1.59,0.46575,-Inf,True
17825_50,1,1000,0,2.2963,0.62334,-Inf,True
17835_82,1,1000,0,1.9171,0.54009,-Inf,True
17870_82,1,1000,0,2.0258,0.56508,-Inf,True
17879_62,0.79489,0.58832,0.024032,-1.5172,0.059134,-1.61921008467593,True
17898_53,0.999,2.9995,8.817e-05,1.266,0.39284,-4.05467915920773,True
18043_70,1,1000,0,2.1234,0.58691,-Inf,True
18075_88,1,1000,0,2.541,0.67465,-Inf,True
18196_91,0.99985,3.8238,1.1644e-05,1.3344,0.40774,-4.93389780323323,True
18243_78,0.97445,1.5813,0.0020442,1.1799,0.37521,-2.68947661604848,True
18250_77,0.95865,1.3652,0.0045991,-2.0402,0.033676,-2.33732714729136,True
18476_33,1,1000,0,2.1075,0.58322,-Inf,True
18566_86,0.999,2.9995,8.817e-05,1.7081,0.4923,-4.05467915920773,True
18615_90,1,1000,0,2.1537,0.59215,-Inf,True
18741_63,1,1000,0,2.5291,0.67223,-Inf,True
18808_44,0.79169,0.57984,0.025316,-1.4696,0.060686,-1.59660491299749,True
18938_79,0.9999,3.9999,1.069e-05,1.6835,0.48687,-4.97102229479122,True
19037_28,0.99885,2.9388,9.4416e-05,1.7089,0.49263,-4.02495440270508,True
19094_49,0.99975,3.6019,1.7668e-05,1.7792,0.50833,-4.75281260941365,True
19183_90,0.99995,4.301,4.7797e-06,1.8219,0.51803,-5.32059936121911,True
19360_67,1,1000,0,2.2374,0.61114,-Inf,True
19458_30,1,1000,0,2.3118,0.6266,-Inf,True
19598_28,0.90075,0.95785,0.011676,-1.762,0.044459,-1.93270591368402,True
19651_48,0.68158,0.33052,0.046658,-1.201,0.076369,-1.33107388122121,True
19718_50,0.98455,1.8043,0.00094005,1.2104,0.38157,-3.02684904624435,True
19772_39,1,1000,0,1.9299,0.54298,-Inf,True
19971_69,0.79299,0.58328,0.024674,-1.5671,0.058209,-1.60776043960189,True
19990_74,0.89249,0.91918,0.012744,1.3793,0.42423,-1.89469423720692,True
20128_60,1,1000,0,1.7518,0.50251,-Inf,True
20154_72,1,1000,0,1.8161,0.51676,-Inf,True
20222_82,0.99215,2.1017,0.00058637,1.1555,0.369,-3.23182825727509,True
20230_54,0.9975,2.601,0.00016922,1.2142,0.38151,-3.7715483092856,True
20446_35,0.9652,1.443,0.0027216,1.1472,0.36862,-2.56517570373151,True
20473_75,1,1000,0,2.0707,0.57416,-Inf,True
20500_53,0.90075,0.95785,0.011676,-1.7917,0.043875,-1.93270591368402,True
20574_42,0.9901,2,0.00067784,1.0929,0.35548,-3.16887280660117,True
20586_75,1,1000,0,1.6572,0.48074,-Inf,True
20672_73,0.99915,3.0702,6.1588e-05,1.2405,0.38709,-4.21050389889833,True
20719_30,1,1000,0,1.4713,0.43854,-Inf,True
20837_42,0.96895,1.4942,0.0024297,1.5147,0.4507,-2.61444734631433,True
20928_88,0.67743,0.32225,0.047531,0.76676,0.2983,-1.32302304853054,True
21097_61,0.69773,0.3633,0.041515,-1.3665,0.070736,-1.38179495774073,True
21296_44,0.99995,4.301,4.7797e-06,1.4839,0.44132,-5.32059936121911,True
21419_81,1,1000,0,2.025,0.56395,-Inf,True
21596_52,0.96325,1.4185,0.0031767,1.1527,0.36981,-2.49802379697532,True
21748_28,0.9951,2.3076,0.00035216,1.642,0.47785,-3.45325997479073,True
21829_90,0.99765,2.6279,0.00014315,1.1527,0.36791,-3.84420864764238,True
21905_34,0.80934,0.62787,0.020889,-1.6851,0.054157,-1.68008235010476,True
22166_90,0.68523,0.33785,0.044926,0.69493,0.28218,-1.34750224722626,True
22526_47,0.99995,4.301,4.7797e-06,1.334,0.40756,-5.32059936121911,True
22563_78,1,1000,0,2.0115,0.56151,-Inf,True
22800_60,1,1000,0,2,0.55864,-Inf,True
22824_44,0.72934,0.4305,0.038312,1.047,0.35816,-1.41666517596545,True
22913_52,0.97095,1.524,0.0022959,1.464,0.43923,-2.63904703195089,True
22921_81,0.98745,1.8958,0.00073811,1.2012,0.3793,-3.13187891076085,True
22923_53,1,1000,0,2.5288,0.67227,-Inf,True
22978_85,0.99975,3.6019,1.7668e-05,1.2991,0.39997,-4.75281260941365,True
23057_90,1,1000,0,2.2107,0.60614,-Inf,True
23100_30,0.71419,0.39773,0.040668,-1.3806,0.069035,-1.390747185115,True
23203_56,0.9999,3.9999,1.069e-05,1.3644,0.4146,-4.97102229479122,True
23233_91,0.9986,2.8532,0.0001096,1.2376,0.38649,-3.96018944585165,True
23351_84,0.93865,1.1847,0.0074213,1.2614,0.39541,-2.12952001205599,True
23364_76,1,1000,0,1.4495,0.43336,-Inf,True
23368_84,0.80154,0.60625,0.022763,0.88802,0.31933,-1.64277050160972,True
23402_69,1,1000,0,1.5332,0.45242,-Inf,True
23449_84,0.99995,4.301,4.7797e-06,1.5331,0.45282,-5.32059936121911,True
23503_79,0.92525,1.0926,0.0088514,1.3772,0.42214,-2.05298803278371,True
23645_49,0.9289,1.1161,0.0085868,-1.9098,0.038999,-2.06616865238111,True
23650_52,1,1000,0,2.1066,0.58213,-Inf,True
23685_83,0.72539,0.42185,0.039084,0.86012,0.31666,-1.4080009953875,True
23727_36,0.9999,3.9999,1.069e-05,1.3077,0.40176,-4.97102229479122,True
23883_54,0.81234,0.63637,0.019046,-1.6075,0.055695,-1.7201962200059,True
23944_64,1,1000,0,1.4781,0.43998,-Inf,True
23992_46,0.9962,2.4185,0.00028398,1.3355,0.40862,-3.54671224514836,True
24083_62,0.9108,1.009,0.010035,1.159,0.374,-1.9984826231765,True
24265_91,0.75729,0.49417,0.034673,-1.3453,0.066775,-1.46000858040649,True
24372_49,0.9627,1.4118,0.0033312,-2.0392,0.033088,-2.47739929216956,True
24451_47,1,1000,0,2.3444,0.63444,-Inf,True
24467_66,1,1000,0,1.4707,0.4383,-Inf,True
24478_46,0.9937,2.1979,0.00043818,1.2607,0.39221,-3.35834744897491,True
24643_67,1,1000,0,2.1134,0.58485,-Inf,True
24680_34,1,1000,0,1.3976,0.42168,-Inf,True
24751_43,0.99995,4.301,4.7797e-06,1.6384,0.47667,-5.32059936121911,True
24910_64,0.9613,1.3951,0.0039533,-2.1432,0.031016,-2.40304022754903,True
24985_69,0.99965,3.4558,2.9809e-05,1.7792,0.50828,-4.52565259296322,True
25009_49,1,1000,0,2.4017,0.64642,-Inf,True
25028_90,0.99995,4.301,4.7797e-06,1.8303,0.51987,-5.32059936121911,True
25170_36,0.99995,4.301,4.7797e-06,1.4055,0.42356,-5.32059936121911,True
25225_45,0.9999,3.9999,1.069e-05,1.8317,0.5201,-4.97102229479122,True
25241_70,1,1000,0,1.8113,0.51608,-Inf,True
25250_29,1,1000,0,1.3842,0.4188,-Inf,True
25416_62,1,1000,0,1.6826,0.48669,-Inf,True
25638_76,0.73799,0.44973,0.037548,1.1152,0.37292,-1.42541319080618,True
