locus	n.pairs	n.both.miss	n.b1.miss	n.b2.miss	n.both.genod	n.matched	n.mismatch.hom2hom	n.mismatch.het2hom	n.mismatch.hom2het
10892	50	6	0	5	39	39	0	0	0
10896	50	1	0	1	48	47	0	0	1
1090	50	1	0	49	0	0	0	0	0
10900	50	6	0	5	39	39	0	0	0
10904	50	10	0	8	32	32	0	0	0
10906	50	1	0	1	48	48	0	0	0
10908	50	50	0	0	0	0	0	0	0
10909	50	2	0	2	46	45	0	0	1
10910	50	9	0	41	0	0	0	0	0
10914	50	1	0	1	48	47	0	0	1
10918	50	50	0	0	0	0	0	0	0
10921	50	1	0	2	47	47	0	0	0
10923	50	50	0	0	0	0	0	0	0
10925	50	50	0	0	0	0	0	0	0
10927	50	0	0	2	48	47	0	0	1
1093	50	8	0	1	41	41	0	0	0
10931	50	0	0	1	49	48	0	0	1
10932	50	3	0	5	42	41	0	0	1
10936	50	4	0	1	45	45	0	0	0
10937	50	1	0	0	49	48	0	0	1
10938	50	9	0	7	34	34	0	0	0
1094	50	4	46	0	0	0	0	0	0
10941	50	50	0	0	0	0	0	0	0
10943	50	1	0	49	0	0	0	0	0
10945	50	50	0	0	0	0	0	0	0
10948	50	5	0	2	43	43	0	0	0
10949	50	0	1	3	46	44	0	0	2
10950	50	50	0	0	0	0	0	0	0
10953	50	1	0	1	48	48	0	0	0
10966	50	6	0	0	44	44	0	0	0
10970	50	0	0	2	48	48	0	0	0
10971	50	6	0	1	43	43	0	0	0
10975	50	3	0	4	43	43	0	0	0
1098	50	4	0	46	0	0	0	0	0
10980	50	0	0	4	46	44	0	0	2
10983	50	1	0	1	48	47	0	1	0
10995	50	0	0	50	0	0	0	0	0
10997	50	0	0	0	50	49	0	0	1
110	50	0	0	0	50	48	0	0	2
11006	50	49	0	0	1	1	0	0	0
11007	50	0	0	3	47	47	0	0	0
11011	50	6	0	7	37	37	0	0	0
11012	50	7	43	0	0	0	0	0	0
11015	50	1	49	0	0	0	0	0	0
11022	50	1	0	0	49	49	0	0	0
11023	50	8	0	6	36	36	0	0	0
11024	50	6	0	6	38	38	0	0	0
11025	50	0	0	3	47	47	0	0	0
11029	50	5	0	4	41	41	0	0	0
11034	50	7	1	4	38	0	38	0	0
11035	50	6	0	4	40	40	0	0	0
11036	50	0	0	2	48	48	0	0	0
11039	50	0	0	1	49	48	0	0	1
1104	50	3	0	2	45	45	0	0	0
11040	50	50	0	0	0	0	0	0	0
11045	50	2	48	0	0	0	0	0	0
11047	50	0	0	0	50	49	0	0	1
11052	50	0	0	50	0	0	0	0	0
11055	50	6	0	5	39	37	0	0	2
11056	50	0	0	3	47	46	0	0	1
11059	50	3	0	6	41	41	0	0	0
11062	50	2	0	6	42	42	0	0	0
11063	50	0	0	2	48	47	0	0	1
11069	50	2	0	1	47	0	45	0	2
1107	50	1	0	0	49	48	0	0	1
11073	50	50	0	0	0	0	0	0	0
11074	50	10	0	9	31	25	1	2	3
11080	50	1	43	0	6	1	0	5	0
11081	50	12	0	38	0	0	0	0	0
11082	50	4	0	3	43	0	33	10	0
1109	50	49	1	0	0	0	0	0	0
11094	50	6	1	1	42	41	0	0	1
11096	50	8	0	0	42	29	1	12	0
11097	50	6	0	5	39	38	0	0	1
111	50	50	0	0	0	0	0	0	0
11106	50	50	0	0	0	0	0	0	0
11114	50	4	0	0	46	46	0	0	0
1112	50	2	0	3	45	45	0	0	0
11120	50	50	0	0	0	0	0	0	0
11121	50	9	19	1	21	1	0	20	0
11126	50	50	0	0	0	0	0	0	0
11129	50	7	1	4	38	38	0	0	0
11131	50	4	0	3	43	43	0	0	0
11138	50	2	1	5	42	41	0	0	1
11139	50	2	0	2	46	44	0	0	2
11140	50	0	0	2	48	47	0	0	1
11145	50	3	0	47	0	0	0	0	0
11147	50	0	48	0	2	0	0	2	0
11150	50	0	0	0	50	49	0	0	1
11153	50	4	0	6	40	40	0	0	0
11154	50	50	0	0	0	0	0	0	0
11156	50	4	0	2	44	44	0	0	0
11158	50	1	0	49	0	0	0	0	0
11159	50	1	0	1	48	48	0	0	0
11163	50	1	0	0	49	47	0	0	2
11165	50	2	0	2	46	40	0	6	0
11166	50	5	0	45	0	0	0	0	0
11167	50	50	0	0	0	0	0	0	0
1117	50	0	0	0	50	48	0	0	2
11172	50	10	40	0	0	0	0	0	0
11173	50	3	1	0	46	46	0	0	0
11177	50	0	0	1	49	49	0	0	0
11184	50	1	0	0	49	48	0	0	1
11186	50	0	0	50	0	0	0	0	0
1119	50	50	0	0	0	0	0	0	0
11191	50	4	0	3	43	43	0	0	0
11193	50	0	0	2	48	47	0	0	1
11199	50	6	0	8	36	36	0	0	0
11202	50	0	0	1	49	48	0	0	1
11203	50	0	0	0	50	50	0	0	0
11204	50	1	0	1	48	47	0	0	1
11207	50	3	0	1	46	46	0	0	0
11209	50	0	0	1	49	48	0	0	1
1121	50	2	0	4	44	43	0	0	1
11214	50	4	0	4	42	41	0	0	1
11217	50	2	0	0	48	48	0	0	0
11218	50	8	1	5	36	36	0	0	0
11219	50	1	0	5	44	44	0	0	0
11220	50	2	48	0	0	0	0	0	0
11223	50	1	0	3	46	46	0	0	0
11227	50	3	0	6	41	41	0	0	0
11229	50	2	0	2	46	45	0	0	1
1123	50	23	0	1	26	26	0	0	0
11230	50	0	0	1	49	49	0	0	0
11232	50	0	0	3	47	47	0	0	0
11236	50	7	1	2	40	23	0	17	0
11239	50	15	0	35	0	0	0	0	0
11244	50	50	0	0	0	0	0	0	0
11253	50	50	0	0	0	0	0	0	0
11254	50	50	0	0	0	0	0	0	0
11262	50	5	0	3	42	42	0	0	0
11265	50	1	0	0	49	49	0	0	0
11274	50	0	0	50	0	0	0	0	0
11275	50	5	0	8	37	37	0	0	0
11276	50	0	0	0	50	49	0	0	1
11279	50	50	0	0	0	0	0	0	0
11280	50	5	0	1	44	44	0	0	0
11281	50	7	0	5	38	36	0	0	2
11283	50	0	0	3	47	47	0	0	0
11284	50	6	0	0	44	23	6	15	0
11286	50	0	0	11	39	39	0	0	0
11288	50	1	0	1	48	47	0	0	1
11291	50	1	0	2	47	46	0	0	1
11292	50	1	1	1	47	47	0	0	0
11293	50	50	0	0	0	0	0	0	0
11294	50	50	0	0	0	0	0	0	0
11295	50	50	0	0	0	0	0	0	0
113	50	1	1	4	44	44	0	0	0
11303	50	0	0	2	48	48	0	0	0
11304	50	1	0	2	47	47	0	0	0
11309	50	1	0	3	46	46	0	0	0
11315	50	0	0	2	48	47	0	0	1
11316	50	1	48	0	1	0	1	0	0
11318	50	1	0	1	48	48	0	0	0
1132	50	5	45	0	0	0	0	0	0
11320	50	1	49	0	0	0	0	0	0
11325	50	4	0	7	39	39	0	0	0
11331	50	1	0	3	46	46	0	0	0
11337	50	6	0	3	41	41	0	0	0
11342	50	7	0	3	40	40	0	0	0
11343	50	8	0	9	33	32	0	0	1
11345	50	50	0	0	0	0	0	0	0
11347	50	1	0	1	48	47	0	0	1
11352	50	13	0	2	35	0	35	0	0
11356	50	1	0	0	49	49	0	0	0
11358	50	7	0	3	40	38	0	0	2
11361	50	2	0	0	48	48	0	0	0
11362	50	50	0	0	0	0	0	0	0
11366	50	0	0	0	50	50	0	0	0
11367	50	2	0	1	47	46	0	0	1
11372	50	3	0	1	46	46	0	0	0
11373	50	0	0	0	50	49	0	0	1
11376	50	9	1	3	37	37	0	0	0
11378	50	0	0	2	48	48	0	0	0
11379	50	4	0	4	42	41	0	0	1
11382	50	0	0	1	49	49	0	0	0
11390	50	1	0	2	47	46	0	0	1
11392	50	6	0	7	37	30	0	0	7
11394	50	5	0	6	39	38	0	0	1
11396	50	2	0	2	46	46	0	0	0
11397	50	3	0	1	46	46	0	0	0
11400	50	0	1	2	47	47	0	0	0
11401	50	1	0	0	49	49	0	0	0
11402	50	50	0	0	0	0	0	0	0
11406	50	2	0	0	48	0	48	0	0
11414	50	0	0	5	45	44	0	0	1
11415	50	4	0	1	45	44	0	0	1
11418	50	9	0	3	38	36	0	0	2
11423	50	50	0	0	0	0	0	0	0
11425	50	49	1	0	0	0	0	0	0
11427	50	0	0	2	48	18	3	26	1
11430	50	10	0	9	31	31	0	0	0
11435	50	2	44	0	4	0	0	4	0
11437	50	1	0	0	49	47	0	0	2
11441	50	9	41	0	0	0	0	0	0
11444	50	50	0	0	0	0	0	0	0
11445	50	8	0	42	0	0	0	0	0
11447	50	50	0	0	0	0	0	0	0
11455	50	0	0	50	0	0	0	0	0
11461	50	1	0	0	49	48	0	0	1
11473	50	8	0	0	42	42	0	0	0
11476	50	3	0	47	0	0	0	0	0
11480	50	0	0	2	48	47	0	0	1
11497	50	1	0	3	46	46	0	0	0
11498	50	1	0	0	49	49	0	0	0
11503	50	5	1	2	42	42	0	0	0
11506	50	2	0	2	46	46	0	0	0
11507	50	1	0	1	48	48	0	0	0
11510	50	50	0	0	0	0	0	0	0
11512	50	7	0	43	0	0	0	0	0
11517	50	0	0	1	49	49	0	0	0
11518	50	8	0	6	36	25	2	9	0
11521	50	5	45	0	0	0	0	0	0
11523	50	8	0	3	39	39	0	0	0
11531	50	2	0	0	48	48	0	0	0
11532	50	2	0	2	46	46	0	0	0
11535	50	2	0	4	44	41	0	0	3
11539	50	0	0	0	50	48	0	0	2
11543	50	50	0	0	0	0	0	0	0
11544	50	14	0	4	32	32	0	0	0
11545	50	1	0	2	47	47	0	0	0
11549	50	0	0	1	49	48	0	0	1
11552	50	50	0	0	0	0	0	0	0
11554	50	8	0	5	37	37	0	0	0
11560	50	0	0	1	49	49	0	0	0
11561	50	3	47	0	0	0	0	0	0
11569	50	5	0	9	36	36	0	0	0
1157	50	0	0	2	48	47	0	0	1
11571	50	1	0	1	48	48	0	0	0
11579	50	2	0	2	46	46	0	0	0
11580	50	1	0	49	0	0	0	0	0
11583	50	50	0	0	0	0	0	0	0
11589	50	5	0	4	41	39	0	2	0
11590	50	50	0	0	0	0	0	0	0
11591	50	50	0	0	0	0	0	0	0
11593	50	0	0	0	50	50	0	0	0
11597	50	4	0	5	41	39	0	0	2
116	50	2	0	2	46	45	0	0	1
11600	50	1	1	1	47	47	0	0	0
11603	50	0	0	3	47	45	0	0	2
11605	50	7	33	0	10	1	0	9	0
11606	50	6	0	4	40	40	0	0	0
11608	50	8	7	0	35	0	22	13	0
11612	50	1	0	2	47	45	0	0	2
1162	50	0	0	2	48	45	0	0	3
11620	50	3	0	2	45	44	0	0	1
11624	50	0	0	1	49	47	0	0	2
11626	50	50	0	0	0	0	0	0	0
11628	50	50	0	0	0	0	0	0	0
11630	50	1	0	8	41	41	0	0	0
11634	50	9	0	4	37	37	0	0	0
11637	50	50	0	0	0	0	0	0	0
11639	50	3	0	3	44	43	0	0	1
1164	50	1	0	1	48	48	0	0	0
11644	50	50	0	0	0	0	0	0	0
11646	50	1	0	1	48	48	0	0	0
11658	50	2	1	3	44	44	0	0	0
11659	50	50	0	0	0	0	0	0	0
1166	50	50	0	0	0	0	0	0	0
11661	50	5	0	1	44	42	0	0	2
11662	50	50	0	0	0	0	0	0	0
11665	50	7	0	7	36	36	0	0	0
11668	50	4	0	9	37	37	0	0	0
11670	50	2	0	1	47	47	0	0	0
11672	50	1	49	0	0	0	0	0	0
11675	50	3	0	2	45	43	0	0	2
11677	50	0	0	1	49	49	0	0	0
11679	50	18	0	3	29	7	14	7	1
11685	50	12	0	38	0	0	0	0	0
11687	50	1	1	2	46	46	0	0	0
11688	50	2	0	4	44	40	0	0	4
11696	50	2	0	5	43	43	0	0	0
117	50	0	0	1	49	48	0	0	1
11709	50	0	1	3	46	46	0	0	0
11712	50	0	0	3	47	46	0	0	1
11713	50	0	0	1	49	46	0	2	1
11714	50	50	0	0	0	0	0	0	0
11715	50	8	0	7	35	33	0	0	2
11719	50	1	0	1	48	48	0	0	0
11721	50	1	0	0	49	48	0	0	1
11723	50	0	0	2	48	48	0	0	0
11731	50	5	0	45	0	0	0	0	0
11735	50	3	0	5	42	42	0	0	0
11736	50	10	0	2	38	38	0	0	0
11740	50	50	0	0	0	0	0	0	0
11747	50	5	10	2	33	17	0	16	0
1175	50	14	0	2	34	33	0	0	1
11751	50	2	0	1	47	46	0	0	1
11752	50	4	0	5	41	40	0	0	1
11758	50	1	4	2	43	24	0	19	0
11760	50	1	0	0	49	48	0	0	1
11768	50	1	1	1	47	46	0	0	1
11769	50	16	33	0	1	0	1	0	0
11771	50	1	0	2	47	47	0	0	0
11776	50	5	0	1	44	43	0	0	1
11781	50	0	0	0	50	49	0	0	1
11787	50	1	0	1	48	47	0	0	1
11788	50	1	0	3	46	46	0	0	0
11797	50	1	0	1	48	48	0	0	0
11798	50	3	1	2	44	42	0	0	2
11799	50	1	49	0	0	0	0	0	0
11804	50	8	0	3	39	39	0	0	0
11805	50	8	0	1	41	7	19	15	0
1181	50	1	46	0	3	0	0	3	0
11810	50	13	0	4	33	32	0	0	1
11813	50	50	0	0	0	0	0	0	0
11816	50	4	0	0	46	46	0	0	0
1182	50	3	0	1	46	46	0	0	0
11821	50	2	0	2	46	46	0	0	0
11824	50	50	0	0	0	0	0	0	0
11828	50	2	48	0	0	0	0	0	0
11842	50	2	0	1	47	46	0	0	1
11847	50	3	0	2	45	45	0	0	0
11849	50	0	0	1	49	49	0	0	0
1185	50	1	0	4	45	45	0	0	0
11853	50	8	0	8	34	34	0	0	0
11857	50	50	0	0	0	0	0	0	0
1186	50	49	0	1	0	0	0	0	0
11861	50	2	0	1	47	47	0	0	0
11863	50	3	0	1	46	46	0	0	0
11865	50	2	0	1	47	45	0	0	2
11874	50	13	0	6	31	31	0	0	0
11876	50	1	0	1	48	0	46	0	2
11880	50	0	0	0	50	49	0	0	1
11889	50	0	0	0	50	50	0	0	0
11891	50	50	0	0	0	0	0	0	0
11892	50	8	0	3	39	4	29	2	4
11902	50	49	0	1	0	0	0	0	0
11908	50	0	0	0	50	47	0	0	3
1191	50	0	0	1	49	49	0	0	0
11913	50	1	0	1	48	46	0	0	2
11916	50	2	0	4	44	44	0	0	0
11917	50	0	0	3	47	0	47	0	0
11921	50	1	0	0	49	48	0	0	1
11926	50	6	0	4	40	40	0	0	0
1193	50	1	0	2	47	47	0	0	0
11932	50	3	0	2	45	0	41	4	0
11933	50	0	0	2	48	48	0	0	0
11934	50	1	0	0	49	49	0	0	0
11935	50	6	0	3	41	20	3	17	1
11936	50	50	0	0	0	0	0	0	0
11937	50	7	0	43	0	0	0	0	0
11942	50	10	0	40	0	0	0	0	0
11945	50	50	0	0	0	0	0	0	0
11947	50	0	0	42	8	0	0	0	8
11950	50	49	0	1	0	0	0	0	0
11952	50	8	42	0	0	0	0	0	0
11960	50	4	0	3	43	42	0	0	1
11963	50	7	0	0	43	42	0	0	1
11964	50	3	0	5	42	42	0	0	0
11965	50	7	43	0	0	0	0	0	0
11969	50	2	0	5	43	41	0	0	2
11978	50	50	0	0	0	0	0	0	0
11983	50	0	0	0	50	50	0	0	0
11987	50	50	0	0	0	0	0	0	0
1199	50	0	0	0	50	49	0	0	1
12000	50	0	0	50	0	0	0	0	0
12005	50	0	0	0	50	50	0	0	0
12008	50	50	0	0	0	0	0	0	0
12009	50	0	0	2	48	47	0	0	1
12013	50	2	0	1	47	47	0	0	0
1202	50	50	0	0	0	0	0	0	0
12021	50	50	0	0	0	0	0	0	0
12028	50	6	0	2	42	41	0	0	1
12029	50	2	0	2	46	44	0	0	2
1203	50	1	0	1	48	48	0	0	0
12032	50	2	0	2	46	45	0	0	1
12037	50	4	0	2	44	44	0	0	0
12041	50	3	0	0	47	47	0	0	0
12042	50	3	0	0	47	45	0	0	2
