"","Locus","chromosome","position","fst"
"119",1092,"LG20",20701546,0.0111
"120",1098,"LG08",13960352,0.0631
"121",1122,"LG04",16838600,0.4962
"122",1140,"LG19",4503553,0.1467
"123",1151,"LG16",15614298,0.0104
"124",1157,"LG11",26193891,0.1319
"125",1160,"LG15",17477533,0.3765
"126",1162,"LG04",31408269,0.0367
"127",1167,"LG11",10595723,-0.0011
"128",1170,"LG13",14579752,0.0095
"129",1176,"LG01",13275503,0.5039
"130",1186,"LG16",22797954,0.0291
"131",1205,"LG18",2123484,0.1578
"132",1229,"LG20",13703518,0.0828
"133",1258,"LG07",27182155,0.0811
"134",1262,"LG10",17743127,0.0071
"135",1266,"LG08",20768613,0.003
"136",1275,"LG01",19119404,0.0089
"137",1281,"LG06",16464160,0.1044
"138",1285,"LG20",6673367,0.179
"139",1287,"LG03",7081654,0.0068
"140",1293,"LG03",16152548,0.0259
"141",1306,"LG13",11880001,0.3264
"142",1311,"LG09",12622187,0.0081
"143",1323,"LG20",6539707,0.1639
"144",1328,"LG16",17157056,0.0202
"145",1339,"LG14",17204107,0.1065
"146",1354,"LG12",3284303,0.0452
"147",1362,"LG05",11738400,0.5533
"148",1372,"LG14",20906701,0.0464
"149",1392,"LG04",31306420,0.1897
"150",1393,"LG01",9598261,0.5436
"151",1412,"LG13",15878708,0.0768
"152",1417,"LG09",2358155,0.0161
"153",1420,"LG03",1176528,0.0327
"154",1463,"LG14",16098739,0.0265
"155",1478,"LG11",20773184,0.0506
"156",1482,"LG13",10971676,0.0577
"157",1503,"LG21",15279223,0.3215
"158",1504,"LG09",6084778,0.1071
"159",1531,"LG13",19012414,0.0428
"160",1540,"LG18",6276298,-0.0012
"161",1547,"LG11",7746059,0.0583
"162",1560,"LG15",15461179,0.2923
"163",1572,"LG13",17972384,0.0075
"164",1582,"LG09",16940306,0.0497
"165",1586,"LG06",12783504,0.0244
"166",1589,"LG15",8882522,0.026
"167",1592,"LG10",2502491,0.0438
"168",1617,"LG01",3728784,0.1488
"169",1618,"LG06",11739101,0.0244
"170",1620,"LG11",17181817,0.0908
"171",1660,"LG18",7683702,0.3348
"172",1672,"LG12",4111803,0.0707
"173",1679,"LG12",8443013,0.058
"174",1689,"LG13",21043471,6e-04
"175",1693,"LG08",10243819,0.2218
"176",1698,"LG13",14576126,0.0122
"177",1705,"LG12",1605159,0.7854
"178",1713,"LG01",9493971,0.1212
"179",1729,"LG18",16054673,0.0262
"180",1739,"LG22",11675953,0.0174
"181",1746,"LG19",1670149,0.0735
"182",1756,"LG11",8086242,0.0152
"183",1794,"LG09",24143400,0.4136
"184",1813,"LG16",11478690,0.0196
"185",1839,"LG23",4126465,0.0056
"186",1844,"LG15",17981722,0.1544
"187",1852,"LG06",15446352,0.3551
"188",1855,"LG02",23270633,0.0363
"189",1858,"LG02",13158554,0.0251
"190",1888,"LG18",5106646,0.0258
"191",1889,"LG22",17138763,0.0642
"192",1895,"LG16",22941482,0.3918
"193",1900,"LG19",6567379,0.0869
"194",1926,"LG20",20827715,0.0516
"195",1929,"LG04",20273300,0.0063
"196",1932,"LG01",17764204,0.0085
"197",1933,"LG21",12444588,0.6602
"198",1936,"LG14",24505155,0.0427
"199",1963,"LG11",17081118,0.054
"200",1968,"LG05",10680722,0.0392
"201",1978,"LG11",18595849,0.0243
"202",1981,"LG05",3174038,0.0234
"203",1983,"LG13",11362580,0.239
"204",1993,"LG22",4713272,0.0268
"205",1995,"LG03",20433399,0.1686
"206",2010,"LG04",2875965,0.0233
"207",2029,"LG16",1408228,0.5505
"208",2034,"LG09",7118208,0.0097
"209",2038,"LG19",9585216,0.0314
"210",2041,"LG09",13958070,0.0352
"211",2046,"LG05",11189734,0.0421
"212",2069,"LG07",17433168,0.4385
"213",2082,"LG17",8854605,0.0101
"214",2118,"LG16",25894782,0.0297
"215",2135,"LG21",10135760,0.5258
"216",2141,"LG16",27837119,0.166
"217",2149,"LG16",13928206,0.1202
"218",2154,"LG04",24968352,0.0674
"219",2173,"LG19",3501840,0.3837
"220",2176,"LG04",18406174,0.0726
"221",2189,"LG23",6888771,0.0192
"222",2204,"LG14",7233760,-0.0012
"223",2225,"LG11",14495794,0.0231
"224",2227,"LG02",1753025,0.6178
"225",2229,"LG10",18165811,0.0337
"226",2253,"LG04",29344460,0.0972
"227",2258,"LG13",7099455,0.295
"228",2274,"LG13",1229015,0.2106
"229",2296,"LG08",10125556,0.0425
"230",2298,"LG23",20369706,0.2339
"231",2329,"LG16",24549889,0.1757
"232",2331,"LG06",15803151,0.0306
"233",2335,"LG12",6026045,0.0265
"234",2353,"LG17",4205312,0.0793
"235",2360,"LG09",14623195,0.0208
"236",2362,"LG01",13543511,0.1894
"237",2368,"LG08",26184505,0.3884
"238",2371,"LG03",8761931,0.0762
"239",2380,"LG18",1854131,0.0973
"240",2382,"LG23",570487,0.0502
"241",2390,"LG13",19759312,0.2293
"242",2391,"LG22",8287783,0.3345
"243",2400,"LG08",24451697,0.008
"244",2408,"LG08",11860507,0.7471
"245",2417,"LG20",14555094,0.1826
"246",2431,"LG19",15102389,0.0275
"247",2472,"LG13",19499466,0.2379
"248",2481,"LG15",11925618,0.0302
"249",2498,"LG23",2830661,0.0782
"250",2510,"LG21",6942075,0.0977
"251",2520,"LG07",12362085,0.0983
"252",2522,"LG06",8028686,0.3666
"253",2536,"LG22",12387202,0.1629
"254",2539,"LG15",25129974,-0.0017
"255",2549,"LG03",18928852,0.0804
"256",2558,"LG10",22020828,0.0718
"257",2564,"LG23",13632032,0.2376
"258",2576,"LG16",15488385,0.0253
"259",2587,"LG14",202833,0.0661
"260",2601,"LG21",19584532,0.0775
"261",2603,"LG23",14392966,0.233
"262",2604,"LG11",14815925,0.0451
"263",2610,"LG18",16146811,0.1155
"264",2621,"LG04",378962,0.0146
"265",2647,"LG03",8603218,0.4854
"266",2648,"LG17",5506104,0.002
"267",2657,"LG21",19529261,0.0757
"268",2672,"LG01",26278837,0.0034
"269",2677,"LG21",9477851,0.0932
"270",2692,"LG18",8569994,0
"271",2705,"LG10",22879308,0.0347
"272",2709,"LG19",18872684,0.1023
"273",2718,"LG22",16526905,0.0259
"274",2722,"LG07",15353768,0.3352
"275",2735,"LG07",13236326,0.9015
"276",2741,"LG20",10570432,0.0141
"277",2751,"LG23",22985440,0.0174
"278",2752,"LG14",29071558,0.2194
"279",2762,"LG22",122447,0.1386
"280",2766,"LG20",18502891,0.0281
"281",2780,"LG01",11869646,0.008
"282",2826,"LG13",18593933,0.5962
"283",2828,"LG13",21871455,0.0322
"284",2830,"LG07",23332711,0.1508
"285",2835,"LG12",5180270,0.0041
"286",2844,"LG16",5617631,0.0203
"287",2847,"LG06",12993351,0.0161
"288",2851,"LG08",21068744,0.0391
"289",2866,"LG01",23087036,0.1128
"290",2874,"LG01",21713494,0.6559
"291",2880,"LG20",8455705,0.1075
"292",2901,"LG08",8748824,0.004
"293",2919,"LG08",25669407,0.0132
"294",2934,"LG05",19374392,0.2567
"295",2936,"LG06",24359660,0.0187
"296",2957,"LG17",6461625,0.0198
"297",2973,"LG01",27732633,0.1032
"298",2985,"LG23",17166837,0.2236
"299",2990,"LG01",17231504,0.8854
"300",2995,"LG03",20582299,0.0754
"301",3000,"LG21",7459198,0.0209
"302",3004,"LG03",16947961,0.211
"303",3019,"LG20",9261701,0.0454
"304",3023,"LG20",23059969,0.1368
"305",3035,"LG03",3826569,0.7137
"306",3043,"LG21",21161935,0.3481
"307",3061,"LG19",12728793,0.1362
"308",3066,"LG16",5085357,0.2956
"309",3086,"LG16",5738820,0.2285
"310",3096,"LG01",1380478,0.8006
"311",3109,"LG06",23167696,0.0266
"312",3111,"LG07",16957862,0.0918
"313",3116,"LG02",12426111,0.1005
"314",3120,"LG18",1987451,0.0476
"315",3121,"LG10",12858006,0.0611
"316",3132,"LG13",19057220,0.0156
"317",3133,"LG23",5391796,0.3149
"318",3138,"LG20",13442555,0.0252
"319",3147,"LG01",9089476,0.0342
"320",3152,"LG18",16449395,0.0519
"321",3169,"LG20",18878173,0.2472
"322",3172,"LG02",14430240,0.0033
"323",3191,"LG12",12059104,0.0637
"324",3193,"LG08",4803505,0.187
"325",3195,"LG07",13297888,0.7813
"326",3197,"LG08",24846203,0.1024
"327",3217,"LG05",1699089,0.033
"328",3218,"LG19",7876975,0.0566
"329",3228,"LG14",25824909,0.0243
"330",3238,"LG23",14600916,0.0681
"331",3254,"LG06",24218085,0.0148
"332",3266,"LG11",18795306,0.0382
"333",3284,"LG07",9539930,0.2439
"334",3298,"LG21",12713994,0.362
"335",3303,"LG21",6035264,0.0333
"336",3308,"LG14",10599926,0.0614
"337",3332,"LG05",10227092,0.0277
"338",3341,"LG14",28893155,0.7087
"339",3348,"LG16",19834425,0.0698
"340",3366,"LG12",26603820,0.0195
"341",3373,"LG08",8966991,0.022
"342",3379,"LG14",24722870,0.065
"343",3392,"LG15",8329462,0.0255
"344",3412,"LG16",19800798,0.0195
"345",3415,"LG23",11685727,0.1706
"346",3417,"LG14",11676361,0.4246
"347",3428,"LG11",3481234,0.0486
"348",3434,"LG10",6003116,0.0694
"349",3437,"LG12",23290112,0.0206
"350",3460,"LG18",6528272,0.8107
"351",3464,"LG01",2734393,0.0233
"352",3470,"LG01",24875903,0.0042
"353",3480,"LG12",23074809,0.224
"354",3484,"LG15",23057730,0.0122
"355",3488,"LG16",28100360,0.0209
"356",3501,"LG21",12112127,0.1547
"357",3541,"LG13",24575544,0.1803
"358",3547,"LG17",4126590,0.1053
"359",3550,"LG02",14550854,0.3344
"360",3554,"LG18",16220209,0.0205
"361",3556,"LG22",6234215,0.0123
"362",3594,"LG14",5903591,0.0575
"363",3622,"LG21",18382081,0.2068
"364",3623,"LG02",12024231,0.1103
"365",3630,"LG01",28032467,0.2478
"366",3636,"LG14",20385829,0.0025
"367",3651,"LG09",1872590,0.2798
"368",3677,"LG12",13046268,0.0046
"369",3680,"LG17",8605809,0.8416
"370",3690,"LG06",5572528,0.0111
"371",3692,"LG06",13048766,0.1101
"372",3708,"LG13",1535521,0.923
"373",3721,"LG02",18900520,0.0814
"374",3753,"LG10",9860946,0.6866
"375",3756,"LG11",22468503,0.4171
"376",3761,"LG03",20306369,0.0165
"377",3794,"LG01",17891914,0.0437
"378",3797,"LG21",5722754,0.073
"379",3798,"LG07",23461249,0.156
"380",3806,"LG06",10890711,0.2197
"381",3814,"LG23",16003346,0.322
"382",3827,"LG16",18742865,0.5295
"383",3832,"LG14",17957361,0.1023
"384",3855,"LG21",19913962,6e-04
"385",3860,"LG07",15321950,0.0123
"386",3861,"LG13",6745490,0.2368
"387",3876,"LG08",9741266,0.032
"388",3886,"LG11",14501523,0.0198
"389",3887,"LG06",14278663,0.463
"390",3900,"LG20",4903898,0.1855
"391",3915,"LG16",9451438,0.0208
"392",3917,"LG01",2734304,0.0175
"393",3919,"LG08",24762772,0.0056
"394",3929,"LG13",6072318,0.011
"395",3931,"LG11",5295900,0.1486
"396",3934,"LG05",13727188,0.003
"397",3939,"LG17",12450113,0.1266
"398",3940,"LG06",7867156,0.6683
"399",3946,"LG19",20490861,0.0854
"400",3948,"LG09",5671531,0.2094
"401",3957,"LG07",823426,0.0145
"402",3998,"LG19",3481765,0.0083
"403",4001,"LG01",16539719,0.4135
"404",4002,"LG03",8053673,0.0077
"405",4003,"LG01",24038892,0.004
"406",4004,"LG15",7912926,0.0243
"407",4009,"LG20",21155983,0.0699
"408",4013,"LG04",33514896,0.2307
"409",4025,"LG03",24223878,0.0071
"410",4031,"LG13",1193395,0.0516
"411",4032,"LG16",28482320,0.3955
"412",4036,"LG21",15316907,0.1468
"413",4039,"LG22",9367737,0.0816
"414",4048,"LG14",23970431,0.0554
"415",4069,"LG11",12620674,0.2005
"416",4071,"LG05",10063762,0.044
"417",4072,"LG20",18962693,0.0164
"418",4088,"LG14",20885177,0.0465
"419",4097,"LG17",16950745,0.2837
"420",4103,"LG01",19759592,0.0248
"421",4140,"LG13",22202718,0.001
"422",4156,"LG13",24013669,0.0404
"423",4171,"LG10",17543844,0.0174
"424",4172,"LG20",5165816,0.0171
"425",4174,"LG22",9047081,0.0127
"426",4176,"LG18",20408482,-0.0014
"427",4183,"LG06",18511427,0.3341
"428",4185,"LG14",15778586,0.4047
"429",4187,"LG19",14116914,0.141
"430",4206,"LG10",9793217,0.0215
"431",4207,"LG21",9732870,0.1994
"432",4212,"LG04",33598863,0.08
"433",4227,"LG13",18686608,0.094
"434",4230,"LG04",23389886,0.2841
"435",4233,"LG18",16271893,0.0203
"436",4255,"LG05",19773629,0.302
"437",4280,"LG22",357359,0.0462
"438",4283,"LG14",18588020,0.0035
"439",4293,"LG01",950746,0.2934
"440",4303,"LG21",7282029,0.0218
"441",4321,"LG15",21881503,0.0198
"442",4336,"LG11",6123685,0.0536
"443",4352,"LG16",27854956,0.0579
"444",4365,"LG01",18164746,0.9574
"445",4370,"LG09",18892407,0.0207
"446",4398,"LG06",18998161,0.126
"447",4404,"LG22",7532382,0.3894
"448",4411,"LG12",22019003,0.0214
"449",4442,"LG13",14527982,0.0101
"450",4452,"LG06",12297808,0.1433
"451",4459,"LG09",19494289,0.0499
"452",4464,"LG19",4571999,0.0177
"453",4465,"LG13",18013035,0.0498
"454",4472,"LG07",806594,0.1201
"455",4484,"LG05",3970822,0.0161
"456",4491,"LG08",10633171,0.4427
"457",4494,"LG01",9685227,0.0976
"458",4495,"LG18",14023647,0.0919
"459",4496,"LG12",24069748,0.0209
"460",4499,"LG20",2829965,0.0175
"461",4506,"LG21",10071322,0.0277
"462",4508,"LG18",14305873,0.2247
"463",4510,"LG12",20827581,0.0423
"464",4514,"LG07",27682138,0.1447
"465",4527,"LG23",22742749,0.0166
"466",4536,"LG19",13287200,0.0686
"467",4541,"LG21",3250882,0.6605
"468",4547,"LG03",27350741,0.0243
"469",4570,"LG21",5426321,0.0925
"470",4578,"LG15",18490187,-0.002
"471",4588,"LG12",24207382,0.0513
"472",4599,"LG23",4023710,0.2929
"473",4613,"LG05",23973460,0.0207
"474",4617,"LG09",16838649,0.0819
"475",4630,"LG16",15092887,0.018
"476",4635,"LG17",11899941,-0.0015
"477",4637,"LG07",15411923,0.0099
"478",4644,"LG05",11293151,0.1177
"479",4659,"LG12",6507308,0.0109
"480",4660,"LG07",15879034,0.3759
"481",4661,"LG19",14510561,0.0542
"482",4667,"LG09",21626256,0.3169
"483",4681,"LG07",23084471,0.9858
"484",4696,"LG11",24477363,0.0514
"485",4702,"LG09",9449210,0.197
"486",4711,"LG12",8167261,0.1471
"487",4729,"LG15",10706163,0.6827
"488",4747,"LG03",27467753,0.9188
"489",4754,"LG14",25213748,0.0182
"490",4759,"LG22",19809786,0.0197
"491",4760,"LG14",27989426,0.0283
"492",4761,"LG05",10222929,0.0426
"493",4762,"LG18",16659770,0.225
"494",4766,"LG20",21148698,-0.001
"495",4770,"LG13",16116538,0.0251
"496",4782,"LG16",29902249,0.3729
"497",4789,"LG02",16999398,-0.0017
"498",4794,"LG01",17737464,0.042
"499",4815,"LG03",12288968,0.0554
"500",4818,"LG05",13382747,0.4558
"501",4832,"LG03",525362,0.0371
"502",4837,"LG11",18564220,0.0878
"503",4841,"LG16",6040999,0.0178
"504",4856,"LG07",20645188,0.1714
"505",4863,"LG03",27837891,0.0708
"506",4868,"LG05",9883509,0.1166
"507",4891,"LG08",15555865,0.4168
"508",4892,"LG18",6589478,0.0538
"509",4898,"LG04",30578438,0.0268
"510",4901,"LG11",26061747,0.1282
"511",4918,"LG03",28992011,-0.001
"512",4932,"LG18",3128529,0.0783
"513",4976,"LG21",5373211,0.4711
"514",4989,"LG14",12252629,-0.0016
"515",4998,"LG04",29833176,0.0554
"516",5002,"LG10",1370047,0.0351
"517",5003,"LG11",16390445,0.329
"518",5008,"LG05",19790330,0.0703
"519",5023,"LG01",214443,0.0229
"520",5027,"LG15",15289336,0.7559
"521",5030,"LG22",15046804,0.0267
"522",5031,"LG07",12728851,0.2353
"523",5056,"LG22",7159596,0.066
"524",5060,"LG08",9590391,0.2682
"525",5062,"LG01",2507022,0.0366
"526",5071,"LG05",2633866,0.0264
"527",5100,"LG01",19851781,0.0351
"528",5109,"LG04",27524826,0.0159
"529",5133,"LG12",19492744,0.0099
"530",5148,"LG20",19627680,0.0752
"531",5151,"LG14",12928347,0.057
"532",5169,"LG21",12135222,0.0434
"533",5171,"LG04",27557653,0.2961
"534",5176,"LG16",27148342,0.0591
"535",5204,"LG18",2367161,0.0171
"536",5217,"LG10",16892961,0.1075
"537",5227,"LG23",17985491,0.0357
"538",5230,"LG20",9261613,0.0099
"539",5232,"LG06",19843692,0.0665
"540",5237,"LG01",19664836,0.0363
"541",5264,"LG15",14481775,0.0566
"542",5273,"LG22",4266854,0.0196
"543",5281,"LG11",7506208,0.1114
"544",5285,"LG01",3925470,0.0282
"545",5287,"LG12",20595615,0.1048
"546",5289,"LG20",16846376,0.0214
"547",5293,"LG03",7267492,0.0206
"548",5303,"LG12",19338439,0.0543
"549",5333,"LG14",17190035,0.7543
"550",5376,"LG10",4480531,0.5896
"551",5387,"LG22",10727070,0.3976
"552",5389,"LG08",15134147,0.0182
"553",5397,"LG20",13225715,-0.0017
"554",5427,"LG05",18739983,0.0679
"555",5467,"LG19",9386218,0.0099
"556",5469,"LG05",21906804,0.0113
"557",5476,"LG12",468391,0.6769
"558",5479,"LG03",28918553,0.0097
"559",5481,"LG05",5118361,0.0409
"560",5482,"LG01",9010262,0.0507
"561",5501,"LG18",14588802,0.0551
"562",5516,"LG22",5381422,0.3885
"563",5520,"LG04",18708578,0.0423
"564",5525,"LG14",20158677,0.0412
"565",5541,"LG11",10611314,0.7218
"566",5562,"LG20",3274663,0.5336
"567",5569,"LG01",23205145,0.0411
"568",5570,"LG23",13796931,0.1377
"569",5572,"LG11",25112679,0.0685
"570",5576,"LG06",7858844,0.0187
"571",5580,"LG14",8286307,0.1484
"572",5586,"LG23",5729686,0.051
"573",5593,"LG04",32604286,0.001
"574",5594,"LG10",23722049,0.1378
"575",5600,"LG05",20613309,0.0882
"576",5607,"LG14",24689458,0.0332
"577",5614,"LG11",23808690,-7e-04
"578",5622,"LG12",17015598,0.4874
"579",5624,"LG05",3688022,0.0534
"580",5633,"LG23",7996770,0.0855
"581",5637,"LG16",27428629,0.0346
"582",5642,"LG23",8385469,0.1939
"583",5645,"LG11",27529270,0.5925
"584",5650,"LG02",3684400,0.2363
"585",5662,"LG23",10116938,0.4781
"586",5685,"LG09",4495270,0.2015
"587",5744,"LG23",5048977,0.1295
"588",5746,"LG04",28800174,0.0492
"589",5757,"LG20",5687112,0.0099
"590",5760,"LG07",19207230,0.1106
"591",5767,"LG14",23711420,0.6987
"592",5770,"LG06",9501622,0.0221
"593",5775,"LG05",19917386,0.1043
"594",5776,"LG23",1598146,0.0501
"595",5781,"LG14",5998727,0.2459
"596",5804,"LG03",27076011,0.3114
"597",5817,"LG12",17403958,0.0443
"598",5819,"LG02",2217111,0.0185
"599",5824,"LG04",9835263,0.5841
"600",5830,"LG08",11536700,0.0258
"601",5844,"LG08",9557314,0.1004
"602",5845,"LG13",14709344,0.2425
"603",5851,"LG02",21921687,0.2996
"604",5852,"LG21",9767957,-0.001
"605",5891,"LG22",6395073,0.0585
"606",5894,"LG01",5179409,0.0475
"607",5923,"LG21",20491767,0.1491
"608",5928,"LG10",1369959,0.022
"609",5949,"LG13",17395120,0.4027
"610",5953,"LG07",14745545,0.0215
"611",5973,"LG17",6461537,0.3222
"612",5987,"LG14",14128047,0.13
"613",5995,"LG19",15587543,0.3225
"614",6026,"LG20",22696754,0.0881
"615",6028,"LG21",10135672,0.4109
"616",6029,"LG20",2897455,0.0068
"617",6054,"LG08",15301625,0.0897
"618",6065,"LG18",22189991,0.0518
"619",6077,"LG01",16099585,0.0668
"620",6080,"LG23",8352729,0.365
"621",6085,"LG21",15957906,0.6539
"622",6094,"LG12",8466885,0.36
"623",6099,"LG09",6849550,0.0308
"624",6118,"LG01",7928342,0.0339
"625",6124,"LG05",14374414,0.0247
"626",6144,"LG12",6428619,0.74
"627",6147,"LG03",2759270,0.144
"628",6156,"LG02",15037451,0.0027
"629",6157,"LG06",14713694,0.017
"630",6187,"LG18",4274680,0.0833
"631",6199,"LG07",10968340,0.0961
"632",6222,"LG22",10346143,0.0382
"633",6224,"LG14",5878793,0.0168
"634",6225,"LG01",17343059,0.1257
"635",6229,"LG08",18383781,0.0152
"636",6230,"LG18",7614232,0.3359
"637",6248,"LG19",16037056,0.2563
"638",6255,"LG14",5019741,0.0241
"639",6259,"LG04",26274693,0.1628
"640",6260,"LG06",5630445,0.1333
"641",6268,"LG14",2448263,0.0045
"642",6274,"LG12",13367814,0.0566
"643",6281,"LG05",13987325,0.0216
"644",6305,"LG23",21996929,0.0499
"645",6306,"LG22",5816842,0.0817
"646",6314,"LG21",17634614,0.063
"647",6315,"LG16",4018052,0.1404
"648",6318,"LG22",4155074,0.3192
"649",6319,"LG15",19420916,0.0741
"650",6329,"LG23",21886964,0.0077
"651",6336,"LG04",22391945,0.0164
"652",6361,"LG04",30932637,0.0774
"653",6371,"LG09",12563605,0.0237
"654",6373,"LG05",21283225,0.0154
"655",6375,"LG19",11997231,0.0186
"656",6399,"LG14",5683106,0.7671
"657",6403,"LG16",8943107,0.3552
"658",6408,"LG19",14198859,0.0245
"659",6409,"LG01",4436885,0.0152
"660",6410,"LG01",26825592,0.201
"661",6417,"LG15",20574788,0.0019
"662",6429,"LG03",23213450,0.8463
"663",6431,"LG03",8422729,0.6753
"664",6443,"LG19",20268119,0.033
"665",6454,"LG16",1542135,0.0712
"666",6455,"LG22",15046716,0.2128
"667",6458,"LG11",20093783,0.1183
"668",6475,"LG05",21055047,0.0057
"669",6484,"LG11",1042714,-0.0021
"670",6519,"LG04",18598746,0.0856
"671",6522,"LG04",23060319,0.0537
"672",6529,"LG14",24614133,0.0091
"673",6560,"LG21",8656873,0.3062
"674",6561,"LG03",8095778,0.0289
"675",6566,"LG22",4033916,0.0063
"676",6576,"LG20",11159306,0.0781
"677",6597,"LG14",17715921,0.3852
"678",6602,"LG16",27639940,0.0332
"679",6625,"LG06",11463992,0.0031
"680",6627,"LG10",11310688,0.7365
"681",6629,"LG10",11533345,0.0133
"682",6649,"LG18",13687553,0.0388
"683",6652,"LG06",16314186,0.0402
"684",6658,"LG15",22394483,0.5222
"685",6665,"LG07",10278971,0.0018
"686",6667,"LG17",15304044,0.0564
"687",6675,"LG18",13914452,0.0382
"688",6679,"LG11",5282172,0.0029
"689",6683,"LG02",14489616,0.0074
"690",6687,"LG01",19131955,0.1558
"691",6697,"LG07",16303464,0.142
"692",6701,"LG10",7469127,0.0427
"693",6715,"LG16",7665425,0.0119
"694",6721,"LG21",14929531,0.0592
"695",6724,"LG04",12927236,0.0084
"696",6729,"LG11",19415556,0.0898
"697",6757,"LG11",5861158,0.026
"698",6759,"LG11",23114107,0.0304
"699",6768,"LG03",22113564,0.4256
"700",6771,"LG08",6712888,0.1377
"701",6797,"LG11",11597003,0.1751
"702",6807,"LG05",9917870,0.0082
"703",6816,"LG23",3208908,0.0564
"704",6822,"LG19",1605268,0.0104
"705",6823,"LG13",5583349,0.0718
"706",6824,"LG19",3058303,0.0058
"707",6833,"LG06",8602962,0.0359
