Locus	LG	Position
6225	LG01	17343059
6229	LG08	18383781
6230	LG18	7614232
6248	LG19	16037056
6255	LG14	5019741
6259	LG04	26274693
6260	LG06	5630445
6268	LG14	2448263
6274	LG12	13367814
6281	LG05	13987325
6305	LG23	21996929
6306	LG22	5816842
6314	LG21	17634614
6315	LG16	4018052
6318	LG22	4155074
6319	LG15	19420916
6329	LG23	21886964
6336	LG04	22391945
6361	LG04	30932637
6371	LG09	12563605
6373	LG05	21283225
6375	LG19	11997231
6399	LG14	5683106
6403	LG16	8943107
6408	LG19	14198859
6409	LG01	4436885
6410	LG01	26825592
6417	LG15	20574788
6429	LG03	23213450
6431	LG03	8422729
6443	LG19	20268119
6454	LG16	1542135
6455	LG22	15046716
6458	LG11	20093783
6475	LG05	21055047
6484	LG11	1042714
6519	LG04	18598746
6522	LG04	23060319
6529	LG14	24614133
6560	LG21	8656873
6561	LG03	8095778
6566	LG22	4033916
6576	LG20	11159306
6597	LG14	17715921
6602	LG16	27639940
6625	LG06	11463992
6627	LG10	11310688
6629	LG10	11533345
6649	LG18	13687553
6652	LG06	16314186
6658	LG15	22394483
6665	LG07	10278971
6667	LG17	15304044
6675	LG18	13914452
6679	LG11	5282172
6683	LG02	14489616
6687	LG01	19131955
6697	LG07	16303464
6701	LG10	7469127
6715	LG16	7665425
6721	LG21	14929531
6724	LG04	12927236
6729	LG11	19415556
6757	LG11	5861158
6759	LG11	23114107
6768	LG03	22113564
6771	LG08	6712888
6797	LG11	11597003
6807	LG05	9917870
6816	LG23	3208908
6822	LG19	1605268
6823	LG13	5583349
6824	LG19	3058303
6833	LG06	8602962
6835	LG16	27854868
6837	LG18	15711767
6846	LG23	10359919
6878	LG15	20381790
6886	LG18	10393365
6887	LG02	11466154
6899	LG19	11783148
6905	LG02	12664662
6910	LG08	14381535
6913	LG22	19647984
6925	LG16	10109560
6926	LG15	8356855
6931	LG13	1712116
6944	LG05	18764110
6947	LG20	16306049
6960	LG19	20652306
6962	LG19	17900522
6969	LG15	12665066
6971	LG03	2817594
6983	LG22	10201369
6988	LG21	6125777
6995	LG04	11127341
6996	LG15	25019581
7002	LG19	17418336
7004	LG16	9080156
7007	LG09	23336651
7009	LG21	3588670
7013	LG09	20831066
7014	LG16	6829220
7028	LG11	20055468
7046	LG08	6188289
7055	LG03	7555515
7058	LG08	559820
7060	LG11	20342445
7074	LG04	1318831
7083	LG15	19440584
7086	LG12	20716376
7104	LG09	11767651
7109	LG09	5317086
7127	LG20	22112286
7128	LG09	1204897
7132	LG02	8637797
7134	LG16	9928551
7138	LG15	12403451
7139	LG04	26379247
7146	LG16	14444768
7161	LG11	16069381
7164	LG03	20693275
7171	LG07	16286288
7193	LG15	22684695
7203	LG14	11703918
7214	LG10	7431430
7222	LG06	11943557
7223	LG15	22520795
7227	LG16	2099638
7228	LG06	16749559
7268	LG11	16731790
7275	LG01	22595118
7283	LG23	18658490
7298	LG13	1297768
7327	LG03	7200162
7332	LG02	14302912
7335	LG19	13457677
7357	LG09	3905299
7370	LG15	4576668
7384	LG10	1352427
7391	LG06	22765329
7395	LG07	30555580
7399	LG04	4348381
7419	LG23	5629536
7421	LG19	3097487
7431	LG12	3326685
7452	LG06	22290578
7453	LG10	13650399
7457	LG11	22023654
7469	LG11	23808602
7485	LG03	10832030
7489	LG13	16655985
7490	LG16	25266093
7494	LG05	13987237
7498	LG14	17772081
7505	LG10	17051602
7521	LG08	388630
7524	LG11	5099569
7526	LG15	16449383
7532	LG05	17898748
7545	LG01	9399694
7565	LG12	19921439
7570	LG13	18649897
7573	LG01	13566886
7574	LG12	6911449
7593	LG12	7881258
7598	LG04	26623344
7605	LG13	3180911
7641	LG21	14345110
7643	LG04	27733899
7655	LG20	19740349
7656	LG17	7872499
7671	LG01	15937558
7674	LG12	19252364
7690	LG14	11180651
7698	LG14	27129721
7713	LG06	6229137
7715	LG03	14049056
7726	LG06	14765352
7730	LG15	12292251
7739	LG05	6441228
7742	LG10	22750488
7747	LG13	8626858
7749	LG11	25187021
7754	LG23	22966482
7755	LG11	25803771
7763	LG07	7478136
7791	LG10	7813573
7793	LG01	14654622
7803	LG13	19032494
7833	LG13	8128067
7865	LG08	11365031
7869	LG17	10688746
7874	LG20	20332243
7875	LG07	11452690
7880	LG09	21400794
7890	LG14	13284482
7902	LG09	7623356
7910	LG14	6573265
7915	LG06	1682281
7916	LG09	13322211
7922	LG05	20956146
7942	LG11	11237956
7945	LG22	16800409
7962	LG04	22010636
7965	LG04	10785649
7969	LG13	7922976
7974	LG08	16567202
7975	LG03	8603130
8002	LG08	7093665
8008	LG03	16558526
8013	LG14	26001868
8016	LG06	11515636
8018	LG04	18659305
8027	LG05	11481749
8033	LG10	10895467
8037	LG12	5532228
8045	LG02	18447659
8055	LG12	3340389
8056	LG22	15240992
8058	LG05	21116866
8062	LG12	3185817
8079	LG05	5792527
8098	LG05	7346643
8100	LG07	11428517
8103	LG08	667242
8119	LG05	15521040
8124	LG09	23766555
8147	LG12	25485725
8150	LG19	9468457
8182	LG06	20025483
8198	LG13	16144580
8206	LG16	26782565
8209	LG16	8038342
8212	LG13	9273834
8242	LG01	7621451
8260	LG16	27304295
8277	LG02	5947585
8278	LG12	6752117
8289	LG22	20459822
8295	LG13	24899963
8353	LG09	10677285
8375	LG03	11594755
8427	LG15	19711784
8440	LG20	15925375
8457	LG08	12642938
8465	LG06	22765417
8471	LG21	4831712
8484	LG22	19029332
8499	LG04	23394825
8506	LG20	6963656
8514	LG21	5112341
8536	LG11	11875912
8554	LG23	4965463
8568	LG01	14990824
8574	LG06	16214891
8596	LG13	3111762
8597	LG10	16803083
8601	LG15	10911179
8606	LG18	18859511
8641	LG11	17280494
8642	LG20	22696666
8666	LG03	10413018
8669	LG13	10893231
8671	LG16	14413278
8679	LG20	8303041
8719	LG07	10263395
8726	LG14	17015235
8727	LG15	1282872
8747	LG19	10319156
8759	LG15	24908542
8769	LG17	9185034
8778	LG02	19375815
8789	LG01	11152405
8797	LG08	26389490
8798	LG10	24193411
8803	LG08	8178775
8810	LG12	7061780
8811	LG11	17486981
8819	LG09	10907105
8820	LG05	23467616
8827	LG17	4130127
8831	LG21	12302764
8840	LG21	7607298
8847	LG14	1030467
8867	LG21	20949290
8872	LG06	12940079
8882	LG12	21274945
8885	LG14	23077035
8890	LG07	6489881
8898	LG07	9012236
8910	LG04	27733987
8919	LG20	15956877
8936	LG23	7449359
8993	LG08	5321989
9000	LG01	20164805
9012	LG12	2510601
9037	LG02	22603309
9041	LG07	12528497
9043	LG03	19476998
9061	LG12	8785295
9066	LG09	11242786
9077	LG09	5295753
9079	LG21	5024714
9085	LG20	18816719
9091	LG12	25336179
9102	LG14	7840939
9105	LG08	15659098
9131	LG20	2330881
9135	LG06	12182054
9140	LG19	5351389
9144	LG16	19012335
9158	LG11	6826719
9164	LG07	16991607
9168	LG19	9468369
9174	LG05	21240325
9187	LG15	12299422
9190	LG17	6640394
9191	LG11	18886155
9203	LG11	12511703
9205	LG11	11238044
9210	LG18	5958819
9211	LG22	11875758
9218	LG20	23516462
9228	LG15	14543912
9231	LG13	16521924
9251	LG11	26642181
9260	LG18	18899213
9275	LG22	20046047
9280	LG05	12095423
9284	LG08	17713996
9305	LG01	16799615
9308	LG04	32661853
9323	LG21	22259790
9331	LG19	4094309
9362	LG07	3546992
9364	LG08	26716462
9415	LG23	3879604
9421	LG01	24972595
9452	LG10	19417830
9454	LG01	20940596
9455	LG17	15511310
9456	LG01	12895039
9458	LG11	16016506
9500	LG05	10954817
9514	LG18	10685719
9539	LG15	25684151
9549	LG10	17848565
9559	LG01	16809414
9576	LG09	10727534
9580	LG23	15099859
9582	LG06	16749471
9585	LG11	11440099
9590	LG17	14394793
9596	LG01	11383360
9611	LG09	16641125
9625	LG01	23464462
9631	LG22	7464301
9632	LG02	6571036
9634	LG16	13079095
9663	LG13	3663429
9664	LG07	2897347
9665	LG04	26146674
9668	LG09	15119144
9675	LG14	20158765
9679	LG08	11452987
9682	LG16	21936621
9704	LG03	24677592
9714	LG04	15238228
9717	LG14	5541915
9733	LG19	14349424
9738	LG13	8668477
9740	LG16	13248239
9741	LG02	5980256
9755	LG10	13377165
9765	LG06	9501710
9770	LG14	1996083
9776	LG04	1846805
9782	LG13	18981816
9800	LG07	21196530
9808	LG15	15915117
9811	LG11	11843840
9812	LG18	1096221
9822	LG20	6455582
9833	LG17	10130791
9840	LG04	3791168
9845	LG13	18630044
9850	LG04	4223942
9855	LG20	8445572
9864	LG03	22541811
9865	LG21	10935303
9869	LG02	21189459
9870	LG01	25537657
9886	LG23	2904649
9888	LG08	19299110
9922	LG17	1142573
9926	LG01	23296870
9961	LG08	6315453
9964	LG21	10996710
9965	LG01	22419167
9967	LG06	5507919
9970	LG20	21800201
9971	LG01	20704098
9979	LG12	20945653
9983	LG03	9887414
9986	LG10	9602660
9993	LG22	7888634
9996	LG01	26278925
10001	LG18	14361526
10012	LG02	8567215
10024	LG05	2172020
10028	LG04	27899953
10029	LG13	1297680
10038	LG08	7161481
10055	LG13	10448774
10061	LG08	15659186
10063	LG03	6310553
10092	LG14	16098827
10117	LG06	4090233
10135	LG08	4579627
10136	LG04	19736434
10151	LG18	11939298
10153	LG05	17965979
10165	LG10	9113932
10172	LG09	3075444
10178	LG06	11324595
10191	LG02	5034803
10198	LG09	13840201
10199	LG19	20452984
10207	LG12	19645674
10210	LG07	8879525
10214	LG18	19330293
10215	LG07	11803415
10217	LG12	22048248
10226	LG21	6811994
10232	LG16	26051334
10236	LG23	16472284
10245	LG14	12893504
10257	LG20	5865254
10261	LG14	11519911
10263	LG12	5229610
10285	LG07	14894969
10319	LG23	12543949
10336	LG09	17620926
10354	LG08	2240599
10392	LG08	22476566
10401	LG08	23374487
10410	LG14	6016044
10413	LG03	19637006
10414	LG16	17455883
10421	LG08	9228751
10425	LG16	24274630
10429	LG05	2555026
10431	LG08	10365018
10440	LG18	9448091
10462	LG14	11822248
10466	LG01	25246286
10480	LG16	30812733
10488	LG05	5151374
10495	LG04	30851725
10497	LG12	3555248
10523	LG14	27045748
10524	LG01	15222575
10527	LG13	6589303
10530	LG20	5796135
10538	LG23	7622332
10539	LG15	4351655
10552	LG21	7506255
10560	LG17	11340830
10568	LG20	21700706
10581	LG18	8738909
10584	LG06	24235014
10585	LG04	22250919
10589	LG07	24601198
10595	LG18	19191660
10618	LG13	14844340
10620	LG19	1053140
10632	LG08	24314213
10667	LG23	10179282
10675	LG23	19071795
10680	LG01	16535358
10689	LG23	16518732
10706	LG04	9581815
10712	LG10	13525125
10732	LG20	10708777
10742	LG15	16381554
10753	LG20	8899266
10760	LG18	19613888
10813	LG12	1339414
10820	LG23	22823800
10823	LG06	3377386
10828	LG11	16821051
10833	LG13	6992964
10836	LG20	17324031
10838	LG05	17222349
10839	LG15	20569522
10857	LG04	19775761
10872	LG13	2826437
10882	LG05	11668653
10921	LG18	12320425
10945	LG06	13049243
10953	LG21	14345198
10954	LG14	13316350
10955	LG06	3757008
10960	LG13	24575456
10974	LG14	24427881
10978	LG11	3709479
11001	LG03	14489701
11039	LG12	23498325
11053	LG16	6506277
11072	LG18	1753151
11088	LG09	13625473
11113	LG18	8305419
11115	LG01	9595976
11116	LG13	23508205
11119	LG13	16168416
11132	LG08	8582009
11146	LG20	10708865
11147	LG22	1861078
11149	LG07	14869558
11154	LG13	20413713
11158	LG02	16095487
11162	LG03	25703336
11176	LG07	27362617
11191	LG05	20436363
11234	LG16	11625756
11240	LG04	19204065
11262	LG20	3439675
11273	LG02	17972205
11294	LG13	11882479
11304	LG02	4112741
11313	LG14	11519823
11325	LG13	7918800
11336	LG23	17114644
11337	LG17	15326186
11346	LG15	17655023
11351	LG21	9828239
11371	LG04	397181
11377	LG03	22091321
11378	LG02	7657629
11386	LG15	19591012
11395	LG06	20300416
11406	LG07	27267119
11408	LG10	6902002
11415	LG12	25161775
11422	LG18	13594708
11437	LG01	4662599
11443	LG21	5151457
11447	LG14	8514447
11454	LG18	7277678
11476	LG16	23192284
11500	LG07	22421100
11504	LG01	24263046
11505	LG15	4956975
11509	LG05	3589620
11537	LG22	19413456
11552	LG15	14987505
11566	LG07	28941938
11568	LG10	14106936
11574	LG17	10579200
11575	LG19	11834337
11609	LG20	677054
11655	LG08	10023947
11663	LG06	6786952
11675	LG23	9980807
11686	LG19	20003266
11691	LG09	8580099
11710	LG20	1235400
11711	LG01	14052789
11714	LG23	1316258
11717	LG05	22040377
11722	LG12	22026053
11733	LG06	16479887
11738	LG05	17317386
11754	LG13	25056110
11759	LG08	18102613
11760	LG07	9519203
11770	LG12	5439863
11789	LG15	19532910
11793	LG15	18961655
11805	LG12	25684710
11817	LG07	8208238
11835	LG15	1312367
11843	LG16	8907544
11848	LG09	11140996
11853	LG06	5224140
11860	LG07	24334636
11878	LG12	7385906
11880	LG12	8638270
11889	LG20	23418653
11895	LG10	16877062
11899	LG16	16177834
11902	LG07	22046260
11905	LG03	970105
11910	LG10	22004313
11912	LG11	25064455
11929	LG09	24360567
11951	LG18	22543425
11952	LG11	8363291
11963	LG18	17646673
11964	LG17	15924327
11987	LG14	23945143
11997	LG07	11912940
12001	LG01	15477998
12030	LG15	3590544
12055	LG13	7298389
12064	LG08	10043041
12065	LG02	9912651
12068	LG19	9420848
12082	LG01	19122718
12083	LG13	13895706
12099	LG15	2399558
12101	LG12	3058067
12106	LG13	20617173
12108	LG13	414978
12116	LG05	5496922
12123	LG06	1575634
12155	LG14	24906321
12158	LG14	2519559
12161	LG02	704956
12190	LG03	15406459
12197	LG09	20932000
12199	LG10	16892873
12205	LG01	144969
12207	LG08	22454411
12213	LG20	6716434
12218	LG16	27383916
12220	LG06	23763699
12233	LG15	2168412
12277	LG20	4368395
12279	LG20	22345154
12288	LG06	18486795
12294	LG19	4553077
12295	LG15	20811419
12297	LG13	16758062
12299	LG07	26908342
12320	LG20	9208037
12322	LG18	3184470
12329	LG13	10351604
12332	LG20	3304957
12337	LG05	17283576
12352	LG04	25253747
12394	LG07	27314143
12403	LG12	12909587
12406	LG07	26600311
12407	LG12	1776134
12415	LG16	28107350
12418	LG02	14859025
12425	LG15	18613652
