Locus	LG	Position	C.Position
14631	LG01	11501011	11501011
14720	LG01	14360204	14360204
14875	LG01	10197087	10197087
15037	LG01	13433828	13433828
15053	LG01	16100804	16100804
15101	LG01	12649995	12649995
15232	LG01	1020445	1020445
15240	LG01	7286931	7286931
15393	LG01	20244563	20244563
15443	LG01	20190362	20190362
15542	LG01	15459652	15459652
15543	LG01	3923225	3923225
15675	LG01	8990063	8990063
15825	LG01	15865506	15865506
15925	LG01	26825871	26825871
16039	LG01	3360383	3360383
16040	LG01	214355	214355
16074	LG01	4167803	4167803
16209	LG01	6164035	6164035
16291	LG01	14215233	14215233
16522	LG01	16029166	16029166
16630	LG01	1729054	1729054
16955	LG01	4680553	4680553
17183	LG01	14174929	14174929
17342	LG01	13165795	13165795
17389	LG01	7446313	7446313
17561	LG01	11481567	11481567
17825	LG01	6887258	6887258
17920	LG01	4183466	4183466
18308	LG01	22419255	22419255
18309	LG01	4438940	4438940
18436	LG01	17564712	17564712
18954	LG01	13155892	13155892
19340	LG01	25547121	25547121
19716	LG01	13543599	13543599
20154	LG01	19065023	19065023
20195	LG01	4436797	4436797
20222	LG01	15949701	15949701
20245	LG01	14915282	14915282
20437	LG01	8869410	8869410
20457	LG01	21157641	21157641
20511	LG01	27684673	27684673
20559	LG01	8160450	8160450
20794	LG01	6675702	6675702
20926	LG01	19851693	19851693
21801	LG01	3842286	3842286
21843	LG01	14174841	14174841
22411	LG01	27524858	27524858
22437	LG01	6834192	6834192
22550	LG01	14185276	14185276
22557	LG01	6249994	6249994
22978	LG01	11703390	11703390
23057	LG01	8762573	8762573
23449	LG01	9519370	9519370
23556	LG01	8703318	8703318
23711	LG01	14052877	14052877
24083	LG01	4439028	4439028
24324	LG01	13359280	13359280
24372	LG01	17254201	17254201
24416	LG01	12866975	12866975
24465	LG01	11562805	11562805
24546	LG01	15695766	15695766
24643	LG01	8762661	8762661
24673	LG01	12331744	12331744
24866	LG01	21344701	21344701
24874	LG01	6163947	6163947
24934	LG01	22930946	22930946
25050	LG01	6778344	6778344
25095	LG01	28089675	28089675
111	LG02	19524547	47828499
368	LG02	8817267	37121219
1855	LG02	23270633	51574585
1858	LG02	13158554	41462506
2227	LG02	1753025	30056977
3116	LG02	12426111	40730063
3172	LG02	14430240	42734192
3550	LG02	14550854	42854806
3623	LG02	12024231	40328183
3721	LG02	18900520	47204472
4789	LG02	16999398	45303350
5650	LG02	3684400	31988352
5819	LG02	2217111	30521063
5851	LG02	21921687	50225639
6156	LG02	15037451	43341403
6683	LG02	14489616	42793568
6887	LG02	11466154	39770106
6905	LG02	12664662	40968614
7132	LG02	8637797	36941749
7332	LG02	14302912	42606864
8045	LG02	18447659	46751611
8277	LG02	5947585	34251537
8778	LG02	19375815	47679767
9037	LG02	22603309	50907261
9632	LG02	6571036	34874988
9741	LG02	5980256	34284208
9869	LG02	21189459	49493411
10012	LG02	8567215	36871167
10191	LG02	5034803	33338755
11158	LG02	16095487	44399439
11273	LG02	17972205	46276157
11304	LG02	4112741	32416693
11378	LG02	7657629	35961581
12065	LG02	9912651	38216603
12161	LG02	704956	29008908
12418	LG02	14859025	43162977
12434	LG02	18018124	46322076
12517	LG02	21189371	49493323
12739	LG02	12116786	40420738
13038	LG02	5142106	33446058
13362	LG02	23374742	51678694
13488	LG02	20259945	48563897
14249	LG02	17331983	45635935
14890	LG02	3068799	31372751
15109	LG02	16919317	45223269
16006	LG02	21973340	50277292
16683	LG02	5502143	33806095
17332	LG02	12300457	40604409
17391	LG02	19424468	47728420
17606	LG02	4524449	32828401
17978	LG02	18279914	46583866
17985	LG02	19239438	47543390
18002	LG02	5475402	33779354
18049	LG02	15045848	43349800
18197	LG02	16980393	45284345
18561	LG02	479150	28783102
18582	LG02	21499796	49803748
19126	LG02	11403166	39707118
19598	LG02	20048778	48352730
19616	LG02	3134816	31438768
19750	LG02	6566985	34870937
20516	LG02	20985519	49289471
20552	LG02	7704733	36008685
20570	LG02	3848141	32152093
20572	LG02	19225999	47529951
21078	LG02	22029483	50333435
21678	LG02	19100209	47404161
22330	LG02	1459777	29763729
22340	LG02	19082581	47386533
22508	LG02	19309451	47613403
22699	LG02	13825179	42129131
23112	LG02	19178339	47482291
23617	LG02	22626275	50930227
23926	LG02	16657950	44961902
24099	LG02	13321868	41625820
24101	LG02	21722681	50026633
24102	LG02	20941121	49245073
24148	LG02	9902304	38206256
24399	LG02	10882413	39186365
24967	LG02	6619063	34923015
101	LG03	20685759	73044117
169	LG03	15330761	67689119
402	LG03	8465112	60823470
481	LG03	26628801	78987159
859	LG03	17266739	69625097
1075	LG03	20702986	73061344
1085	LG03	9056737	61415095
1287	LG03	7081654	59440012
1293	LG03	16152548	68510906
1420	LG03	1176528	53534886
1995	LG03	20433399	72791757
2371	LG03	8761931	61120289
2549	LG03	18928852	71287210
2647	LG03	8603218	60961576
2995	LG03	20582299	72940657
3004	LG03	16947961	69306319
3035	LG03	3826569	56184927
3761	LG03	20306369	72664727
4002	LG03	8053673	60412031
4025	LG03	24223878	76582236
4547	LG03	27350741	79709099
4747	LG03	27467753	79826111
4815	LG03	12288968	64647326
4832	LG03	525362	52883720
4863	LG03	27837891	80196249
4918	LG03	28992011	81350369
5293	LG03	7267492	59625850
5479	LG03	28918553	81276911
5804	LG03	27076011	79434369
6147	LG03	2759270	55117628
6429	LG03	23213450	75571808
6431	LG03	8422729	60781087
6561	LG03	8095778	60454136
6768	LG03	22113564	74471922
6971	LG03	2817594	55175952
7055	LG03	7555515	59913873
7164	LG03	20693275	73051633
7327	LG03	7200162	59558520
7485	LG03	10832030	63190388
7715	LG03	14049056	66407414
7975	LG03	8603130	60961488
8008	LG03	16558526	68916884
8375	LG03	11594755	63953113
8666	LG03	10413018	62771376
9043	LG03	19476998	71835356
9704	LG03	24677592	77035950
9864	LG03	22541811	74900169
9983	LG03	9887414	62245772
10063	LG03	6310553	58668911
10413	LG03	19637006	71995364
11001	LG03	14489701	66848059
11162	LG03	25703336	78061694
11377	LG03	22091321	74449679
11905	LG03	970105	53328463
12190	LG03	15406459	67764817
12579	LG03	5782208	58140566
12623	LG03	23860880	76219238
12641	LG03	5337885	57696243
12881	LG03	22108213	74466571
12892	LG03	714072	53072430
13591	LG03	19343259	71701617
13796	LG03	5379523	57737881
14432	LG03	10654173	63012531
14459	LG03	28067721	80426079
14595	LG03	27423553	79781911
14915	LG03	7800068	60158426
15069	LG03	20311656	72670014
15150	LG03	7669281	60027639
15290	LG03	7794247	60152605
15386	LG03	11769363	64127721
15442	LG03	23446575	75804933
15903	LG03	7655613	60013971
15927	LG03	29283876	81642234
15965	LG03	7238280	59596638
16089	LG03	6574564	58932922
16127	LG03	5549836	57908194
16179	LG03	27266677	79625035
16262	LG03	11326896	63685254
16706	LG03	8053761	60412119
17132	LG03	11263632	63621990
17134	LG03	14854029	67212387
17580	LG03	5317343	57675701
17745	LG03	6291658	58650016
18287	LG03	6394974	58753332
18415	LG03	27141255	79499613
18535	LG03	23373618	75731976
18625	LG03	17142800	69501158
18937	LG03	11600893	63959251
19010	LG03	13024108	65382466
19081	LG03	7238162	59596520
19255	LG03	19837223	72195581
19329	LG03	24955295	77313653
19425	LG03	10767687	63126045
19441	LG03	5484346	57842704
20130	LG03	22446759	74805117
20148	LG03	28122202	80480560
20484	LG03	3789505	56147863
20490	LG03	25668424	78026782
20898	LG03	6721773	59080131
21046	LG03	18033092	70391450
21613	LG03	7275254	59633612
22270	LG03	2331790	54690148
22404	LG03	17122075	69480433
22447	LG03	12068674	64427032
22895	LG03	24988455	77346813
23276	LG03	11572191	63930549
23508	LG03	2759358	55117716
23591	LG03	23913948	76272306
23703	LG03	20880357	73238715
23732	LG03	18399324	70757682
23967	LG03	20590982	72949340
24194	LG03	23926965	76285323
24203	LG03	16651829	69010187
24223	LG03	20683932	73042290
24288	LG03	788105	53146463
24370	LG03	10352186	62710544
24712	LG03	16739655	69098013
25164	LG03	21493309	73851667
18	LG04	17492843	99302256
164	LG04	20273388	102082801
221	LG04	1318919	83128332
1091	LG04	987643	82797056
1122	LG04	16838600	98648013
1162	LG04	31408269	113217682
1392	LG04	31306420	113115833
1929	LG04	20273300	102082713
2010	LG04	2875965	84685378
2154	LG04	24968352	106777765
2176	LG04	18406174	100215587
2253	LG04	29344460	111153873
2621	LG04	378962	82188375
4013	LG04	33514896	115324309
4212	LG04	33598863	115408276
4230	LG04	23389886	105199299
4898	LG04	30578438	112387851
4998	LG04	29833176	111642589
5109	LG04	27524826	109334239
5171	LG04	27557653	109367066
5520	LG04	18708578	100517991
5593	LG04	32604286	114413699
5746	LG04	28800174	110609587
5824	LG04	9835263	91644676
6259	LG04	26274693	108084106
6336	LG04	22391945	104201358
6361	LG04	30932637	112742050
6519	LG04	18598746	100408159
6522	LG04	23060319	104869732
6724	LG04	12927236	94736649
6995	LG04	11127341	92936754
7074	LG04	1318831	83128244
7139	LG04	26379247	108188660
7399	LG04	4348381	86157794
7598	LG04	26623344	108432757
7643	LG04	27733899	109543312
7962	LG04	22010636	103820049
7965	LG04	10785649	92595062
8018	LG04	18659305	100468718
8499	LG04	23394825	105204238
8910	LG04	27733987	109543400
9308	LG04	32661853	114471266
9665	LG04	26146674	107956087
9714	LG04	15238228	97047641
9776	LG04	1846805	83656218
9840	LG04	3791168	85600581
9850	LG04	4223942	86033355
10028	LG04	27899953	109709366
10136	LG04	19736434	101545847
10495	LG04	30851725	112661138
10585	LG04	22250919	104060332
10706	LG04	9581815	91391228
10857	LG04	19775761	101585174
11240	LG04	19204065	101013478
11371	LG04	397181	82206594
12352	LG04	25253747	107063160
12804	LG04	837997	82647410
13278	LG04	8519373	90328786
13443	LG04	13609177	95418590
13745	LG04	9931089	91740502
13927	LG04	4562289	86371702
14472	LG04	30956502	112765915
15636	LG04	19538551	101347964
15799	LG04	13337940	95147353
15910	LG04	17189095	98998508
16212	LG04	22949444	104758857
16474	LG04	14767734	96577147
16620	LG04	18616085	100425498
16678	LG04	21931509	103740922
16800	LG04	17712984	99522397
17085	LG04	17429376	99238789
17357	LG04	18182664	99992077
17909	LG04	27400513	109209926
18193	LG04	26465366	108274779
18508	LG04	20070601	101880014
18648	LG04	19725566	101534979
19756	LG04	17689844	99499257
19863	LG04	29592965	111402378
20026	LG04	23683586	105492999
20158	LG04	25712430	107521843
20255	LG04	17092539	98901952
20354	LG04	25968078	107777491
20413	LG04	22474367	104283780
21339	LG04	10785561	92594974
22034	LG04	23376531	105185944
22387	LG04	15238316	97047729
22434	LG04	15803099	97612512
22705	LG04	17429463	99238876
22930	LG04	34615017	116424430
23079	LG04	21683194	103492607
23191	LG04	19725654	101535067
23705	LG04	30578350	112387763
23824	LG04	1450506	83259919
23845	LG04	17671956	99481369
23884	LG04	20800759	102610172
23964	LG04	29517813	111327226
23999	LG04	26670688	108480101
24621	LG04	7835287	89644700
24642	LG04	29224003	111033416
25012	LG04	13867153	95676566
25151	LG04	33904455	115713868
589	LG05	2535105	119149840
1362	LG05	11738400	128353135
1968	LG05	10680722	127295457
1981	LG05	3174038	119788773
2046	LG05	11189734	127804469
2934	LG05	19374392	135989127
3217	LG05	1699089	118313824
3332	LG05	10227092	126841827
3934	LG05	13727188	130341923
4071	LG05	10063762	126678497
4255	LG05	19773629	136388364
4484	LG05	3970822	120585557
4613	LG05	23973460	140588195
4644	LG05	11293151	127907886
4761	LG05	10222929	126837664
4818	LG05	13382747	129997482
4868	LG05	9883509	126498244
5008	LG05	19790330	136405065
5071	LG05	2633866	119248601
5427	LG05	18739983	135354718
5469	LG05	21906804	138521539
5481	LG05	5118361	121733096
5600	LG05	20613309	137228044
5624	LG05	3688022	120302757
5775	LG05	19917386	136532121
6124	LG05	14374414	130989149
6281	LG05	13987325	130602060
6373	LG05	21283225	137897960
6475	LG05	21055047	137669782
6807	LG05	9917870	126532605
6944	LG05	18764110	135378845
7494	LG05	13987237	130601972
7532	LG05	17898748	134513483
7739	LG05	6441228	123055963
7922	LG05	20956146	137570881
8027	LG05	11481749	128096484
8058	LG05	21116866	137731601
8079	LG05	5792527	122407262
8098	LG05	7346643	123961378
8119	LG05	15521040	132135775
8820	LG05	23467616	140082351
9174	LG05	21240325	137855060
9280	LG05	12095423	128710158
9500	LG05	10954817	127569552
10024	LG05	2172020	118786755
10153	LG05	17965979	134580714
10429	LG05	2555026	119169761
10488	LG05	5151374	121766109
10838	LG05	17222349	133837084
10882	LG05	11668653	128283388
11191	LG05	20436363	137051098
11509	LG05	3589620	120204355
11717	LG05	22040377	138655112
11738	LG05	17317386	133932121
12116	LG05	5496922	122111657
12337	LG05	17283576	133898311
12670	LG05	11651084	128265819
13066	LG05	10679060	127293795
13081	LG05	12942571	129557306
13100	LG05	5100690	121715425
13258	LG05	23305723	139920458
13345	LG05	63205	116677940
13846	LG05	14410779	131025514
13902	LG05	5860607	122475342
14489	LG05	6441140	123055875
14897	LG05	21210136	137824871
15139	LG05	21923875	138538610
15300	LG05	13640918	130255653
15382	LG05	11546705	128161440
15494	LG05	18979819	135594554
15986	LG05	11755143	128369878
17173	LG05	9941308	126556043
17328	LG05	11002377	127617112
17683	LG05	12036263	128650998
17718	LG05	21496059	138110794
17737	LG05	11138867	127753602
17738	LG05	23403828	140018563
18637	LG05	21652083	138266818
18906	LG05	9579838	126194573
18925	LG05	11763208	128377943
18961	LG05	17939989	134554724
18975	LG05	2579067	119193802
19118	LG05	14061436	130676171
20042	LG05	12599556	129214291
20048	LG05	14614304	131229039
20144	LG05	14401240	131015975
20425	LG05	6497308	123112043
20744	LG05	23975122	140589857
20786	LG05	17675806	134290541
20952	LG05	14175080	130789815
21290	LG05	16180064	132794799
21572	LG05	4258516	120873251
21641	LG05	2417332	119032067
21649	LG05	13154753	129769488
22425	LG05	13640830	130255565
22431	LG05	10067172	126681907
22608	LG05	3283415	119898150
22739	LG05	11633495	128248230
23337	LG05	20278724	136893459
24009	LG05	12735878	129350613
24409	LG05	14290735	130905470
24504	LG05	11587563	128202298
24562	LG05	23204546	139819281
24920	LG05	19158882	135773617
24990	LG05	20206853	136821588
36	LG06	19545065	160233855
248	LG06	10068536	150757326
381	LG06	10890799	151579589
715	LG06	3477399	144166189
733	LG06	18660007	159348797
1054	LG06	19898749	160587539
1083	LG06	14627239	155316029
1281	LG06	16464160	157152950
1586	LG06	12783504	153472294
1618	LG06	11739101	152427891
1852	LG06	15446352	156135142
2331	LG06	15803151	156491941
2522	LG06	8028686	148717476
2847	LG06	12993351	153682141
2936	LG06	24359660	165048450
3109	LG06	23167696	163856486
3254	LG06	24218085	164906875
3690	LG06	5572528	146261318
3692	LG06	13048766	153737556
3806	LG06	10890711	151579501
3887	LG06	14278663	154967453
3940	LG06	7867156	148555946
4183	LG06	18511427	159200217
4398	LG06	18998161	159686951
4452	LG06	12297808	152986598
5232	LG06	19843692	160532482
5576	LG06	7858844	148547634
5770	LG06	9501622	150190412
6157	LG06	14713694	155402484
6260	LG06	5630445	146319235
6625	LG06	11463992	152152782
6652	LG06	16314186	157002976
6833	LG06	8602962	149291752
7222	LG06	11943557	152632347
7228	LG06	16749559	157438349
7391	LG06	22765329	163454119
7452	LG06	22290578	162979368
7713	LG06	6229137	146917927
7726	LG06	14765352	155454142
7915	LG06	1682281	142371071
8016	LG06	11515636	152204426
8182	LG06	20025483	160714273
8465	LG06	22765417	163454207
8574	LG06	16214891	156903681
8872	LG06	12940079	153628869
9135	LG06	12182054	152870844
9582	LG06	16749471	157438261
9765	LG06	9501710	150190500
9967	LG06	5507919	146196709
10117	LG06	4090233	144779023
10178	LG06	11324595	152013385
10584	LG06	24235014	164923804
10823	LG06	3377386	144066176
10945	LG06	13049243	153738033
10955	LG06	3757008	144445798
11395	LG06	20300416	160989206
11663	LG06	6786952	147475742
11733	LG06	16479887	157168677
11853	LG06	5224140	145912930
12123	LG06	1575634	142264424
12220	LG06	23763699	164452489
12288	LG06	18486795	159175585
12439	LG06	22196497	162885287
12467	LG06	19011233	159700023
12477	LG06	6779590	147468380
12587	LG06	17333810	158022600
12701	LG06	653437	141342227
12746	LG06	5825278	146514068
12963	LG06	4294118	144982908
13308	LG06	6089527	146778317
13341	LG06	10553940	151242730
13547	LG06	17746245	158435035
13627	LG06	3338770	144027560
13829	LG06	3570789	144259579
13917	LG06	6569806	147258596
14022	LG06	7169083	147857873
14176	LG06	9604337	150293127
14285	LG06	20325025	161013815
14298	LG06	2745165	143433955
14572	LG06	3819643	144508433
14955	LG06	4090145	144778935
15549	LG06	22868996	163557786
15573	LG06	6638277	147327067
16504	LG06	23022030	163710820
17009	LG06	16861962	157550752
17139	LG06	6638189	147326979
17319	LG06	6641359	147330149
17347	LG06	1844542	142533332
17525	LG06	11739189	152427979
17557	LG06	3360539	144049329
17817	LG06	11955279	152644069
18159	LG06	23485475	164174265
18743	LG06	7692783	148381573
19466	LG06	22609209	163297999
19551	LG06	5223455	145912245
19990	LG06	10021608	150710398
20101	LG06	7734851	148423641
20153	LG06	9913232	150602022
20402	LG06	24374929	165063719
20590	LG06	7818590	148507380
20756	LG06	3568242	144257032
20867	LG06	15224176	155912966
21453	LG06	6580009	147268799
21643	LG06	3660867	144349657
22020	LG06	13229716	153918506
22208	LG06	4566002	145254792
22783	LG06	17151219	157840009
22921	LG06	9693517	150382307
23232	LG06	5400756	146089546
23587	LG06	24168683	164857473
23612	LG06	20772659	161461449
23638	LG06	20146836	160835626
23650	LG06	17098228	157787018
23788	LG06	19578433	160267223
24011	LG06	15433561	156122351
24028	LG06	10474106	151162896
24126	LG06	2155760	142844550
24359	LG06	7772098	148460888
24394	LG06	6040318	146729108
24868	LG06	17520164	158208954
24876	LG06	3270632	143959422
25211	LG06	6700502	147389292
63	LG07	8250504	174403914
851	LG07	6601613	172755023
1069	LG07	8185870	174339280
1258	LG07	27182155	193335565
2069	LG07	17433168	183586578
2520	LG07	12362085	178515495
2722	LG07	15353768	181507178
2735	LG07	13236326	179389736
2830	LG07	23332711	189486121
3111	LG07	16957862	183111272
3195	LG07	13297888	179451298
3284	LG07	9539930	175693340
3798	LG07	23461249	189614659
3860	LG07	15321950	181475360
3957	LG07	823426	166976836
4472	LG07	806594	166960004
4514	LG07	27682138	193835548
4637	LG07	15411923	181565333
4660	LG07	15879034	182032444
4681	LG07	23084471	189237881
4856	LG07	20645188	186798598
5031	LG07	12728851	178882261
5760	LG07	19207230	185360640
5953	LG07	14745545	180898955
6199	LG07	10968340	177121750
6665	LG07	10278971	176432381
6697	LG07	16303464	182456874
7171	LG07	16286288	182439698
7395	LG07	30555580	196708990
7763	LG07	7478136	173631546
7875	LG07	11452690	177606100
8100	LG07	11428517	177581927
8719	LG07	10263395	176416805
8890	LG07	6489881	172643291
8898	LG07	9012236	175165646
9041	LG07	12528497	178681907
9164	LG07	16991607	183145017
9362	LG07	3546992	169700402
9664	LG07	2897347	169050757
9800	LG07	21196530	187349940
10210	LG07	8879525	175032935
10215	LG07	11803415	177956825
10285	LG07	14894969	181048379
10589	LG07	24601198	190754608
11149	LG07	14869558	181022968
11176	LG07	27362617	193516027
11406	LG07	27267119	193420529
11500	LG07	22421100	188574510
11566	LG07	28941938	195095348
11760	LG07	9519203	175672613
11817	LG07	8208238	174361648
11860	LG07	24334636	190488046
11902	LG07	22046260	188199670
11997	LG07	11912940	178066350
12299	LG07	26908342	193061752
12394	LG07	27314143	193467553
12406	LG07	26600311	192753721
12524	LG07	11776764	177930174
12578	LG07	10968252	177121662
12946	LG07	26921264	193074674
12962	LG07	20991578	187144988
13556	LG07	545999	166699409
13732	LG07	4878672	171032082
13935	LG07	20916719	187070129
14207	LG07	18036273	184189683
14229	LG07	17194590	183348000
14474	LG07	17381364	183534774
14607	LG07	30202882	196356292
14667	LG07	9537995	175691405
14917	LG07	4571859	170725269
14978	LG07	12668629	178822039
15536	LG07	5891920	172045330
15645	LG07	21003278	187156688
15934	LG07	11782849	177936259
16062	LG07	12076536	178229946
16168	LG07	23331870	189485280
16218	LG07	16069098	182222508
16410	LG07	6570170	172723580
16425	LG07	27583603	193737013
16573	LG07	1633397	167786807
16718	LG07	27965978	194119388
17036	LG07	16603045	182756455
17133	LG07	9549553	175702963
17141	LG07	16146679	182300089
17216	LG07	29626247	195779657
17631	LG07	17895354	184048764
17835	LG07	9383414	175536824
17927	LG07	30249224	196402634
17993	LG07	28876115	195029525
18517	LG07	16558501	182711911
18721	LG07	21111562	187264972
19020	LG07	27371063	193524473
19107	LG07	25260051	191413461
19353	LG07	5397635	171551045
19520	LG07	29868988	196022398
19575	LG07	8476389	174629799
19685	LG07	28686518	194839928
19785	LG07	19665494	185818904
19904	LG07	18504536	184657946
19966	LG07	11913028	178066438
20197	LG07	21773059	187926469
20431	LG07	10311245	176464655
20656	LG07	12878857	179032267
20662	LG07	11931427	178084837
21249	LG07	438846	166592256
21874	LG07	15564103	181717513
21934	LG07	18657038	184810448
22675	LG07	29181565	195334975
22729	LG07	24533275	190686685
22937	LG07	23094487	189247897
22967	LG07	27010681	193164091
23190	LG07	6942938	173096348
23248	LG07	1151010	167304420
23908	LG07	21130324	187283734
24440	LG07	18792489	184945899
24684	LG07	21989767	188143177
24999	LG07	21196618	187350028
25032	LG07	28063039	194216449
25074	LG07	30398559	196551969
45	LG08	19539446	216925733
200	LG08	1227839	198614126
256	LG08	13184454	210570741
373	LG08	21935513	219321800
500	LG08	10822707	208208994
520	LG08	8748736	206135023
528	LG08	15156053	212542340
545	LG08	10413548	207799835
943	LG08	17866162	215252449
1089	LG08	13112738	210499025
1098	LG08	13960352	211346639
1266	LG08	20768613	218154900
1693	LG08	10243819	207630106
2296	LG08	10125556	207511843
2368	LG08	26184505	223570792
2400	LG08	24451697	221837984
2408	LG08	11860507	209246794
2851	LG08	21068744	218455031
2901	LG08	8748824	206135111
2919	LG08	25669407	223055694
3193	LG08	4803505	202189792
3197	LG08	24846203	222232490
3373	LG08	8966991	206353278
3876	LG08	9741266	207127553
3919	LG08	24762772	222149059
4491	LG08	10633171	208019458
4891	LG08	15555865	212942152
5060	LG08	9590391	206976678
5389	LG08	15134147	212520434
5830	LG08	11536700	208922987
5844	LG08	9557314	206943601
6054	LG08	15301625	212687912
6229	LG08	18383781	215770068
6771	LG08	6712888	204099175
6910	LG08	14381535	211767822
7046	LG08	6188289	203574576
7058	LG08	559820	197946107
7521	LG08	388630	197774917
7865	LG08	11365031	208751318
7974	LG08	16567202	213953489
8002	LG08	7093665	204479952
8103	LG08	667242	198053529
8457	LG08	12642938	210029225
8797	LG08	26389490	223775777
8803	LG08	8178775	205565062
8993	LG08	5321989	202708276
9105	LG08	15659098	213045385
9284	LG08	17713996	215100283
9364	LG08	26716462	224102749
9679	LG08	11452987	208839274
9888	LG08	19299110	216685397
9961	LG08	6315453	203701740
10038	LG08	7161481	204547768
10061	LG08	15659186	213045473
10135	LG08	4579627	201965914
10354	LG08	2240599	199626886
10392	LG08	22476566	219862853
10401	LG08	23374487	220760774
10421	LG08	9228751	206615038
10431	LG08	10365018	207751305
10632	LG08	24314213	221700500
11132	LG08	8582009	205968296
11655	LG08	10023947	207410234
11759	LG08	18102613	215488900
12064	LG08	10043041	207429328
12207	LG08	22454411	219840698
12443	LG08	18246070	215632357
12763	LG08	14775567	212161854
13723	LG08	11504836	208891123
14015	LG08	13181421	210567708
14044	LG08	12687954	210074241
14153	LG08	1137956	198524243
14537	LG08	8319432	205705719
14689	LG08	4167743	201554030
15011	LG08	2611461	199997748
15112	LG08	8912517	206298804
15601	LG08	26153250	223539537
15748	LG08	10446991	207833278
15931	LG08	2358955	199745242
15973	LG08	4711955	202098242
16121	LG08	11993549	209379836
16134	LG08	8305901	205692188
16195	LG08	5415841	202802128
16205	LG08	23333714	220720001
16292	LG08	9791342	207177629
16942	LG08	19115287	216501574
17267	LG08	12625036	210011323
17392	LG08	19037683	216423970
17666	LG08	11504924	208891211
17856	LG08	4176493	201562780
17885	LG08	23012265	220398552
18298	LG08	17506355	214892642
18360	LG08	7605562	204991849
18889	LG08	18146524	215532811
18900	LG08	10347890	207734177
18951	LG08	19037595	216423882
19342	LG08	3742817	201129104
19415	LG08	13184542	210570829
19421	LG08	9600822	206987109
20270	LG08	17349042	214735329
20285	LG08	14206924	211593211
20530	LG08	14072527	211458814
20760	LG08	15110370	212496657
20829	LG08	11072062	208458349
20844	LG08	16812035	214198322
21092	LG08	24575790	221962077
21539	LG08	10823636	208209923
21540	LG08	6956890	204343177
21550	LG08	18772472	216158759
21886	LG08	19945320	217331607
22526	LG08	24326107	221712394
22563	LG08	11820497	209206784
22824	LG08	24757841	222144128
22900	LG08	8301243	205687530
23076	LG08	10423892	207810179
23159	LG08	24547395	221933682
23293	LG08	12844372	210230659
23395	LG08	14187546	211573833
23592	LG08	26200561	223586848
23593	LG08	11824764	209211051
24253	LG08	25535822	222922109
24384	LG08	13756394	211142681
24415	LG08	18766557	216152844
24598	LG08	25091572	222477859
24683	LG08	25350262	222736549
24839	LG08	18959095	216345382
25277	LG08	15781964	213168251
154	LG09	1586487	225769660
209	LG09	8027810	232210983
