Locus	LG	Position
829	LG01	22477868
860	LG15	8162379
862	LG23	3032160
885	LG10	5851100
888	LG19	5854828
899	LG23	11912788
901	LG19	14535981
917	LG09	23966054
925	LG07	16246230
926	LG06	8571939
927	LG06	6420980
941	LG23	16779334
943	LG08	17866162
951	LG22	3422278
952	LG16	15094047
954	LG06	8064417
960	LG12	10174457
966	LG13	18698689
974	LG15	18002768
982	LG05	18446161
986	LG09	18413149
992	LG21	3580050
1000	LG20	21700794
1002	LG14	22855271
1007	LG16	14981817
1017	LG06	6804646
1020	LG18	17770636
1027	LG11	880476
1031	LG15	10603181
1037	LG01	22314645
1047	LG09	6946806
1048	LG13	21014787
1052	LG03	29149123
1053	LG13	11331788
1054	LG06	19898749
1066	LG15	25606927
1073	LG10	2603183
1078	LG14	1738653
1082	LG02	7995350
1085	LG03	9056737
1089	LG08	13112738
1091	LG04	987643
1092	LG20	20701546
1094	LG01	8989975
1098	LG08	13960352
1104	LG01	12761963
1122	LG04	16838600
1138	LG04	14058546
1157	LG11	26193891
1159	LG14	22877258
1160	LG15	17477533
1162	LG04	31408269
1167	LG11	10595723
1176	LG01	13275503
1190	LG01	8092422
1193	LG03	24543439
1197	LG20	15002118
1205	LG18	2123484
1206	LG02	4112829
1228	LG13	20016866
1229	LG20	13703518
1253	LG22	11919118
1254	LG20	20099558
1258	LG07	27182155
1262	LG10	17743127
1266	LG08	20768613
1275	LG01	19119404
1285	LG20	6673367
1287	LG03	7081654
1294	LG22	6705225
1306	LG13	11880001
1311	LG09	12622187
1323	LG20	6539707
1339	LG14	17204107
1345	LG02	23955104
1349	LG22	16461504
1354	LG12	3284303
1372	LG14	20906701
1392	LG04	31306420
1393	LG01	9598261
1407	LG23	12976106
1420	LG03	1176528
1441	LG14	10322868
1451	LG03	20425799
1452	LG20	5697820
1463	LG14	16098739
1469	LG20	12562983
1473	LG11	27198631
1474	LG12	7753631
1478	LG11	20773184
1482	LG13	10971676
1490	LG07	23424347
1503	LG21	15279223
1504	LG09	6084778
1519	LG11	19513503
1547	LG11	7746059
1560	LG15	15461179
1567	LG15	17339469
1571	LG13	12440085
1572	LG13	17972384
1582	LG09	16940306
1589	LG15	8882522
1592	LG10	2502491
1596	LG16	22145857
1602	LG01	11804307
1617	LG01	3728784
1635	LG13	5076698
1638	LG04	14007496
1655	LG11	24272512
1660	LG18	7683702
1689	LG13	21043471
1693	LG08	10243819
1698	LG13	14576126
1711	LG18	6879063
1712	LG14	28035100
1713	LG01	9493971
1722	LG15	7404476
1729	LG18	16054673
1730	LG01	20219379
1734	LG17	16433379
1737	LG07	14640691
1738	LG16	27755689
1739	LG22	11675953
1756	LG11	8086242
1770	LG19	9781979
1773	LG01	4343021
1794	LG09	24143400
1817	LG17	7587295
1833	LG01	9761602
1844	LG15	17981722
1845	LG03	16345097
1855	LG02	23270633
1858	LG02	13158554
1859	LG04	22949532
1872	LG10	21232603
1873	LG12	16935478
1881	LG12	11484342
1889	LG22	17138763
1906	LG02	19009588
1907	LG10	17098895
1911	LG21	3578040
1926	LG20	20827715
1933	LG21	12444588
1936	LG14	24505155
1939	LG23	947149
1957	LG03	20523113
1962	LG05	20623937
1963	LG11	17081118
1968	LG05	10680722
1969	LG23	1571051
1970	LG14	5451290
1975	LG14	5051097
1978	LG11	18595849
1983	LG13	11362580
1995	LG03	20433399
2029	LG16	1408228
2038	LG19	9585216
2046	LG05	11189734
2058	LG17	5380965
2064	LG11	7306299
2069	LG07	17433168
2071	LG11	19958497
2075	LG05	21654489
2082	LG17	8854605
2087	LG07	28942026
2100	LG17	4283147
2110	LG02	15714736
2118	LG16	25894782
2127	LG15	18189153
2135	LG21	10135760
2149	LG16	13928206
2153	LG11	20773096
2154	LG04	24968352
2160	LG12	18822680
2175	LG15	5358650
2176	LG04	18406174
2196	LG02	13700077
2204	LG14	7233760
2206	LG22	13391318
2225	LG11	14495794
2227	LG02	1753025
2230	LG09	11505320
2234	LG08	18949206
2251	LG23	15597949
2258	LG13	7099455
2261	LG21	19768537
2274	LG13	1229015
2319	LG07	20997192
2327	LG17	1002493
2329	LG16	24549889
2331	LG06	15803151
2332	LG02	11144818
2335	LG12	6026045
2346	LG04	26005081
2349	LG16	9310784
2353	LG17	4205312
2362	LG01	13543511
2368	LG08	26184505
2370	LG05	6913864
2371	LG03	8761931
2382	LG23	570487
2390	LG13	19759312
2399	LG19	3269647
2400	LG08	24451697
2408	LG08	11860507
2417	LG20	14555094
2425	LG14	8286219
2429	LG14	26890038
2454	LG07	21594394
2455	LG01	10925525
2456	LG21	13077508
2468	LG11	6043896
2491	LG17	12103417
2497	LG20	22149852
2498	LG23	2830661
2506	LG08	11296393
2520	LG07	12362085
2522	LG06	8028686
2539	LG15	25129974
2554	LG22	16243903
2558	LG10	22020828
2564	LG23	13632032
2587	LG14	202833
2601	LG21	19584532
2603	LG23	14392966
2604	LG11	14815925
2607	LG15	12236853
2621	LG04	378962
2623	LG19	2707850
2647	LG03	8603218
2648	LG17	5506104
2672	LG01	26278837
2677	LG21	9477851
2682	LG13	23528989
2694	LG21	8442668
2705	LG10	22879308
2706	LG12	16946944
2709	LG19	18872684
2718	LG22	16526905
2733	LG02	20586675
2735	LG07	13236326
2742	LG04	26781953
2751	LG23	22985440
2752	LG14	29071558
2762	LG22	122447
2769	LG21	21919607
2780	LG01	11869646
2786	LG16	30316865
2792	LG09	14618268
2810	LG05	10974598
2813	LG15	16004593
2820	LG15	17496341
2824	LG13	18962061
2826	LG13	18593933
2830	LG07	23332711
2844	LG16	5617631
2850	LG15	24809063
2851	LG08	21068744
2861	LG14	15397625
2866	LG01	23087036
2874	LG01	21713494
2880	LG20	8455705
2895	LG09	23542361
2917	LG14	24703575
2922	LG11	24771036
2934	LG05	19374392
2947	LG23	939621
2950	LG22	7744666
2967	LG15	15149144
2973	LG01	27732633
2974	LG14	9719363
2977	LG03	25242772
2985	LG23	17166837
2990	LG01	17231504
2995	LG03	20582299
2998	LG18	7457147
3000	LG21	7459198
3004	LG03	16947961
3015	LG10	15163654
3016	LG02	10295723
3019	LG20	9261701
3023	LG20	23059969
3031	LG09	20025730
3039	LG11	22402420
3043	LG21	21161935
3057	LG05	18929714
3061	LG19	12728793
3062	LG13	4642806
3066	LG16	5085357
3076	LG18	13129513
3086	LG16	5738820
3095	LG07	10800502
3096	LG01	1380478
3102	LG14	22294077
3111	LG07	16957862
3116	LG02	12426111
3120	LG18	1987451
3121	LG10	12858006
3129	LG14	10030230
3132	LG13	19057220
3138	LG20	13442555
3155	LG11	10611402
3161	LG08	15130801
3172	LG02	14430240
3175	LG18	5047498
3176	LG10	9762442
3186	LG19	9805870
3193	LG08	4803505
3195	LG07	13297888
3196	LG22	19156479
3197	LG08	24846203
3207	LG08	5648759
3226	LG05	23467528
3228	LG14	25824909
3238	LG23	14600916
3244	LG08	6495561
3248	LG10	20021617
3258	LG11	2454027
3261	LG18	18120527
3266	LG11	18795306
3280	LG04	8454042
3284	LG07	9539930
3298	LG21	12713994
3303	LG21	6035264
3304	LG12	21990246
3307	LG07	26173439
3308	LG14	10599926
3309	LG19	16194987
3312	LG03	13069918
3324	LG07	16407381
3328	LG17	16950833
3339	LG13	20637133
3341	LG14	28893155
3342	LG21	13232316
3348	LG16	19834425
3351	LG19	15047198
3356	LG23	19265074
3373	LG08	8966991
3378	LG17	15944429
3379	LG14	24722870
3381	LG05	6350461
3396	LG06	25314954
3405	LG20	9196469
3406	LG16	24229115
3413	LG22	10670043
3416	LG19	15655291
3417	LG14	11676361
3420	LG21	3313349
3430	LG11	14468693
3434	LG10	6003116
3437	LG12	23290112
3458	LG09	3493810
3460	LG18	6528272
3464	LG01	2734393
3473	LG01	17544233
3480	LG12	23074809
3484	LG15	23057730
3488	LG16	28100360
3499	LG23	1731017
3501	LG21	12112127
3523	LG15	5955032
3524	LG14	24505243
3541	LG13	24575544
3547	LG17	4126590
3553	LG04	30956415
3554	LG18	16220209
3561	LG18	2208393
3566	LG18	18337381
3577	LG03	17399324
3578	LG04	23391980
3585	LG05	17298691
3594	LG14	5903591
3600	LG21	18337123
3601	LG17	8319369
3622	LG21	18382081
3623	LG02	12024231
3630	LG01	28032467
3636	LG14	20385829
3639	LG17	7633583
3651	LG09	1872590
3659	LG16	23334936
3662	LG11	16002009
3680	LG17	8605809
3692	LG06	13048766
3694	LG04	23536033
3708	LG13	1535521
3721	LG02	18900520
3728	LG05	18541764
3734	LG06	5926292
3753	LG10	9860946
3754	LG19	20346480
3756	LG11	22468503
3761	LG03	20306369
3776	LG01	24455925
3780	LG22	2810555
3794	LG01	17891914
3797	LG21	5722754
3798	LG07	23461249
3799	LG03	11143943
3814	LG23	16003346
3822	LG17	15671266
3825	LG18	8102874
3827	LG16	18742865
3828	LG02	23363691
3832	LG14	17957361
3834	LG19	2026203
3849	LG15	22242308
3855	LG21	19913962
3865	LG16	28094621
3866	LG18	10794024
3867	LG21	16251957
3875	LG04	34503689
3879	LG03	1306194
3885	LG03	23804757
3886	LG11	14501523
3887	LG06	14278663
3894	LG23	19738781
3900	LG20	4903898
3902	LG21	11188757
3917	LG01	2734304
3929	LG13	6072318
3931	LG11	5295900
3932	LG04	13557402
3939	LG17	12450113
3940	LG06	7867156
3946	LG19	20490861
3948	LG09	5671531
3952	LG05	13877687
3957	LG07	823426
3960	LG08	10342640
3962	LG10	605025
3963	LG10	4690015
3972	LG11	8894347
3973	LG06	17505582
3991	LG03	11820911
4000	LG15	11074597
4002	LG03	8053673
4003	LG01	24038892
4004	LG15	7912926
4013	LG04	33514896
4025	LG03	24223878
4031	LG13	1193395
4032	LG16	28482320
4033	LG21	14840975
4036	LG21	15316907
4039	LG22	9367737
4040	LG08	10912553
4062	LG19	1676774
4065	LG06	4009836
4066	LG20	8942881
4070	LG20	4384499
4079	LG15	21346221
4081	LG22	9230244
4083	LG10	15139047
4088	LG14	20885177
4090	LG09	17063685
4097	LG17	16950745
4103	LG01	19759592
4108	LG16	27795973
4126	LG04	28825553
4132	LG01	8475035
4133	LG04	24866885
4137	LG07	11811714
4140	LG13	22202718
4142	LG09	17587809
4145	LG12	23109552
4146	LG09	8211355
4148	LG21	18381376
4156	LG13	24013669
4159	LG23	9262983
4162	LG05	14791890
4171	LG10	17543844
4172	LG20	5165816
4174	LG22	9047081
4176	LG18	20408482
4185	LG14	15778586
4187	LG19	14116914
4188	LG11	12127935
4191	LG06	20741073
4192	LG16	23885047
4206	LG10	9793217
4207	LG21	9732870
4212	LG04	33598863
4213	LG06	237908
4214	LG21	9121607
4217	LG23	1421669
4226	LG09	24607602
4227	LG13	18686608
4230	LG04	23389886
4244	LG01	8751793
4251	LG10	16638251
4255	LG05	19773629
4257	LG21	21235457
4280	LG22	357359
4317	LG08	21516625
4332	LG23	3521287
4336	LG11	6123685
4344	LG11	9920661
4352	LG16	27854956
4365	LG01	18164746
4368	LG08	12744936
4371	LG04	20122826
4373	LG04	22943548
4392	LG03	11832920
4396	LG13	7298301
4398	LG06	18998161
4402	LG14	17552012
4404	LG22	7532382
4411	LG12	22019003
4413	LG15	4100436
4426	LG10	4400003
4442	LG13	14527982
4452	LG06	12297808
4453	LG03	9773441
4458	LG22	8231118
4459	LG09	19494289
4472	LG07	806594
4473	LG12	4009809
4484	LG05	3970822
4489	LG04	27352498
4491	LG08	10633171
4494	LG01	9685227
4495	LG18	14023647
4499	LG20	2829965
4507	LG13	4567648
4508	LG18	14305873
4514	LG07	27682138
4536	LG19	13287200
4539	LG23	192827
4541	LG21	3250882
4549	LG17	7290454
4550	LG12	17753872
4556	LG09	1872502
4557	LG04	3826017
4568	LG12	4779086
4570	LG21	5426321
4572	LG06	24057453
4575	LG13	16159529
4578	LG15	18490187
4582	LG04	6571110
4588	LG12	24207382
4596	LG08	1761739
4599	LG23	4023710
4609	LG08	24762010
4613	LG05	23973460
4615	LG09	3670506
4617	LG09	16838649
4620	LG10	7813485
4629	LG09	20931379
4637	LG07	15411923
4643	LG13	5556883
4644	LG05	11293151
4660	LG07	15879034
4661	LG19	14510561
4664	LG13	19009504
4671	LG13	16647496
4681	LG07	23084471
4696	LG11	24477363
4702	LG09	9449210
4711	LG12	8167261
4727	LG06	489796
4729	LG15	10706163
4734	LG17	16510645
4739	LG01	6163089
4740	LG12	4809150
4744	LG19	11917050
4747	LG03	27467753
4754	LG14	25213748
4759	LG22	19809786
4760	LG14	27989426
4761	LG05	10222929
4766	LG20	21148698
4775	LG22	12376372
4777	LG04	25625757
4779	LG03	16989964
4782	LG16	29902249
4815	LG03	12288968
4818	LG05	13382747
4824	LG15	19559265
4832	LG03	525362
4834	LG11	12058857
4836	LG02	14934973
4837	LG11	18564220
4841	LG16	6040999
4849	LG15	17083022
4852	LG15	24781633
4856	LG07	20645188
4863	LG03	27837891
4878	LG05	11387138
4887	LG06	22208449
4891	LG08	15555865
4892	LG18	6589478
4898	LG04	30578438
4901	LG11	26061747
4905	LG03	11011877
4909	LG01	24794728
4939	LG20	22418798
4958	LG10	22107920
4960	LG09	17810629
4989	LG14	12252629
4998	LG04	29833176
5001	LG21	8264744
5002	LG10	1370047
5003	LG11	16390445
5011	LG09	6468238
5016	LG22	4547210
5023	LG01	214443
5030	LG22	15046804
5031	LG07	12728851
5035	LG22	16170968
5042	LG11	25334679
5052	LG13	5592907
5060	LG08	9590391
5071	LG05	2633866
5077	LG06	12954935
5079	LG03	3440963
5116	LG20	5151301
5118	LG12	4298590
5124	LG09	5713978
5133	LG12	19492744
5137	LG19	5823389
5148	LG20	19627680
5151	LG14	12928347
5155	LG20	13444345
5169	LG21	12135222
5171	LG04	27557653
5176	LG16	27148342
5189	LG17	17473894
5196	LG02	16247316
5198	LG09	1393709
5201	LG23	17880932
5203	LG10	5542453
5206	LG08	18013058
5208	LG01	2044448
5217	LG10	16892961
5227	LG23	17985491
5232	LG06	19843692
5264	LG15	14481775
5273	LG22	4266854
5281	LG11	7506208
5287	LG12	20595615
5288	LG16	27216949
5310	LG23	15000836
5322	LG07	4796419
5333	LG14	17190035
5334	LG20	5780115
5336	LG06	20059538
5367	LG06	2752880
5387	LG22	10727070
5398	LG18	8286073
5417	LG07	20640020
5427	LG05	18739983
5431	LG23	5415195
5437	LG23	9601195
5441	LG13	22392008
5442	LG03	7519450
5450	LG08	15826307
5451	LG09	17652516
5452	LG18	7795023
5461	LG03	14545616
5464	LG11	22086835
5465	LG06	22757568
5469	LG05	21906804
5475	LG13	10028046
5476	LG12	468391
5481	LG05	5118361
5482	LG01	9010262
5501	LG18	14588802
5516	LG22	5381422
5520	LG04	18708578
5524	LG03	18033180
5534	LG19	19103458
5538	LG23	9616094
5539	LG18	15263037
5541	LG11	10611314
5560	LG13	17284812
5562	LG20	3274663
5569	LG01	23205145
5570	LG23	13796931
5572	LG11	25112679
5576	LG06	7858844
5577	LG09	23969744
5580	LG14	8286307
5584	LG01	15478086
5586	LG23	5729686
5590	LG15	16949205
5594	LG10	23722049
5600	LG05	20613309
5606	LG18	8168863
5610	LG06	6965868
5614	LG11	23808690
5617	LG19	5461515
5622	LG12	17015598
5623	LG08	7239686
5624	LG05	3688022
5632	LG21	17876423
5633	LG23	7996770
5636	LG15	8532891
5637	LG16	27428629
5650	LG02	3684400
5654	LG20	10038052
5662	LG23	10116938
5668	LG12	23159905
5672	LG12	20538654
5673	LG23	2607933
5679	LG15	19847386
5685	LG09	4495270
5688	LG03	6697589
5692	LG02	4299155
5699	LG14	8137819
5719	LG06	11439647
5722	LG16	17321653
5730	LG16	5110535
5738	LG05	19319935
5739	LG07	30391639
5741	LG13	11956213
5744	LG23	5048977
5746	LG04	28800174
5748	LG02	558992
5753	LG01	11309141
5754	LG04	5682240
5765	LG21	7389806
5766	LG18	22502477
5770	LG06	9501622
5775	LG05	19917386
5776	LG23	1598146
5781	LG14	5998727
5804	LG03	27076011
5807	LG11	1821055
5813	LG22	20191001
5817	LG12	17403958
5819	LG02	2217111
5824	LG04	9835263
5834	LG08	10268342
5844	LG08	9557314
5845	LG13	14709344
5851	LG02	21921687
5853	LG09	9910448
5882	LG09	10461569
5891	LG22	6395073
5892	LG14	4398890
5894	LG01	5179409
5897	LG17	5256866
5902	LG03	12836004
5923	LG21	20491767
5924	LG03	2481805
5925	LG01	15884506
5928	LG10	1369959
5930	LG09	14503032
5935	LG19	3809995
5945	LG14	12869078
5946	LG07	2718878
5952	LG23	17392054
5962	LG10	5834804
5966	LG11	3737428
5973	LG17	6461537
5980	LG09	21886663
5984	LG11	13375051
5995	LG19	15587543
6026	LG20	22696754
6028	LG21	10135672
6031	LG15	4924703
6033	LG10	23278050
6040	LG10	22004225
6051	LG11	21094436
6065	LG18	22189991
6071	LG12	25107373
6077	LG01	16099585
6080	LG23	8352729
6085	LG21	15957906
6094	LG12	8466885
6099	LG09	6849550
6100	LG17	15529893
6112	LG06	12940167
6126	LG21	18946600
6144	LG12	6428619
6147	LG03	2759270
6156	LG02	15037451
6157	LG06	14713694
6187	LG18	4274680
6195	LG02	6622660
6203	LG11	6456108
6218	LG01	18938963
6225	LG01	17343059
6229	LG08	18383781
6230	LG18	7614232
6244	LG15	7405534
6248	LG19	16037056
6259	LG04	26274693
6260	LG06	5630445
6270	LG14	23746030
6274	LG12	13367814
6275	LG02	8423715
6279	LG20	4903810
6292	LG05	11214699
6298	LG07	19290922
6306	LG22	5816842
6312	LG12	26603732
6314	LG21	17634614
6315	LG16	4018052
6318	LG22	4155074
6319	LG15	19420916
6329	LG23	21886964
6333	LG20	1257328
6342	LG06	8779893
6353	LG14	3355942
6360	LG14	26156845
6368	LG18	599429
6377	LG11	27229186
6384	LG04	6617904
6388	LG22	4388180
6390	LG12	23443612
6393	LG04	31961476
6399	LG14	5683106
6403	LG16	8943107
6408	LG19	14198859
6409	LG01	4436885
6410	LG01	26825592
6417	LG15	20574788
6426	LG17	8751324
6429	LG03	23213450
6431	LG03	8422729
6443	LG19	20268119
6454	LG16	1542135
6458	LG11	20093783
6462	LG12	25449456
6484	LG11	1042714
6487	LG16	10711332
6492	LG19	5269679
6498	LG16	22280826
6500	LG18	2040940
6519	LG04	18598746
6522	LG04	23060319
6525	LG16	30168231
6533	LG17	9465918
6534	LG07	21020158
6540	LG14	2424570
6550	LG11	6909678
6554	LG05	4972861
6563	LG19	7243278
6565	LG22	13653995
6566	LG22	4033916
6567	LG04	5614539
6576	LG20	11159306
6583	LG10	2465467
6597	LG14	17715921
6602	LG16	27639940
6604	LG18	1703870
6608	LG14	4655642
6609	LG04	6791037
6617	LG22	4318361
6631	LG14	15779407
6635	LG07	21047437
6637	LG18	15123738
6638	LG23	16622970
6640	LG04	4559510
6652	LG06	16314186
6657	LG03	7628668
6658	LG15	22394483
6660	LG13	12796553
6675	LG18	13914452
6677	LG19	5644692
6683	LG02	14489616
6687	LG01	19131955
6693	LG13	22157376
6697	LG07	16303464
6701	LG10	7469127
6709	LG02	8318815
6721	LG21	14929531
6724	LG04	12927236
6728	LG03	17912149
6729	LG11	19415556
6735	LG18	13764485
6757	LG11	5861158
6768	LG03	22113564
6769	LG11	1333122
6771	LG08	6712888
6773	LG18	13092359
6797	LG11	11597003
6801	LG01	23099470
6802	LG22	7924236
6803	LG11	2541190
6807	LG05	9917870
6810	LG06	14645377
6816	LG23	3208908
6823	LG13	5583349
6833	LG06	8602962
6835	LG16	27854868
6845	LG18	15567870
6846	LG23	10359919
6860	LG18	4956850
6870	LG17	18989918
6877	LG16	23192196
6878	LG15	20381790
6883	LG03	14829943
6886	LG18	10393365
6887	LG02	11466154
6890	LG11	11780929
6894	LG07	6888721
6899	LG19	11783148
6910	LG08	14381535
6913	LG22	19647984
6925	LG16	10109560
6926	LG15	8356855
6938	LG15	8293172
6944	LG05	18764110
6947	LG20	16306049
6953	LG23	8013738
6960	LG19	20652306
6962	LG19	17900522
6969	LG15	12665066
6971	LG03	2817594
6983	LG22	10201369
6988	LG21	6125777
6989	LG22	16484663
6993	LG03	23801182
6995	LG04	11127341
6996	LG15	25019581
7023	LG18	17910715
7028	LG11	20055468
7046	LG08	6188289
7048	LG23	21266614
7055	LG03	7555515
7058	LG08	559820
7074	LG04	1318831
7081	LG04	2557433
7083	LG15	19440584
7086	LG12	20716376
7089	LG14	9364782
7092	LG13	1854710
7096	LG15	17339557
7104	LG09	11767651
7109	LG09	5317086
7117	LG03	5072653
7127	LG20	22112286
7128	LG09	1204897
7132	LG02	8637797
7134	LG16	9928551
7138	LG15	12403451
7139	LG04	26379247
7142	LG04	20628733
7144	LG06	7518086
7146	LG16	14444768
7161	LG11	16069381
7164	LG03	20693275
7171	LG07	16286288
7183	LG13	16489759
7192	LG22	5979214
7193	LG15	22684695
7203	LG14	11703918
7206	LG22	16046449
7209	LG18	7478963
7214	LG10	7431430
7216	LG23	11281788
7223	LG15	22520795
7227	LG16	2099638
7241	LG01	77324
7252	LG20	6464030
7271	LG15	4420847
7275	LG01	22595118
7283	LG23	18658490
7286	LG01	21876491
7298	LG13	1297768
7299	LG16	24335206
7301	LG13	17075597
7313	LG07	28218174
7314	LG09	13953137
7326	LG01	20934271
7327	LG03	7200162
7332	LG02	14302912
7333	LG19	12679218
7335	LG19	13457677
7341	LG01	25623962
7366	LG14	16456477
7367	LG17	16378214
7370	LG15	4576668
7384	LG10	1352427
7390	LG02	8993371
7391	LG06	22765329
7395	LG07	30555580
7399	LG04	4348381
7421	LG19	3097487
7431	LG12	3326685
7434	LG11	28306877
7453	LG10	13650399
7457	LG11	22023654
7458	LG07	17761824
7465	LG09	13181103
7466	LG08	4200824
7479	LG07	16236256
7485	LG03	10832030
7489	LG13	16655985
7490	LG16	25266093
7494	LG05	13987237
7498	LG14	17772081
7501	LG08	13128416
7505	LG10	17051602
7509	LG03	1901276
7514	LG09	9462378
7522	LG08	25397751
7526	LG15	16449383
7537	LG16	24064939
7545	LG01	9399694
7559	LG15	1919932
7565	LG12	19921439
7570	LG13	18649897
7571	LG16	18094498
7573	LG01	13566886
7574	LG12	6911449
7583	LG22	17211593
7598	LG04	26623344
7603	LG20	11490090
7604	LG07	24657611
7605	LG13	3180911
7620	LG23	18579738
7637	LG04	33296125
7643	LG04	27733899
7647	LG19	4764986
7674	LG12	19252364
7688	LG21	17537300
7690	LG14	11180651
7697	LG23	13180325
7698	LG14	27129721
7703	LG21	19625156
7707	LG05	12082823
7711	LG11	2322577
7713	LG06	6229137
7715	LG03	14049056
7726	LG06	14765352
7730	LG15	12292251
7736	LG13	6632801
7747	LG13	8626858
7749	LG11	25187021
7754	LG23	22966482
7755	LG11	25803771
7759	LG09	19279622
7763	LG07	7478136
7768	LG13	25049770
7769	LG11	5638643
7775	LG13	18791841
7781	LG10	4151887
7789	LG21	5373123
7791	LG10	7813573
7803	LG13	19032494
7807	LG08	18470173
7818	LG09	15474554
7823	LG01	17686137
7828	LG19	6872835
7833	LG13	8128067
7847	LG18	18341285
7855	LG01	13272763
7865	LG08	11365031
7869	LG17	10688746
7870	LG06	6309938
7875	LG07	11452690
7879	LG10	19467967
7890	LG14	13284482
7902	LG09	7623356
7907	LG06	5549141
7910	LG14	6573265
7913	LG10	22408604
7915	LG06	1682281
7922	LG05	20956146
7929	LG11	5422480
7940	LG11	4935309
7942	LG11	11237956
7952	LG14	26291480
7957	LG13	14587252
7962	LG04	22010636
7965	LG04	10785649
7974	LG08	16567202
7975	LG03	8603130
7976	LG18	13994590
7988	LG21	19601801
7992	LG20	17181919
8002	LG08	7093665
8016	LG06	11515636
8018	LG04	18659305
8019	LG16	24992183
8023	LG15	17442202
8026	LG21	5322559
8027	LG05	11481749
8033	LG10	10895467
8037	LG12	5532228
8045	LG02	18447659
8048	LG05	10285673
8055	LG12	3340389
8056	LG22	15240992
8058	LG05	21116866
8062	LG12	3185817
8064	LG12	6180142
8067	LG19	16381195
8079	LG05	5792527
8086	LG13	14527894
8095	LG04	33023845
8098	LG05	7346643
8100	LG07	11428517
8103	LG08	667242
8124	LG09	23766555
8135	LG11	22730482
8148	LG01	8752897
8149	LG23	18211048
8150	LG19	9468457
8152	LG11	22005892
8160	LG10	8748149
8168	LG12	5940810
8183	LG18	2018315
8190	LG11	28080960
8191	LG07	10079179
8194	LG09	4886819
8196	LG11	5950474
8198	LG13	16144580
8199	LG09	14464715
8205	LG03	8108048
8206	LG16	26782565
8208	LG08	8756918
8209	LG16	8038342
8212	LG13	9273834
8217	LG18	1681718
8231	LG05	21184752
8241	LG13	17644845
8242	LG01	7621451
8246	LG15	19655061
8252	LG13	1229103
8260	LG16	27304295
8267	LG12	11939803
8277	LG02	5947585
8278	LG12	6752117
8288	LG13	18629424
8289	LG22	20459822
8295	LG13	24899963
8301	LG15	14495834
8305	LG02	11675992
8312	LG01	9665796
8315	LG11	14528223
8316	LG03	4477954
8320	LG17	11946391
8322	LG09	14038013
8327	LG06	13589351
8334	LG07	8045347
8346	LG11	16053706
8350	LG14	14632551
8375	LG03	11594755
8389	LG14	9808133
8409	LG21	18330944
8414	LG19	14776072
8426	LG13	6509003
8427	LG15	19711784
8450	LG02	2934383
