Locus	fst	chromosome	c_pos
7610	0.0019	LG02	48150550
19598	-0.0093	LG02	48352730
14635	-0.0035	LG02	48854482
2733	0.0063	LG02	48890627
13478	-0.0011	LG02	49340260
10577	0.0001	LG02	49444636
17040	0.0137	LG02	49568964
14448	-0.0065	LG02	49862519
24101	0.0205	LG02	50026633
13321	-0.0114	LG02	50132516
21078	0.0116	LG02	50333435
10374	0.0063	LG02	50393364
11214	0.032	LG02	50954164
23416	-0.0006	LG02	51383485
22707	0.0041	LG02	51449252
3828	-0.0108	LG02	51667643
20586	-0.0025	LG02	52036983
1345	0.0795	LG02	52259056
12892	-0.006	LG03	53072430
11905	0	LG03	53328463
1420	0.0114	LG03	53534886
7509	0.1077	LG03	54259634
22270	0.0142	LG03	54690148
11166	0.0136	LG03	55175864
6971	-0.0049	LG03	55175952
16313	-0.0004	LG03	55495169
5079	-0.0052	LG03	55799321
18822	0.0144	LG03	56469033
8316	-0.0082	LG03	56836312
7117	0.0046	LG03	57431011
17580	-0.0046	LG03	57675701
12641	-0.0056	LG03	57696243
13796	-0.0089	LG03	57737881
19441	0.0008	LG03	57842704
13850	0.0097	LG03	57908106
16127	-0.0068	LG03	57908194
12579	0.0361	LG03	58140566
10063	-0.0027	LG03	58668911
16089	0.0093	LG03	58932922
5688	0.0349	LG03	59055947
21028	0.0025	LG03	59080219
23215	0.0004	LG03	59287293
19081	0.0827	LG03	59596520
21613	-0.0049	LG03	59633612
16360	0.0035	LG03	59732388
5442	0.0117	LG03	59877808
7055	-0.0064	LG03	59913873
6657	0.0026	LG03	59987026
15903	-0.0029	LG03	60013971
14032	0.0088	LG03	60252255
4002	0.0075	LG03	60412031
16706	0.0194	LG03	60412119
8205	0.0005	LG03	60466406
23863	-0.0093	LG03	60482338
6431	0.0013	LG03	60781087
7975	-0.002	LG03	60961488
2647	-0.0021	LG03	60961576
2371	0.0213	LG03	61120289
24348	0.0103	LG03	61409151
1085	-0.0013	LG03	61415095
4453	-0.0042	LG03	62131799
9983	-0.0027	LG03	62245772
14432	0.0026	LG03	63012531
10860	0.0006	LG03	63126133
7485	-0.0013	LG03	63190388
4905	0.0046	LG03	63370235
3799	0.0008	LG03	63502301
17132	-0.0076	LG03	63621990
10685	0.0326	LG03	63648322
22539	0.0026	LG03	63843772
8375	0.0003	LG03	63953113
23475	-0.0018	LG03	64041312
15386	0.005	LG03	64127721
23336	0.0311	LG03	64166235
3991	0.002	LG03	64179269
11290	0	LG03	64427120
10910	0.0238	LG03	64650496
21185	0.003	LG03	64684627
4010	0.0081	LG03	66120225
11001	-0.0055	LG03	66848059
5461	-0.001	LG03	66903974
7322	0.0081	LG03	66936000
17134	0.0109	LG03	67212387
169	-0.0066	LG03	67689119
22800	-0.0026	LG03	67746539
14754	0.0662	LG03	68012345
1845	-0.0022	LG03	68703455
24600	0.0071	LG03	69232850
12779	0.0976	LG03	69252064
13769	-0.0022	LG03	69306231
3004	0.002	LG03	69306319
4779	0.0095	LG03	69348322
11783	0.0042	LG03	69369915
3577	0.0119	LG03	69757682
13463	0.0033	LG03	69761478
13583	0.006	LG03	69797727
23544	0.0179	LG03	70133287
6728	0.0018	LG03	70270507
21046	-0.0026	LG03	70391450
5524	0.0025	LG03	70391538
23732	-0.0033	LG03	70757682
21244	0	LG03	70760397
206	-0.0011	LG03	71497063
10413	0.0435	LG03	71995364
19255	-0.0024	LG03	72195581
13291	-0.0087	LG03	72195669
3853	-0.0021	LG03	72275022
15069	-0.0022	LG03	72670014
21327	0.028	LG03	72721500
1451	0.0008	LG03	72784157
1957	0.0116	LG03	72881471
8572	0.0071	LG03	73035377
101	0.0099	LG03	73044117
11175	0.0097	LG03	73051546
19592	0.0228	LG03	73158721
25164	-0.0037	LG03	73851667
12729	-0.0003	LG03	73998274
22983	-0.008	LG03	74107762
12734	-0.0033	LG03	74276480
12881	0.008	LG03	74466571
6768	-0.0049	LG03	74471922
20130	0.0033	LG03	74805117
9864	-0.0003	LG03	74900169
10665	0.0034	LG03	75070234
21821	-0.0003	LG03	75070609
9853	0.0016	LG03	75093330
14972	-0.0028	LG03	75562879
18535	0.0002	LG03	75731976
23001	-0.0003	LG03	75781365
15442	0.0003	LG03	75804933
23706	-0.0025	LG03	75824372
6993	0.0031	LG03	76159540
12623	0.0062	LG03	76219238
15604	-0.0077	LG03	76256138
24194	0.0019	LG03	76285323
4025	0.0211	LG03	76582236
25450	-0.0009	LG03	76663888
12922	0.0112	LG03	76726713
1193	-0.0088	LG03	76901797
23182	-0.0011	LG03	76924650
23000	0.0014	LG03	77090809
17454	0.014	LG03	77090897
2148	0.0106	LG03	77175157
15677	-0.0036	LG03	77207998
19881	0.0074	LG03	77316865
22895	-0.0112	LG03	77346813
19275	0.012	LG03	77601042
2977	0.0165	LG03	77601130
189	0.0148	LG03	78076457
12087	-0.0006	LG03	78312630
23029	-0.0081	LG03	78851643
16621	0.0029	LG03	78901286
481	0.0448	LG03	78987159
24772	-0.007	LG03	79470200
18415	0.0262	LG03	79499613
12649	0.0109	LG03	79824448
4747	0.0277	LG03	79826111
440	0.0113	LG03	79826199
1218	0.0037	LG03	80005771
18994	0.0176	LG03	80209048
10222	-0.0014	LG03	80300263
14459	0.0347	LG03	80426079
2446	0.0055	LG03	81376804
5413	0.0006	LG03	81429508
19975	-0.0052	LG03	81507393
1052	-0.0031	LG03	81507481
2621	0.0038	LG04	82188375
9681	0.0313	LG04	83008976
7074	0.0136	LG04	83128244
221	-0.0007	LG04	83128332
23824	-0.0103	LG04	83259919
9497	0.0219	LG04	83412132
9776	0.0051	LG04	83656218
7081	0.0258	LG04	84366846
11762	-0.0014	LG04	85876783
9850	-0.0006	LG04	86033355
7399	0.0102	LG04	86157794
6640	0.0326	LG04	86368923
16944	0.0258	LG04	86567820
18590	0.0184	LG04	86687281
14364	0.0146	LG04	86809988
86	0.0188	LG04	87324017
6567	0.0036	LG04	87423952
5754	-0.0002	LG04	87491653
23595	0.0169	LG04	88367022
11627	-0.009	LG04	88380435
6384	0.0013	LG04	88427317
6609	-0.0057	LG04	88600450
24921	0.013	LG04	90263367
3280	-0.0098	LG04	90263455
21624	-0.0015	LG04	90345632
21488	-0.003	LG04	90534316
16046	0.0137	LG04	90709047
10706	0.0766	LG04	91391228
5824	0.0066	LG04	91644676
16173	-0.0055	LG04	92064329
7000	0.1041	LG04	92818603
6995	-0.002	LG04	92936754
5707	0.1525	LG04	94105903
3932	-0.007	LG04	95366815
220	0.01	LG04	95418502
13443	0.0058	LG04	95418590
2334	-0.0031	LG04	95600552
22728	0.0021	LG04	95630285
14514	0.2285	LG04	95630373
1138	-0.0016	LG04	95867959
2057	0.0087	LG04	96304608
21683	-0.0111	LG04	96412464
16474	0.0183	LG04	96577147
9992	-0.0019	LG04	96669812
9714	0.0002	LG04	97047641
12570	0.013	LG04	97272066
19718	-0.0084	LG04	97595476
22434	0.0021	LG04	97612512
21419	0.0015	LG04	97658455
12952	0.0008	LG04	97745199
1122	0.0035	LG04	98648013
20255	0.0085	LG04	98901952
6182	0.018	LG04	99411275
23845	-0.0002	LG04	99481369
19756	0.0036	LG04	99499257
17357	-0.0105	LG04	99992077
16620	0.0064	LG04	100425498
8018	-0.0034	LG04	100468718
5520	0.0072	LG04	100517991
12331	0.002	LG04	100764215
15828	0.0016	LG04	100764303
19761	0.0363	LG04	101128825
11725	-0.0075	LG04	101420982
25334	-0.0009	LG04	101459866
18648	0.0149	LG04	101534979
10136	0.0003	LG04	101545847
10857	-0.0011	LG04	101585174
18508	0.0102	LG04	101880014
4371	-0.0023	LG04	101932239
22261	-0.0033	LG04	102031394
23847	0.0241	LG04	102557404
23884	-0.0019	LG04	102610172
23079	-0.004	LG04	103492607
7962	0.0183	LG04	103820049
12982	0.0006	LG04	103855693
10585	0.0018	LG04	104060332
4373	0.0082	LG04	104752961
1859	0.0105	LG04	104758945
6522	0.0004	LG04	104869732
22034	0.005	LG04	105185944
4230	-0.0047	LG04	105199299
3578	0.0008	LG04	105201393
11736	-0.0022	LG04	105203321
8499	-0.0012	LG04	105204238
24957	0.0007	LG04	105272700
3694	0.0152	LG04	105345446
22908	-0.0079	LG04	105757585
2033	0.0128	LG04	106181564
4133	-0.0029	LG04	106676298
20574	0.0148	LG04	106813910
8590	0.0321	LG04	106859211
13845	0.0067	LG04	107372165
4777	0.0283	LG04	107435170
23422	0.0083	LG04	107521755
18577	0.0129	LG04	107530594
20354	-0.0047	LG04	107777491
2346	0.0397	LG04	107814494
6259	-0.0107	LG04	108084106
18193	0.0157	LG04	108274779
7598	0.0022	LG04	108432757
11896	-0.0035	LG04	108502912
2742	0.0063	LG04	108591366
4489	0.0621	LG04	109161911
17909	0.0007	LG04	109209926
14696	0.0009	LG04	109520906
20561	0.0074	LG04	109845661
22104	-0.0018	LG04	110077962
9878	-0.0038	LG04	110464678
5746	-0.002	LG04	110609587
24642	0.0018	LG04	111033416
21625	0.0062	LG04	111138553
16190	-0.0017	LG04	111204458
23964	-0.0061	LG04	111327226
4998	0.0014	LG04	111642589
23705	0.0425	LG04	112387763
4898	0.0031	LG04	112387851
9316	0.0019	LG04	112538888
23940	-0.005	LG04	112669597
10022	-0.0053	LG04	112731694
14472	0.0087	LG04	112765915
1392	0.0117	LG04	113115833
6672	-0.0005	LG04	113117838
6393	0.039	LG04	113770889
19740	0.0318	LG04	114370531
9308	0.0008	LG04	114471266
8095	-0.0056	LG04	114833258
7637	-0.0022	LG04	115105538
825	0.0012	LG04	115123390
4013	-0.0053	LG04	115324309
4212	0.0143	LG04	115408276
3875	0.0064	LG04	116313102
11244	0.0494	LG04	116370320
22930	0.0017	LG04	116424430
13345	0.0054	LG05	116677940
25555	0.0094	LG05	116704498
21732	-0.0066	LG05	118990026
5071	0.0037	LG05	119248601
16947	0.0407	LG05	119751722
11509	0.0049	LG05	120204355
5624	0.0034	LG05	120302757
14300	0.0165	LG05	120827115
21572	0.0615	LG05	120873251
16456	-0.0056	LG05	121383672
6554	-0.0006	LG05	121587596
13100	-0.0066	LG05	121715425
5481	-0.0025	LG05	121733096
10488	-0.0013	LG05	121766109
8079	-0.0015	LG05	122407262
13902	0.0034	LG05	122475342
3381	0.0022	LG05	122965196
16370	0.0121	LG05	124258449
592	0.0126	LG05	124293905
11052	0.0127	LG05	124792046
12823	0.0018	LG05	125724080
17944	-0.0048	LG05	126192583
18906	-0.0089	LG05	126194573
24751	0.0003	LG05	126409728
4471	-0.0019	LG05	126820739
8048	-0.0034	LG05	126900408
15308	-0.0062	LG05	126946280
20232	0.0102	LG05	127148313
109	0.0006	LG05	127150787
13066	-0.0115	LG05	127293795
15086	-0.0107	LG05	127340219
25641	0.0006	LG05	127472335
2810	0.0034	LG05	127589333
18355	0.0083	LG05	127753513
6292	-0.0002	LG05	127829434
10648	0.0024	LG05	127879802
15382	-0.0039	LG05	128161440
24504	-0.0089	LG05	128202298
12670	0.0271	LG05	128265819
17683	0.0072	LG05	128650998
9280	0.0011	LG05	128710158
20042	-0.0025	LG05	129214291
24009	0.0206	LG05	129350613
13081	0.0038	LG05	129557306
21649	0.0014	LG05	129769488
4818	-0.0017	LG05	129997482
3952	-0.0048	LG05	130492422
7494	0.0034	LG05	130601972
19118	-0.002	LG05	130676171
19867	0.0167	LG05	130676259
23500	0.0077	LG05	130728683
17629	-0.0091	LG05	130728929
19165	0.0019	LG05	130729017
24409	-0.0049	LG05	130905470
20144	0.0008	LG05	131015975
13979	0.012	LG05	131021582
12291	0.0053	LG05	131025602
4162	-0.0103	LG05	131406625
14596	-0.0044	LG05	132789916
21290	-0.0073	LG05	132794799
11483	0.003	LG05	133183335
16697	0.0106	LG05	133203961
12337	-0.0039	LG05	133898311
20929	-0.0001	LG05	133898399
3585	0.014	LG05	133913426
20573	0.0001	LG05	134388226
8842	-0.0047	LG05	134469632
25170	0	LG05	134576744
10153	-0.0046	LG05	134580714
23233	0.0046	LG05	134660103
982	-0.0013	LG05	135060896
5427	-0.0084	LG05	135354718
6944	0.0145	LG05	135378845
15494	0.0164	LG05	135594554
19937	0.0037	LG05	135612065
10276	0.0266	LG05	135854584
5738	0.0137	LG05	135934670
2934	-0.0057	LG05	135989127
4255	0.0619	LG05	136388364
19856	0.0096	LG05	136482045
13631	-0.0013	LG05	136503363
534	0.0051	LG05	136724791
10849	0.0167	LG05	136769209
24990	0.0108	LG05	136821588
22541	-0.0016	LG05	136851664
11191	-0.007	LG05	137051098
5600	-0.0013	LG05	137228044
19450	-0.0054	LG05	137465699
7922	0.0176	LG05	137570881
24976	0.0021	LG05	137576476
18694	-0.0035	LG05	137683607
8058	0.0306	LG05	137731601
20449	-0.003	LG05	137737082
14897	0.0051	LG05	137824871
9174	-0.0001	LG05	137855060
11254	-0.0036	LG05	138241426
2075	-0.0097	LG05	138269224
11717	0.0052	LG05	138655112
8849	0.0133	LG05	138894650
19522	0.004	LG05	138922316
14824	0.0104	LG05	139118592
19408	0.0241	LG05	139566912
15279	-0.0005	LG05	139986155
3226	0.227	LG05	140082263
8820	-0.0068	LG05	140082351
20744	0.0103	LG05	140589857
9216	0.0584	LG06	140780967
20128	0.0242	LG06	140865480
17934	0.0143	LG06	140866107
17347	0.0057	LG06	142533332
13991	-0.0031	LG06	143384058
14298	0.0586	LG06	143433955
24966	0.0016	LG06	143441582
5367	0.0199	LG06	143441670
24876	0.0131	LG06	143959422
13627	-0.0037	LG06	144027560
13286	0.1176	LG06	144259667
6690	0.0035	LG06	144290122
19689	-0.0031	LG06	144304879
14572	-0.0088	LG06	144508433
4065	-0.0035	LG06	144698626
14955	0.0101	LG06	144778935
6069	-0.005	LG06	145785370
23232	0.0031	LG06	146089546
9967	0.0001	LG06	146196709
9502	-0.0003	LG06	146261406
12746	0.0125	LG06	146514068
15140	-0.0012	LG06	146514156
3734	-0.0005	LG06	146615082
13308	0.0042	LG06	146778317
7713	-0.0097	LG06	146917927
13575	0.0007	LG06	146918015
7870	-0.0026	LG06	146998728
927	-0.004	LG06	147109770
11563	0.0113	LG06	147178557
13917	-0.0047	LG06	147258596
21453	0.0005	LG06	147268799
15573	0.0078	LG06	147327067
20091	0.0415	LG06	147331392
18841	0.0003	LG06	147345481
12477	-0.0075	LG06	147468380
1017	-0.0003	LG06	147493436
10177	0.0237	LG06	147578634
4799	0.0126	LG06	147590910
5610	-0.0008	LG06	147654658
9369	-0.0034	LG06	147738635
14140	0.0024	LG06	148206207
7144	0.0063	LG06	148206876
18743	0.0025	LG06	148381573
20101	0.0024	LG06	148423641
5576	0.0047	LG06	148547634
3940	-0.007	LG06	148555946
16571	0.007	LG06	148556034
954	0.0192	LG06	148753207
926	-0.002	LG06	149260729
6833	-0.0032	LG06	149291752
11008	0.0376	LG06	150151870
5770	0.0017	LG06	150190412
22921	0.0551	LG06	150382307
11065	-0.0072	LG06	150391099
248	0.0204	LG06	150757326
21611	-0.0019	LG06	150757414
24028	0.0071	LG06	151162896
13341	-0.0048	LG06	151242730
18120	0.0063	LG06	151258694
13148	0.012	LG06	151456010
11521	0.0146	LG06	151735571
5719	0.0011	LG06	152128437
8016	0.017	LG06	152204426
15332	0.0151	LG06	152377204
9135	-0.0026	LG06	152870844
4452	-0.0073	LG06	152986598
8758	-0.0051	LG06	153087102
6112	0.0017	LG06	153628957
3692	-0.0106	LG06	153737556
22020	0.0125	LG06	153918506
8327	0.0177	LG06	154278141
14593	0.0034	LG06	154345521
4235	0.034	LG06	154959425
24665	0.015	LG06	154959514
3887	0.0177	LG06	154967453
6810	-0.0016	LG06	155334167
6157	0.0309	LG06	155402484
7726	0.0094	LG06	155454142
6652	-0.0041	LG06	157002976
16968	0.0021	LG06	157735954
15615	-0.0039	LG06	157781223
23650	0.0004	LG06	157787018
3973	0.0081	LG06	158194372
24868	0.0014	LG06	158208954
2885	-0.008	LG06	158284461
23346	0.004	LG06	158408537
14906	0.0023	LG06	159047316
733	-0.0006	LG06	159348797
4398	-0.0041	LG06	159686951
23788	0.0009	LG06	160267223
1054	-0.0011	LG06	160587539
5336	0.0171	LG06	160748328
4191	-0.0058	LG06	161429863
20705	0.2401	LG06	161743905
15407	-0.0033	LG06	162271444
4887	0.0213	LG06	162897239
19466	0.0271	LG06	163297999
5465	0.0105	LG06	163446358
7391	0.0042	LG06	163454119
8465	0.0061	LG06	163454207
16898	0.0017	LG06	163704175
16504	-0.0081	LG06	163710820
7666	-0.0023	LG06	164266757
18782	-0.0048	LG06	164597168
14932	-0.0023	LG06	164691846
17898	-0.0022	LG06	164788320
17066	0.0004	LG06	165654809
3396	0.0124	LG06	166003744
16904	0.0026	LG07	166394661
13556	0.0336	LG07	166699409
16573	-0.0064	LG07	167786807
23992	0.0054	LG07	168476177
24940	0.1996	LG07	168672702
5946	0.0064	LG07	168872288
5322	0.0005	LG07	170949829
3049	0.0045	LG07	171185782
20810	-0.0022	LG07	171185870
8890	0.0081	LG07	172643291
16410	0.0148	LG07	172723580
6894	0.0018	LG07	173042131
23190	0.0091	LG07	173096348
7763	-0.0036	LG07	173631546
25479	0.0131	LG07	174019774
8334	0.0073	LG07	174198757
6882	-0.0069	LG07	174232115
10210	-0.0028	LG07	175032935
8898	-0.0081	LG07	175165646
11216	0.0057	LG07	175303284
17835	-0.0018	LG07	175536824
11760	0.0002	LG07	175672613
3284	0.0236	LG07	175693340
23562	0.0156	LG07	175906333
8191	0.0209	LG07	176232589
11576	-0.0028	LG07	177030519
12578	0.0009	LG07	177121662
8100	0.0009	LG07	177581927
14999	0.0128	LG07	177582680
7875	-0.0064	LG07	177606100
23986	-0.0015	LG07	177851570
15934	0.0115	LG07	177936259
4137	-0.0034	LG07	177965124
11997	0	LG07	178066350
13198	0.0059	LG07	178131081
16062	-0.0067	LG07	178229946
20885	0.0257	LG07	178441722
23563	0.0095	LG07	178502623
2520	0.0034	LG07	178515495
14810	-0.0048	LG07	178773316
17322	-0.0077	LG07	179379514
2735	-0.0014	LG07	179389736
3195	-0.0098	LG07	179451298
22035	0.0017	LG07	179523435
14640	0.0232	LG07	179699179
23944	0.0295	LG07	180536844
121	0.018	LG07	180793076
20028	-0.0054	LG07	180840916
25567	-0.0029	LG07	180899043
10999	0.002	LG07	180923115
22166	0.0099	LG07	181008092
11149	-0.0102	LG07	181022968
10285	-0.0051	LG07	181048379
16881	0.0054	LG07	181295582
4637	0.012	LG07	181565333
24467	0.0004	LG07	181607994
21874	0.0092	LG07	181717513
16218	0.0042	LG07	182222508
7479	0.0006	LG07	182389666
925	0.011	LG07	182399640
7171	0.0038	LG07	182439698
3324	0.0082	LG07	182560791
18517	-0.0004	LG07	182711911
3111	-0.0082	LG07	183111272
9164	0.0011	LG07	183145017
14474	-0.0133	LG07	183534774
2069	-0.0016	LG07	183586578
22303	-0.004	LG07	183647418
22862	-0.0102	LG07	183755473
7458	-0.0009	LG07	183915234
17631	-0.0046	LG07	184048764
8813	0.0165	LG07	184375569
15473	0.0048	LG07	184657858
24287	-0.0021	LG07	184762832
6298	0.0033	LG07	185444332
21829	0.0122	LG07	185891850
10913	0.1541	LG07	186620694
4856	0.0887	LG07	186798598
13935	-0.0029	LG07	187070129
18796	0.0048	LG07	187071612
12962	0.0003	LG07	187144988
2319	-0.0022	LG07	187150602
15645	0.0005	LG07	187156688
20990	-0.0036	LG07	187284579
9800	0.0052	LG07	187349940
24999	0.0035	LG07	187350028
22324	0.0093	LG07	187356527
2454	0.0193	LG07	187747804
20197	0.0118	LG07	187926469
12303	0.0317	LG07	188020070
24684	0.0033	LG07	188143177
11768	0.0225	LG07	188143265
11902	-0.0064	LG07	188199670
22276	0.0766	LG07	188493478
25306	0.0021	LG07	188715637
22937	0.0016	LG07	189247897
