Locus	chromosome	fst	c_pos
11140	PCodG	-0.0071	11291570
5753	PCodG	0.0818	11309141
9596	PCodG	0.0266	11383360
17561	PCodG	0.0023	11481567
23584	PCodG	-0.0052	11497482
22978	PCodG	2.00E-04	11703390
1602	PCodG	0.1611	11804307
2780	PCodG	0.3479	11869646
13506	PCodG	0.0054	12222620
24673	PCodG	0.0036	12331744
21844	PCodG	-0.0047	12649886
21720	PCodG	0.0085	12649886
9825	PCodG	0.0117	12866887
9456	PCodG	0.0175	12895039
17342	PCodG	-0.0061	13165795
13276	PCodG	-0.0019	13203369
7855	PCodG	-0.0039	13272763
1176	PCodG	0.0277	13275503
23055	PCodG	0.0053	13348517
17074	PCodG	-0.0069	13460605
19716	PCodG	0.1045	13543599
15548	PCodG	0.1498	13549939
7573	PCodG	0.059	13566886
253	PCodG	-0.0055	13663746
11711	PCodG	-0.0066	14052789
24779	PCodG	0.2302	14182553
16291	PCodG	0.0295	14215233
14720	PCodG	0.0828	14360204
22931	PCodG	6.00E-04	14391336
20245	PCodG	0.0178	14915282
8568	PCodG	0.0118	14990824
6220	PCodG	0.0833	15305774
5584	PCodG	0.0074	15478086
16036	PCodG	0.0072	15698538
5925	PCodG	-0.0031	15884506
12756	PCodG	-0.0058	15941922
20222	PCodG	-0.001	15949701
16522	PCodG	0.0015	16029166
6077	PCodG	0.0059	16099585
15053	PCodG	0.0318	16100804
765	PCodG	0.1457	16350985
21518	PCodG	0.3148	16668458
2990	PCodG	0.0452	17231504
24372	PCodG	-0.0049	17254201
6225	PCodG	-0.005	17343059
23717	PCodG	0.1294	17410032
16441	PCodG	-0.003	17478244
3473	PCodG	0.0101	17544233
7823	PCodG	-0.0062	17686137
15708	PCodG	0.0064	17762848
23879	PCodG	0.0102	17874079
3794	PCodG	-0.0033	17891914
13135	PCodG	0.0385	17894333
4365	PCodG	-0.0037	18164746
22376	PCodG	0.0614	18270121
10477	PCodG	0.0744	18299147
18099	PCodG	0.0399	18634387
8649	PCodG	0.0162	18885301
6218	PCodG	0.053	18938963
7173	PCodG	-0.0054	18990205
4301	PCodG	-0.0045	18990497
20154	PCodG	0.049	19065023
1275	PCodG	0.0998	19119404
12082	PCodG	0.0282	19122718
6687	PCodG	0.0335	19131955
25090	PCodG	0.0429	19484176
17462	PCodG	0.0076	19558080
4103	PCodG	0.0283	19759592
20926	PCodG	0.0018	19851693
9000	PCodG	-0.0049	20164805
17329	PCodG	0.0016	20190450
1730	PCodG	0.0137	20219379
15393	PCodG	0.0625	20244563
16989	PCodG	-0.0047	20244651
3223	PCodG	0.0681	21052003
18566	PCodG	0.0836	21078734
21583	PCodG	0.0196	21139714
24866	PCodG	0.0121	21344701
19900	PCodG	0.0594	21474610
10039	PCodG	0.0178	21639498
7286	PCodG	-0.0065	21876491
10399	PCodG	0.0017	22235777
12877	PCodG	-0.006	22265414
16033	PCodG	0.0242	22274751
1037	PCodG	0.0419	22314645
9965	PCodG	0.0195	22419167
18308	PCodG	0.0226	22419255
23529	PCodG	0.0479	22426003
7275	PCodG	0.0292	22595118
24934	PCodG	0.0182	22930946
11054	PCodG	0.017	22931034
2866	PCodG	0.0042	23087036
25204	PCodG	0.053	23131382
9277	PCodG	0.0109	23131469
5569	PCodG	0.1532	23205145
13275	PCodG	0.0571	23209262
9894	PCodG	0.1218	23601228
22373	PCodG	0.0215	23816773
4003	PCodG	0.0615	24038892
17121	PCodG	0.1319	24067024
11504	PCodG	0.007	24263046
3776	PCodG	0.0952	24455925
19526	PCodG	0.0425	24606463
4909	PCodG	0.0489	24794728
11479	PCodG	0.2181	24916735
9421	PCodG	0.0256	24972595
19996	PCodG	-0.0054	25476068
8948	PCodG	-0.0033	25476939
9870	PCodG	0.0044	25537657
19340	PCodG	-0.0024	25547121
7341	PCodG	-0.0019	25623962
16833	PCodG	0.0178	25695043
13766	PCodG	0.0409	26270788
126	PCodG	0.0266	26277273
2672	PCodG	0.072	26278837
9996	PCodG	-0.0063	26278925
23915	PCodG	0.0145	26446274
6410	PCodG	0.0324	26825592
15925	PCodG	0.0305	26825871
1059	PCodG	-0.0037	27624343
2973	PCodG	0.097	27732633
3630	PCodG	-0.006	28032467
2966	PCodG	0.2003	28089763
13923	PCodG	-0.0022	28259281
9530	PCodG	0.0382	28790718
9673	PCodG	0.047	28853264
5748	PCodG	0.0268	28862944
12161	PCodG	-0.006	29008908
22330	PCodG	-0.0037	29763729
2227	PCodG	0.0108	30056977
12720	PCodG	0.034	30057065
23643	PCodG	0.0435	30482401
12652	PCodG	0.0234	30500667
24808	PCodG	-0.0059	31166431
8450	PCodG	1.00E-04	31238335
14890	PCodG	0.0184	31372751
19616	PCodG	0.0027	31438768
5650	PCodG	0.0109	31988352
20570	PCodG	0.0064	32152093
11304	PCodG	0.0039	32416693
14293	PCodG	0.0071	32533454
17606	PCodG	-0.0056	32828401
23345	PCodG	0.0012	32837007
10191	PCodG	0.0046	33338755
13038	PCodG	-0.0062	33446058
18002	PCodG	0.0763	33779354
16683	PCodG	0.0127	33806095
15713	PCodG	-0.0012	33861253
13249	PCodG	0.0446	33861341
20284	PCodG	0.0844	33929061
21377	PCodG	0.0178	34114668
8277	PCodG	0.039	34251537
9741	PCodG	0.0394	34284208
803	PCodG	0.0071	34319072
19750	PCodG	0.0171	34870937
19094	PCodG	0.0292	34923103
6195	PCodG	-0.0055	34926612
11378	PCodG	0.0059	35961581
20552	PCodG	0.3488	36008685
6709	PCodG	0.0037	36622767
6275	PCodG	-0.0054	36727667
6441	PCodG	-0.0045	36871081
10012	PCodG	-6.00E-04	36871167
14655	PCodG	-0.0045	36910536
21296	PCodG	-0.003	37204023
7390	PCodG	-0.0061	37297323
24148	PCodG	0.0828	38206256
12065	PCodG	0.0169	38216603
15557	PCodG	0.0178	38216691
3016	PCodG	-0.004	38599675
17073	PCodG	0.0231	38669108
23838	PCodG	0.044	39343894
19045	PCodG	0.0355	39405439
10878	PCodG	-4.00E-04	39437753
2332	PCodG	-0.0065	39448770
20452	PCodG	-0.0032	39675630
19126	PCodG	0.0215	39707118
6887	PCodG	0.0376	39770106
8305	PCodG	0.0026	39979944
8547	PCodG	0.0825	40170531
15735	PCodG	0.0036	40211573
3623	PCodG	0.0014	40328183
17332	PCodG	0.0051	40604409
3116	PCodG	0.2038	40730063
17016	PCodG	0.0237	40968526
2196	PCodG	0.0873	42004029
25143	PCodG	0.0349	42405482
3172	PCodG	-0.0014	42734192
4836	PCodG	-0.0056	43238925
6156	PCodG	-6.00E-04	43341403
12194	PCodG	-0.0015	43867771
2110	PCodG	-0.0019	44018688
5196	PCodG	-0.0047	44551268
18780	PCodG	-0.0043	44551356
695	PCodG	0.0689	45124187
15109	PCodG	0.0911	45223269
3791	PCodG	0.1614	45230059
246	PCodG	0.0047	45390677
11273	PCodG	0.0313	46276157
12434	PCodG	9.00E-04	46322076
23203	PCodG	0.1176	46435793
8045	PCodG	-0.0042	46751611
21277	PCodG	0.1602	46902590
23624	PCodG	-0.0017	47304953
1906	PCodG	0.0139	47313540
22340	PCodG	0.0074	47386533
23112	PCodG	0.0502	47482291
20572	PCodG	2.00E-04	47529951
17985	PCodG	9.00E-04	47543390
22508	PCodG	-0.0054	47613403
8778	PCodG	-0.0065	47679767
17391	PCodG	0.0079	47728420
111	PCodG	-0.0041	47828499
22131	PCodG	0.0721	48021360
7610	PCodG	-0.006	48150550
4689	PCodG	-0.0048	48297403
16872	PCodG	0.0209	48310909
19598	PCodG	0.1359	48352730
18524	PCodG	0.0341	48770859
14635	PCodG	-7.00E-04	48854482
2733	PCodG	0.0891	48890627
17118	PCodG	-0.0011	49015878
16277	PCodG	0.0387	49361457
10577	PCodG	0.0011	49444636
17040	PCodG	-0.0028	49568964
10806	PCodG	-0.0049	50129130
10304	PCodG	-0.0067	50129218
13321	PCodG	-6.00E-04	50132516
5851	PCodG	0.007	50225639
10227	PCodG	-0.0075	50225727
21078	PCodG	0.0569	50333435
10374	PCodG	0.0091	50393364
18887	PCodG	0.0113	50826346
11413	PCodG	0.0098	50847737
8704	PCodG	0.0026	50901523
23617	PCodG	-0.0059	50930227
7806	PCodG	0.0911	50990691
12145	PCodG	-0.0033	51141507
22707	PCodG	0.0219	51449252
1855	PCodG	-0.0033	51574585
166	PCodG	-0.0022	51574673
3828	PCodG	-0.0067	51667643
20586	PCodG	-0.006	52036983
24985	PCodG	0.0024	52227958
4832	PCodG	0.0124	52883720
12892	PCodG	0.0052	53072430
2646	PCodG	0.0096	53085367
24288	PCodG	-0.005	53146463
11905	PCodG	0.1207	53328463
3879	PCodG	0.0059	53664552
7509	PCodG	0.065	54259634
25446	PCodG	-0.0065	54760093
5924	PCodG	-0.005	54840163
6147	PCodG	-0.0068	55117628
23508	PCodG	0.0624	55117716
11166	PCodG	0.1102	55175864
6971	PCodG	0.1882	55175952
25516	PCodG	-0.0072	55495259
5079	PCodG	0.0385	55799321
8316	PCodG	-0.0056	56836312
7117	PCodG	-0.0066	57431011
12641	PCodG	1.00E-04	57696243
13796	PCodG	-0.0014	57737881
19441	PCodG	0.0032	57842704
13850	PCodG	0.0497	57908106
5688	PCodG	-0.0064	59055947
20898	PCodG	0.0982	59080131
23215	PCodG	0.1258	59287293
10350	PCodG	-0.0057	59426781
1287	PCodG	0.1042	59440012
7327	PCodG	0.0899	59558520
19081	PCodG	0.077	59596520
15965	PCodG	0.0204	59596638
21613	PCodG	0.0066	59633612
16360	PCodG	0.0528	59732388
6657	PCodG	0.0767	59987026
15903	PCodG	0.1184	60013971
15150	PCodG	0.0812	60027639
14032	PCodG	0.0372	60252255
4002	PCodG	0.0079	60412031
16706	PCodG	0.1045	60412119
8205	PCodG	-0.0053	60466406
23863	PCodG	0.0286	60482338
22694	PCodG	0.108	60781000
6431	PCodG	0.0773	60781087
7975	PCodG	0.0263	60961488
2647	PCodG	0.0345	60961576
2371	PCodG	-0.0053	61120289
24348	PCodG	0.0143	61409151
4453	PCodG	0.0171	62131799
22679	PCodG	-0.0064	62534886
11569	PCodG	0.112	62679456
24370	PCodG	-0.0054	62710544
19425	PCodG	0.1112	63126045
10860	PCodG	0.0641	63126133
7485	PCodG	-0.0064	63190388
4905	PCodG	0.0698	63370235
3799	PCodG	0.0172	63502301
17132	PCodG	-0.0046	63621990
10685	PCodG	-0.0029	63648322
8375	PCodG	0.0068	63953113
23475	PCodG	0.0993	64041312
4392	PCodG	0.0147	64191278
11290	PCodG	-0.0048	64427120
4815	PCodG	-0.0029	64647326
21185	PCodG	0.017	64684627
5902	PCodG	0.0179	65194362
3312	PCodG	-0.002	65428276
4010	PCodG	0.0359	66120225
14070	PCodG	-0.0011	66203762
7715	PCodG	-0.006	66407414
7322	PCodG	-0.0013	66936000
6883	PCodG	-0.004	67188301
17134	PCodG	0.04	67212387
169	PCodG	0.017	67689119
18438	PCodG	0.0544	67715935
22800	PCodG	0.0454	67746539
12190	PCodG	0.0932	67764817
20715	PCodG	-0.0046	68665286
1845	PCodG	0.0778	68703455
24600	PCodG	-0.0066	69232850
13769	PCodG	2.00E-04	69306231
13583	PCodG	0.0054	69797727
23544	PCodG	0.0171	70133287
21046	PCodG	0.0198	70391450
5524	PCodG	0.0279	70391538
3750	PCodG	-0.0072	70488909
21244	PCodG	0.287	70760397
12657	PCodG	0.0026	71483814
206	PCodG	-0.0047	71497063
9043	PCodG	-0.0061	71835356
10413	PCodG	0.0076	71995364
19255	PCodG	-0.0044	72195581
13291	PCodG	-0.003	72195669
3853	PCodG	0.0048	72275022
24082	PCodG	0.0392	72514211
3761	PCodG	0.0063	72664727
15069	PCodG	0.0811	72670014
21327	PCodG	0.0909	72721500
1451	PCodG	-0.0046	72784157
1995	PCodG	0.0267	72791757
1957	PCodG	-1.00E-04	72881471
2995	PCodG	0.023	72940657
8572	PCodG	0.0568	73035377
101	PCodG	0.043	73044117
7164	PCodG	0.0392	73051633
19592	PCodG	-0.0033	73158721
13063	PCodG	0.0016	73393028
25164	PCodG	0.0344	73851667
12881	PCodG	0.0201	74466571
6768	PCodG	0.0076	74471922
9864	PCodG	0.0167	74900169
9853	PCodG	0.0073	75093330
14972	PCodG	0.0633	75562879
6429	PCodG	-0.0048	75571808
18535	PCodG	-0.0066	75731976
15442	PCodG	-0.0055	75804933
23706	PCodG	0.0406	75824372
6993	PCodG	0.1095	76159540
3885	PCodG	0.0472	76163115
12623	PCodG	0.1791	76219238
24194	PCodG	-0.005	76285323
4025	PCodG	0.0059	76582236
25450	PCodG	0.0711	76663888
1193	PCodG	-0.001	76901797
9704	PCodG	0.0541	77035950
23000	PCodG	4.00E-04	77090809
17454	PCodG	0.07	77090897
2148	PCodG	0.1325	77175157
15677	PCodG	0.0705	77207998
19329	PCodG	0.0257	77313653
19881	PCodG	0.0344	77316865
22895	PCodG	0.0305	77346813
19275	PCodG	-0.006	77601042
2977	PCodG	-0.0062	77601130
20490	PCodG	0.0222	78026782
11162	PCodG	0.0017	78061694
189	PCodG	-0.0061	78076457
12087	PCodG	0.0024	78312630
23029	PCodG	-0.0049	78851643
5804	PCodG	0.0233	79434369
24772	PCodG	0.0945	79470200
18415	PCodG	-7.00E-04	79499613
16179	PCodG	0.0172	79625035
4747	PCodG	0.0177	79826111
440	PCodG	0.0371	79826199
1218	PCodG	-0.0042	80005771
4863	PCodG	0.0098	80196249
18994	PCodG	0.0789	80209048
10222	PCodG	0	80300263
14459	PCodG	0.0166	80426079
20148	PCodG	0.0063	80480560
2446	PCodG	-0.0062	81376804
5413	PCodG	0.0671	81429508
19975	PCodG	-0.0015	81507393
15927	PCodG	0.0136	81642234
2621	PCodG	-0.0038	82188375
1091	PCodG	-0.0028	82797056
17311	PCodG	0.0321	82825285
9681	PCodG	0.0353	83008976
7074	PCodG	0.1271	83128244
221	PCodG	0.0333	83128332
9776	PCodG	-0.0067	83656218
7081	PCodG	0.0057	84366846
9840	PCodG	0.0103	85600581
12334	PCodG	0.0096	85635342
4557	PCodG	-0.0055	85635430
9850	PCodG	-0.0035	86033355
16944	PCodG	0.0798	86567820
6567	PCodG	0.1102	87423952
5754	PCodG	-0.0013	87491653
16053	PCodG	-0.0054	88354380
11627	PCodG	-9.00E-04	88380435
4582	PCodG	0.0815	88380523
6609	PCodG	-0.0072	88600450
21738	PCodG	0.0296	89472880
21624	PCodG	-0.0051	90345632
16046	PCodG	0.0206	90709047
10906	PCodG	-0.0047	91127813
5824	PCodG	-0.0056	91644676
17533	PCodG	0.0134	91808584
23371	PCodG	0.0066	92408734
21339	PCodG	0.0395	92594974
7000	PCodG	0.093	92818603
22863	PCodG	0.1384	92842851
6995	PCodG	0.0613	92936754
220	PCodG	0.0081	95418502
2334	PCodG	0.0613	95600552
1638	PCodG	-0.0067	95816909
1138	PCodG	0.0085	95867959
16474	PCodG	-0.0016	96577147
9992	PCodG	-0.0071	96669812
9714	PCodG	0.0195	97047641
12768	PCodG	0.1179	97142936
12570	PCodG	0.0171	97272066
19718	PCodG	-0.003	97595476
22434	PCodG	-0.0029	97612512
20057	PCodG	0.0509	97612600
21419	PCodG	-0.006	97658455
12952	PCodG	0.1652	97745199
20735	PCodG	0.0268	98611031
1122	PCodG	-8.00E-04	98648013
20255	PCodG	0.0118	98901952
8724	PCodG	0.0035	98928448
15910	PCodG	0.0171	98998508
22705	PCodG	0.0697	99238876
6182	PCodG	0.006	99411275
23845	PCodG	0.0065	99481369
19756	PCodG	-0.006	99499257
16800	PCodG	4.00E-04	99522397
17357	PCodG	0.0287	99992077
2176	PCodG	0.0309	100215587
6519	PCodG	-0.006	100408159
12515	PCodG	0.0358	100421533
16620	PCodG	0.1179	100425498
8018	PCodG	0.0118	100468718
12331	PCodG	-1.00E-04	100764215
24080	PCodG	0.0223	101110255
19761	PCodG	0.0593	101128825
11725	PCodG	-0.0065	101420982
25334	PCodG	0.0107	101459866
25372	PCodG	0.0458	101463908
23191	PCodG	-0.005	101535067
10136	PCodG	0.0139	101545847
4045	PCodG	0.0561	101617829
9898	PCodG	-0.002	101932151
164	PCodG	0.1096	102082801
7142	PCodG	-0.002	102438146
17312	PCodG	0.0227	103328261
7962	PCodG	5.00E-04	103820049
12982	PCodG	-0.0057	103855693
10585	PCodG	0.0491	104060332
23795	PCodG	-0.0073	104221534
20413	PCodG	-0.0037	104283780
4373	PCodG	-0.0059	104752961
6522	PCodG	0.0794	104869732
4230	PCodG	0.0405	105199299
11736	PCodG	0.1865	105203321
8499	PCodG	0.2254	105204238
3694	PCodG	0.004	105345446
2033	PCodG	-0.0055	106181564
4133	PCodG	0.2397	106676298
2154	PCodG	0.0486	106777765
20574	PCodG	-0.004	106813910
8590	PCodG	0.037	106859211
12352	PCodG	0.0296	107063160
1499	PCodG	-0.0051	107161574
23840	PCodG	0.0336	107269170
13845	PCodG	0.0082	107372165
4777	PCodG	0.0263	107435170
20158	PCodG	0.0992	107521843
7139	PCodG	0.0366	108188660
18193	PCodG	0.017	108274779
23999	PCodG	0.0085	108480101
11896	PCodG	-0.003	108502912
17909	PCodG	-0.0063	109209926
5171	PCodG	0.0231	109367066
7643	PCodG	0.0106	109543312
20561	PCodG	0.0422	109845661
22104	PCodG	0.0142	110077962
9878	PCodG	0.0319	110464678
15456	PCodG	0.0167	110483857
4126	PCodG	-0.0056	110634966
21625	PCodG	-0.0028	111138553
16190	PCodG	-0.0063	111204458
4998	PCodG	0.0231	111642589
6956	PCodG	0.1526	111696807
10713	PCodG	-0.0051	112365404
23705	PCodG	-0.0031	112387763
4898	PCodG	0.0107	112387851
9316	PCodG	0.0176	112538888
10495	PCodG	0.0063	112661138
10022	PCodG	-0.0029	112731694
3553	PCodG	0.1011	112765828
14472	PCodG	-0.0044	112765915
1392	PCodG	0.0385	113115833
6672	PCodG	6.00E-04	113117838
1162	PCodG	0.0174	113217682
19740	PCodG	-0.0052	114370531
9308	PCodG	0.0526	114471266
13211	PCodG	0.003	114674080
8095	PCodG	-0.0056	114833258
7637	PCodG	0.0463	115105538
825	PCodG	0.0031	115123390
4013	PCodG	0.1225	115324309
4212	PCodG	0.0447	115408276
25151	PCodG	0.0413	115713868
23528	PCodG	-0.0041	116307497
3875	PCodG	0.0173	116313102
22930	PCodG	0.0071	116424430
25555	PCodG	0.0063	116704498
17084	PCodG	0.0202	116962949
10024	PCodG	0.024	118786755
589	PCodG	-0.0057	119149840
10429	PCodG	-0.0012	119169761
18975	PCodG	0.0152	119193802
5071	PCodG	0.041	119248601
11818	PCodG	0.1183	119263275
14659	PCodG	0.0071	119442830
10567	PCodG	0.0972	119589700
16947	PCodG	0.0028	119751722
8703	PCodG	0.0203	119986405
11509	PCodG	0.0459	120204355
17252	PCodG	0.0163	120296988
4484	PCodG	0.0062	120585557
16264	PCodG	0.0027	120588263
14300	PCodG	0.0233	120827115
16456	PCodG	-0.0018	121383672
14426	PCodG	0.0779	121549806
6554	PCodG	0.0615	121587596
13100	PCodG	0.0363	121715425
15588	PCodG	0.0758	121733184
10488	PCodG	0.1795	121766109
23427	PCodG	0.0806	122026637
12116	PCodG	0.0289	122111657
14064	PCodG	0.1587	122529710
20425	PCodG	0.0054	123112043
14657	PCodG	0.0215	123112131
2370	PCodG	-0.0061	123528599
11059	PCodG	0.0341	123588806
23421	PCodG	0.0025	123738715
8098	PCodG	-0.0047	123961378
16370	PCodG	-0.0011	124258449
11052	PCodG	-0.0059	124792046
12823	PCodG	-0.003	125724080
23990	PCodG	0.0277	125881110
17919	PCodG	-0.0042	126049583
17944	PCodG	0.0616	126192583
24751	PCodG	0.0014	126409728
6807	PCodG	0.0588	126532605
22431	PCodG	-0.0057	126681907
4761	PCodG	0.0252	126837664
7345	PCodG	0.0978	126854513
8048	PCodG	-0.0021	126900408
15308	PCodG	0.2888	126946280
109	PCodG	-0.0052	127150787
13066	PCodG	0.0172	127293795
1968	PCodG	0.0088	127295457
25641	PCodG	-0.0034	127472335
17328	PCodG	0.0669	127617112
16580	PCodG	-0.0028	127691286
18979	PCodG	-0.001	127739638
18355	PCodG	0.0425	127753513
17737	PCodG	0.0423	127753602
2046	PCodG	-0.0049	127804469
10648	PCodG	-0.0046	127879802
4644	PCodG	0.0896	127907886
4878	PCodG	0.0027	128001873
8027	PCodG	0.0131	128096484
15382	PCodG	0.3606	128161440
24504	PCodG	-0.0052	128202298
22739	PCodG	4.00E-04	128248230
10882	PCodG	0.0036	128283388
18925	PCodG	0.0045	128377943
24009	PCodG	0.0248	129350613
13081	PCodG	0.0151	129557306
11687	PCodG	0.0173	129653214
10965	PCodG	0.0333	129719988
15300	PCodG	5.00E-04	130255653
20381	PCodG	-0.0057	130641770
19118	PCodG	0.0439	130676171
17629	PCodG	0.0167	130728929
20144	PCodG	0.0566	131015975
13979	PCodG	0.0262	131021582
13846	PCodG	-9.00E-04	131025514
12291	PCodG	0.0623	131025602
13010	PCodG	0.0214	131697970
21290	PCodG	0.0284	132794799
14762	PCodG	0.0025	132976617
11483	PCodG	-0.0047	133183335
10838	PCodG	0.0018	133837084
20929	PCodG	0.0486	133898399
11738	PCodG	0.0349	133932121
17363	PCodG	1.00E-04	134492523
16695	PCodG	-0.005	134543986
25170	PCodG	3.00E-04	134576744
9461	PCodG	-0.0056	134660015
23233	PCodG	0.0179	134660103
1454	PCodG	0.0096	134814784
982	PCodG	0.0571	135060896
3728	PCodG	-0.0015	135156499
17779	PCodG	0.0327	135262869
1961	PCodG	0.0979	135373884
6944	PCodG	0.1207	135378845
22737	PCodG	0.0162	135423910
3057	PCodG	-0.0061	135544449
15494	PCodG	0.0818	135594554
19937	PCodG	0.0339	135612065
24920	PCodG	0.0094	135773617
10276	PCodG	0.0805	135854584
2934	PCodG	-0.006	135989127
23313	PCodG	-0.0079	136124858
4646	PCodG	0.0479	136358365
19856	PCodG	0.1049	136482045
13631	PCodG	0.1214	136503363
5775	PCodG	0.0201	136532121
534	PCodG	0.0047	136724791
10849	PCodG	0.0404	136769209
13168	PCodG	0.0111	136819964
10660	PCodG	0.061	136831767
22541	PCodG	0.0311	136851664
11191	PCodG	-0.004	137051098
5600	PCodG	0.0426	137228044
1962	PCodG	-0.0014	137238672
19450	PCodG	0.0694	137465699
297	PCodG	0.0311	137473312
24976	PCodG	-0.0056	137576476
18694	PCodG	-0.0044	137683607
20449	PCodG	0.0086	137737082
8231	PCodG	-0.0037	137799487
14897	PCodG	0.1347	137824871
9174	PCodG	0.0887	137855060
15212	PCodG	0.0128	137942523
17718	PCodG	0.0291	138110794
18637	PCodG	0.0694	138266818
2075	PCodG	0.0761	138269224
5469	PCodG	0.0828	138521539
15139	PCodG	-0.0058	138538610
11717	PCodG	-0.0059	138655112
8849	PCodG	0.0196	138894650
14824	PCodG	0.016	139118592
24371	PCodG	0.0784	139304383
13258	PCodG	0.0964	139920458
17738	PCodG	0.0413	140018563
8820	PCodG	-0.0044	140082351
13192	PCodG	0.0098	140371565
4613	PCodG	0.0113	140588195
20744	PCodG	-0.0034	140589857
9216	PCodG	0.061	140780967
20128	PCodG	0.1053	140865480
17816	PCodG	0.0048	140925825
14626	PCodG	0.0503	140925913
4213	PCodG	0.0119	140926698
4727	PCodG	-3.00E-04	141178586
12701	PCodG	0.0738	141342227
9299	PCodG	-0.0036	141371818
12123	PCodG	0.0197	142264424
7915	PCodG	0.045	142371071
13991	PCodG	0.0211	143384058
24966	PCodG	-0.0058	143441582
10823	PCodG	-0.0056	144066176
20756	PCodG	0.0022	144257032
19689	PCodG	-0.0033	144304879
10386	PCodG	-0.0049	144307718
25271	PCodG	0.0651	144335678
14572	PCodG	0.0104	144508433
10299	PCodG	0.0175	144772365
14955	PCodG	0.3657	144778935
23148	PCodG	-0.0063	144792983
12963	PCodG	-0.0055	144982908
25630	PCodG	0.0066	145175366
6069	PCodG	-0.0014	145785370
19551	PCodG	0.026	145912245
9967	PCodG	0.002	146196709
9502	PCodG	0.077	146261406
6260	PCodG	-0.0031	146319235
12746	PCodG	-0.0055	146514068
15140	PCodG	-2.00E-04	146514156
3734	PCodG	-0.0056	146615082
13308	PCodG	0.0088	146778317
13575	PCodG	0.0422	146918015
7870	PCodG	0.0171	146998728
927	PCodG	0.0372	147109770
21453	PCodG	0.0629	147268799
23753	PCodG	0.0698	147290383
15573	PCodG	-0.0084	147327067
18841	PCodG	0.1093	147345481
11663	PCodG	-0.0042	147475742
4799	PCodG	1.00E-04	147590910
5610	PCodG	0.1157	147654658
9369	PCodG	0.0168	147738635
14140	PCodG	-0.0061	148206207
18743	PCodG	0.0309	148381573
20101	PCodG	0.0081	148423641
5576	PCodG	4.00E-04	148547634
3940	PCodG	0.11	148555946
16571	PCodG	0.1181	148556034
2522	PCodG	0.0419	148717476
21614	PCodG	0.0321	148717564
21699	PCodG	-0.0063	148932338
6342	PCodG	-0.003	149468683
13537	PCodG	0.0818	149638294
5770	PCodG	5.00E-04	150190412
14176	PCodG	0.0166	150293127
19990	PCodG	-7.00E-04	150710398
13341	PCodG	0.0158	151242730
15701	PCodG	0.0153	151252603
381	PCodG	-0.0069	151579589
11521	PCodG	0.0135	151735571
11092	PCodG	0.0464	152023100
16166	PCodG	-8.00E-04	152152870
15332	PCodG	-0.0056	152377204
9135	PCodG	0.0176	152870844
8758	PCodG	-0.0043	153087102
813	PCodG	0.0151	153562670
