Locus	fst	chromosome	position
Ot034359_Ots01p	-0.0077	Ots01	17.98
Ot052725_Ots01p	-0.0081	Ots01	17.98
Ot018907_Ots01p	-0.01	Ots01	18.42
Ot055666_Ots01p	0.0113	Ots01	18.42
Ot026350_Ots01p	-0.0116	Ots01	18.74
Ot031985_Ots01p	-0.0066	Ots01	18.74
Ot002849_Ots01p	0.1141	Ots01	23.74
Ot016762_Ots01p	-0.0003	Ots01	28.05
Ot008758_Ots01p	-0.007	Ots01	29.46
Ot032422_Ots01p	0.0535	Ots01	29.46
Ot035959_Ots01p	-0.0022	Ots01	29.46
Ot038757_Ots01p	-0.0003	Ots01	29.46
Ot048535_Ots01p	-0.0094	Ots01	29.46
Ot018562_Ots01p	0.0165	Ots01	33.77
Ot019975_Ots01p	-0.0106	Ots01	33.77
Ot029959_Ots01p	0.0205	Ots01	33.77
Ot001372_Ots01p	-0.0102	Ots01	35.86
Ot031320_Ots01p	-0.0017	Ots01	35.86
Ot045071_Ots01p	-0.0128	Ots01	35.86
Ot036260_Ots01p	0.0149	Ots01	37.95
Ot043871_Ots01p	0.0759	Ots01	37.95
Ot035251_Ots01p	-0.0068	Ots01	38.33
Ot013115_Ots01p	-0.0104	Ots01	41.6
Ot026099_Ots01p	-0.0136	Ots01	41.6
Ot008975_Ots01p	0.0225	Ots01	42.1
Ot034690_Ots01p	0.0329	Ots01	42.1
Ot052885_Ots01p	-0.0091	Ots01	42.1
Ot002018_Ots01p	-0.0121	Ots01	45.58
Ot005569_Ots01p	0.0003	Ots01	45.58
Ot015462_Ots01p	0.109	Ots01	45.58
Ot022327_Ots01p	-0.0097	Ots01	45.58
Ot038007_Ots01p	0.0159	Ots01	45.58
Ot047388_Ots01p	0.0371	Ots01	45.58
Ot006263_Ots01p	0.0145	Ots01	47.29
Ot038032_Ots01p	-0.008	Ots01	47.29
Ot045883_Ots01p	0.0171	Ots01	47.29
Ot023201_Ots01p	0.0276	Ots01	51.73
Ot029384_Ots01p	0.0316	Ots01	51.73
Ot000513_Ots01p	-0.0099	Ots01	56.36
Ot008190_Ots01p	-0.0063	Ots01	56.59
Ot017189_Ots01p	-0.0101	Ots01	58.02
Ot034205_Ots01p	0.0228	Ots01	58.02
Ot001743_Ots01p	0.0014	Ots01	60.2
Ot006384_Ots01p	-0.0061	Ots01	60.2
Ot021684_Ots01p	0.004	Ots01	60.2
Ot003524_Ots01p	-0.0066	Ots01	64.44
Ot028589_Ots01p	0.0434	Ots01	67.72
Ot009017_Ots01c	0.0366	Ots01	69.77
Ot013910_Ots01c	0.0037	Ots01	69.77
Ot021497_Ots01c	-0.0006	Ots01	69.77
Ot022241_Ots01c	-0.0115	Ots01	69.77
Ot024922_Ots01c	0.0013	Ots01	69.77
Ot000909_Ots01c	-0.0056	Ots01	71.7
Ot012082_Ots01c	-0.0076	Ots01	73.88
Ot005391_Ots01c	0.0437	Ots01	76.07
Ot017763_Ots01c	-0.0099	Ots01	76.07
Ot026637_Ots01c	-0.0079	Ots01	76.07
Ot008359_Ots01q	0.0429	Ots01	89.02
Ot018629_Ots01q	-0.0061	Ots01	89.02
Ot027026_Ots01q	0.0204	Ots01	89.02
Ot029010_Ots01q	0.0484	Ots01	89.02
Ot043358_Ots01q	-0.0081	Ots01	89.02
Ot016761_Ots01q	0.0526	Ots01	93.39
Ot053439_Ots01q	0.0354	Ots01	93.39
Ot008442_Ots01q	0.0532	Ots01	95.4
Ot024689_Ots01q	-0.0124	Ots01	102.23
Ot034494_Ots01q	0.0205	Ots01	104.3
Ot021612_Ots01q	0.1162	Ots01	105.29
Ot004924_Ots01q	0.0142	Ots01	108.27
Ot009941_Ots01q	0.0087	Ots01	109.32
Ot010132_Ots01q	0.0134	Ots01	109.32
Ot015073_Ots01q	-0.0096	Ots01	110.75
Ot002151_Ots01q	0.0241	Ots01	110.76
Ot004093_Ots01q	-0.0079	Ots01	110.76
Ot011596_Ots01q	-0.0054	Ots01	110.76
Ot016921_Ots01q	-0.0101	Ots01	110.76
Ot017383_Ots01q	0.04	Ots01	110.76
Ot027639_Ots01q	0.0227	Ots01	110.76
Ot030155_Ots01q	0.0029	Ots01	110.76
Ot037784_Ots01q	0.0364	Ots01	110.76
Ot038639_Ots01q	-0.011	Ots01	110.76
Ot051354_Ots01q	-0.0103	Ots01	110.76
Ot006410_Ots01q	-0.0053	Ots01	113.96
Ot019147_Ots01q	-0.0101	Ots01	115.44
Ot021089_Ots01q	-0.0103	Ots01	115.44
Ot007519_Ots01q	-0.0134	Ots01	117.51
Ot015296_Ots01q	0.0338	Ots01	118.14
Ot030310_Ots01q	0.0156	Ots01	118.14
Ot040317_Ots01q	0.0269	Ots01	118.14
Ot046331_Ots01q	0.0623	Ots01	118.14
Ot052269_Ots01q	-0.0074	Ots01	118.14
Ot015349_Ots01q	0.0777	Ots01	119
Ot033388_Ots01q	0.0088	Ots01	119
Ot035271_Ots01q	-0.003	Ots01	119
Ot041648_Ots01q	0.0061	Ots01	119
Ot047938_Ots01q	0.0023	Ots01	119
Ot048703_Ots01q	-0.0096	Ots01	119
Ot029268_Ots01q	-0.0098	Ots01	119.08
Ot033605_Ots01q	-0.0075	Ots01	119.08
Ot030843_Ots01q	0	Ots01	120.44
Ot033613_Ots01q	0.0022	Ots01	121.5
Ot042587_Ots01q	0.0613	Ots01	121.5
Ot024625_Ots01q	0.0058	Ots01	123.06
Ot017487_Ots01q	0.0183	Ots01	123.5
Ot001609_Ots01q	-0.0078	Ots01	125.67
Ot034103_Ots01q	-0.0108	Ots01	125.67
Ot044706_Ots01q	0.0067	Ots01	125.67
Ot052056_Ots01q	-0.0097	Ots01	125.67
Ot035457_Ots01q	-0.0006	Ots01	127.36
Ot037676_Ots01q	-0.0077	Ots01	127.36
Ot053282_Ots01q	-0.0114	Ots01	127.36
Ot053722_Ots01q	-0.0015	Ots01	127.36
Ot005457_Ots01q	-0.0141	Ots01	130.23
Ot006241_Ots01q	-0.0109	Ots01	130.23
Ot008896_Ots01q	-0.0138	Ots01	130.23
Ot014495_Ots01q	-0.009	Ots01	130.23
Ot030806_Ots01q	0.0152	Ots01	130.23
Ot014271_Ots01q	-0.009	Ots01	132.32
Ot018375_Ots01q	0.0146	Ots01	134.42
Ot009888_Ots01q	0.0343	Ots01	137.06
Ot026596_Ots01q	-0.0139	Ots01	137.06
Ot027433_Ots01q	0.0042	Ots01	137.06
Ot035600_Ots01q	0.0254	Ots01	137.06
Ot043726_Ots01q	0.0034	Ots01	137.06
Ot047022_Ots01q	0	Ots01	137.06
Ot003695_Ots01q	-0.0092	Ots01	138.35
Ot035180_Ots01q	-0.011	Ots01	138.35
Ot017328_Ots01q	-0.0074	Ots01	139.6
Ot041726_Ots01q	0.0188	Ots01	139.6
Ot044465_Ots01q	-0.0111	Ots01	139.6
Ot016158_Ots01q	-0.0087	Ots01	139.67
Ot025637_Ots01q	0.0076	Ots01	139.67
Ot031116	-0.011	Ots01	141.945
Ot031848_Ots01q	0.0722	Ots01	142.27
Ot008799_Ots01q	0.0446	Ots01	144.22
Ot016237_Ots01q	-0.0058	Ots01	144.22
Ot021653_Ots01q	0.0276	Ots01	144.22
Ot024997_Ots01q	0.0195	Ots01	144.22
Ot054389_Ots01q	-0.0121	Ots01	144.22
Ot036534_Ots01q	0.0533	Ots01	146.13
Ot054524_Ots01q	-0.0065	Ots01	147.78
Ot012819_Ots01q	-0.0083	Ots01	148.5
Ot015317_Ots01q	0.0388	Ots01	149.23
Ot022414_Ots01q	-0.0062	Ots01	149.23
Ot044818_Ots01q	-0.0086	Ots01	149.23
Ot011518_Ots01q	-0.0029	Ots01	149.72
Ot014352_Ots01q	-0.0107	Ots01	149.72
Ot019486_Ots01q	0.0245	Ots01	149.72
Ot020141_Ots01q	-0.0023	Ots01	149.72
Ot022319_Ots01q	-0.0051	Ots01	149.72
Ot032644_Ots01q	-0.0057	Ots01	150.26
Ot023247_Ots01q	0.0104	Ots01	150.27
Ot023518_Ots01q	-0.0044	Ots01	150.27
Ot006817_Ots01q	0.0428	Ots01	151.69
Ot002713_Ots01q	0	Ots01	151.84
Ot017451_Ots01q	-0.0066	Ots01	151.84
Ot026920_Ots01q	-0.0017	Ots01	151.84
Ot050228_Ots01q	0.0035	Ots01	151.84
Ot055675_Ots01q	0.0086	Ots01	151.84
Ot052470	-0.0034	Ots01	151.840
Ot012896_Ots01q	-0.003	Ots01	161.75
Ot013167_Ots01q	0.089	Ots01	161.75
Ot003096_Ots01q	0.0263	Ots01	166.6
Ot013886_Ots01q	0.051	Ots01	166.6
Ot015648_Ots01q	-0.0089	Ots01	166.6
Ot033397_Ots01q	0.0604	Ots01	166.6
Ot043529_Ots01q	-0.0006	Ots01	166.6
Ot051805_Ots01q	-0.0103	Ots01	166.6
Ot031090_Ots01q	-0.0171	Ots01	173.76
Ot042508_Ots01q	0.0789	Ots01	187.7
Ot024680_Ots01q	-0.0119	Ots01	190.03
Ot011791_Ots02p	0.0364	Ots02	0
Ot024209_Ots02p	0.0215	Ots02	0
Ot024260_Ots02p	0.0107	Ots02	0
Ot033776_Ots02p	-0.0032	Ots02	0
Ot055858	-0.0115	Ots02	0.000
Ot001853_Ots02p	0.0346	Ots02	0.16
Ot008886_Ots02p	0.0092	Ots02	0.16
Ot010102_Ots02p	-0.0005	Ots02	0.16
Ot012305_Ots02p	-0.0091	Ots02	0.16
Ot013843_Ots02p	0.0219	Ots02	0.16
Ot030686_Ots02p	0.0126	Ots02	0.16
Ot035634_Ots02p	-0.0086	Ots02	0.16
Ot045324_Ots02p	0.0001	Ots02	0.16
Ot052080	-0.011	Ots02	0.160
Ot011527_Ots02p	0.0355	Ots02	0.19
Ot022736_Ots02p	0.0268	Ots02	0.19
Ot025124_Ots02p	-0.0084	Ots02	0.19
Ot030078_Ots02p	0.0071	Ots02	0.19
Ot031225_Ots02p	0.0622	Ots02	0.19
Ot034770_Ots02p	-0.0068	Ots02	0.19
Ot007221_Ots02p	-0.0005	Ots02	2.05
Ot012934_Ots02p	-0.0111	Ots02	2.05
Ot016845_Ots02p	-0.009	Ots02	2.05
Ot017241_Ots02p	-0.0055	Ots02	2.05
Ot045605_Ots02p	-0.0093	Ots02	2.05
Ot051968_Ots02p	-0.0102	Ots02	2.05
Ot000042_Ots02p	0.0218	Ots02	2.06
Ot002570_Ots02p	-0.0074	Ots02	2.06
Ot031252_Ots02p	-0.0095	Ots02	2.06
Ot041338_Ots02p	-0.0106	Ots02	2.06
Ot015928_Ots02p	0.0451	Ots02	2.5
Ot016987_Ots02p	-0.0045	Ots02	2.5
Ot045102_Ots02p	-0.0056	Ots02	2.5
Ot045948_Ots02p	0.005	Ots02	2.5
Ot033616_Ots02p	-0.0088	Ots02	5.19
Ot040534_Ots02p	0.0358	Ots02	5.19
Ot010539_Ots02p	-0.0053	Ots02	7.39
Ot015291_Ots02p	-0.0082	Ots02	7.39
Ot054586_Ots02p	-0.0058	Ots02	7.39
Ot029862	-0.0091	Ots02	8.025
Ot029862	-0.0091	Ots02	8.025
Ot019496_Ots02p	-0.0087	Ots02	9.13
Ot016178_Ots02p	-0.0055	Ots02	10.86
Ot022889_Ots02p	-0.0091	Ots02	10.86
Ot027077_Ots02p	-0.0138	Ots02	10.86
Ot034157_Ots02p	0.0224	Ots02	10.86
Ot035691_Ots02p	0.0114	Ots02	10.86
Ot041223_Ots02p	-0.0109	Ots02	10.86
Ot010269_Ots02p	-0.0104	Ots02	12.99
Ot026216_Ots02p	0.0102	Ots02	12.99
Ot036073_Ots02p	-0.009	Ots02	12.99
Ot047802_Ots02p	0.0038	Ots02	12.99
Ot034641_Ots02p	-0.0034	Ots02	13.14
Ot010579_Ots02p	-0.0114	Ots02	14.46
Ot040967_Ots02p	-0.0093	Ots02	14.46
Ot001735_Ots02p	-0.0097	Ots02	15.27
Ot005406_Ots02p	-0.0049	Ots02	15.27
Ot013752_Ots02p	0.1102	Ots02	15.27
Ot014760_Ots02p	0.135	Ots02	15.27
Ot043445_Ots02p	-0.0073	Ots02	15.27
Ot048124_Ots02p	-0.0031	Ots02	15.27
Ot040808_Ots02p	-0.003	Ots02	15.28
Ot041096_Ots02p	-0.0016	Ots02	15.28
Ot006343_Ots02p	-0.0136	Ots02	15.55
Ot016257_Ots02p	-0.0078	Ots02	15.55
Ot004746_Ots02p	0.0266	Ots02	18.5
Ot046374_Ots02p	-0.0082	Ots02	18.5
Ot000887_Ots02p	-0.005	Ots02	23.89
Ot005984_Ots02p	0.0494	Ots02	23.89
Ot006414_Ots02p	-0.0109	Ots02	23.89
Ot007119_Ots02p	0.0339	Ots02	23.89
Ot012939_Ots02p	-0.0127	Ots02	23.89
Ot013334_Ots02p	-0.0086	Ots02	23.89
Ot013391_Ots02p	0.0709	Ots02	23.89
Ot026160_Ots02p	0.0136	Ots02	23.89
Ot027112_Ots02p	0.0215	Ots02	23.89
Ot034299_Ots02p	-0.003	Ots02	23.89
Ot034853_Ots02p	0.0513	Ots02	23.89
Ot037466_Ots02p	-0.0021	Ots02	23.89
Ot039011_Ots02p	-0.0066	Ots02	23.89
Ot039612_Ots02p	-0.013	Ots02	23.89
Ot044798_Ots02p	0.0196	Ots02	23.89
Ot045829_Ots02p	-0.0159	Ots02	23.89
Ot050727_Ots02p	-0.009	Ots02	23.89
Ot000528_Ots02p	0.0155	Ots02	23.9
Ot009319_Ots02p	0.0042	Ots02	23.9
Ot020379_Ots02p	-0.0063	Ots02	23.9
Ot050284_Ots02p	0.0079	Ots02	23.9
Ot049417_Ots02p	0.0444	Ots02	24.1
Ot002751_Ots02p	-0.0087	Ots02	24.17
Ot010094_Ots02p	0.0163	Ots02	25.26
Ot014392_Ots02p	-0.006	Ots02	25.26
Ot017403_Ots02p	0.0053	Ots02	25.26
Ot022907_Ots02p	-0.0009	Ots02	25.26
Ot027637_Ots02p	-0.0065	Ots02	25.26
Ot032678_Ots02p	0.0001	Ots02	25.26
Ot034177_Ots02p	-0.0064	Ots02	25.26
Ot056173_Ots02p	-0.0102	Ots02	25.26
Ot053220_Ots02p	0.0573	Ots02	25.77
Ot006449_Ots02p	-0.0037	Ots02	27.9
Ot016895_Ots02p	-0.0098	Ots02	30.8
Ot026395_Ots02p	-0.007	Ots02	32.97
Ot000786_Ots02p	-0.0068	Ots02	35.86
Ot021113_Ots02p	0.0053	Ots02	35.86
Ot029492_Ots02p	0.0051	Ots02	35.86
Ot039545_Ots02p	-0.0111	Ots02	35.86
Ot027342_Ots02p	0.1135	Ots02	36.25
Ot006984_Ots02p	0.0013	Ots02	38.17
Ot025034_Ots02p	-0.0075	Ots02	38.17
Ot009599_Ots02p	0.0156	Ots02	41.04
Ot012919_Ots02p	0.0342	Ots02	41.04
Ot043584_Ots02p	0.0319	Ots02	41.04
Ot008312_Ots02p	-0.0084	Ots02	44.14
Ot040272_Ots02p	0.0245	Ots02	49.03
Ot044235_Ots02p	-0.0055	Ots02	49.03
Ot048914_Ots02p	-0.0041	Ots02	49.03
Ot014001	0.0017	Ots02	49.898
Ot041195_Ots02p	0.0026	Ots02	51.2
Ot032891_Ots02p	0.0069	Ots02	53.78
Ot002476_Ots02p	0.0435	Ots02	56.15
Ot052966_Ots02p	-0.0015	Ots02	57.68
Ot031646_Ots02p	-0.0111	Ots02	58.37
Ot049991_Ots02p	-0.0084	Ots02	62.16
Ot052828_Ots02p	0.0008	Ots02	65.56
Ot008053_Ots02p	-0.0085	Ots02	67.09
Ot008722_Ots02p	-0.009	Ots02	67.09
Ot030773_Ots02p	0.0103	Ots02	67.09
Ot039674_Ots02p	-0.008	Ots02	67.09
Ot049219_Ots02p	-0.0058	Ots02	67.09
Ot048687	0.0096	Ots02	68.103
Ot035533_Ots02p	0.0048	Ots02	68.22
Ot042208_Ots02p	0.0004	Ots02	68.22
Ot046322_Ots02p	-0.0119	Ots02	70.75
Ot006258_Ots02c	-0.0093	Ots02	73.15
Ot007228_Ots02c	0.0009	Ots02	73.15
Ot007476_Ots02c	0.0332	Ots02	73.15
Ot017686_Ots02c	-0.0038	Ots02	73.15
Ot020123_Ots02c	-0.0097	Ots02	73.15
Ot036871_Ots02c	0.001	Ots02	73.15
Ot011090_Ots02q	-0.0093	Ots02	75.39
Ot041166_Ots02q	0.0201	Ots02	75.39
Ot048166_Ots02q	0.0755	Ots02	75.95
Ot028123_Ots02q	-0.0043	Ots02	77.52
Ot052756_Ots02q	0.0262	Ots02	77.52
Ot054049_Ots02q	0.0166	Ots02	77.52
Ot003293_Ots02q	0.0013	Ots02	77.54
Ot047313_Ots02q	0.0462	Ots02	77.54
Ot037457_Ots02q	0.0061	Ots02	79.7
Ot039286_Ots02q	0.0128	Ots02	79.7
Ot043366_Ots02q	-0.0054	Ots02	79.7
Ot044047_Ots02q	0.0386	Ots02	79.7
Ot017673_Ots02q	-0.0081	Ots02	82.14
Ot017731_Ots02q	0.0221	Ots02	82.14
Ot024653_Ots02q	-0.0089	Ots02	82.14
Ot030846_Ots02q	0.0243	Ots02	82.14
Ot049298_Ots02q	-0.0086	Ots02	82.14
Ot000670_Ots02q	-0.0048	Ots02	85
Ot025412_Ots02q	0.0251	Ots02	85
Ot029105_Ots02q	0.0518	Ots02	85
Ot012733_Ots02q	-0.0002	Ots02	87.09
Ot022890_Ots02q	0.0167	Ots02	87.09
Ot002867_Ots02q	-0.009	Ots02	87.44
Ot024163_Ots02q	0.0948	Ots02	89.56
Ot033674_Ots02q	0.0178	Ots02	91.65
Ot041781_Ots02q	-0.0094	Ots02	93.61
Ot024723_Ots02q	-0.0053	Ots02	94.65
Ot037139_Ots02q	-0.0109	Ots02	94.65
Ot002407_Ots02q	-0.0059	Ots02	97.54
Ot011817_Ots02q	-0.0095	Ots02	97.54
Ot051761_Ots02q	-0.0079	Ots02	100.26
Ot004854_Ots02q	0.0496	Ots02	100.51
Ot028730_Ots02q	-0.0014	Ots02	102.92
Ot029504_Ots02q	-0.0094	Ots02	102.92
Ot041301_Ots02q	-0.0079	Ots02	109.05
Ot050893_Ots02q	0.0268	Ots02	109.05
Ot048964_Ots02q	0.0144	Ots02	111.23
Ot053877_Ots02q	0.0095	Ots02	111.23
Ot056053_Ots02q	-0.0058	Ots02	111.23
Ot045269_Ots02q	-0.0118	Ots02	119.07
Ot000807_Ots02q	0.0085	Ots02	124.18
Ot042460_Ots02q	-0.0018	Ots02	124.18
Ot000069_Ots02q	0.0532	Ots02	128.88
Ot027114_Ots03p	0.0034	Ots03	15.9
Ot041685_Ots03p	0.0021	Ots03	15.9
Ot054122_Ots03p	-0.0074	Ots03	15.9
Ot038380_Ots03p	-0.0074	Ots03	17.63
Ot046659_Ots03p	-0.0102	Ots03	17.63
Ot010674_Ots03p	-0.0057	Ots03	17.99
Ot012834_Ots03p	0.0772	Ots03	17.99
Ot000034_Ots03p	-0.0123	Ots03	19.59
Ot039875_Ots03p	0.0106	Ots03	19.59
Ot015639_Ots03p	-0.0104	Ots03	20.21
Ot007196_Ots03p	0.012	Ots03	22.38
Ot016051_Ots03p	-0.0086	Ots03	22.38
Ot055580_Ots03p	0.0426	Ots03	25.58
Ot017690_Ots03p	-0.0067	Ots03	26.58
Ot000688_Ots03p	-0.0106	Ots03	30.62
Ot041925_Ots03p	0.002	Ots03	30.62
Ot048185_Ots03p	0.0188	Ots03	30.62
Ot033746_Ots03p	0.002	Ots03	34.82
Ot042151_Ots03p	0.0077	Ots03	35.6
Ot000947_Ots03p	0.0207	Ots03	37.99
Ot007164_Ots03p	0.0849	Ots03	37.99
Ot011825_Ots03p	0.0038	Ots03	37.99
Ot016153_Ots03p	-0.0074	Ots03	37.99
Ot008227_Ots03p	-0.0098	Ots03	42.29
Ot025271_Ots03p	0.0321	Ots03	45.22
Ot008091_Ots03p	-0.0095	Ots03	46.72
Ot019167_Ots03p	-0.0026	Ots03	46.72
Ot051502_Ots03p	0.0049	Ots03	46.72
Ot017227_Ots03p	-0.0035	Ots03	47.05
Ot038242_Ots03p	-0.0024	Ots03	47.05
Ot029681_Ots03p	0.0036	Ots03	48.04
Ot038136_Ots03p	0.0256	Ots03	48.04
Ot055311_Ots03p	-0.0053	Ots03	48.04
Ot013013_Ots03p	-0.0064	Ots03	52.5
Ot029509_Ots03p	0.0214	Ots03	54.6
Ot035954_Ots03p	-0.0041	Ots03	54.6
Ot018602_Ots03p	0.007	Ots03	54.71
Ot009937_Ots03p	0.033	Ots03	60.82
Ot003095_Ots03p	-0.0073	Ots03	61.71
Ot007433_Ots03p	0.026	Ots03	61.71
Ot051893_Ots03p	0.0013	Ots03	70.04
Ot039967_Ots03p	0.025	Ots03	70.43
Ot007030_Ots03p	0.041	Ots03	74.75
Ot040450_Ots03p	-0.0046	Ots03	74.75
Ot055475_Ots03p	-0.0089	Ots03	80.68
Ot020241_Ots03p	-0.0112	Ots03	88.2
Ot036454_Ots03c	-0.0129	Ots03	95.73
Ot048664_Ots03c	0.0032	Ots03	95.73
Ot001840_Ots03c	0.0782	Ots03	96.02
Ot008180_Ots03c	0.0411	Ots03	96.02
Ot013358_Ots03c	0.0007	Ots03	96.02
Ot018408_Ots03c	-0.0029	Ots03	96.02
Ot002779_Ots03c	-0.0096	Ots03	98.31
Ot005677_Ots03c	-0.0073	Ots03	98.31
Ot009483_Ots03c	-0.0126	Ots03	98.31
Ot017618_Ots03c	-0.0123	Ots03	98.31
Ot018801_Ots03c	-0.0005	Ots03	98.31
Ot029491_Ots03c	-0.0056	Ots03	98.31
Ot040379_Ots03c	-0.0005	Ots03	98.31
Ot046976_Ots03c	-0.0024	Ots03	98.31
Ot049289_Ots03c	0.0196	Ots03	98.31
Ot012254_Ots03c	0.0061	Ots03	100.08
Ot022144_Ots03c	-0.0129	Ots03	100.08
Ot047079_Ots03c	-0.0094	Ots03	102.24
Ot000873_Ots03q	0.1118	Ots03	104.33
Ot004516_Ots03q	0.0249	Ots03	104.33
Ot038589_Ots03q	-0.0051	Ots03	106.43
Ot014598_Ots03q	0.0346	Ots03	108.49
Ot016075_Ots03q	0.0009	Ots03	108.49
Ot032794_Ots03q	0.0173	Ots03	108.49
Ot034324_Ots03q	0.0066	Ots03	108.49
Ot034887_Ots03q	0.0045	Ots03	108.49
Ot047028_Ots03q	0.0946	Ots03	108.49
Ot039813_Ots03q	0.0365	Ots03	120.87
Ot000431_Ots03q	0.0074	Ots03	125.27
Ot038049_Ots03q	0.0998	Ots03	126.11
Ot004952_Ots03q	0.0031	Ots03	127.42
Ot007703_Ots03q	0.0449	Ots03	127.42
Ot010337_Ots03q	-0.0038	Ots03	127.42
Ot015333_Ots03q	-0.0051	Ots03	127.42
Ot020557_Ots03q	0.0097	Ots03	127.42
Ot025517_Ots03q	0.012	Ots03	127.42
Ot031993_Ots03q	-0.0063	Ots03	127.42
Ot053542_Ots03q	0.0053	Ots03	127.42
Ot001195_Ots03q	-0.007	Ots03	127.43
Ot017029_Ots03q	0.0144	Ots03	127.43
Ot006689_Ots03q	-0.0113	Ots03	131.08
Ot009641_Ots03q	0.0687	Ots03	131.08
Ot016159_Ots03q	0.0048	Ots03	136.89
Ot047798_Ots03q	0.0019	Ots03	141.61
Ot001256_Ots03q	-0.009	Ots03	143.7
Ot016127_Ots03q	-0.0065	Ots03	143.7
Ot028426_Ots03q	-0.0026	Ots03	143.7
Ot037086_Ots03q	-0.007	Ots03	143.7
Ot046978_Ots03q	-0.0069	Ots03	143.7
Ot048606_Ots03q	0.0302	Ots03	143.7
Ot043636_Ots03q	-0.0101	Ots03	148.06
Ot002475_Ots03q	-0.0134	Ots03	150.23
Ot026178_Ots03q	0.0257	Ots03	150.23
Ot041930_Ots03q	0.0024	Ots03	150.23
Ot053712_Ots03q	-0.0072	Ots03	150.23
Ot033664_Ots03q	-0.0009	Ots03	154.16
Ot019070_Ots03q	0.0112	Ots03	155.05
Ot029887_Ots03q	0.0533	Ots03	155.05
Ot041644_Ots03q	-0.0083	Ots03	155.05
Ot017715_Ots03q	0.0068	Ots03	155.2
Ot019170_Ots03q	-0.011	Ots03	155.2
Ot029738_Ots03q	0.0192	Ots03	155.2
Ot037076_Ots03q	0.0074	Ots03	155.2
Ot003086_Ots03q	-0.0103	Ots03	160.01
Ot003937_Ots03q	0.0182	Ots03	160.01
Ot025854_Ots03q	0.0472	Ots03	163.9
Ot032964_Ots03q	0.0335	Ots03	163.9
Ot035158_Ots03q	0.0164	Ots03	163.9
Ot047083_Ots03q	-0.0089	Ots03	163.9
Ot005084_Ots03q	0.0149	Ots03	166.1
Ot010418_Ots03q	0.0497	Ots03	166.1
Ot015321_Ots03q	0.0099	Ots03	166.1
Ot026565_Ots03q	-0.0067	Ots03	166.1
