Locus	fst	chromosome	c.pos
4103	0.04	PCodG	19759592
20926	-0.0012	PCodG	19851693
9000	-0.0075	PCodG	20164805
17329	-0.0048	PCodG	20190450
1730	0.0096	PCodG	20219379
15393	0.0562	PCodG	20244563
16989	-0.0082	PCodG	20244651
3223	0.06	PCodG	21052003
18566	0.0951	PCodG	21078734
21583	0.0102	PCodG	21139714
24866	0.0032	PCodG	21344701
19900	0.0861	PCodG	21474610
10039	0.0191	PCodG	21639498
7286	-0.0079	PCodG	21876491
10399	-0.0054	PCodG	22235777
12877	-0.0061	PCodG	22265414
16033	0.0279	PCodG	22274751
1037	0.0455	PCodG	22314645
9965	0.0343	PCodG	22419167
18308	0.0185	PCodG	22419255
23529	0.046	PCodG	22426003
7275	0.0269	PCodG	22595118
24934	0.0203	PCodG	22930946
11054	0.0186	PCodG	22931034
2866	-0.0018	PCodG	23087036
25204	0.0537	PCodG	23131382
9277	0.0031	PCodG	23131469
5569	0.1657	PCodG	23205145
13275	0.0601	PCodG	23209262
9894	0.0938	PCodG	23601228
22373	0.0348	PCodG	23816773
4003	0.0682	PCodG	24038892
17121	0.1307	PCodG	24067024
11504	0.0054	PCodG	24263046
3776	0.1299	PCodG	24455925
19526	0.0447	PCodG	24606463
4909	0.0237	PCodG	24794728
11479	0.2193	PCodG	24916735
9421	0.0156	PCodG	24972595
19996	0.0187	PCodG	25476068
8948	-0.0048	PCodG	25476939
9870	0.0031	PCodG	25537657
19340	-0.0068	PCodG	25547121
7341	-0.0012	PCodG	25623962
16833	0.0171	PCodG	25695043
13766	0.0196	PCodG	26270788
126	0.019	PCodG	26277273
2672	0.0812	PCodG	26278837
9996	-0.0082	PCodG	26278925
23915	0.015	PCodG	26446274
6410	0.0307	PCodG	26825592
15925	0.0261	PCodG	26825871
1059	-0.0055	PCodG	27624343
2973	0.117	PCodG	27732633
3630	-0.0068	PCodG	28032467
2966	0.1575	PCodG	28089763
13923	-0.0046	PCodG	28259281
9530	0.0368	PCodG	28790718
9673	0.097	PCodG	28853264
5748	0.0081	PCodG	28862944
12161	-0.0075	PCodG	29008908
22330	-0.0067	PCodG	29763729
2227	0.0256	PCodG	30056977
12720	0.0244	PCodG	30057065
23643	0.0724	PCodG	30482401
12652	0.0183	PCodG	30500667
24808	-0.0067	PCodG	31166431
8450	0.0005	PCodG	31238335
14890	0.0187	PCodG	31372751
19616	0.006	PCodG	31438768
5650	0.0174	PCodG	31988352
20570	-0.0002	PCodG	32152093
11304	0.0078	PCodG	32416693
14293	0.0025	PCodG	32533454
17606	-0.0063	PCodG	32828401
23345	-0.0007	PCodG	32837007
10191	0.0035	PCodG	33338755
13038	-0.0045	PCodG	33446058
18002	0.0862	PCodG	33779354
16683	0.0119	PCodG	33806095
15713	0.0052	PCodG	33861253
13249	0.0677	PCodG	33861341
20284	0.0879	PCodG	33929061
21377	0.0439	PCodG	34114668
8277	0.0434	PCodG	34251537
9741	0.0421	PCodG	34284208
803	0.0191	PCodG	34319072
19750	0.0188	PCodG	34870937
19094	0.0166	PCodG	34923103
6195	-0.0068	PCodG	34926612
11378	0.0017	PCodG	35961581
20552	0.3536	PCodG	36008685
6709	-0.005	PCodG	36622767
6275	-0.0059	PCodG	36727667
6441	-0.0064	PCodG	36871081
10012	-0.0055	PCodG	36871167
14655	-0.0051	PCodG	36910536
7390	-0.007	PCodG	37297323
24148	0.0791	PCodG	38206256
12065	0.0183	PCodG	38216603
15557	0.0196	PCodG	38216691
3016	-0.0069	PCodG	38599675
17073	0.0307	PCodG	38669108
23838	0.045	PCodG	39343894
19045	0.0309	PCodG	39405439
10878	-0.0011	PCodG	39437753
2332	-0.0075	PCodG	39448770
20452	0.0008	PCodG	39675630
19126	0.0349	PCodG	39707118
6887	0.0186	PCodG	39770106
8305	0.0058	PCodG	39979944
8547	0.0679	PCodG	40170531
15735	-0.0003	PCodG	40211573
3623	-0.0017	PCodG	40328183
17332	-0.0013	PCodG	40604409
3116	0.2228	PCodG	40730063
17016	0.0679	PCodG	40968526
2196	0.1029	PCodG	42004029
25143	0.0347	PCodG	42405482
3172	-0.0013	PCodG	42734192
4836	-0.0069	PCodG	43238925
6156	-0.0028	PCodG	43341403
12194	-0.0022	PCodG	43867771
2110	0.0007	PCodG	44018688
5196	-0.0051	PCodG	44551268
18780	-0.005	PCodG	44551356
695	0.0917	PCodG	45124187
15109	0.0994	PCodG	45223269
3791	0.1143	PCodG	45230059
246	0.0065	PCodG	45390677
11273	0.0654	PCodG	46276157
12434	0.0189	PCodG	46322076
23203	0.1314	PCodG	46435793
8045	-0.0062	PCodG	46751611
21277	0.1296	PCodG	46902590
23624	0.0004	PCodG	47304953
1906	0.0409	PCodG	47313540
22340	0.0079	PCodG	47386533
23112	0.0431	PCodG	47482291
20572	-0.0001	PCodG	47529951
17985	0.0099	PCodG	47543390
22508	-0.0058	PCodG	47613403
8778	-0.0076	PCodG	47679767
17391	0.0065	PCodG	47728420
111	-0.0063	PCodG	47828499
22131	0.0696	PCodG	48021360
7610	-0.0039	PCodG	48150550
4689	-0.0062	PCodG	48297403
16872	0.0192	PCodG	48310909
19598	0.1119	PCodG	48352730
18524	0.0371	PCodG	48770859
14635	-0.0004	PCodG	48854482
2733	0.0907	PCodG	48890627
17118	-0.0022	PCodG	49015878
16277	0.0471	PCodG	49361457
10577	-0.0004	PCodG	49444636
17040	-0.0051	PCodG	49568964
10806	-0.0065	PCodG	50129130
10304	-0.008	PCodG	50129218
13321	-0.0053	PCodG	50132516
5851	0.0174	PCodG	50225639
10227	-0.0003	PCodG	50225727
21078	0.0413	PCodG	50333435
10374	0.0077	PCodG	50393364
18887	-0.0015	PCodG	50826346
11413	0.0363	PCodG	50847737
8704	-0.0063	PCodG	50901523
23617	0.0004	PCodG	50930227
7806	0.1017	PCodG	50990691
12145	-0.0065	PCodG	51141507
22707	0.0324	PCodG	51449252
1855	-0.0042	PCodG	51574585
166	-0.0042	PCodG	51574673
3828	-0.0079	PCodG	51667643
20586	-0.0078	PCodG	52036983
24985	0.01	PCodG	52227958
4832	0.0095	PCodG	52883720
12892	0.0121	PCodG	53072430
2646	0.0079	PCodG	53085367
24288	-0.0063	PCodG	53146463
11905	0.118	PCodG	53328463
3879	0.0079	PCodG	53664552
7509	0.0571	PCodG	54259634
25446	-0.0062	PCodG	54760093
5924	-0.0028	PCodG	54840163
6147	-0.0037	PCodG	55117628
23508	0.061	PCodG	55117716
11166	0.142	PCodG	55175864
6971	0.2112	PCodG	55175952
25516	0.0065	PCodG	55495259
5079	0.0418	PCodG	55799321
8316	-0.0066	PCodG	56836312
7117	-0.0068	PCodG	57431011
12641	-0.0059	PCodG	57696243
13796	-0.004	PCodG	57737881
19441	-0.0031	PCodG	57842704
13850	0.0538	PCodG	57908106
5688	-0.0019	PCodG	59055947
20898	0.0656	PCodG	59080131
23215	0.091	PCodG	59287293
10350	-0.0065	PCodG	59426781
1287	0.0937	PCodG	59440012
7327	0.0962	PCodG	59558520
19081	0.0866	PCodG	59596520
15965	0.0206	PCodG	59596638
21613	0.007	PCodG	59633612
16360	0.0409	PCodG	59732388
6657	0.0418	PCodG	59987026
15903	0.1147	PCodG	60013971
15150	0.0676	PCodG	60027639
14032	0.0409	PCodG	60252255
4002	0.0334	PCodG	60412031
16706	0.1143	PCodG	60412119
8205	-0.0064	PCodG	60466406
23863	0.0128	PCodG	60482338
22694	0.0663	PCodG	60781000
6431	0.0819	PCodG	60781087
7975	0.0464	PCodG	60961488
2647	0.0611	PCodG	60961576
2371	-0.0051	PCodG	61120289
24348	0.008	PCodG	61409151
4453	0.0187	PCodG	62131799
22679	-0.0068	PCodG	62534886
11569	0.1059	PCodG	62679456
24370	-0.0046	PCodG	62710544
19425	0.0665	PCodG	63126045
10860	0.0711	PCodG	63126133
7485	-0.0077	PCodG	63190388
4905	0.0264	PCodG	63370235
3799	0.0207	PCodG	63502301
17132	-0.0049	PCodG	63621990
10685	-0.0032	PCodG	63648322
8375	-0.0045	PCodG	63953113
23475	0.1162	PCodG	64041312
4392	0.0206	PCodG	64191278
11290	-0.0066	PCodG	64427120
4815	-0.006	PCodG	64647326
21185	0.0187	PCodG	64684627
5902	0.0127	PCodG	65194362
3312	0.0143	PCodG	65428276
4010	0.0296	PCodG	66120225
14070	-0.0055	PCodG	66203762
7715	-0.0078	PCodG	66407414
7322	-0.0007	PCodG	66936000
6883	-0.0063	PCodG	67188301
17134	0.0448	PCodG	67212387
169	0.0186	PCodG	67689119
18438	0.0589	PCodG	67715935
22800	0.0426	PCodG	67746539
12190	0.0746	PCodG	67764817
20715	-0.004	PCodG	68665286
1845	0.0439	PCodG	68703455
24600	-0.0093	PCodG	69232850
13769	-0.0005	PCodG	69306231
13583	0.0112	PCodG	69797727
23544	0.0188	PCodG	70133287
21046	0.0204	PCodG	70391450
5524	0.0334	PCodG	70391538
3750	-0.0085	PCodG	70488909
21244	0.3198	PCodG	70760397
12657	-0.0028	PCodG	71483814
206	-0.0053	PCodG	71497063
9043	-0.0074	PCodG	71835356
10413	0.0063	PCodG	71995364
19255	0.001	PCodG	72195581
13291	-0.0029	PCodG	72195669
3853	-0.0028	PCodG	72275022
24082	0.0185	PCodG	72514211
3761	0.0025	PCodG	72664727
15069	0.095	PCodG	72670014
21327	0.0854	PCodG	72721500
1451	-0.0054	PCodG	72784157
1995	0.0232	PCodG	72791757
1957	0.0122	PCodG	72881471
2995	0.0341	PCodG	72940657
8572	0.0613	PCodG	73035377
101	0.0479	PCodG	73044117
7164	0.0442	PCodG	73051633
19592	-0.0049	PCodG	73158721
13063	0.0548	PCodG	73393028
25164	0.0357	PCodG	73851667
12881	0.0523	PCodG	74466571
6768	0.0024	PCodG	74471922
9864	0.0153	PCodG	74900169
9853	-0.0043	PCodG	75093330
14972	0.0441	PCodG	75562879
6429	-0.0069	PCodG	75571808
18535	-0.0075	PCodG	75731976
15442	-0.0069	PCodG	75804933
23706	0.0453	PCodG	75824372
6993	0.0989	PCodG	76159540
3885	0.0525	PCodG	76163115
12623	0.163	PCodG	76219238
24194	-0.0065	PCodG	76285323
4025	0.012	PCodG	76582236
25450	0.0728	PCodG	76663888
1193	-0.0046	PCodG	76901797
9704	0.0785	PCodG	77035950
23000	0.0042	PCodG	77090809
17454	0.0327	PCodG	77090897
2148	0.1467	PCodG	77175157
15677	0.0707	PCodG	77207998
19329	0.0422	PCodG	77313653
19881	0.0377	PCodG	77316865
22895	0.031	PCodG	77346813
19275	-0.0066	PCodG	77601042
2977	-0.0066	PCodG	77601130
20490	0.0234	PCodG	78026782
11162	-0.0026	PCodG	78061694
189	-0.0073	PCodG	78076457
12087	-0.0058	PCodG	78312630
23029	-0.0065	PCodG	78851643
5804	0.0066	PCodG	79434369
24772	0.0739	PCodG	79470200
18415	-0.0022	PCodG	79499613
16179	0.0163	PCodG	79625035
4747	0.0189	PCodG	79826111
440	0.0265	PCodG	79826199
1218	-0.0068	PCodG	80005771
4863	0.0076	PCodG	80196249
18994	0.0683	PCodG	80209048
10222	-0.0033	PCodG	80300263
14459	0.0178	PCodG	80426079
20148	0.0066	PCodG	80480560
2446	-0.0072	PCodG	81376804
5413	0.0676	PCodG	81429508
19975	0.0033	PCodG	81507393
15927	0.0119	PCodG	81642234
2621	-0.0053	PCodG	82188375
1091	0.0004	PCodG	82797056
17311	0.042	PCodG	82825285
9681	0.0376	PCodG	83008976
7074	0.1416	PCodG	83128244
221	0.0412	PCodG	83128332
9776	-0.007	PCodG	83656218
7081	0.0078	PCodG	84366846
9840	0.0108	PCodG	85600581
12334	0.0089	PCodG	85635342
4557	-0.0075	PCodG	85635430
9850	-0.0049	PCodG	86033355
16944	0.0883	PCodG	86567820
6567	0.0786	PCodG	87423952
5754	-0.0051	PCodG	87491653
16053	-0.007	PCodG	88354380
11627	0.0031	PCodG	88380435
4582	0.0672	PCodG	88380523
6609	-0.0071	PCodG	88600450
21738	0.0279	PCodG	89472880
21624	-0.0073	PCodG	90345632
16046	0.0214	PCodG	90709047
10906	0.0003	PCodG	91127813
5824	-0.0068	PCodG	91644676
17533	0.0066	PCodG	91808584
23371	0.002	PCodG	92408734
21339	0.0439	PCodG	92594974
7000	0.0665	PCodG	92818603
22863	0.1379	PCodG	92842851
6995	0.0439	PCodG	92936754
220	0.0083	PCodG	95418502
2334	0.0679	PCodG	95600552
1638	-0.0094	PCodG	95816909
1138	0.0056	PCodG	95867959
16474	-0.007	PCodG	96577147
9992	-0.0076	PCodG	96669812
9714	0.0272	PCodG	97047641
12768	0.1167	PCodG	97142936
12570	0.0188	PCodG	97272066
19718	-0.0041	PCodG	97595476
22434	-0.0032	PCodG	97612512
20057	0.0497	PCodG	97612600
21419	-0.0077	PCodG	97658455
12952	0.141	PCodG	97745199
20735	0.0005	PCodG	98611031
1122	-0.0065	PCodG	98648013
20255	0.0087	PCodG	98901952
8724	0.0094	PCodG	98928448
15910	0.0232	PCodG	98998508
22705	0.0882	PCodG	99238876
6182	0.0049	PCodG	99411275
23845	0.0076	PCodG	99481369
19756	-0.0066	PCodG	99499257
16800	-0.0079	PCodG	99522397
17357	0.0433	PCodG	99992077
2176	0.0085	PCodG	100215587
6519	-0.0068	PCodG	100408159
12515	0.0349	PCodG	100421533
16620	0.1498	PCodG	100425498
8018	0.0067	PCodG	100468718
12331	-0.0054	PCodG	100764215
24080	0.0468	PCodG	101110255
19761	0.0662	PCodG	101128825
11725	-0.0055	PCodG	101420982
25334	0.019	PCodG	101459866
25372	0.0444	PCodG	101463908
23191	-0.0042	PCodG	101535067
10136	0.0273	PCodG	101545847
4045	0.0561	PCodG	101617829
9898	-0.0045	PCodG	101932151
164	0.116	PCodG	102082801
7142	-0.0057	PCodG	102438146
17312	0.0303	PCodG	103328261
7962	-0.0001	PCodG	103820049
12982	-0.0068	PCodG	103855693
10585	0.017	PCodG	104060332
23795	-0.0078	PCodG	104221534
20413	-0.0072	PCodG	104283780
4373	-0.0072	PCodG	104752961
6522	0.0515	PCodG	104869732
4230	0.0437	PCodG	105199299
11736	0.1512	PCodG	105203321
8499	0.2224	PCodG	105204238
3694	0.0075	PCodG	105345446
2033	-0.0064	PCodG	106181564
4133	0.2075	PCodG	106676298
2154	0.0547	PCodG	106777765
20574	-0.0043	PCodG	106813910
8590	0.0189	PCodG	106859211
12352	0.0346	PCodG	107063160
1499	-0.0069	PCodG	107161574
23840	0.0426	PCodG	107269170
13845	0.0062	PCodG	107372165
4777	0.0318	PCodG	107435170
20158	0.1351	PCodG	107521843
7139	0.0281	PCodG	108188660
18193	0.0185	PCodG	108274779
23999	0.0281	PCodG	108480101
11896	-0.0038	PCodG	108502912
17909	-0.0012	PCodG	109209926
5171	0.0175	PCodG	109367066
7643	0.0129	PCodG	109543312
20561	0.0453	PCodG	109845661
22104	0.0093	PCodG	110077962
9878	0.0168	PCodG	110464678
15456	0.024	PCodG	110483857
4126	-0.0077	PCodG	110634966
21625	-0.0031	PCodG	111138553
16190	0	PCodG	111204458
4998	0.0044	PCodG	111642589
6956	0.1663	PCodG	111696807
10713	-0.007	PCodG	112365404
23705	-0.0041	PCodG	112387763
4898	-0.0049	PCodG	112387851
9316	0.0194	PCodG	112538888
10495	0.0042	PCodG	112661138
10022	-0.0052	PCodG	112731694
3553	0.1721	PCodG	112765828
14472	-0.0051	PCodG	112765915
1392	0.0455	PCodG	113115833
6672	0.0186	PCodG	113117838
1162	0.0207	PCodG	113217682
19740	-0.0045	PCodG	114370531
9308	0.0362	PCodG	114471266
13211	-0.0022	PCodG	114674080
8095	-0.0065	PCodG	114833258
7637	0.0516	PCodG	115105538
825	-0.0019	PCodG	115123390
4013	0.1493	PCodG	115324309
4212	0.0384	PCodG	115408276
25151	0.0403	PCodG	115713868
23528	0.0001	PCodG	116307497
3875	0.0437	PCodG	116313102
22930	0.006	PCodG	116424430
25555	0.0061	PCodG	116704498
17084	0.016	PCodG	116962949
10024	0.0212	PCodG	118786755
589	-0.0069	PCodG	119149840
10429	-0.005	PCodG	119169761
18975	0.0116	PCodG	119193802
5071	0.04	PCodG	119248601
11818	0.0652	PCodG	119263275
14659	0.0423	PCodG	119442830
10567	0.1021	PCodG	119589700
16947	0.0095	PCodG	119751722
8703	0.0176	PCodG	119986405
11509	0.02	PCodG	120204355
17252	0.0156	PCodG	120296988
4484	0.0042	PCodG	120585557
16264	0.0042	PCodG	120588263
14300	0.0167	PCodG	120827115
16456	-0.0056	PCodG	121383672
14426	0.0838	PCodG	121549806
6554	0.0439	PCodG	121587596
13100	0.0481	PCodG	121715425
15588	0.061	PCodG	121733184
10488	0.1783	PCodG	121766109
23427	0.0717	PCodG	122026637
12116	0.0334	PCodG	122111657
14064	0.1285	PCodG	122529710
20425	-0.003	PCodG	123112043
14657	0.0236	PCodG	123112131
2370	-0.0042	PCodG	123528599
11059	0.0229	PCodG	123588806
23421	0.0388	PCodG	123738715
8098	-0.0035	PCodG	123961378
16370	-0.0066	PCodG	124258449
11052	-0.0051	PCodG	124792046
12823	-0.0023	PCodG	125724080
23990	0.0255	PCodG	125881110
17919	-0.005	PCodG	126049583
17944	0.0521	PCodG	126192583
24751	0.0025	PCodG	126409728
6807	0.0655	PCodG	126532605
22431	-0.0057	PCodG	126681907
4761	0.0262	PCodG	126837664
7345	0.0861	PCodG	126854513
8048	-0.0022	PCodG	126900408
15308	0.2734	PCodG	126946280
109	-0.0064	PCodG	127150787
13066	0.0194	PCodG	127293795
1968	0.0106	PCodG	127295457
25641	0.0004	PCodG	127472335
17328	0.0745	PCodG	127617112
16580	-0.0065	PCodG	127691286
18979	-0.0054	PCodG	127739638
18355	0.0399	PCodG	127753513
17737	0.0501	PCodG	127753602
2046	-0.007	PCodG	127804469
10648	0.0029	PCodG	127879802
4644	0.0816	PCodG	127907886
4878	0.0062	PCodG	128001873
8027	0.0219	PCodG	128096484
15382	0.2652	PCodG	128161440
24504	-0.0068	PCodG	128202298
22739	0.0077	PCodG	128248230
10882	0.0021	PCodG	128283388
18925	-0.0051	PCodG	128377943
24009	0.0265	PCodG	129350613
13081	0.007	PCodG	129557306
11687	0.022	PCodG	129653214
10965	0.0347	PCodG	129719988
15300	-0.0045	PCodG	130255653
20381	-0.0029	PCodG	130641770
19118	0.0327	PCodG	130676171
17629	0.0183	PCodG	130728929
20144	0.0643	PCodG	131015975
13979	0.0376	PCodG	131021582
13846	-0.0031	PCodG	131025514
12291	0.0562	PCodG	131025602
13010	0.0214	PCodG	131697970
21290	0.026	PCodG	132794799
14762	0.01	PCodG	132976617
11483	-0.0054	PCodG	133183335
10838	-0.0016	PCodG	133837084
20929	0.064	PCodG	133898399
11738	0.0424	PCodG	133932121
17363	-0.0051	PCodG	134492523
16695	-0.0082	PCodG	134543986
25170	0.019	PCodG	134576744
9461	-0.0067	PCodG	134660015
23233	0.0188	PCodG	134660103
1454	0.0017	PCodG	134814784
982	0.037	PCodG	135060896
3728	-0.0073	PCodG	135156499
17779	0.0248	PCodG	135262869
1961	0.0942	PCodG	135373884
6944	0.0898	PCodG	135378845
22737	0.0268	PCodG	135423910
3057	-0.008	PCodG	135544449
15494	0.1085	PCodG	135594554
19937	0.0569	PCodG	135612065
24920	0.0077	PCodG	135773617
10276	0.0757	PCodG	135854584
2934	-0.0068	PCodG	135989127
23313	-0.0097	PCodG	136124858
4646	0.0597	PCodG	136358365
19856	0.0671	PCodG	136482045
13631	0.059	PCodG	136503363
5775	0.0147	PCodG	136532121
534	-0.0053	PCodG	136724791
10849	0.045	PCodG	136769209
13168	0.0125	PCodG	136819964
10660	0.0679	PCodG	136831767
22541	0.0425	PCodG	136851664
11191	-0.0066	PCodG	137051098
5600	0.0393	PCodG	137228044
1962	-0.0052	PCodG	137238672
19450	0.1038	PCodG	137465699
297	0.0245	PCodG	137473312
24976	-0.0055	PCodG	137576476
18694	-0.0056	PCodG	137683607
20449	0.0138	PCodG	137737082
8231	0.024	PCodG	137799487
14897	0.0721	PCodG	137824871
9174	0.0796	PCodG	137855060
15212	0.0101	PCodG	137942523
17718	0.0247	PCodG	138110794
18637	0.054	PCodG	138266818
2075	0.0664	PCodG	138269224
5469	0.0682	PCodG	138521539
15139	-0.0073	PCodG	138538610
11717	-0.007	PCodG	138655112
8849	0.0135	PCodG	138894650
14824	0.0168	PCodG	139118592
24371	0.1088	PCodG	139304383
13258	0.0955	PCodG	139920458
17738	0.0431	PCodG	140018563
8820	-0.0051	PCodG	140082351
13192	0.0054	PCodG	140371565
4613	0.0087	PCodG	140588195
20744	-0.0073	PCodG	140589857
9216	0.0652	PCodG	140780967
20128	0.1181	PCodG	140865480
17816	0.0066	PCodG	140925825
14626	0.069	PCodG	140925913
4213	-0.0027	PCodG	140926698
4727	-0.0063	PCodG	141178586
12701	0.0756	PCodG	141342227
9299	0.0005	PCodG	141371818
12123	0.0353	PCodG	142264424
7915	0.0538	PCodG	142371071
13991	0.0275	PCodG	143384058
24966	-0.0102	PCodG	143441582
10823	-0.0068	PCodG	144066176
20756	0.0001	PCodG	144257032
19689	-0.0066	PCodG	144304879
10386	-0.0028	PCodG	144307718
25271	0.1005	PCodG	144335678
14572	0.009	PCodG	144508433
10299	0.0006	PCodG	144772365
14955	0.3518	PCodG	144778935
23148	-0.0059	PCodG	144792983
12963	0.0003	PCodG	144982908
25630	0.0033	PCodG	145175366
6069	-0.0013	PCodG	145785370
19551	0.0352	PCodG	145912245
9967	0.0157	PCodG	146196709
9502	0.0566	PCodG	146261406
6260	-0.0054	PCodG	146319235
12746	-0.0063	PCodG	146514068
15140	-0.0039	PCodG	146514156
3734	-0.0088	PCodG	146615082
13308	-0.0004	PCodG	146778317
13575	0.043	PCodG	146918015
7870	0.0187	PCodG	146998728
927	0.0361	PCodG	147109770
21453	0.0699	PCodG	147268799
23753	0.0731	PCodG	147290383
15573	-0.0049	PCodG	147327067
18841	0.1074	PCodG	147345481
11663	-0.0007	PCodG	147475742
4799	-0.0055	PCodG	147590910
5610	0.1507	PCodG	147654658
9369	0.0177	PCodG	147738635
14140	-0.0066	PCodG	148206207
18743	0.0348	PCodG	148381573
20101	0.0143	PCodG	148423641
5576	-0.0018	PCodG	148547634
3940	0.1347	PCodG	148555946
16571	0.1085	PCodG	148556034
2522	0.0432	PCodG	148717476
21614	0.0459	PCodG	148717564
21699	-0.0081	PCodG	148932338
6342	-0.0053	PCodG	149468683
13537	0.0866	PCodG	149638294
5770	0.0186	PCodG	150190412
14176	0.014	PCodG	150293127
19990	-0.0015	PCodG	150710398
13341	0.0112	PCodG	151242730
15701	0.0259	PCodG	151252603
381	-0.0059	PCodG	151579589
11521	0.019	PCodG	151735571
11092	0.0319	PCodG	152023100
16166	0.008	PCodG	152152870
15332	-0.0032	PCodG	152377204
9135	0.0189	PCodG	152870844
8758	-0.0074	PCodG	153087102
813	0.0236	PCodG	153562670
20021	0.0083	PCodG	153621481
8872	0.0087	PCodG	153628869
5077	0.017	PCodG	153643725
8327	0.1266	PCodG	154278141
