Locus	Fwc(is)	Fwc(st)	Fwc(it)
1962_64         -0.0000        -           -   
1963_76          0.2346        -           -   
1965_60         -0.0449        -           -   
1984_74         -0.0025        -           -   
1987_89          0.0000        -           -   
1994_90          0.0000        -           -   
1996_90         -0.0025        -           -   
1997_30         -0.0000        -           -   
2002_88         -0.0000        -           -   
2003_32          0.0791        -           -   
2013_39         -0.0000        -           -   
2018_88          0.0000        -           -   
2036_54          0.0000        -           -   
2049_91         -0.0016        -           -   
2050_65          0.1926        -           -   
2060_73         -0.0000        -           -   
2065_91         -0.0024        -           -   
2077_52         -0.5066        -           -   
2078_47         -0.0803        -           -   
2083_37         -0.0000        -           -   
2108_80          0.0081        -           -   
2110_43         -0.0531        -           -   
2125_41          0.0000        -           -   
2142_88         -0.0000        -           -   
2147_30         -0.0000        -           -   
2150_90         -0.0000        -           -   
2152_60         -0.0000        -           -   
2159_55         -0.0000        -           -   
2163_75          0.0000        -           -   
2183_63         -0.0000        -           -   
2184_83          0.0000        -           -   
2194_60          0.0000        -           -   
2206_41          0.1009        -           -   
2207_76         -0.0016        -           -   
2212_43         -0.0058        -           -   
2214_90          0.2672        -           -   
2245_51          0.0000        -           -   
2250_85          0.1828        -           -   
2254_86         -0.0000        -           -   
2275_28         -0.0269        -           -   
2276_56         -0.0000        -           -   
2283_40         -0.0100        -           -   
2293_83         -0.0000        -           -   
2300_34         -0.0175        -           -   
2303_46          0.6660        -           -   
2307_40         -0.0025        -           -   
2314_47          0.0000        -           -   
2318_70         -0.0139        -           -   
2319_62          0.0784        -           -   
2323_91          0.0950        -           -   
2328_60          0.0000        -           -   
2337_74         -0.0187        -           -   
2338_56         -0.0217        -           -   
2342_50          1.0000        -           -   
2343_68          0.1164        -           -   
2345_91         -0.0000        -           -   
2347_81          0.0000        -           -   
2348_88          0.0721        -           -   
2349_90          0.0000        -           -   
2351_87          0.1289        -           -   
2356_77         -0.0000        -           -   
2363_67          0.0000        -           -   
2373_77         -0.0000        -           -   
2374_51         -0.0040        -           -   
2384_53          0.0000        -           -   
2388_45         -0.0000        -           -   
2395_46         -0.0068        -           -   
2423_73          1.0000        -           -   
2428_86         -0.0000        -           -   
2431_84          0.6617        -           -   
2438_57         -0.0024        -           -   
2441_37         -0.0000        -           -   
2449_71          0.0961        -           -   
2452_62          0.0164        -           -   
2460_48         -0.0064        -           -   
2462_32          0.1256        -           -   
2466_66         -0.0016        -           -   
2467_73          0.0481        -           -   
2473_79          0.0000        -           -   
2474_83         -0.0000        -           -   
2483_91         -0.0000        -           -   
2488_72         -0.0000        -           -   
2489_44          0.0000        -           -   
2490_62          0.1770        -           -   
2493_46         -0.0000        -           -   
2504_59          0.6369        -           -   
2524_49          0.0519        -           -   
2534_57         -0.0000        -           -   
2541_43          0.0000        -           -   
2545_77         -0.0000        -           -   
2554_88          0.0000        -           -   
2575_74          0.0000        -           -   
2577_29          0.0000        -           -   
2589_91         -0.0277        -           -   
2593_46          0.1861        -           -   
2600_32          0.5753        -           -   
2602_64         -0.0193        -           -   
2617_82          0.0000        -           -   
2620_64          0.3510        -           -   
2622_78          0.0721        -           -   
2624_58         -0.0000        -           -   
2625_52         -0.0000        -           -   
2629_67          0.0842        -           -   
2639_68         -0.0016        -           -   
2641_88          0.0000        -           -   
2642_54          0.0000        -           -   
2643_40          0.0000        -           -   
2646_90         -0.0324        -           -   
2651_52          0.2755        -           -   
2653_50          0.0000        -           -   
2654_81          0.0000        -           -   
2666_38          0.0000        -           -   
2670_48         -0.0000        -           -   
2681_76          0.6125        -           -   
2687_61          0.0000        -           -   
2690_69         -0.0000        -           -   
2699_85          0.0000        -           -   
2700_70          0.2580        -           -   
2703_53         -0.0000        -           -   
2714_81          0.2462        -           -   
2719_35          0.5626        -           -   
2723_82          0.0000        -           -   
2727_77         -0.0120        -           -   
2730_31          0.3785        -           -   
2734_89          0.0000        -           -   
2737_91         -0.0000        -           -   
2738_53          0.0709        -           -   
2749_91          0.0335        -           -   
2759_88          0.0000        -           -   
2760_76         -0.0017        -           -   
2761_30         -0.0000        -           -   
2784_69         -0.0000        -           -   
2785_46          0.3549        -           -   
2791_31          1.0000        -           -   
2793_44          0.2461        -           -   
2797_55         -0.0000        -           -   
2799_41          0.0000        -           -   
2816_47          0.0000        -           -   
2817_91          0.3243        -           -   
2823_33         -0.0039        -           -   
2831_42          0.0000        -           -   
2837_63          0.0000        -           -   
2839_52          0.0000        -           -   
2840_71         -0.0017        -           -   
2847_65         -0.0032        -           -   
2850_85         -0.0193        -           -   
2854_65         -0.0024        -           -   
2858_53         -0.0000        -           -   
2865_74         -0.0024        -           -   
2869_38         -0.0000        -           -   
2870_54          0.0000        -           -   
2887_58          0.0000        -           -   
2891_36         -0.0019        -           -   
2909_82          0.6656        -           -   
2911_85         -0.0098        -           -   
2928_50          0.3963        -           -   
2930_44         -0.0017        -           -   
2948_56          0.0000        -           -   
2949_40         -0.0016        -           -   
2954_43          0.0000        -           -   
2958_45          0.0579        -           -   
2961_86          0.0000        -           -   
2963_87          0.0000        -           -   
2964_58         -0.0625        -           -   
2967_65          0.1259        -           -   
2981_85         -0.0000        -           -   
2986_88         -0.0172        -           -   
3024_81         -0.0072        -           -   
3028_78          0.0684        -           -   
3044_90         -0.0000        -           -   
3045_83          0.1371        -           -   
3050_72         -0.0024        -           -   
3051_87         -0.0049        -           -   
3053_77         -0.0024        -           -   
3058_32         -0.0260        -           -   
3074_73         -0.0000        -           -   
3082_76         -0.0000        -           -   
3099_73         -0.0000        -           -   
3104_43         -0.0000        -           -   
3114_28         -0.0000        -           -   
3123_64          0.2772        -           -   
3127_78         -0.0000        -           -   
3129_58         -0.0033        -           -   
3134_66         -0.0000        -           -   
3136_62          0.0000        -           -   
3140_50          0.0000        -           -   
3151_86          0.6656        -           -   
3157_61         -0.0000        -           -   
3168_87         -0.0000        -           -   
3175_66         -0.0000        -           -   
3185_57          0.4098        -           -   
3187_63         -0.0000        -           -   
3206_51          0.0000        -           -   
3214_48         -0.0000        -           -   
3215_75         -0.0000        -           -   
3222_77         -0.0182        -           -   
3229_40         -0.0000        -           -   
3234_50         -0.0000        -           -   
3240_85         -0.0000        -           -   
3243_91          0.1420        -           -   
3244_89         -0.0000        -           -   
3245_69         -0.0019        -           -   
3252_49         -0.0000        -           -   
3259_38         -0.0000        -           -   
3260_85         -0.0000        -           -   
3263_38         -0.0000        -           -   
3265_37          0.4496        -           -   
3271_83         -0.0016        -           -   
3275_78          0.2986        -           -   
3276_86          0.0000        -           -   
3291_88         -0.0000        -           -   
3293_46         -0.0000        -           -   
3304_79          0.0000        -           -   
3315_91         -0.0017        -           -   
3319_76          0.7485        -           -   
3326_76          0.0182        -           -   
3336_69          0.4305        -           -   
3338_78          0.0408        -           -   
3347_64         -0.0834        -           -   
3356_79          0.0000        -           -   
3361_28         -0.0000        -           -   
3365_78         -0.0032        -           -   
3367_35         -0.0299        -           -   
3371_34         -0.0000        -           -   
3374_46         -0.0000        -           -   
3378_29          0.0000        -           -   
3382_48          0.0000        -           -   
3384_80         -0.0000        -           -   
3393_89          1.0000        -           -   
3394_38         -0.0032        -           -   
3406_43         -0.0215        -           -   
3410_76         -0.0368        -           -   
3425_75         -0.0144        -           -   
3446_71         -0.0000        -           -   
3454_71          0.0000        -           -   
3461_53         -0.0000        -           -   
3472_46         -0.0000        -           -   
3486_46         -0.0000        -           -   
3490_39          0.6577        -           -   
3499_78          0.0796        -           -   
3502_47         -0.0016        -           -   
3509_31         -0.0000        -           -   
3512_65         -0.0417        -           -   
3514_66         -0.0000        -           -   
3517_58         -0.0000        -           -   
3519_50         -0.0000        -           -   
3529_44          0.0000        -           -   
3574_83         -0.0583        -           -   
3575_89         -0.0114        -           -   
3596_45          0.1515        -           -   
3597_34         -0.0000        -           -   
3608_77          0.0000        -           -   
3612_50         -0.0019        -           -   
3617_85         -0.0000        -           -   
3618_47          0.0000        -           -   
3625_57          1.0000        -           -   
3631_75          0.1411        -           -   
3647_84          0.0000        -           -   
3649_74          0.0000        -           -   
3661_50         -0.0000        -           -   
3667_91         -0.0000        -           -   
3679_29          0.4899        -           -   
3698_76          0.0000        -           -   
3699_62          0.0000        -           -   
3703_85          0.0000        -           -   
3714_76          0.0000        -           -   
3717_62          0.0000        -           -   
3718_57          0.2195        -           -   
3719_68         -0.0000        -           -   
3726_89          0.1307        -           -   
3727_88          0.2342        -           -   
3728_43          0.1762        -           -   
3734_80          0.0760        -           -   
3736_30          0.0000        -           -   
3746_44         -0.0000        -           -   
3751_42         -0.0000        -           -   
3755_65         -0.0000        -           -   
3765_61          0.3948        -           -   
3770_70          0.0000        -           -   
3771_53          0.0000        -           -   
3777_35          0.3258        -           -   
3779_70         -0.0049        -           -   
3788_72         -0.0000        -           -   
3799_66         -0.0410        -           -   
3828_44          0.1284        -           -   
3830_81          0.0000        -           -   
3831_44          0.0000        -           -   
3841_39          0.0763        -           -   
3845_57         -0.8876        -           -   
3846_64         -0.0094        -           -   
3852_60         -0.0000        -           -   
3857_82          0.0943        -           -   
3870_52         -0.0000        -           -   
3872_66         -0.0000        -           -   
3891_78         -0.0000        -           -   
3896_89         -0.0025        -           -   
3899_90          0.2075        -           -   
3904_47          0.0000        -           -   
3906_66         -0.0000        -           -   
3911_57          0.0000        -           -   
3926_72         -0.0032        -           -   
3937_36         -0.0000        -           -   
3943_39          0.0506        -           -   
3944_37          0.0000        -           -   
3949_91          0.0000        -           -   
3960_88          0.0961        -           -   
3975_34          0.0000        -           -   
3978_90          0.0000        -           -   
3988_40         -0.0024        -           -   
3993_56         -0.0000        -           -   
4000_53          0.0681        -           -   
4007_40          0.0000        -           -   
4030_74          0.0000        -           -   
4037_50         -0.0000        -           -   
4041_88          0.3116        -           -   
4043_29         -0.0000        -           -   
4045_60          0.2375        -           -   
4049_82          0.1728        -           -   
4056_66          0.0000        -           -   
4057_34          0.0000        -           -   
4063_79         -0.0000        -           -   
4077_42          0.0000        -           -   
4124_33         -0.0120        -           -   
4131_86         -0.0000        -           -   
4134_81          0.0000        -           -   
4136_36          0.0000        -           -   
4155_72          0.0199        -           -   
4157_91         -0.0216        -           -   
4163_32         -0.0120        -           -   
4173_40          0.0000        -           -   
4181_47          0.0000        -           -   
4186_52          0.1162        -           -   
4197_35         -0.0040        -           -   
4199_43         -0.0032        -           -   
4214_47         -0.0209        -           -   
4217_86         -0.0135        -           -   
4221_75          0.0000        -           -   
4226_65          0.0000        -           -   
4235_90          0.0000        -           -   
4242_79         -0.0029        -           -   
4248_32         -0.0000        -           -   
4249_86          0.0000        -           -   
4251_41         -0.0251        -           -   
4257_91          0.0000        -           -   
4260_83          0.0000        -           -   
4264_39         -0.0025        -           -   
4269_85         -0.0000        -           -   
4274_76         -0.0000        -           -   
4277_85          0.0000        -           -   
4282_52          0.0000        -           -   
4288_69          0.0000        -           -   
4296_81          0.1347        -           -   
4299_80         -0.0149        -           -   
4304_64         -0.0040        -           -   
4311_72         -0.0000        -           -   
4314_29         -0.0024        -           -   
4317_34          0.1258        -           -   
4332_84          0.0249        -           -   
4342_57         -0.0000        -           -   
4344_87          0.0319        -           -   
4355_53          0.0000        -           -   
4357_45         -0.0000        -           -   
4360_40         -0.9685        -           -   
4362_79         -0.0000        -           -   
4363_41         -0.0000        -           -   
4368_52         -0.0134        -           -   
4376_39          0.0000        -           -   
4377_49          0.0000        -           -   
4379_61          0.1838        -           -   
4391_51         -0.0000        -           -   
4397_31         -0.0000        -           -   
4402_81         -0.0076        -           -   
4406_36         -0.0032        -           -   
4408_32         -0.0000        -           -   
4416_70         -0.0000        -           -   
4434_52         -0.0033        -           -   
4440_42         -0.1211        -           -   
4445_37         -0.0000        -           -   
4446_44         -0.0000        -           -   
4450_32          0.1293        -           -   
4455_36         -0.0000        -           -   
4483_64         -0.0000        -           -   
4486_69          0.0476        -           -   
4490_61         -0.0184        -           -   
4492_63          0.2551        -           -   
4503_87         -0.0019        -           -   
4535_67         -0.0000        -           -   
4542_68          0.0000        -           -   
4550_79         -0.0000        -           -   
4551_59          0.0000        -           -   
4553_48         -0.0000        -           -   
4561_75          0.1486        -           -   
4565_37          0.0000        -           -   
4568_58         -0.0120        -           -   
4570_57          0.0115        -           -   
4572_41         -0.0358        -           -   
4575_74          0.1112        -           -   
4576_52         -0.0024        -           -   
4582_89         -0.0077        -           -   
4591_87         -0.0000        -           -   
4602_56          0.0000        -           -   
4607_91          0.0000        -           -   
4627_45          0.0000        -           -   
4629_62          0.6656        -           -   
4638_82          0.0000        -           -   
4639_34         -0.0000        -           -   
4651_75          0.1032        -           -   
4675_71         -0.0000        -           -   
4683_28          0.4949        -           -   
4684_76         -0.0032        -           -   
4689_58          0.1397        -           -   
4700_56          0.3062        -           -   
4705_37         -0.0033        -           -   
4714_72          0.0712        -           -   
4724_51          0.3630        -           -   
4727_66         -0.0167        -           -   
4732_90         -0.6100        -           -   
4741_60         -0.0000        -           -   
4745_82         -0.0000        -           -   
4750_75          0.0000        -           -   
4756_81         -0.0101        -           -   
4773_44         -0.0000        -           -   
4778_31          0.1646        -           -   
4783_91          0.0766        -           -   
4795_64         -0.0000        -           -   
4828_46         -0.0000        -           -   
4829_32         -0.0083        -           -   
4838_82         -0.0112        -           -   
4849_91          0.1007        -           -   
4870_87          0.1348        -           -   
4872_40         -0.0000        -           -   
4879_56          0.3104        -           -   
4905_78          0.0000        -           -   
4914_37         -0.0000        -           -   
4919_74         -0.0039        -           -   
4923_42          0.4651        -           -   
4925_69          0.0000        -           -   
4931_33          0.3663        -           -   
4940_80          0.0000        -           -   
4946_37         -0.0417        -           -   
4948_81          0.6622        -           -   
4955_90          0.0000        -           -   
4957_46          0.1601        -           -   
4967_54         -0.0000        -           -   
4968_72         -0.0016        -           -   
4971_86          0.1882        -           -   
4972_51          0.6638        -           -   
4978_46          0.0000        -           -   
5001_59          0.0000        -           -   
5005_50         -0.0273        -           -   
5016_65          0.1629        -           -   
5018_83          0.0000        -           -   
5028_43         -0.0016        -           -   
5049_74         -0.0055        -           -   
5055_85          0.0000        -           -   
5063_78          0.6656        -           -   
5067_51          0.0000        -           -   
5068_86          0.2821        -           -   
5069_72          0.0000        -           -   
5072_85         -0.0016        -           -   
5079_91         -0.1420        -           -   
5080_55         -0.0000        -           -   
5089_70          0.0703        -           -   
5092_33         -0.0081        -           -   
5096_39          0.0529        -           -   
5098_63         -0.0000        -           -   
5099_87         -0.0000        -           -   
5108_41         -0.0000        -           -   
5117_50          0.0000        -           -   
5138_86         -0.0000        -           -   
5142_71         -0.0000        -           -   
5150_73         -0.0000        -           -   
5154_84          0.1201        -           -   
5166_66         -0.0159        -           -   
5183_59          0.0000        -           -   
5195_54          0.3890        -           -   
5199_70         -0.0000        -           -   
5202_38          0.3914        -           -   
5203_57          0.0000        -           -   
5210_89          0.0458        -           -   
5225_76          0.0000        -           -   
5227_52          0.1535        -           -   
5234_87         -0.0136        -           -   
5254_50          0.6660        -           -   
5272_60          0.5211        -           -   
5280_84         -0.0000        -           -   
5283_89          0.0000        -           -   
5300_91         -0.0021        -           -   
5301_70         -0.0000        -           -   
5316_88          0.0000        -           -   
5335_91         -0.0000        -           -   
5350_66          0.0000        -           -   
5360_44          0.3242        -           -   
5366_69         -0.0000        -           -   
5372_65          0.0000        -           -   
5376_57          0.1481        -           -   
5393_39          0.0000        -           -   
5410_66         -0.0090        -           -   
5411_68          0.0908        -           -   
5412_88         -0.0000        -           -   
5413_67          0.1282        -           -   
5417_48          0.4969        -           -   
5436_61          0.1373        -           -   
5445_86          0.5438        -           -   
5447_54          0.1369        -           -   
5457_80          0.0000        -           -   
5462_40          0.3948        -           -   
5473_63          0.0399        -           -   
5480_87         -0.0000        -           -   
5500_51         -0.0000        -           -   
5507_30         -0.0000        -           -   
5511_51         -0.0000        -           -   
5515_28         -0.0126        -           -   
5522_65          0.0000        -           -   
5526_51         -0.0000        -           -   
5529_32          0.4274        -           -   
5531_87         -0.0155        -           -   
5534_67          0.0000        -           -   
5542_84         -0.0080        -           -   
5545_54          0.5011        -           -   
5546_70          0.0000        -           -   
5548_72         -0.0059        -           -   
5555_88          0.2228        -           -   
5575_62         -0.0000        -           -   
5581_89          0.0000        -           -   
5582_59         -0.0000        -           -   
5596_68         -0.0016        -           -   
5601_44         -0.0101        -           -   
5611_35          0.3452        -           -   
5621_70          0.4273        -           -   
5626_90          0.0000        -           -   
5644_60         -0.0000        -           -   
5653_63          0.0241        -           -   
5654_86          0.1511        -           -   
5657_28         -0.0032        -           -   
5671_73          0.0000        -           -   
5672_33          0.2417        -           -   
5678_68          0.0000        -           -   
5682_91          0.0000        -           -   
5683_87         -0.0048        -           -   
5688_89         -0.0000        -           -   
5689_42         -0.0000        -           -   
5692_61         -0.0087        -           -   
5695_60          0.0000        -           -   
5701_57         -0.0000        -           -   
5702_30          0.6424        -           -   
5714_40          0.0000        -           -   
5725_51         -0.8086        -           -   
5732_36          0.4980        -           -   
5738_51          0.3000        -           -   
5739_51         -0.0113        -           -   
5745_91          0.0000        -           -   
5749_28         -0.0000        -           -   
5758_44          0.0000        -           -   
5765_82          0.0088        -           -   
5766_72          0.0000        -           -   
5772_76          0.1378        -           -   
5780_47          0.0000        -           -   
5782_56         -0.0000        -           -   
5784_86         -0.0000        -           -   
5785_37         -0.0000        -           -   
5787_79         -0.0154        -           -   
5789_31          0.0000        -           -   
5794_89          0.0909        -           -   
5799_34         -0.0000        -           -   
5800_45          0.0000        -           -   
5801_46         -0.0033        -           -   
5822_48         -0.0000        -           -   
5860_74          0.1049        -           -   
5876_48          0.5799        -           -   
5882_73          0.0009        -           -   
5885_33         -0.0000        -           -   
5895_90         -0.0039        -           -   
5898_34         -0.0028        -           -   
5902_33         -0.0000        -           -   
5908_65         -0.0036        -           -   
5910_49         -0.0000        -           -   
5926_61         -0.0054        -           -   
5934_61         -0.0966        -           -   
5941_77         -0.0017        -           -   
5944_82          0.0000        -           -   
5952_37          0.1446        -           -   
5954_88         -0.0016        -           -   
5960_50         -0.0000        -           -   
5966_50          0.0000        -           -   
5967_52         -0.0148        -           -   
5969_90         -0.0000        -           -   
5978_48         -0.0000        -           -   
5984_78         -0.0039        -           -   
5986_59         -0.0000        -           -   
5996_40         -0.0000        -           -   
5999_46          0.2075        -           -   
6001_91          0.3232        -           -   
6006_67         -0.0123        -           -   
6012_51         -0.0000        -           -   
6019_44          0.0000        -           -   
6036_38         -0.0000        -           -   
6045_45          0.0000        -           -   
6048_76          0.0000        -           -   
6057_58          0.5085        -           -   
6088_38         -0.0000        -           -   
6090_38          0.0000        -           -   
6105_35         -0.0032        -           -   
6106_76          0.6504        -           -   
